"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh ALCAM TRPM3",0.126275370384349,5.44409443407445,4.85861149953741,0.028865708412058,0.657359439032473,0.657359439032473,"social_isolation_lv"
"2","NOC2L","Inh ALCAM TRPM3",-0.0666629786583314,5.0088817997434,0.93641171374681,0.33735262320684,0.911019212825795,0.911019212825795,"social_isolation_lv"
"3","HES4","Inh ALCAM TRPM3",-0.249483714961029,4.52289020449679,6.26341940888323,0.0132797040661088,0.587818871488767,0.587818871488767,"social_isolation_lv"
"4","AGRN","Inh ALCAM TRPM3",-0.245768688718818,3.84480524498038,3.58492968817918,0.060022413008046,0.7357000510517,0.7357000510517,"social_isolation_lv"
"5","C1orf159","Inh ALCAM TRPM3",-0.0334704755036874,5.63703360346953,0.274435985285135,0.601060843050966,0.972282277382339,0.972282277382339,"social_isolation_lv"
"6","SDF4","Inh ALCAM TRPM3",-0.0547004146460732,5.62763486395946,0.738109563174718,0.391489476348763,0.926179100572446,0.926179100572446,"social_isolation_lv"
"7","UBE2J2","Inh ALCAM TRPM3",0.0278970927740848,5.32221350474395,0.188094026082929,0.665063255958056,0.981440668331028,0.981440668331028,"social_isolation_lv"
"8","ACAP3","Inh ALCAM TRPM3",-0.016713821462248,6.22649475329284,0.107403429109029,0.743527313089195,0.989208642262336,0.989208642262336,"social_isolation_lv"
"9","INTS11","Inh ALCAM TRPM3",0.0838221118387623,5.67256885136433,2.23395820914058,0.136880704541938,0.801821351320469,0.801821351320469,"social_isolation_lv"
"10","CPTP","Inh ALCAM TRPM3",0.0283242269678728,3.71454206938856,0.0445391805258605,0.86446437138135,0.999973238635428,0.999973238635428,"social_isolation_lv"
"11","DVL1","Inh ALCAM TRPM3",-0.0890716719666688,4.67048399231958,1.17819604063057,0.279430645054349,0.893064045308999,0.893064045308999,"social_isolation_lv"
"12","AURKAIP1","Inh ALCAM TRPM3",-0.0103288693010372,4.4413554483744,0.008204075912955,0.927936959222343,0.999973238635428,0.999973238635428,"social_isolation_lv"
"13","CCNL2","Inh ALCAM TRPM3",0.00426566346738371,6.02541038107352,0.00719733391813641,0.932491757708153,0.999973238635428,0.999973238635428,"social_isolation_lv"
"14","MRPL20","Inh ALCAM TRPM3",-0.0733962754084138,4.92007072418228,1.11221858134689,0.293112229878317,0.896786152910726,0.896786152910726,"social_isolation_lv"
