"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc L5 ET",0.0688819931297641,5.44149926963138,0.31831691395121,0.573578056259032,0.999859976810224,0.999859976810224,"stroke_bl"
"2","NOC2L","Exc L5 ET",0.164707791354933,5.03951040753505,1.86575693099602,0.174284071750318,0.979078502910132,0.979078502910132,"stroke_bl"
"3","KLHL17","Exc L5 ET",-0.47092123253476,3.71341714911014,3.54963931246732,0.0617573420957093,0.916325313407312,0.916325313407312,"stroke_bl"
"4","HES4","Exc L5 ET",-0.0255959863915848,5.16621844592737,0.020473822821786,0.886439800146593,0.999859976810224,0.999859976810224,"stroke_bl"
"5","AGRN","Exc L5 ET",-0.14779415972934,5.19742801882822,0.985358314610476,0.322695250104736,0.987931601549212,0.987931601549212,"stroke_bl"
"6","C1orf159","Exc L5 ET",0.0804884717998566,5.68944148477835,0.646297887726557,0.426640517350247,0.993222509559339,0.993222509559339,"stroke_bl"
"7","SDF4","Exc L5 ET",-0.182879498561922,5.22990878984159,2.28324935870817,0.133167358765046,0.97045416013369,0.97045416013369,"stroke_bl"
"8","UBE2J2","Exc L5 ET",0.0725015855372711,4.9047204201803,0.367483616853797,0.597243150121511,0.999859976810224,0.999859976810224,"stroke_bl"
"9","SCNN1D","Exc L5 ET",-0.0163051821242147,3.69612763825175,0.00554510926989261,0.940752704966072,0.999859976810224,0.999859976810224,"stroke_bl"
"10","ACAP3","Exc L5 ET",-0.00721940033333065,6.3783023782625,0.00922721523805816,0.946878755788895,0.999859976810224,0.999859976810224,"stroke_bl"
"11","INTS11","Exc L5 ET",-0.0256013844423154,5.52105095758509,0.0681758232698954,0.794418375114401,0.999859976810224,0.999859976810224,"stroke_bl"
"12","CPTP","Exc L5 ET",0.425119659598157,3.44423032686878,4.01449991086511,0.0471573288681403,0.882543662774102,0.882543662774102,"stroke_bl"
"13","DVL1","Exc L5 ET",0.100058900205282,4.34331200286382,0.388498398496241,0.551266594131004,0.999859976810224,0.999859976810224,"stroke_bl"
"14","AURKAIP1","Exc L5 ET",0.0101035698607582,4.83776243009391,0.00485971783866257,0.944528622591229,0.999859976810224,0.999859976810224,"stroke_bl"
"15","CCNL2","Exc L5 ET",0.0918360087877968,5.67321591586622,1.03316930336465,0.311274477094706,0.987647613389471,0.987647613389471,"stroke_bl"
"16","MRPL20","Exc L5 ET",-0.293353201969465,4.7945390693347,4.99500511730601,0.0271010585514871,0.867018977825688,0.867018977825688,"stroke_bl"
"17","ATAD3B","Exc L5 ET",-0.0037808208052773,4.8837846050024,0.000801889779970821,0.977451555593709,0.999859976810224,0.999859976810224,"stroke_bl"
"18","ATAD3A","Exc L5 ET",0.320481459116319,4.23738371649389,4.24351837912679,0.0413648601847225,0.882543662774102,0.882543662774102,"stroke_bl"
"19","SSU72","Exc L5 ET",0.14483067804647,5.72602815932718,2.30884442017653,0.131030763312511,0.97045416013369,0.97045416013369,"stroke_bl"
"20","FNDC10","Exc L5 ET",0.11276547658752,4.04196339200225,0.364607405676091,0.546994539919309,0.999859976810224,0.999859976810224,"stroke_bl"
"21","AL691432.2","Exc L5 ET",0.251038622146834,3.47566068561413,1.1539351825853,0.28468618295534,0.979078502910132,0.979078502910132,"stroke_bl"
"22","MIB2","Exc L5 ET",0.0566726599860012,5.36824323386697,0.324778381670156,0.57480597326271,0.999859976810224,0.999859976810224,"stroke_bl"
"23","CDK11B","Exc L5 ET",-0.285370029323737,4.99915810915608,5.46776623964079,0.0208726173309748,0.840052651615511,0.840052651615511,"stroke_bl"
"24","SLC35E2B","Exc L5 ET",0.127855053531887,4.93293773870958,0.806719161541981,0.370727029955327,0.992435910848319,0.992435910848319,"stroke_bl"
"25","CDK11A","Exc L5 ET",0.383183910073853,4.22275539812134,5.22377638314516,0.0238737337405619,0.846025439431164,0.846025439431164,"stroke_bl"
"26","SLC35E2A","Exc L5 ET",-0.0618814818359177,4.66469548481609,0.178480917566938,0.67336919111236,0.999859976810224,0.999859976810224,"stroke_bl"
"27","NADK","Exc L5 ET",0.0548776502372969,4.42059379472582,0.152699275235064,0.795250354227044,0.999859976810224,0.999859976810224,"stroke_bl"
"28","GNB1","Exc L5 ET",-0.0234196980993535,7.30859928926195,0.174346451170144,0.783241219789987,0.999859976810224,0.999859976810224,"stroke_bl"
"29","CFAP74","Exc L5 ET",0.120865807743308,4.89671177971068,0.885313122375993,0.366017605307546,0.990681512656322,0.990681512656322,"stroke_bl"
"30","GABRD","Exc L5 ET",0.163792280892073,5.78950560721016,2.35563022280208,0.127224323540666,0.97045416013369,0.97045416013369,"stroke_bl"
"31","PRKCZ","Exc L5 ET",0.0562747068641721,6.72785653457318,0.647100443581035,0.422597368261101,0.993222509559339,0.993222509559339,"stroke_bl"
"32","FAAP20","Exc L5 ET",-0.231091177321518,3.61967960838007,0.956779173037027,0.329788586425827,0.987931601549212,0.987931601549212,"stroke_bl"
"33","SKI","Exc L5 ET",0.0475022843027138,5.81698531902972,0.256658357340216,0.664124549500573,0.999859976810224,0.999859976810224,"stroke_bl"
"34","MORN1","Exc L5 ET",-0.0952720092788146,5.13508181396173,0.667407735394756,0.415428534667171,0.993222509559339,0.993222509559339,"stroke_bl"
"35","RER1","Exc L5 ET",-0.0592063852042961,4.93875578959502,0.230635853935683,0.631847477542023,0.999859976810224,0.999859976810224,"stroke_bl"
"36","PEX10","Exc L5 ET",0.164450848778545,4.16679043696073,0.989033132725513,0.32179795489275,0.987931601549212,0.987931601549212,"stroke_bl"
"37","FAM213B","Exc L5 ET",-0.402985742034662,3.66917937771509,3.04488005237693,0.0833188470740257,0.936085028474307,0.936085028474307,"stroke_bl"
