"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh PTPRK FAM19A1",-0.205810984252281,5.7530370232996,3.02700389154369,0.0829651024410617,0.99994315770675,0.99994315770675,"stroke_bl"
"2","NOC2L","Inh PTPRK FAM19A1",0.090856948797335,5.07738378999794,0.376523850355616,0.539957345109796,0.99994315770675,0.99994315770675,"stroke_bl"
"3","HES4","Inh PTPRK FAM19A1",-0.141927330442234,5.29702627070172,0.908995562069558,0.341186352838705,0.99994315770675,0.99994315770675,"stroke_bl"
"4","C1orf159","Inh PTPRK FAM19A1",-0.0511294321998799,6.07477355647767,0.222964666433764,0.637150383859251,0.99994315770675,0.99994315770675,"stroke_bl"
"5","SDF4","Inh PTPRK FAM19A1",-0.0928935023741555,5.75830085800947,0.656641474320003,0.41842204541768,0.99994315770675,0.99994315770675,"stroke_bl"
"6","UBE2J2","Inh PTPRK FAM19A1",-0.0954398061986829,5.38554595052284,0.509433700527726,0.475966290865655,0.99994315770675,0.99994315770675,"stroke_bl"
"7","ACAP3","Inh PTPRK FAM19A1",-0.0408257147146052,6.54839901370189,0.245127020578179,0.620907633322097,0.99994315770675,0.99994315770675,"stroke_bl"
"8","INTS11","Inh PTPRK FAM19A1",-0.116873571750769,5.73199995189565,1.09791171607675,0.295609742661896,0.99994315770675,0.99994315770675,"stroke_bl"
"9","CCNL2","Inh PTPRK FAM19A1",0.0899760264084136,6.22522142670833,0.920868963586164,0.338057653728374,0.99994315770675,0.99994315770675,"stroke_bl"
"10","MRPL20","Inh PTPRK FAM19A1",0.0106315196716356,5.18297012816852,0.00617367451772352,0.937427433634814,0.99994315770675,0.99994315770675,"stroke_bl"
"11","SSU72","Inh PTPRK FAM19A1",0.0757724859400278,5.57030153106833,0.446313358068466,0.504629798345969,0.99994315770675,0.99994315770675,"stroke_bl"
"12","MIB2","Inh PTPRK FAM19A1",0.0189691621860291,5.51803742119714,0.0218882294997388,0.882489098235354,0.99994315770675,0.99994315770675,"stroke_bl"
"13","CDK11B","Inh PTPRK FAM19A1",-0.113291008278502,5.23917060740864,0.702947065949895,0.402495539706879,0.99994315770675,0.99994315770675,"stroke_bl"
"14","SLC35E2B","Inh PTPRK FAM19A1",-0.0895055445287667,5.33505901831318,0.411997528214091,0.521471614065187,0.99994315770675,0.99994315770675,"stroke_bl"
"15","CDK11A","Inh PTPRK FAM19A1",0.0349456744177864,4.89746970933617,0.0411280916014822,0.839435105976348,0.99994315770675,0.99994315770675,"stroke_bl"
"16","SLC35E2A","Inh PTPRK FAM19A1",0.0874102962501323,5.29704433314301,0.380146843332976,0.538015235688932,0.99994315770675,0.99994315770675,"stroke_bl"
"17","NADK","Inh PTPRK FAM19A1",-0.2868022679601,4.87443952316992,2.67841920033888,0.102816801409248,0.99994315770675,0.99994315770675,"stroke_bl"
"18","GNB1","Inh PTPRK FAM19A1",0.0679453085290589,7.8516040800513,1.53665464231534,0.216132877721158,0.99994315770675,0.99994315770675,"stroke_bl"
"19","PRKCZ","Inh PTPRK FAM19A1",0.153547136790752,6.66478411491756,4.38865535758327,0.0370586039637396,0.99994315770675,0.99994315770675,"stroke_bl"
"20","SKI","Inh PTPRK FAM19A1",-0.00252919072913281,6.51691146390218,0.000880980264757647,0.976341922706309,0.99994315770675,0.99994315770675,"stroke_bl"
"21","RER1","Inh PTPRK FAM19A1",-0.0597492836882696,5.10706092180591,0.165748503754176,0.684222828277621,0.99994315770675,0.99994315770675,"stroke_bl"
"22","PLCH2","Inh PTPRK FAM19A1",0.0426764645686688,5.70847884782663,0.140190502461685,0.708369223839487,0.99994315770675,0.99994315770675,"stroke_bl"
"23","TPRG1L","Inh PTPRK FAM19A1",0.152803602253542,4.73565234718166,0.823376356017726,0.364958936682563,0.99994315770675,0.99994315770675,"stroke_bl"
"24","CEP104","Inh PTPRK FAM19A1",0.0431138123630149,5.87591405799361,0.172142398713953,0.678525897432087,0.99994315770675,0.99994315770675,"stroke_bl"
"25","AJAP1","Inh PTPRK FAM19A1",0.0723793272205818,6.12635826823022,0.536576017913919,0.464455240409916,0.99994315770675,0.99994315770675,"stroke_bl"
"26","NPHP4","Inh PTPRK FAM19A1",-0.0302305815326618,5.34909006883422,0.0580530812873006,0.809772691473331,0.99994315770675,0.99994315770675,"stroke_bl"
"27","KCNAB2","Inh PTPRK FAM19A1",0.023063716406646,5.56405997552132,0.0434982461132087,0.865990171773027,0.99994315770675,0.99994315770675,"stroke_bl"
"28","CHD5","Inh PTPRK FAM19A1",-0.0191506956210569,7.58039921190101,0.106930677250588,0.901052771426939,0.99994315770675,0.99994315770675,"stroke_bl"
"29","RPL22","Inh PTPRK FAM19A1",0.0894306488448603,5.64842945132247,0.548495206679864,0.459540932353305,0.99994315770675,0.99994315770675,"stroke_bl"
"30","RNF207","Inh PTPRK FAM19A1",-0.210973991211497,5.07037108730877,2.06857132790706,0.151455919441489,0.99994315770675,0.99994315770675,"stroke_bl"
"31","ACOT7","Inh PTPRK FAM19A1",-0.00751207676572864,6.40848140222202,0.00744336250325089,0.952853097303554,0.99994315770675,0.99994315770675,"stroke_bl"
"32","TNFRSF25","Inh PTPRK FAM19A1",0.0546603061841829,5.97333238174331,0.289300429230869,0.591087571335243,0.99994315770675,0.99994315770675,"stroke_bl"
"33","PLEKHG5","Inh PTPRK FAM19A1",-0.125261352643866,5.22970477672588,0.861599445457168,0.354074378788168,0.99994315770675,0.99994315770675,"stroke_bl"
"34","NOL9","Inh PTPRK FAM19A1",-0.00315276116515758,5.43008248801138,0.000675758495454018,0.979279176164874,0.99994315770675,0.99994315770675,"stroke_bl"
"35","KLHL21","Inh PTPRK FAM19A1",0.154931391070291,5.06623450089799,1.20881993477393,0.272490796941704,0.99994315770675,0.99994315770675,"stroke_bl"
"36","DNAJC11","Inh PTPRK FAM19A1",-0.0417104647072216,6.00234176075481,0.175567006955289,0.675525482160566,0.99994315770675,0.99994315770675,"stroke_bl"
"37","CAMTA1","Inh PTPRK FAM19A1",-0.0355070256665485,9.4516615221145,0.778281057711835,0.651028173103421,0.99994315770675,0.99994315770675,"stroke_bl"
"38","PER3","Inh PTPRK FAM19A1",0.140717075676618,7.03413639392483,3.5533498291675,0.0604393151258304,0.99994315770675,0.99994315770675,"stroke_bl"
"39","PARK7","Inh PTPRK FAM19A1",0.145306791208051,5.36231977158034,1.20712733586106,0.272826059209219,0.99994315770675,0.99994315770675,"stroke_bl"
"40","RERE","Inh PTPRK FAM19A1",0.0467328294650774,9.36871000383012,1.5223841708765,0.218272269154761,0.99994315770675,0.99994315770675,"stroke_bl"
"41","ENO1","Inh PTPRK FAM19A1",-0.0784830965458713,5.69747836563916,0.429343708896522,0.51283796300066,0.99994315770675,0.99994315770675,"stroke_bl"
"42","SLC25A33","Inh PTPRK FAM19A1",0.00949863299887952,4.95316646871922,0.00307870793901131,0.955789949389942,0.99994315770675,0.99994315770675,"stroke_bl"
"43","CLSTN1","Inh PTPRK FAM19A1",0.0130242400910659,8.04962259848406,0.0596801908948824,0.807177333758592,0.99994315770675,0.99994315770675,"stroke_bl"
"44","CTNNBIP1","Inh PTPRK FAM19A1",0.0608721829627025,5.67036450945139,0.282910608319027,0.595212828567593,0.99994315770675,0.99994315770675,"stroke_bl"
"45","UBE4B","Inh PTPRK FAM19A1",-0.0140104687775171,7.62151281555093,0.0684319257063088,0.98913879787403,0.99994315770675,0.99994315770675,"stroke_bl"
"46","KIF1B","Inh PTPRK FAM19A1",0.0366787771890277,8.81440479363962,0.809338145412792,0.369073017668842,0.99994315770675,0.99994315770675,"stroke_bl"
"47","PGD","Inh PTPRK FAM19A1",-0.122007855557105,4.72179408155716,0.445040644117233,0.505237528526675,0.99994315770675,0.99994315770675,"stroke_bl"
"48","DFFA","Inh PTPRK FAM19A1",-0.0118100599839683,5.46384422909147,0.00976850152626079,0.988280141909854,0.99994315770675,0.99994315770675,"stroke_bl"
"49","PEX14","Inh PTPRK FAM19A1",0.171469985966293,6.25432792253854,3.66938014144122,0.0564180623074707,0.99994315770675,0.99994315770675,"stroke_bl"
"50","SRM","Inh PTPRK FAM19A1",-0.00782209994823123,6.09445171927367,0.00595976199321245,0.938518835337484,0.99994315770675,0.99994315770675,"stroke_bl"
"51","EXOSC10","Inh PTPRK FAM19A1",0.040182900878935,5.81135313844318,0.138642848797425,0.709909775210952,0.99994315770675,0.99994315770675,"stroke_bl"
