"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh CUX2 MSR1",0.0102385051350337,3.43290639819062,1.88436099424415,0.170696286532273,0.482176367480687,0.482176367480687,"tangles"
"2","AL669831.5","Inh CUX2 MSR1",0.000139368516068606,5.58122642920025,0.00162960603679863,0.967821881386049,0.994972484244362,0.994972484244362,"tangles"
"3","NOC2L","Inh CUX2 MSR1",0.00122274949346703,4.73079410916509,0.103302302683638,0.748089219733089,0.918676172540458,0.918676172540458,"tangles"
"4","KLHL17","Inh CUX2 MSR1",0.0111783467733152,3.37886212464234,2.09028020812044,0.149111341926088,0.452028479654119,0.452028479654119,"tangles"
"5","HES4","Inh CUX2 MSR1",-0.0421396316504831,4.58288679699152,42.177196177856,2.78070139351196e-10,1.26885543587022e-07,1.26885543587022e-07,"tangles"
"6","ISG15","Inh CUX2 MSR1",-0.00406578671041583,3.40653616597675,0.22296675516427,0.637075552796369,0.863689565610242,0.863689565610242,"tangles"
"7","AGRN","Inh CUX2 MSR1",0.0184166850378429,3.51573263815395,7.31525069862492,0.00716293669048389,0.0829697749097402,0.0829697749097402,"tangles"
"8","C1orf159","Inh CUX2 MSR1",-8.16248028716776e-05,5.63641985570934,0.00065167425211369,0.979648070562855,0.996702230439731,0.996702230439731,"tangles"
"9","SDF4","Inh CUX2 MSR1",-0.00276166383526978,5.45159905849557,0.55882676487441,0.455222744314098,0.752871244141083,0.752871244141083,"tangles"
"10","B3GALT6","Inh CUX2 MSR1",0.00648717066626035,3.34132442263528,0.762332580133422,0.383183199835312,0.698912988577048,0.698912988577048,"tangles"
"11","UBE2J2","Inh CUX2 MSR1",0.000468440202718785,5.1325792618837,0.0198607678177618,0.888005683133994,0.973400960577124,0.973400960577124,"tangles"
"12","SCNN1D","Inh CUX2 MSR1",-0.00765135060383039,3.89989986813294,1.51037831618127,0.219886375162727,0.545531567321329,0.545531567321329,"tangles"
"13","ACAP3","Inh CUX2 MSR1",0.00244625793425352,6.40787027207443,1.03615003483436,0.309404109420209,0.637670327554669,0.637670327554669,"tangles"
"14","INTS11","Inh CUX2 MSR1",0.0028977980063006,5.47701722454671,0.91479168969713,0.339489899411966,0.660270342890948,0.660270342890948,"tangles"
"15","CPTP","Inh CUX2 MSR1",0.00095984742897552,3.28688998991145,0.013233701241969,0.90847946007427,0.979675300454215,0.979675300454215,"tangles"
"16","DVL1","Inh CUX2 MSR1",0.000187756117406728,4.35263243441852,0.00133506390738516,0.970873269450155,0.995285619006017,0.995285619006017,"tangles"
"17","AURKAIP1","Inh CUX2 MSR1",-0.000725429654970847,4.10438909422252,0.0246184021345374,0.875409878675531,0.969590823122301,0.969590823122301,"tangles"
"18","CCNL2","Inh CUX2 MSR1",-0.00227253041266607,6.1385380023745,0.823228901869118,0.456602947292202,0.753685448962142,0.753685448962142,"tangles"
"19","MRPL20","Inh CUX2 MSR1",5.85242002120261e-05,4.72540265187687,0.000118913003810891,0.991305519256249,0.999118945633015,0.999118945633015,"tangles"
"20","ATAD3B","Inh CUX2 MSR1",-0.0059713277277385,4.71130342586351,1.68816694117059,0.194676622400377,0.516249428954974,0.516249428954974,"tangles"
"21","ATAD3A","Inh CUX2 MSR1",-0.0108858898635105,4.15337764433144,3.35260131362864,0.0679276340150139,0.308181051607696,0.308181051607696,"tangles"
"22","SSU72","Inh CUX2 MSR1",0.00245873237231676,5.29252399839691,0.589672152506156,0.443050745050781,0.746111290174941,0.746111290174941,"tangles"
"23","FNDC10","Inh CUX2 MSR1",0.0106667165540195,4.07740738931267,4.40197477848618,0.0365958900956023,0.221291355807455,0.221291355807455,"tangles"
"24","MIB2","Inh CUX2 MSR1",-0.000625386601335097,5.29553492427942,0.0405741594819866,0.840476227176395,0.956370398612203,0.956370398612203,"tangles"
"25","CDK11B","Inh CUX2 MSR1",0.00457154315008133,4.99118888820824,1.50570581818758,0.220599653102606,0.54608170955602,0.54608170955602,"tangles"
"26","SLC35E2B","Inh CUX2 MSR1",-0.0067097247268378,4.96216547634603,2.69165684699784,0.101750750358636,0.374897795731322,0.374897795731322,"tangles"
"27","CDK11A","Inh CUX2 MSR1",0.0128377042752794,4.53635687739581,6.78140022446227,0.00959379752229953,0.099580764483431,0.099580764483431,"tangles"
"28","SLC35E2A","Inh CUX2 MSR1",-0.00262850078254957,4.98010867165726,0.338842782233152,0.560863349237039,0.822672935541167,0.822672935541167,"tangles"
"29","NADK","Inh CUX2 MSR1",0.00633967261979261,4.08748964406074,1.58556507611504,0.23814622014196,0.564960359081026,0.564960359081026,"tangles"
"30","GNB1","Inh CUX2 MSR1",-0.00172344435341298,7.47226503118895,1.27091875615481,0.360427912036944,0.680152178846239,0.680152178846239,"tangles"
"31","CFAP74","Inh CUX2 MSR1",0.0232250541642366,4.19628426760642,20.9597648713289,6.47474680996755e-06,0.000522560518050714,0.000522560518050714,"tangles"
"32","GABRD","Inh CUX2 MSR1",0.0023252151473501,5.55305119756961,0.549143401211196,0.459152381612797,0.755741378392651,0.755741378392651,"tangles"
"33","PRKCZ","Inh CUX2 MSR1",-0.00366157587526854,6.7268605393066,3.12846176174766,0.0777854623277684,0.329139055527323,0.329139055527323,"tangles"
"34","FAAP20","Inh CUX2 MSR1",0.00796140163980383,4.71973543955292,4.48889811327637,0.0503569240614366,0.262032696081089,0.262032696081089,"tangles"
"35","SKI","Inh CUX2 MSR1",0.005843451075694,6.69101398562098,8.00125438439481,0.00493694591268284,0.0665590071682605,0.0665590071682605,"tangles"
"36","MORN1","Inh CUX2 MSR1",-0.00197240372123421,4.92631698174833,0.247901863247904,0.618861203308321,0.854091112732482,0.854091112732482,"tangles"
"37","RER1","Inh CUX2 MSR1",-0.0038434593053025,4.84826996576814,0.928056880152877,0.336016845209914,0.656755165003364,0.656755165003364,"tangles"
"38","PEX10","Inh CUX2 MSR1",-0.00540762784319665,3.66138967514878,0.580332110563767,0.446682371178982,0.748453595488727,0.748453595488727,"tangles"
"39","PLCH2","Inh CUX2 MSR1",0.00405832819209691,5.60321837360893,1.49960879942771,0.221534567517687,0.547148503665182,0.547148503665182,"tangles"
"40","PANK4","Inh CUX2 MSR1",0.000949081459498635,3.84398199485931,0.0237673085991541,0.877565093383619,0.969590823122301,0.969590823122301,"tangles"
"41","FAM213B","Inh CUX2 MSR1",0.00550372465131876,3.69843462215439,0.648360454329103,0.421232476431742,0.730522160559303,0.730522160559303,"tangles"
"42","TPRG1L","Inh CUX2 MSR1",0.000759800900995951,4.32156755397735,0.026216540234748,0.871463708319612,0.96774430158414,0.96774430158414,"tangles"
"43","WRAP73","Inh CUX2 MSR1",-0.00108840614661507,3.83539901194959,0.0276533012397058,0.868020139977364,0.966029225893675,0.966029225893675,"tangles"
"44","LRRC47","Inh CUX2 MSR1",0.00255409234173475,4.30824482038855,0.293156479657604,0.619805863248057,0.854526040869466,0.854526040869466,"tangles"
"45","CEP104","Inh CUX2 MSR1",-0.00435085203411156,5.88549395518266,2.17659761994335,0.141000472020906,0.44123983002924,0.44123983002924,"tangles"
"46","DFFB","Inh CUX2 MSR1",-0.0113029770596811,5.16186990908347,9.20478706757829,0.0028508152654753,0.0473281827579029,0.0473281827579029,"tangles"
"47","AJAP1","Inh CUX2 MSR1",0.00273564426425066,7.54534280805964,2.30966147527784,0.167575522457053,0.47756809955092,0.47756809955092,"tangles"
"48","AL365255.1","Inh CUX2 MSR1",0.00500030179564085,3.81705263893138,0.453260674096725,0.501223764777178,0.780895436023171,0.780895436023171,"tangles"
"49","NPHP4","Inh CUX2 MSR1",-0.00545920598536153,5.8792107946142,3.17104042782874,0.0758002645260725,0.325731409823078,0.325731409823078,"tangles"
"50","KCNAB2","Inh CUX2 MSR1",0.00229081322960362,6.92369273134249,1.37348926661213,0.480362640727245,0.769761285291684,0.769761285291684,"tangles"
"51","CHD5","Inh CUX2 MSR1",0.00420091368533038,7.73336213855834,7.50937161100681,0.00644462259647688,0.0785000025509258,0.0785000025509258,"tangles"
"52","RPL22","Inh CUX2 MSR1",0.00099031484376939,5.13609109771739,0.0784322245086336,0.779594672954729,0.932985339431066,0.932985339431066,"tangles"
"53","RNF207","Inh CUX2 MSR1",-0.000560704275134444,4.55665986625474,0.0151709823578698,0.902040983387334,0.978163711929155,0.978163711929155,"tangles"
"54","ICMT","Inh CUX2 MSR1",0.00507984377314983,3.88573494387605,0.745519572179193,0.388474997230832,0.704068647416056,0.704068647416056,"tangles"
"55","GPR153","Inh CUX2 MSR1",0.00417001584969351,3.82653035838815,0.417836944763372,0.518431390444611,0.792101740661283,0.792101740661283,"tangles"
"56","ACOT7","Inh CUX2 MSR1",-0.00171858226244972,6.23097426881238,0.51421083455867,0.47378799444057,0.765806643875057,0.765806643875057,"tangles"
"57","TNFRSF25","Inh CUX2 MSR1",0.00305617700870321,4.07596480692954,0.273874265884787,0.601067534620051,0.845117987031566,0.845117987031566,"tangles"
"58","NOL9","Inh CUX2 MSR1",-0.00354226031425842,5.26940246093649,1.09990178222784,0.361360759426358,0.680829609311468,0.680829609311468,"tangles"
"59","ZBTB48","Inh CUX2 MSR1",-0.00695870013484502,3.99102888665822,1.28046747706341,0.25856749252949,0.588912407634838,0.588912407634838,"tangles"
"60","KLHL21","Inh CUX2 MSR1",0.0068045787634486,4.56431225116071,2.78265651056744,0.102535251040487,0.376155119768733,0.376155119768733,"tangles"
"61","PHF13","Inh CUX2 MSR1",0.00206990237557653,3.52116217842813,0.0899884882493899,0.764365422853247,0.926066561958807,0.926066561958807,"tangles"
"62","THAP3","Inh CUX2 MSR1",0.00119112694084355,3.7839881757885,0.0368456992297896,0.847888076167427,0.958946056782684,0.958946056782684,"tangles"
"63","DNAJC11","Inh CUX2 MSR1",-0.0008944844984184,6.10104028741152,0.126073634994717,0.743848897541415,0.9159339201278,0.9159339201278,"tangles"
"64","CAMTA1","Inh CUX2 MSR1",0.00147950205770229,9.47232209215593,2.04724511437492,0.163779830978919,0.472416963237856,0.472416963237856,"tangles"
"65","VAMP3","Inh CUX2 MSR1",-0.00273409978607982,3.92190021711925,0.217142989348052,0.641508109874607,0.866580570880286,0.866580570880286,"tangles"
"66","PER3","Inh CUX2 MSR1",0.00349440825336331,7.10734385903955,2.41890258005948,0.120760044205797,0.408641869082145,0.408641869082145,"tangles"
"67","PARK7","Inh CUX2 MSR1",-0.00298299774562546,5.00552637195119,0.605977887878113,0.436819040043234,0.742476549386859,0.742476549386859,"tangles"
"68","ERRFI1","Inh CUX2 MSR1",0.00717022824693024,4.70016561024408,2.88733916878269,0.0901446115327211,0.353545676437753,0.353545676437753,"tangles"
"69","AL034417.2","Inh CUX2 MSR1",-0.00206110495187418,3.57716120233583,0.0717329913968548,0.788983883809939,0.936647160606009,0.936647160606009,"tangles"
"70","SLC45A1","Inh CUX2 MSR1",-0.0123035091091911,4.37479602682689,5.47499471226906,0.0198378304515306,0.154028809212669,0.154028809212669,"tangles"
"71","RERE","Inh CUX2 MSR1",-0.00146999273011113,9.23128416806428,2.15672437898611,0.142822723899292,0.443533760949311,0.443533760949311,"tangles"
"72","ENO1","Inh CUX2 MSR1",0.00268015340884795,5.50017493247283,0.677612699297401,0.410956505739822,0.72196520514479,0.72196520514479,"tangles"
"73","MIR34AHG","Inh CUX2 MSR1",0.000751688054268325,5.29210729286182,0.04003012700126,0.841534982297621,0.956777290846093,0.956777290846093,"tangles"
"74","H6PD","Inh CUX2 MSR1",-0.00898335319053199,4.49472850813673,3.19330480475251,0.0747840418512804,0.323927664302151,0.323927664302151,"tangles"
"75","SLC25A33","Inh CUX2 MSR1",0.00235971317629676,4.65334805548011,0.296627907310201,0.586342350795023,0.83847814958018,0.83847814958018,"tangles"
"76","TMEM201","Inh CUX2 MSR1",0.00717642760756956,4.28365810577668,2.17213859103211,0.14140704307066,0.441720157712034,0.441720157712034,"tangles"
"77","PIK3CD","Inh CUX2 MSR1",-0.00342876280445845,5.52430785014099,1.05294231856435,0.305521364256082,0.634678376029579,0.634678376029579,"tangles"
"78","CLSTN1","Inh CUX2 MSR1",0.000141024139508648,8.22172492301734,0.01073790760803,0.917525706665347,0.98258906823977,0.98258906823977,"tangles"
"79","CTNNBIP1","Inh CUX2 MSR1",-0.0123681095719493,4.91483864350956,8.18213936133877,0.00447800492651382,0.0620439919270544,0.0620439919270544,"tangles"
"80","LZIC","Inh CUX2 MSR1",-0.00291178035205136,4.73326074078905,0.459670105231088,0.498214962362659,0.778661877680225,0.778661877680225,"tangles"
"81","NMNAT1","Inh CUX2 MSR1",-0.0011963894188696,4.77406052999472,0.0711168001277389,0.789870729430485,0.937102633396327,0.937102633396327,"tangles"
"82","UBE4B","Inh CUX2 MSR1",-0.000950665547005899,7.37193045109687,0.336504992515556,0.562217510804123,0.822852932409484,0.822852932409484,"tangles"
"83","KIF1B","Inh CUX2 MSR1",0.000181866341694213,8.58630707509966,0.0237325455268528,0.877653956844843,0.969590823122301,0.969590823122301,"tangles"
"84","AL139424.2","Inh CUX2 MSR1",-0.00498509377104916,3.06668516813298,0.293985036335674,0.629019476013296,0.85866839988744,0.85866839988744,"tangles"
"85","PGD","Inh CUX2 MSR1",0.00462742884980779,4.66908721007654,1.22150587010858,0.269805522046117,0.599132066145803,0.599132066145803,"tangles"
"86","DFFA","Inh CUX2 MSR1",0.0020195822715105,5.22679341607196,0.33303650622111,0.583480037014624,0.837147465971518,0.837147465971518,"tangles"
"87","PEX14","Inh CUX2 MSR1",-0.0041813118971062,6.21797074132864,2.66771446334102,0.103279718602037,0.377250794795125,0.377250794795125,"tangles"
"88","SRM","Inh CUX2 MSR1",-0.00620026374509855,4.85519930589586,2.32189267510929,0.128445181196809,0.422203744347956,0.422203744347956,"tangles"
"89","EXOSC10","Inh CUX2 MSR1",-0.00689289491177507,5.36597762019511,3.80351183628187,0.0519232066544585,0.265872571010094,0.265872571010094,"tangles"
"90","AL109811.1","Inh CUX2 MSR1",0.0030197136654642,3.26798011152732,0.127106794541769,0.721660337177293,0.905720748997293,0.905720748997293,"tangles"
"91","MTOR","Inh CUX2 MSR1",-0.00331505395016175,6.01744814449794,1.45328587207125,0.228795470312279,0.55625077698941,0.55625077698941,"tangles"
"92","DISP3","Inh CUX2 MSR1",0.0116288392803812,3.37173958671402,2.2297426153972,0.136254782133491,0.432920925343263,0.432920925343263,"tangles"
