"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh ENOX2 SPHKAP",0.000476647301860148,5.82115942253029,0.0156693819004122,0.900458849274814,0.97912217234778,0.97912217234778,"tangles"
"2","NOC2L","Inh ENOX2 SPHKAP",0.00720484806081411,5.21098293279072,2.90746365471376,0.0891055995342642,0.354126243868094,0.354126243868094,"tangles"
"3","HES4","Inh ENOX2 SPHKAP",-0.0344986706794199,5.33969355683651,36.0519268068276,5.03726529230009e-09,1.85255118172975e-06,1.85255118172975e-06,"tangles"
"4","C1orf159","Inh ENOX2 SPHKAP",-0.00392059658515126,5.76440067130995,1.0355503607141,0.309599395067689,0.63981825247247,0.63981825247247,"tangles"
"5","SDF4","Inh ENOX2 SPHKAP",-0.00340233122710426,5.75388257682498,0.732954975963736,0.392544348114127,0.712096173067492,0.712096173067492,"tangles"
"6","UBE2J2","Inh ENOX2 SPHKAP",0.00587656649674512,5.42590485541702,2.24776907132403,0.15114977986941,0.46412787254698,0.46412787254698,"tangles"
"7","ACAP3","Inh ENOX2 SPHKAP",0.00478364751135048,6.45713463163765,2.90143063297496,0.0894365363303379,0.354602387973118,0.354602387973118,"tangles"
"8","INTS11","Inh ENOX2 SPHKAP",0.00108284560330904,5.71086718255762,0.107642553456313,0.800955310399692,0.940529863446132,0.940529863446132,"tangles"
"9","DVL1","Inh ENOX2 SPHKAP",0.00324640381332376,4.76917163250555,0.331293580034422,0.565288179055311,0.826465849690633,0.826465849690633,"tangles"
"10","AURKAIP1","Inh ENOX2 SPHKAP",-0.00621700635720097,4.66353200238187,0.969097526179381,0.331193495787928,0.655395738146557,0.655395738146557,"tangles"
"11","CCNL2","Inh ENOX2 SPHKAP",-0.00148772281051669,6.1907196041868,0.271812634369227,0.605487838673829,0.851590150818015,0.851590150818015,"tangles"
"12","MRPL20","Inh ENOX2 SPHKAP",0.00117426592405567,5.0484922600959,0.0553545528725459,0.814139937114487,0.944528764703801,0.944528764703801,"tangles"
"13","ATAD3B","Inh ENOX2 SPHKAP",-0.0199407443034138,4.8779932662947,12.0687688741428,0.000611047193824632,0.018033436010343,0.018033436010343,"tangles"
"14","SSU72","Inh ENOX2 SPHKAP",-0.00254895195888109,5.68329004711172,0.520018904755485,0.534894265574692,0.809665817227356,0.809665817227356,"tangles"
"15","FNDC10","Inh ENOX2 SPHKAP",-0.0216548157129946,4.55174874530396,8.78491970969012,0.00325679226849494,0.0520919329448238,0.0520919329448238,"tangles"
"16","MIB2","Inh ENOX2 SPHKAP",0.00206179554219246,5.36497782331853,0.235774437630713,0.634129896613691,0.865325819016923,0.865325819016923,"tangles"
"17","CDK11B","Inh ENOX2 SPHKAP",0.000885368758195545,5.23087913351099,0.0395324046870501,0.842519295963219,0.957219808784488,0.957219808784488,"tangles"
"18","SLC35E2B","Inh ENOX2 SPHKAP",-0.000332048950715907,5.238222468704,0.00460383149393149,0.945944648715895,0.99309438877753,0.99309438877753,"tangles"
"19","CDK11A","Inh ENOX2 SPHKAP",0.00869902408438845,4.84183105124473,2.20737133074524,0.138301215385883,0.444217743204506,0.444217743204506,"tangles"
"20","SLC35E2A","Inh ENOX2 SPHKAP",-0.00125523180522132,5.31970465685249,0.0657048595820057,0.797855066080143,0.938272062705489,0.938272062705489,"tangles"
"21","NADK","Inh ENOX2 SPHKAP",-0.00471638992768877,4.37375900146698,0.438485287199871,0.508313706467187,0.789301346832688,0.789301346832688,"tangles"
"22","GNB1","Inh ENOX2 SPHKAP",-0.00130152666314718,7.40298752576915,0.566222104196443,0.538931220981571,0.810813336960023,0.810813336960023,"tangles"
"23","GABRD","Inh ENOX2 SPHKAP",-0.00449943530742559,4.10822745002371,0.229580198278246,0.632150634348089,0.863899329534529,0.863899329534529,"tangles"
"24","PRKCZ","Inh ENOX2 SPHKAP",-0.0056125918313744,6.97136881704823,6.46705199379478,0.014392071590479,0.134522960457635,0.134522960457635,"tangles"
"25","FAAP20","Inh ENOX2 SPHKAP",-0.00442579668800541,5.0845744342909,0.677857282152663,0.410916384653108,0.727736677442381,0.727736677442381,"tangles"
"26","SKI","Inh ENOX2 SPHKAP",0.00230083322917388,6.5361934795973,0.680457798024302,0.410021251865534,0.726920139158365,0.726920139158365,"tangles"
"27","MORN1","Inh ENOX2 SPHKAP",-0.00670373312618349,4.79786294800729,1.35607574488471,0.245054618514632,0.577430325834626,0.577430325834626,"tangles"
"28","RER1","Inh ENOX2 SPHKAP",-0.00207271234779377,5.16131323950135,0.213288005553186,0.670197630496802,0.880914212472181,0.880914212472181,"tangles"
"29","PLCH2","Inh ENOX2 SPHKAP",-0.00912860773344808,4.62370394724719,1.52468986479885,0.217784109340957,0.551204778591379,0.551204778591379,"tangles"
"30","TPRG1L","Inh ENOX2 SPHKAP",0.00256703056626939,4.8891546603718,0.244307197514492,0.637858472056862,0.867226320177409,0.867226320177409,"tangles"
"31","LRRC47","Inh ENOX2 SPHKAP",-0.0146976914833117,4.78483070586141,5.9058108783994,0.0156479972287346,0.139576631997351,0.139576631997351,"tangles"
"32","CEP104","Inh ENOX2 SPHKAP",0.000629247085793203,5.88163797740216,0.0315236029540978,0.906522978689204,0.98076680768208,0.98076680768208,"tangles"
"33","DFFB","Inh ENOX2 SPHKAP",-0.00867568680558701,5.20021191244828,2.77929685422468,0.0964328235228644,0.369312102746352,0.369312102746352,"tangles"
