"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh LAMP5 NRG1 (Rosehip)",0.0103062295369663,3.10548719232118,3.46789826857691,0.0633847336005976,0.149888835034734,0.149888835034734,"tangles"
"2","AL669831.5","Inh LAMP5 NRG1 (Rosehip)",0.00565066302018389,5.41564368899267,4.56046552273288,0.0333921230283821,0.0928409798643809,0.0928409798643809,"tangles"
"3","NOC2L","Inh LAMP5 NRG1 (Rosehip)",-0.00243184351535002,4.57137963609874,0.577953530977989,0.447612851578726,0.610607941485889,0.610607941485889,"tangles"
"4","KLHL17","Inh LAMP5 NRG1 (Rosehip)",0.0120835067022331,2.93285386125222,3.4731171314495,0.0631870811976348,0.149585037295058,0.149585037295058,"tangles"
"5","HES4","Inh LAMP5 NRG1 (Rosehip)",-0.0266236179648668,5.23405422196809,52.9824891168563,2.12741364015373e-12,1.23209540864796e-10,1.23209540864796e-10,"tangles"
"6","ISG15","Inh LAMP5 NRG1 (Rosehip)",0.00469427704402218,3.44063630212571,0.378756237081633,0.538658227574681,0.692362348788897,0.692362348788897,"tangles"
"7","AGRN","Inh LAMP5 NRG1 (Rosehip)",-0.00185752092427614,3.4282291776848,0.10067025409675,0.751210591989283,0.858550224236641,0.858550224236641,"tangles"
"8","C1orf159","Inh LAMP5 NRG1 (Rosehip)",0.00543364654268984,5.35422097601447,4.10094320095763,0.0435963728434255,0.113523834784777,0.113523834784777,"tangles"
"9","SDF4","Inh LAMP5 NRG1 (Rosehip)",-0.0040751683904289,5.63801282987815,2.19456322196956,0.139372597795777,0.268022637296859,0.268022637296859,"tangles"
"10","B3GALT6","Inh LAMP5 NRG1 (Rosehip)",-0.00694768248727455,3.41501399264987,1.74243165041457,0.187669169786305,0.331107322132155,0.331107322132155,"tangles"
"11","UBE2J2","Inh LAMP5 NRG1 (Rosehip)",0.003832055541228,5.1508342608095,2.30416881096428,0.129904356853768,0.254032140709065,0.254032140709065,"tangles"
"12","LINC01786","Inh LAMP5 NRG1 (Rosehip)",-0.0148730827480196,2.74747063906118,3.73091435693639,0.0541982401198346,0.132989175160699,0.132989175160699,"tangles"
"13","SCNN1D","Inh LAMP5 NRG1 (Rosehip)",-0.00224014053767433,3.46219312722397,0.205055529713831,0.713405061704747,0.831910459819836,0.831910459819836,"tangles"
"14","ACAP3","Inh LAMP5 NRG1 (Rosehip)",0.00631403082172906,6.14915100723041,9.44643987593177,0.00227682348365308,0.0109681511524068,0.0109681511524068,"tangles"
"15","PUSL1","Inh LAMP5 NRG1 (Rosehip)",-0.00820580676002605,2.39713137514673,0.95660362040234,0.328700429862386,0.494288938982814,0.494288938982814,"tangles"
"16","INTS11","Inh LAMP5 NRG1 (Rosehip)",-0.000281050469969107,5.4536908171839,0.0158395206325275,0.899916788416239,0.952690428696607,0.952690428696607,"tangles"
"17","CPTP","Inh LAMP5 NRG1 (Rosehip)",-0.000966328157763074,3.31136801512923,0.0306321441948043,0.861161922938888,0.929825520290153,0.929825520290153,"tangles"
"18","DVL1","Inh LAMP5 NRG1 (Rosehip)",0.000219303759622775,4.37109864939381,0.00439149410487231,0.947200942887237,0.978191198222904,0.978191198222904,"tangles"
"19","AURKAIP1","Inh LAMP5 NRG1 (Rosehip)",-0.0230138082715228,4.29307546792475,32.8072240503064,2.14901131246295e-08,4.89967025598978e-07,4.89967025598978e-07,"tangles"
"20","CCNL2","Inh LAMP5 NRG1 (Rosehip)",-0.00296087030131486,6.12991689078955,2.35630026588311,0.125655582092942,0.248230526342581,0.248230526342581,"tangles"
"21","MRPL20","Inh LAMP5 NRG1 (Rosehip)",-0.0124206557193398,4.87014328061462,17.2375790047246,4.12148596745451e-05,0.000384109464481231,0.000384109464481231,"tangles"
"22","ATAD3B","Inh LAMP5 NRG1 (Rosehip)",-0.00673588704844454,4.40256807734447,3.40399373862938,0.0658594135194008,0.154139305716613,0.154139305716613,"tangles"
"23","ATAD3A","Inh LAMP5 NRG1 (Rosehip)",0.00184487423022214,3.87013861251292,0.23624861325179,0.627224315051405,0.765761437903433,0.765761437903433,"tangles"
"24","TMEM240","Inh LAMP5 NRG1 (Rosehip)",0.000639782432607399,2.61975846540578,0.00773885983718053,0.929948773782921,0.970417104430971,0.970417104430971,"tangles"
"25","SSU72","Inh LAMP5 NRG1 (Rosehip)",-0.00316966775799585,5.48371286841341,1.76228666875711,0.185180187606878,0.327844490708848,0.327844490708848,"tangles"
"26","FNDC10","Inh LAMP5 NRG1 (Rosehip)",-0.00377077686391662,3.85291152742452,0.726824644509702,0.394480827492401,0.559728729635669,0.559728729635669,"tangles"
"27","AL691432.2","Inh LAMP5 NRG1 (Rosehip)",-0.00813307775557464,3.18711204318522,1.74165627267315,0.187767158616448,0.331184296946616,0.331184296946616,"tangles"
"28","MIB2","Inh LAMP5 NRG1 (Rosehip)",0.000179618997001256,5.03572841736956,0.00380493184859727,0.950848587029972,0.980007842976073,0.980007842976073,"tangles"
"29","MMP23B","Inh LAMP5 NRG1 (Rosehip)",0.00358672065514651,3.21216085097403,0.386929255360437,0.534311431636773,0.689001688407589,0.689001688407589,"tangles"
