"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh CUX2 MSR1",-0.00515150142739358,3.45276052959184,0.010624890849175,0.917961034570016,0.983306125484996,0.983306125484996,"tdp_st4"
"2","AL669831.5","Inh CUX2 MSR1",0.0529544918517682,5.59118118810796,5.69692957564594,0.0175272127238924,0.140406166444084,0.140406166444084,"tdp_st4"
"3","NOC2L","Inh CUX2 MSR1",0.00520537525749943,4.73643876123629,0.0367667935609702,0.848052256399091,0.960132108493384,0.960132108493384,"tdp_st4"
"4","KLHL17","Inh CUX2 MSR1",0.133959592235483,3.39029392779683,6.3392152155442,0.0122571831931835,0.113966945134749,0.113966945134749,"tdp_st4"
"5","HES4","Inh CUX2 MSR1",-0.0692035819877889,4.56280964414186,3.50648132364029,0.0619659322456732,0.289660357791539,0.289660357791539,"tdp_st4"
"6","ISG15","Inh CUX2 MSR1",-0.113377349045323,3.40332208422885,3.2937987687447,0.0704011507543812,0.310644289007005,0.310644289007005,"tdp_st4"
"7","AGRN","Inh CUX2 MSR1",0.0654441477135926,3.52439408382045,1.79989236177288,0.180598691086948,0.493109090788626,0.493109090788626,"tdp_st4"
"8","C1orf159","Inh CUX2 MSR1",-0.0175925105216755,5.65143064668869,0.723049332888337,0.395729068620494,0.714580552911565,0.714580552911565,"tdp_st4"
"9","SDF4","Inh CUX2 MSR1",-0.0159823414639549,5.45130855311021,0.429408333235317,0.512711550731644,0.790828375352122,0.790828375352122,"tdp_st4"
"10","B3GALT6","Inh CUX2 MSR1",0.00179391774229687,3.35019173264935,0.00102676108017905,0.974456005358698,0.995266648098093,0.995266648098093,"tdp_st4"
"11","UBE2J2","Inh CUX2 MSR1",-0.00560682687844441,5.13312789539791,0.0600167387080968,0.806613616185193,0.944545535559358,0.944545535559358,"tdp_st4"
"12","SCNN1D","Inh CUX2 MSR1",-0.0550334312378043,3.91513368366843,1.92927079705289,0.165724823390437,0.473840224229794,0.473840224229794,"tdp_st4"
"13","ACAP3","Inh CUX2 MSR1",0.00752643224842616,6.41197920149126,0.202938983505126,0.652638979409026,0.872527662018348,0.872527662018348,"tdp_st4"
"14","INTS11","Inh CUX2 MSR1",0.0225711762040448,5.48398776255727,1.17732559724731,0.278650833639751,0.607705415233605,0.607705415233605,"tdp_st4"
"15","CPTP","Inh CUX2 MSR1",-0.0141203527883739,3.29813839893605,0.0645071776635684,0.799658696251655,0.941518338534149,0.941518338534149,"tdp_st4"
"16","DVL1","Inh CUX2 MSR1",-0.0233120487755627,4.35487903879973,0.481645932832872,0.488139874721386,0.775093553573854,0.775093553573854,"tdp_st4"
"17","AURKAIP1","Inh CUX2 MSR1",-0.0132167354989039,4.10682721611465,0.123409401050115,0.725577937574452,0.908773091709525,0.908773091709525,"tdp_st4"
"18","CCNL2","Inh CUX2 MSR1",0.0267299447263283,6.14118145879329,2.49994365344781,0.114757119627729,0.3969981983897,0.3969981983897,"tdp_st4"
"19","MRPL20","Inh CUX2 MSR1",-0.0933650386219924,4.72326106555734,10.3068680689593,0.00144855452413533,0.027849628915634,0.027849628915634,"tdp_st4"
"20","ATAD3B","Inh CUX2 MSR1",0.00439655807672895,4.71435804573754,0.0215296367086574,0.883430097415773,0.97595611870905,0.97595611870905,"tdp_st4"
"21","ATAD3A","Inh CUX2 MSR1",0.0555672950684212,4.15642702163902,2.32915851391547,0.127877137404685,0.418877570174181,0.418877570174181,"tdp_st4"
"22","SSU72","Inh CUX2 MSR1",-0.0106411864319125,5.28463337253083,0.224152073323476,0.636190605386645,0.862391186907532,0.862391186907532,"tdp_st4"
"23","FNDC10","Inh CUX2 MSR1",0.0530278127495777,4.0842841700142,2.06155186150106,0.151952855882041,0.454523975436368,0.454523975436368,"tdp_st4"
"24","MIB2","Inh CUX2 MSR1",0.00275101814487447,5.2968346028362,0.0165466095118716,0.897721728926748,0.978337055196451,0.978337055196451,"tdp_st4"
"25","CDK11B","Inh CUX2 MSR1",-0.0177953474141885,5.00361640991742,0.489173564488602,0.484762547500222,0.772683174922279,0.772683174922279,"tdp_st4"
"26","SLC35E2B","Inh CUX2 MSR1",-0.0601393073681583,4.97469708666447,5.33411213750194,0.0214957952974226,0.158460037071909,0.158460037071909,"tdp_st4"
"27","CDK11A","Inh CUX2 MSR1",0.0493033725609711,4.55111613009821,2.12287192757938,0.146014259559498,0.446493647865067,0.446493647865067,"tdp_st4"
"28","SLC35E2A","Inh CUX2 MSR1",-0.0327668195696835,4.98857203946979,1.24319962981705,0.265623280087823,0.595829083327405,0.595829083327405,"tdp_st4"
"29","NADK","Inh CUX2 MSR1",-0.0704173564885468,4.09464566368108,4.0702583511452,0.0444104323685655,0.239126142593438,0.239126142593438,"tdp_st4"
