"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","OPC",0.0200751792909522,2.39956529361973,0.432502769734885,0.558323000259234,0.878411769258935,0.878411769258935,"tdp_st4"
"2","AL669831.5","OPC",0.0138462940534561,5.04118902499767,1.02004113751695,0.31322102994765,0.722105862242794,0.722105862242794,"tdp_st4"
"3","NOC2L","OPC",-0.016526312929167,4.50059956109425,1.23887414421207,0.345992467121701,0.749792152459164,0.749792152459164,"tdp_st4"
"4","KLHL17","OPC",-0.0134878081741263,2.21321878527863,0.152930664274308,0.695993044477631,0.936005034307302,0.936005034307302,"tdp_st4"
"5","HES4","OPC",-0.0709418222663048,2.3733263748096,3.6776876281935,0.0559752864290835,0.375365159352775,0.375365159352775,"tdp_st4"
"6","ISG15","OPC",0.00458209269176912,3.62794839116867,0.00689491131036921,0.933871657282011,0.999957234417562,0.999957234417562,"tdp_st4"
"7","AGRN","OPC",0.0167070817932311,5.22553861883683,1.46513434858391,0.226948219315181,0.64428866279339,0.64428866279339,"tdp_st4"
"8","C1orf159","OPC",0.0114116395147069,4.38941246094247,0.532526293253489,0.466044637704953,0.830897632517216,0.830897632517216,"tdp_st4"
"9","SDF4","OPC",0.0181493780107456,4.79878502936231,2.29384555014143,0.229760993355742,0.647330143373489,0.647330143373489,"tdp_st4"
"10","B3GALT6","OPC",0.0274764599181988,2.8255690876711,1.15909054730909,0.282410715921444,0.698530907864814,0.698530907864814,"tdp_st4"
"11","UBE2J2","OPC",-0.00385257632654776,4.86984825428361,0.109792252641256,0.973005724193245,0.999957234417562,0.999957234417562,"tdp_st4"
"12","LINC01786","OPC",-0.011626799434936,2.90297216196706,0.193714562742038,0.660119990946643,0.92328051389895,0.92328051389895,"tdp_st4"
"13","SCNN1D","OPC",-0.0294443825709516,4.02682428811871,2.00186138680814,0.158013165277278,0.56308164343932,0.56308164343932,"tdp_st4"
"14","ACAP3","OPC",-0.00942730403444463,7.53417629932885,0.768386982722497,0.381329882771386,0.777126785983201,0.777126785983201,"tdp_st4"
"15","PUSL1","OPC",0.0174469245367517,1.93113831953706,0.238182285593119,0.625833815703052,0.911581564710494,0.911581564710494,"tdp_st4"
"16","INTS11","OPC",-0.0098132577610899,5.27958483774189,0.916887999337515,0.43373438216965,0.809691561281436,0.809691561281436,"tdp_st4"
"17","CPTP","OPC",0.0125248432095661,2.75085928802234,0.235458885304901,0.627815070904527,0.912604073085651,0.912604073085651,"tdp_st4"
"18","DVL1","OPC",0.0169680311135261,3.94072225538699,1.11477422842309,0.291789426749917,0.706710576766877,0.706710576766877,"tdp_st4"
"19","AURKAIP1","OPC",-0.0201327149725907,3.56032054429473,0.987722036652227,0.321000205531766,0.726726488873421,0.726726488873421,"tdp_st4"
"20","CCNL2","OPC",-0.00594461975367092,5.91532870126775,0.353022247998416,0.751189115354105,0.95596948154162,0.95596948154162,"tdp_st4"
"21","MRPL20","OPC",-0.00930590817731019,4.20438549702852,0.394905222071009,0.572703248643731,0.885930763121518,0.885930763121518,"tdp_st4"
"22","ANKRD65","OPC",0.0137831066089779,2.55065566268974,0.195271181027232,0.658843610400827,0.923197864083507,0.923197864083507,"tdp_st4"
"23","VWA1","OPC",0.0629625679834734,4.84233758662866,12.7923086339727,0.000398045759020847,0.0327644149224797,0.0327644149224797,"tdp_st4"
