"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh GPC5 RIT2",0.0851638858448968,5.91197870391987,1.06538776730325,0.32907639970577,0.980835121740019,0.980835121740019,"ya_adult_cogact_freq"
"2","HES4","Inh GPC5 RIT2",0.00400913394611796,4.9888322648631,0.00141136331276999,0.970103308143279,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"3","C1orf159","Inh GPC5 RIT2",0.0157214386014938,5.72532566746604,0.0224663661533562,0.881140417779881,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"4","SDF4","Inh GPC5 RIT2",0.0535494342021725,5.8698718161802,0.375086435470916,0.541567763421472,0.999711879229982,0.999711879229982,"ya_adult_cogact_freq"
"5","UBE2J2","Inh GPC5 RIT2",-0.137166686566741,5.50164217507903,1.52034663453831,0.220318324880589,0.97052442555701,0.97052442555701,"ya_adult_cogact_freq"
"6","ACAP3","Inh GPC5 RIT2",0.016827756079956,6.20482538046425,0.047266463657974,0.828311577037673,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"7","INTS11","Inh GPC5 RIT2",0.0368045002821509,5.84700755870228,0.181134943621265,0.676425195497503,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"8","AURKAIP1","Inh GPC5 RIT2",-0.0411250557553779,4.95943348806567,0.0723485585111619,0.837285649261921,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"9","CCNL2","Inh GPC5 RIT2",0.0136259767920383,6.17265800296092,0.0492207254825155,0.82485545117417,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"10","ATAD3B","Inh GPC5 RIT2",-0.133554708125278,5.26559594994781,1.17087816242269,0.281697776174639,0.979554964535725,0.979554964535725,"ya_adult_cogact_freq"
"11","SSU72","Inh GPC5 RIT2",0.00533102697155174,5.66975480148885,0.0030274600685892,0.956225128333107,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"12","FNDC10","Inh GPC5 RIT2",0.124332672450035,4.94274152368251,0.690665608478572,0.407822458801171,0.989922258720558,0.989922258720558,"ya_adult_cogact_freq"
"13","SLC35E2B","Inh GPC5 RIT2",0.0168687166680703,5.44711212196276,0.0231637605099137,0.915159754085108,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"14","GNB1","Inh GPC5 RIT2",0.0758324453440697,7.4995685448756,2.70199288956659,0.103211674865753,0.9438097292726,0.9438097292726,"ya_adult_cogact_freq"
"15","GABRD","Inh GPC5 RIT2",-0.02107615991624,6.22451105837446,0.0607507325533747,0.80579413270245,0.999885566752904,0.999885566752904,"ya_adult_cogact_freq"
"16","PRKCZ","Inh GPC5 RIT2",0.0293515432207894,6.78271455574534,0.24817162081789,0.619406497325709,0.999711879229982,0.999711879229982,"ya_adult_cogact_freq"
