"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5/6 IT Car3",-0.000770337482232873,3.35785435820256,0.0091954000861308,0.923657254767911,0.980831363152981,0.982900027093032,"amyloid"
"2","AL669831.5","Exc L5/6 IT Car3",0.0132945662287096,6.04046586357251,7.78687560569761,0.00553269491295988,0.0987393040978002,0.0962695586151648,"amyloid"
"3","NOC2L","Exc L5/6 IT Car3",-0.00193727350650224,4.85410024215939,0.133650177413377,0.714883953362917,0.903717891130389,0.903939774124973,"amyloid"
"4","KLHL17","Exc L5/6 IT Car3",0.0100112493285265,3.02704813817394,1.20613940079757,0.272805419894867,0.597292094799774,0.601689657856084,"amyloid"
"5","HES4","Exc L5/6 IT Car3",-0.00938146032182082,5.14688265291269,1.46693178177319,0.226596077440293,0.553084700469724,0.555098997273426,"amyloid"
"6","ISG15","Exc L5/6 IT Car3",-0.0182257231069162,2.84089357490468,1.69668327764575,0.193524764830466,0.51782044815516,0.517219460742065,"amyloid"
"7","AGRN","Exc L5/6 IT Car3",0.0051576908439346,5.449145204218,0.842101832469815,0.359388431957253,0.672752000692757,0.679945228466855,"amyloid"
"8","C1orf159","Exc L5/6 IT Car3",-0.000892371956217071,5.41562054893471,0.0396344191276958,0.842305391193623,0.95831248186831,0.956353526792467,"amyloid"
"9","SDF4","Exc L5/6 IT Car3",-0.00391120132327555,5.04663197646749,0.773747244260382,0.392765053864339,0.699669883427429,0.706836678330854,"amyloid"
"10","B3GALT6","Exc L5/6 IT Car3",-0.00773577084521765,3.1773794413612,0.806444215912971,0.36975204728254,0.681267037418059,0.689062707431323,"amyloid"
"11","UBE2J2","Exc L5/6 IT Car3",0.000452804275443612,4.76087753480261,0.0117906608347185,0.913590111560252,0.979339430034389,0.980377406637354,"amyloid"
"12","LINC01786","Exc L5/6 IT Car3",-0.00861535999204464,2.48201523270801,0.707158635065575,0.400926651437773,0.706139264357903,0.713083872219762,"amyloid"
"13","SCNN1D","Exc L5/6 IT Car3",-0.0181539465340322,3.14000944893697,4.87178382834735,0.0279067065066378,0.21953269245033,0.210497681846093,"amyloid"
"14","ACAP3","Exc L5/6 IT Car3",0.00221346609091453,6.60648816184927,0.242839057299352,0.622452604847164,0.851872722184004,0.856690200364282,"amyloid"
"15","PUSL1","Exc L5/6 IT Car3",-0.0187508244186076,2.27328445020639,3.00308805310135,0.0839312425430535,0.364922580892574,0.353040467018748,"amyloid"
"16","INTS11","Exc L5/6 IT Car3",0.00107402362793495,5.18746126633205,0.0718174191168584,0.788856685873724,0.938367294661147,0.936104620632292,"amyloid"
"17","CPTP","Exc L5/6 IT Car3",-0.00431257414852832,3.10888928764727,0.209737750173734,0.647239311724738,0.867547373854412,0.870308254889944,"amyloid"
"18","DVL1","Exc L5/6 IT Car3",0.00448501224669195,4.32286963929598,0.674516990788596,0.412005033087065,0.71440942967051,0.721625599008901,"amyloid"
"19","AURKAIP1","Exc L5/6 IT Car3",-0.0194113995696372,4.31564731385864,3.6357246209134,0.0573189348957149,0.307705845673114,0.296619484093397,"amyloid"
"20","CCNL2","Exc L5/6 IT Car3",-0.00233926360359636,5.9843323346354,0.56585606039675,0.4523840477515,0.746479683976622,0.752198668417542,"amyloid"
"21","MRPL20","Exc L5/6 IT Car3",-0.00534991972690119,4.80566544655144,0.67078574115451,0.413299991059097,0.715628188489961,0.72241420651645,"amyloid"
"22","ANKRD65","Exc L5/6 IT Car3",-0.00375421932058985,3.19865648017878,0.110909704540966,0.739297648992255,0.915051223790839,0.915159719360537,"amyloid"
"23","ATAD3C","Exc L5/6 IT Car3",0.0348761109520685,1.72630174860756,4.37153166855594,0.037219434366208,0.252093503377123,0.240805674628971,"amyloid"
"24","ATAD3B","Exc L5/6 IT Car3",-0.00935864964856692,4.52834394068162,2.92732817269243,0.087921690745994,0.373490758253395,0.360867800819934,"amyloid"
"25","ATAD3A","Exc L5/6 IT Car3",-0.0068766845833785,3.82551358313179,1.57247279345813,0.210632422686987,0.537154609268634,0.53765632316797,"amyloid"
"26","TMEM240","Exc L5/6 IT Car3",-0.00303875870250901,2.18569090561204,0.0656678427482394,0.797893171041637,0.942125957095802,0.939522659453847,"amyloid"
