"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","MXRA8","Fib FLRT2",-0.00573084388210043,7.36625066782685,0.0477692279462346,0.827337427482747,0.999401177903841,0.999764563585966,"amyloid"
"2","CCNL2","Fib FLRT2",0.00957929707649019,8.05939461253875,0.599869929453104,0.440047222829593,0.997703554462125,0.93884106662103,"amyloid"
"3","GNB1","Fib FLRT2",0.00134703741370313,8.43948812856425,0.011436444079658,0.915001944848562,0.999401177903841,0.999764563585966,"amyloid"
"4","SKI","Fib FLRT2",0.0187902762154969,8.14623728383832,1.29583752678183,0.25708806524485,0.912335115082417,0.870833529368074,"amyloid"
"5","CAMTA1","Fib FLRT2",-0.0101263767159647,8.35937884685025,0.544600110709203,0.461875049994657,0.997703554462125,0.944080129472786,"amyloid"
"6","PER3","Fib FLRT2",-0.0316822842040176,8.14423716870866,2.3644370526201,0.126581911657532,0.818215067541515,0.776811436509889,"amyloid"
"7","ERRFI1","Fib FLRT2",0.00457635419695484,7.93639058292486,0.0316316678920451,0.859117903809862,0.999401177903841,0.999764563585966,"amyloid"
"8","RERE","Fib FLRT2",-0.0201976975153753,9.89440521644955,5.76898381291114,0.017739195474181,0.64366439941928,0.497026078558498,"amyloid"
"9","SPSB1","Fib FLRT2",0.0117810092982408,7.4335536883381,0.238661756904719,0.626005137647565,0.999401177903841,0.979346529472531,"amyloid"
"10","CLSTN1","Fib FLRT2",-0.0298022602282141,7.64352584462745,3.58386201856691,0.0605871503907492,0.753339727419324,0.675902959418404,"amyloid"
"11","UBE4B","Fib FLRT2",-0.00279566240680651,8.32423767814273,0.0509317764291563,0.963798783402625,0.999401177903841,0.999764563585966,"amyloid"
"12","KIF1B","Fib FLRT2",-0.0228841654654945,8.41112869516871,3.51563964481568,0.0719447472143535,0.764245470220678,0.704367853127406,"amyloid"
"13","VPS13D","Fib FLRT2",-0.0124472540827475,8.65106915883487,1.33922597776186,0.611246957742447,0.999401177903841,0.977707524356564,"amyloid"
"14","DHRS3","Fib FLRT2",0.0625083830142671,7.31869207986518,4.24180230347035,0.0414549775516353,0.729501793568714,0.612454664664685,"amyloid"
"15","PRDM2","Fib FLRT2",0.0058220817135905,8.243354042597,0.195202009317231,0.987405371008434,0.999401177903841,0.999764563585966,"amyloid"
"16","KAZN","Fib FLRT2",0.000886848365545195,11.8053851712208,0.00188685589110129,0.965419697044275,0.999401177903841,0.999764563585966,"amyloid"
"17","SPEN","Fib FLRT2",0.0098407996795066,8.10470944050485,0.449662504541354,0.503695986404318,0.999401177903841,0.951454558207755,"amyloid"
"18","UBR4","Fib FLRT2",0.00443119132420438,7.82302406829366,0.0900731184190181,0.764568097548824,0.999401177903841,0.999764563585966,"amyloid"
"19","CAPZB","Fib FLRT2",-0.00866868050870405,9.04190120121425,0.282887722405086,0.595730985634813,0.999401177903841,0.9727192462748,"amyloid"
"20","HP1BP3","Fib FLRT2",0.0324519055059975,9.0227865601973,7.26255490987188,0.00798015670901512,0.54875312899051,0.39221348516035,"amyloid"
"21","EIF4G3","Fib FLRT2",0.00837303310262932,9.7594972100785,0.763683108643957,0.383804941791253,0.978502901406832,0.9286934234092,"amyloid"
