"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh VIP TSHZ2",0.00231423400886211,5.57272288496427,0.0925756001478703,0.761112627765837,0.937988421192822,0.930147792250922,"amyloid"
"2","NOC2L","Inh VIP TSHZ2",-0.00986477878671213,4.82578962966075,1.18104188560962,0.277907612575686,0.643130852284777,0.610301080007609,"amyloid"
"3","HES4","Inh VIP TSHZ2",-0.0284434133276942,4.53065524797999,4.93250708486123,0.0270091753222347,0.245748642628451,0.193271339714906,"amyloid"
"4","C1orf159","Inh VIP TSHZ2",0.00851933607759474,5.57046901359897,1.34296803813201,0.247317925907681,0.612914086960604,0.578985678331206,"amyloid"
"5","SDF4","Inh VIP TSHZ2",0.000485175863190453,5.72793137828347,0.00499539057597822,0.943695186410868,0.992395130380543,0.992650475819932,"amyloid"
"6","UBE2J2","Inh VIP TSHZ2",0.00654924294309347,5.25834942320556,0.780004251550895,0.494183656506207,0.80490232345342,0.785268079522416,"amyloid"
"7","ACAP3","Inh VIP TSHZ2",1.89869171772247e-05,6.40106912636727,7.66450085343325e-06,0.997792683078985,0.99953256324335,0.999797587926551,"amyloid"
"8","INTS11","Inh VIP TSHZ2",-0.0113539117645029,5.46463255856766,3.08185097738869,0.146222340607286,0.497213076166573,0.453528659894843,"amyloid"
"9","AURKAIP1","Inh VIP TSHZ2",-0.0284737106142771,4.37204609543416,4.64680863190415,0.0318069334803327,0.261206939571978,0.210622135395725,"amyloid"
"10","CCNL2","Inh VIP TSHZ2",-0.00447442651331813,6.27173991599487,0.748940468370094,0.387417174925525,0.732826272865427,0.707043578817447,"amyloid"
"11","MRPL20","Inh VIP TSHZ2",-0.0108418605162064,4.9768866383725,1.44973457900457,0.229401335107132,0.597706860852314,0.559484019742875,"amyloid"
"12","ATAD3B","Inh VIP TSHZ2",-0.0175264123916206,4.64950723481386,3.02275654377196,0.0830016934101949,0.393331543863783,0.344430839293215,"amyloid"
"13","SSU72","Inh VIP TSHZ2",-0.00372874221991094,5.49027596842721,0.2572676434176,0.612329726151639,0.866297784194704,0.856722996150035,"amyloid"
"14","MIB2","Inh VIP TSHZ2",-0.00644766755131152,5.38330569586001,0.629874458368809,0.427950420774364,0.761821761317145,0.738177415918996,"amyloid"
"15","CDK11B","Inh VIP TSHZ2",0.00917862300670892,5.15223011608395,1.11363967013595,0.292035366554443,0.655630678615581,0.62446937449483,"amyloid"
"16","SLC35E2B","Inh VIP TSHZ2",0.0108329501099653,5.09957806753425,1.74333162497971,0.187598195910893,0.550648508453019,0.510314842677298,"amyloid"
"17","CDK11A","Inh VIP TSHZ2",0.0158924073469719,4.62211826681917,2.19948512416231,0.138975682138256,0.486660267102742,0.44267659074019,"amyloid"
"18","SLC35E2A","Inh VIP TSHZ2",0.00763661541034587,5.04603601363556,0.773405824784338,0.379781596671142,0.726231024724338,0.70056043190261,"amyloid"
"19","GNB1","Inh VIP TSHZ2",-0.00119881460004396,7.59763764536996,0.102929779374912,0.890129003093261,0.979047858860918,0.979527078933217,"amyloid"
