"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 THEMIS NFIA",-0.0615679771039396,2.90074701265404,0.795377581078216,0.373610716606163,0.681149726529528,0.681149726529528,"amyloid_quartile_numeric"
"2","AL669831.5","Exc L6 THEMIS NFIA",-0.000837465693049761,5.6522384067537,0.000751600291918598,0.97815733886746,0.998890018255762,0.998890018255762,"amyloid_quartile_numeric"
"3","LINC00115","Exc L6 THEMIS NFIA",0.0209930555865916,0.797888015479918,0.028301114524557,0.86658237384778,0.969081950767093,0.969081950767093,"amyloid_quartile_numeric"
"4","NOC2L","Exc L6 THEMIS NFIA",0.0393788336402746,4.60061978923786,1.47030296481801,0.22680832892059,0.536295829736206,0.536295829736206,"amyloid_quartile_numeric"
"5","KLHL17","Exc L6 THEMIS NFIA",0.0100604973579214,2.72963664853559,0.0384304420721138,0.84479152154761,0.960971240896584,0.960971240896584,"amyloid_quartile_numeric"
"6","HES4","Exc L6 THEMIS NFIA",-0.295371943389584,2.2430920813941,6.0255926892365,0.0150029443113131,0.117630611806205,0.117630611806205,"amyloid_quartile_numeric"
"7","ISG15","Exc L6 THEMIS NFIA",-0.0252147724474301,0.673737031720983,0.0261513844206478,0.871703554883707,0.970297786898453,0.970297786898453,"amyloid_quartile_numeric"
"8","AGRN","Exc L6 THEMIS NFIA",-0.0844563937816409,4.12732154451325,1.39701551624586,0.238705858350778,0.55128955246075,0.55128955246075,"amyloid_quartile_numeric"
"9","C1orf159","Exc L6 THEMIS NFIA",0.00944182163537503,5.43387096077555,0.133132744532375,0.715612888314153,0.907544945736548,0.907544945736548,"amyloid_quartile_numeric"
"10","TNFRSF18","Exc L6 THEMIS NFIA",-0.206457609287058,1.03434730808086,2.44171864923756,0.119816176103412,0.38386502957899,0.38386502957899,"amyloid_quartile_numeric"
"11","SDF4","Exc L6 THEMIS NFIA",-0.0440310390282522,4.83317105646036,1.66525473879642,0.198468604120318,0.499716336656055,0.499716336656055,"amyloid_quartile_numeric"
"12","B3GALT6","Exc L6 THEMIS NFIA",-0.0901259551538382,2.62700509765933,2.39701219019244,0.12323667746415,0.39031788282593,0.39031788282593,"amyloid_quartile_numeric"
"13","C1QTNF12","Exc L6 THEMIS NFIA",-0.211986207283274,0.0231992580830523,1.93846414114792,0.165468050187325,0.454652797746048,0.454652797746048,"amyloid_quartile_numeric"
