"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc RELN CHD7",-0.108829843493149,3.10285538242065,0.484392829057171,0.487298279209946,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"2","AL669831.5","Exc RELN CHD7",-0.0320961306734796,5.9302574700321,0.259650339043373,0.610957760901313,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"3","NOC2L","Exc RELN CHD7",-0.00917403942588514,4.91444207283223,0.0132296416201205,0.908551813694956,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"4","HES4","Exc RELN CHD7",-0.172033055879063,4.15661095848537,1.52797861952973,0.217957399535111,0.940476178776812,0.940476178776812,"amyloid_quartile_numeric"
"5","ISG15","Exc RELN CHD7",-0.143250603977618,2.16332893858989,0.542311952617351,0.462393554748354,0.998539751487562,0.998539751487562,"amyloid_quartile_numeric"
"6","AGRN","Exc RELN CHD7",0.0453441935631969,5.13362438617326,0.186089050240976,0.666685779109062,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"7","C1orf159","Exc RELN CHD7",-0.13296469943504,5.53792815824349,3.02397266073432,0.0836782841926216,0.799053407095999,0.799053407095999,"amyloid_quartile_numeric"
"8","SDF4","Exc RELN CHD7",-0.013184059167242,5.30557379631378,0.0328707438508385,0.856325031850235,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"9","B3GALT6","Exc RELN CHD7",0.440445747412642,2.7891150521424,9.0099968069355,0.00999292694531147,0.508650849262576,0.508650849262576,"amyloid_quartile_numeric"
"10","UBE2J2","Exc RELN CHD7",-0.144036799808937,4.95007203828407,3.89859066397679,0.0497900753112861,0.721035016753365,0.721035016753365,"amyloid_quartile_numeric"
"11","SCNN1D","Exc RELN CHD7",-0.0352266326607318,3.37820711792353,0.0672156164479807,0.795718343361181,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"12","ACAP3","Exc RELN CHD7",0.0707488847789735,6.8250637044853,1.97106638366038,0.457029746665512,0.997018742312389,0.997018742312389,"amyloid_quartile_numeric"
"13","INTS11","Exc RELN CHD7",0.155918020292604,5.62155831192398,5.65040937427041,0.0184546860186536,0.592115876836043,0.592115876836043,"amyloid_quartile_numeric"
"14","CPTP","Exc RELN CHD7",0.193451022137627,3.08612030351067,1.7425356875104,0.188421973394001,0.914539495667857,0.914539495667857,"amyloid_quartile_numeric"
"15","DVL1","Exc RELN CHD7",0.106615019714415,4.56824587517164,1.59258178630212,0.208520161496063,0.935500957995955,0.935500957995955,"amyloid_quartile_numeric"
"16","AURKAIP1","Exc RELN CHD7",0.0285823355486645,4.44787620325862,0.0708168628109988,0.790442581386069,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"17","CCNL2","Exc RELN CHD7",0.0843977994719465,6.19604477718239,1.70926627022769,0.192676359723785,0.917999350254232,0.917999350254232,"amyloid_quartile_numeric"
"18","MRPL20","Exc RELN CHD7",0.0127570482644653,4.8475773956419,0.0230407351352495,0.879513865447459,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"19","ATAD3B","Exc RELN CHD7",0.0938352280041732,4.69620047321996,1.24096216776411,0.883786909153125,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
"20","ATAD3A","Exc RELN CHD7",-0.208586358283223,4.10211155875895,4.34034403244466,0.0385711193238499,0.704189445974523,0.704189445974523,"amyloid_quartile_numeric"
"21","TMEM240","Exc RELN CHD7",-0.0039527396641175,2.90072427974782,0.000285805498137703,0.986529697147084,0.999770105250171,0.999770105250171,"amyloid_quartile_numeric"
