"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L3-5 RORB PLCH1",-0.0467566969748485,3.31326505015599,1.47597698888402,0.225161716850327,0.999980844251153,0.99996877824251,"arteriol_scler"
"2","AL669831.5","Exc L3-5 RORB PLCH1",0.0021355776065699,6.24684617724047,0.00929848456314825,0.923231131468462,0.999980844251153,0.99996877824251,"arteriol_scler"
"3","NOC2L","Exc L3-5 RORB PLCH1",-0.00274179847420546,4.80572522408767,0.014495958202831,0.904230785693626,0.999980844251153,0.99996877824251,"arteriol_scler"
"4","KLHL17","Exc L3-5 RORB PLCH1",0.059565104541431,2.92161319887993,2.05865301847908,0.152168942565636,0.999980844251153,0.99996877824251,"arteriol_scler"
"5","HES4","Exc L3-5 RORB PLCH1",-0.0262618623636911,5.10391303106589,0.534384217142837,0.465221354123527,0.999980844251153,0.99996877824251,"arteriol_scler"
"6","ISG15","Exc L3-5 RORB PLCH1",-0.0472815797664223,3.06246162844151,0.7157275545214,0.398083005123397,0.999980844251153,0.99996877824251,"arteriol_scler"
"7","AGRN","Exc L3-5 RORB PLCH1",0.0507207434181324,5.21291083337563,3.70195240558184,0.0550977327594957,0.999980844251153,0.99996877824251,"arteriol_scler"
"8","C1orf159","Exc L3-5 RORB PLCH1",0.00760886825306121,5.56498827515776,0.131767724436819,0.716808655461562,0.999980844251153,0.99996877824251,"arteriol_scler"
"9","TNFRSF18","Exc L3-5 RORB PLCH1",-0.00423698659321745,2.60813708726033,0.00941033911584276,0.922772214401472,0.999980844251153,0.99996877824251,"arteriol_scler"
"10","SDF4","Exc L3-5 RORB PLCH1",0.00284752059374559,5.28535538817981,0.0243787740911003,0.876008176977846,0.999980844251153,0.99996877824251,"arteriol_scler"
"11","B3GALT6","Exc L3-5 RORB PLCH1",-0.01649150746041,3.16496037983121,0.213198346816042,0.6445370744381,0.999980844251153,0.99996877824251,"arteriol_scler"
"12","UBE2J2","Exc L3-5 RORB PLCH1",-0.00735418995147193,4.79189866207242,0.187575728182134,0.666647518289977,0.999980844251153,0.99996877824251,"arteriol_scler"
"13","LINC01786","Exc L3-5 RORB PLCH1",-0.0373478859787719,2.40411102462213,0.769011347126685,0.381078844347601,0.999980844251153,0.99996877824251,"arteriol_scler"
"14","SCNN1D","Exc L3-5 RORB PLCH1",0.0371869265688433,3.12167057766832,1.09281326370963,0.296515303526037,0.999980844251153,0.99996877824251,"arteriol_scler"
"15","ACAP3","Exc L3-5 RORB PLCH1",0.0270523720714261,6.40272754122741,1.39984773387845,0.237491042499333,0.999980844251153,0.99996877824251,"arteriol_scler"
"16","PUSL1","Exc L3-5 RORB PLCH1",-0.0251009711685447,2.04932403164085,0.281879315082182,0.595783208644456,0.999980844251153,0.99996877824251,"arteriol_scler"
"17","INTS11","Exc L3-5 RORB PLCH1",0.0258847988761996,5.29539999474548,2.19328138394349,0.139444977217945,0.999980844251153,0.99996877824251,"arteriol_scler"
