"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5/6 IT Car3",0.0110985862419343,3.35580900134825,0.0755404430738689,0.783587149014969,0.982096017170701,1,"arteriol_scler"
"2","AL669831.5","Exc L5/6 IT Car3",-0.0279526190475926,6.03958922874902,1.3945326447111,0.238396493746334,0.784387733470169,1,"arteriol_scler"
"3","NOC2L","Exc L5/6 IT Car3",0.0262094847545675,4.8509335632735,1.06626481137952,0.302462302337176,0.818474524703725,1,"arteriol_scler"
"4","KLHL17","Exc L5/6 IT Car3",0.0699398112516086,3.0252649819349,2.48275567819447,0.115951453641631,0.689861163605304,1,"arteriol_scler"
"5","HES4","Exc L5/6 IT Car3",0.021854682974582,5.1484886750685,0.349950762734319,0.554500740263852,0.921576727883113,1,"arteriol_scler"
"6","ISG15","Exc L5/6 IT Car3",0.108574863633985,2.8369445208595,2.69373058425331,0.101589838589016,0.682026918989857,1,"arteriol_scler"
"7","AGRN","Exc L5/6 IT Car3",-0.0037064836746438,5.44875629461512,0.0182762380771501,0.892535145590053,0.997670091990854,1,"arteriol_scler"
"8","C1orf159","Exc L5/6 IT Car3",-0.0193749556480513,5.41591822578673,0.762795494639898,0.383019192032333,0.858376536428218,1,"arteriol_scler"
"9","SDF4","Exc L5/6 IT Car3",0.0181092501752201,5.0453495432481,0.715408475736079,0.398198520239984,0.862763460519965,1,"arteriol_scler"
"10","B3GALT6","Exc L5/6 IT Car3",-0.0166000411538023,3.17645107787727,0.159529731870097,0.689819331625562,0.961200015690061,1,"arteriol_scler"
"11","UBE2J2","Exc L5/6 IT Car3",0.00217304510024795,4.76072076211335,0.0111902041827623,0.921539387593954,0.999539710637709,1,"arteriol_scler"
"12","LINC01786","Exc L5/6 IT Car3",-0.0281025359895097,2.47983773475413,0.307867067887704,0.579325848676404,0.929473544457353,1,"arteriol_scler"
"13","SCNN1D","Exc L5/6 IT Car3",0.0560886299738758,3.13890220251282,2.00114888370756,0.158017481990933,0.730378150324195,1,"arteriol_scler"
"14","ACAP3","Exc L5/6 IT Car3",0.0158417337694904,6.60712267581951,0.537995075573267,0.4637273546016,0.888665811950328,1,"arteriol_scler"
"15","PUSL1","Exc L5/6 IT Car3",0.109304117858807,2.26895891610793,4.49191659647057,0.0347181650428883,0.58612373180653,1,"arteriol_scler"
"16","INTS11","Exc L5/6 IT Car3",0.0265697262409033,5.18532222932031,1.89536452542275,0.169427066033154,0.740554829773608,1,"arteriol_scler"
"17","CPTP","Exc L5/6 IT Car3",0.00664837464168591,3.10605904734197,0.0221268134605524,0.881830938170308,0.997556662617969,1,"arteriol_scler"
"18","DVL1","Exc L5/6 IT Car3",0.0562656307450117,4.31988335039397,4.65594442723399,0.0315865292595177,0.579307167856044,1,"arteriol_scler"
"19","AURKAIP1","Exc L5/6 IT Car3",0.138511420921192,4.31109879000225,8.40712684403339,0.00395956364994195,0.39656169910817,0.980687381274362,"arteriol_scler"
"20","CCNL2","Exc L5/6 IT Car3",-0.00209101960321614,5.98483251131299,0.0186861462779232,0.891344116442244,0.997670091990854,1,"arteriol_scler"
"21","MRPL20","Exc L5/6 IT Car3",0.0119075696259971,4.80145959437867,0.143673819412224,0.704872225011449,0.964050581214607,1,"arteriol_scler"
"22","ANKRD65","Exc L5/6 IT Car3",0.0595442037558854,3.19729932603382,1.24702374601296,0.26484329281126,0.798135417436726,1,"arteriol_scler"
"23","ATAD3C","Exc L5/6 IT Car3",0.00520862172639074,1.72135641760823,0.00232976196202277,0.961528903483186,0.999539710637709,1,"arteriol_scler"
"24","ATAD3B","Exc L5/6 IT Car3",-0.0305072625052543,4.53044615520624,1.31027735503365,0.253081266601608,0.792436480736026,1,"arteriol_scler"
"25","ATAD3A","Exc L5/6 IT Car3",0.00557109732131083,3.82398238057749,0.0423464719397785,0.88858651160927,0.997670091990854,1,"arteriol_scler"
"26","TMEM240","Exc L5/6 IT Car3",0.0131215852089225,2.18403957700156,0.0540787089834848,0.816240221243944,0.988964549190956,1,"arteriol_scler"
"27","SSU72","Exc L5/6 IT Car3",0.0805878897382707,5.52851722846267,6.70083364028741,0.0100150920384964,0.50444010333434,1,"arteriol_scler"
"28","AL645728.1","Exc L5/6 IT Car3",0.0673453127757639,2.13712312978067,1.23173757349032,0.267787143220442,0.799293776852914,1,"arteriol_scler"
"29","FNDC10","Exc L5/6 IT Car3",-0.0157860187953339,3.36433093301297,0.127105652667271,0.721654443235761,0.967295186458212,1,"arteriol_scler"
"30","AL691432.2","Exc L5/6 IT Car3",0.00934576222220409,3.29025320685361,0.054393978883352,0.815714993656816,0.988806050915693,1,"arteriol_scler"
"31","MIB2","Exc L5/6 IT Car3",-0.0206206604437733,5.09750417708315,1.06416910682097,0.361786916756076,0.850678709850174,1,"arteriol_scler"
"32","MMP23B","Exc L5/6 IT Car3",-0.027313612089017,1.94659168447961,0.14630679272539,0.702308703610215,0.963651564698568,1,"arteriol_scler"
"33","CDK11B","Exc L5/6 IT Car3",0.0179192174222956,4.93164039083911,0.46286100226341,0.496713602783567,0.901418061655181,1,"arteriol_scler"
"34","SLC35E2B","Exc L5/6 IT Car3",-0.0267661603098245,4.90038429706126,1.20246987064125,0.273538785497993,0.805091167878518,1,"arteriol_scler"
"35","CDK11A","Exc L5/6 IT Car3",0.00277340539971035,4.07762897337965,0.00732914883402693,0.931822204290658,0.999539710637709,1,"arteriol_scler"
"36","SLC35E2A","Exc L5/6 IT Car3",0.00168837803092009,4.75052780791802,0.00409972338266054,0.948981502528508,0.999539710637709,1,"arteriol_scler"
"37","NADK","Exc L5/6 IT Car3",-0.00830850918885755,4.07349649535621,0.130961722465537,0.717642686602244,0.967012593869498,1,"arteriol_scler"
"38","GNB1","Exc L5/6 IT Car3",0.0040605718813717,7.91982842131259,0.095288272604135,0.757731885757819,0.975220109910036,1,"arteriol_scler"
"39","CFAP74","Exc L5/6 IT Car3",-0.021704499314588,4.80199105301331,0.639426029661543,0.424429625704918,0.876506270809001,1,"arteriol_scler"
"40","GABRD","Exc L5/6 IT Car3",0.0184672397807499,5.6387154654423,0.536807429820265,0.464220790568264,0.888944534862541,1,"arteriol_scler"
"41","PRKCZ","Exc L5/6 IT Car3",-0.0131019453543315,7.00914287621787,0.543602329877509,0.461408951102563,0.887663486073678,1,"arteriol_scler"
"42","AL590822.2","Exc L5/6 IT Car3",-0.0727660421158971,1.84410823242927,0.955502478278759,0.328958627932327,0.831593087632984,1,"arteriol_scler"
"43","FAAP20","Exc L5/6 IT Car3",0.00932207625465897,3.22242392992487,0.0632786590021499,0.801526049587924,0.986533942783254,1,"arteriol_scler"
"44","SKI","Exc L5/6 IT Car3",-0.0318893963990488,5.81683492901984,1.66156560766401,0.198193998484006,0.756751739230527,1,"arteriol_scler"
"45","MORN1","Exc L5/6 IT Car3",-0.0112009910008141,4.83704584918728,0.242969941786683,0.622360418926911,0.942886619209971,1,"arteriol_scler"
"46","RER1","Exc L5/6 IT Car3",-0.0198918864395836,4.80202296190344,0.804910230504536,0.697097554029826,0.963080422806484,1,"arteriol_scler"
"47","PEX10","Exc L5/6 IT Car3",-0.0246509182301813,3.49933652906988,0.456536546003478,0.499667387253694,0.902767927074061,1,"arteriol_scler"
"48","PLCH2","Exc L5/6 IT Car3",-0.028288573713475,1.39688187130618,0.108491527387131,0.742053683612499,0.97084565162004,1,"arteriol_scler"
"49","PANK4","Exc L5/6 IT Car3",0.0879565776004756,3.31200128395628,4.90800234186446,0.0273382743080057,0.559580249717711,1,"arteriol_scler"
"50","FAM213B","Exc L5/6 IT Car3",0.000183211491353166,3.66383776203972,2.58152065319378e-05,0.995948799112584,1,1,"arteriol_scler"
"51","TTC34","Exc L5/6 IT Car3",-0.151619741612815,1.83943364993034,4.14173801573622,0.042547503734169,0.602405138984568,1,"arteriol_scler"
"52","PRDM16","Exc L5/6 IT Car3",-0.0727680487903612,2.44953570461138,1.66498338333589,0.197734228877791,0.756751739230527,1,"arteriol_scler"
"53","TPRG1L","Exc L5/6 IT Car3",0.0257773500276678,5.30521797348109,0.557271166556647,0.455833895899179,0.885159777327597,1,"arteriol_scler"
"54","WRAP73","Exc L5/6 IT Car3",0.00183383273439889,3.55014790655358,0.00355978323389078,0.952455385498152,0.999539710637709,1,"arteriol_scler"
"55","LRRC47","Exc L5/6 IT Car3",0.0109057738893233,4.38872247467177,0.167941246154804,0.682184171445469,0.959162062752157,1,"arteriol_scler"
"56","CEP104","Exc L5/6 IT Car3",-0.0226623315019352,5.78012541282788,1.47572344728167,0.225216253286695,0.772407588750318,1,"arteriol_scler"
"57","DFFB","Exc L5/6 IT Car3",-0.0537983566220169,4.36736374406088,4.19039361402997,0.041356622898298,0.598627609902073,1,"arteriol_scler"
"58","C1orf174","Exc L5/6 IT Car3",0.0347108349978962,2.76520340047418,0.61453163810232,0.433586094344043,0.878044415763778,1,"arteriol_scler"
"59","AL805961.2","Exc L5/6 IT Car3",0.389857415374791,1.50872396684155,15.1219140656972,0.000119381574099103,0.106607023345572,0.340734909407857,"arteriol_scler"
"60","AJAP1","Exc L5/6 IT Car3",-0.000170726219354411,6.31127397371241,3.0744669763416e-05,0.995578897990139,1,1,"arteriol_scler"
"61","AL365255.1","Exc L5/6 IT Car3",-0.121792346768776,2.11457631684363,2.72243361042412,0.0997921032228178,0.680388597017851,1,"arteriol_scler"
"62","NPHP4","Exc L5/6 IT Car3",-0.0222988776910247,6.0894359742316,0.96688989283803,0.326096901778618,0.831389071690292,1,"arteriol_scler"
"63","KCNAB2","Exc L5/6 IT Car3",0.00134879082926477,7.36811091531334,0.00835685095653033,0.927211460581214,0.999539710637709,1,"arteriol_scler"
"64","CHD5","Exc L5/6 IT Car3",0.0147093941354536,7.23768014744129,0.464808390415858,0.495810035334425,0.901418061655181,1,"arteriol_scler"
"65","RPL22","Exc L5/6 IT Car3",0.00858031384554138,5.30716467273154,0.134705889397637,0.713810791619661,0.966107819094124,1,"arteriol_scler"
"66","RNF207","Exc L5/6 IT Car3",0.000134983414485013,4.02102508358913,1.67758110294533e-05,0.996734208939378,1,1,"arteriol_scler"
"67","ICMT","Exc L5/6 IT Car3",0.00970092021538317,4.43140196388196,0.12538990820754,0.723461525176783,0.967521066735588,1,"arteriol_scler"
