"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh PVALB CA8 (Chandelier)",0.0331898216817881,5.15231890103574,0.736253349642618,0.391469714912105,0.999728932751869,1,"caa_4gp"
"2","NOC2L","Inh PVALB CA8 (Chandelier)",-0.0464172414023983,4.45878005274946,1.0287624773108,0.31117257323558,0.999728932751869,1,"caa_4gp"
"3","HES4","Inh PVALB CA8 (Chandelier)",-0.106307796503584,4.05586606183134,1.93505228222871,0.165118698603523,0.999728932751869,1,"caa_4gp"
"4","C1orf159","Inh PVALB CA8 (Chandelier)",-0.00550968026947614,5.38844926965519,0.0312542728914784,0.859779832453963,0.999728932751869,1,"caa_4gp"
"5","SDF4","Inh PVALB CA8 (Chandelier)",-0.0227944875240719,5.17501897540878,0.419298565085677,0.517725344633495,0.999728932751869,1,"caa_4gp"
"6","UBE2J2","Inh PVALB CA8 (Chandelier)",-0.0109067336996704,5.061329643048,0.111328733894421,0.73884263996203,0.999728932751869,1,"caa_4gp"
"7","SCNN1D","Inh PVALB CA8 (Chandelier)",0.0640583922285246,3.83860049519265,1.09221192086431,0.296725970054637,0.999728932751869,1,"caa_4gp"
"8","ACAP3","Inh PVALB CA8 (Chandelier)",0.00586895116931917,6.42050978965956,0.0486434836075381,0.825573466010111,0.999728932751869,1,"caa_4gp"
"9","INTS11","Inh PVALB CA8 (Chandelier)",-0.000316597392327858,5.45714986406584,0.00015955133897457,0.989929325549055,0.999728932751869,1,"caa_4gp"
"10","DVL1","Inh PVALB CA8 (Chandelier)",-0.0229927238789239,4.32165610728167,0.291312854200563,0.597195893144193,0.999728932751869,1,"caa_4gp"
"11","AURKAIP1","Inh PVALB CA8 (Chandelier)",0.0233685864223059,4.14641068579045,0.148091270924313,0.700607340482232,0.999728932751869,1,"caa_4gp"
"12","CCNL2","Inh PVALB CA8 (Chandelier)",-0.0258619348696515,6.09466775897584,0.968282997251388,0.325810254889555,0.999728932751869,1,"caa_4gp"
"13","MRPL20","Inh PVALB CA8 (Chandelier)",-0.0207121060441285,4.6360124643435,0.212282097072288,0.645279880807118,0.999728932751869,1,"caa_4gp"
"14","ATAD3B","Inh PVALB CA8 (Chandelier)",0.02340630743241,4.7607985280125,0.383551536613557,0.536124435337652,0.999728932751869,1,"caa_4gp"
"15","ATAD3A","Inh PVALB CA8 (Chandelier)",0.0489016589360891,4.2655782766408,1.05368484784578,0.305391544714236,0.999728932751869,1,"caa_4gp"
"16","SSU72","Inh PVALB CA8 (Chandelier)",-0.0358427746118179,5.23801564155187,0.94424000262777,0.331882342824746,0.999728932751869,1,"caa_4gp"
"17","FNDC10","Inh PVALB CA8 (Chandelier)",0.0462375697095261,4.04528122726274,0.568983111117469,0.45118672198333,0.999728932751869,1,"caa_4gp"
"18","MIB2","Inh PVALB CA8 (Chandelier)",-0.0261750953796389,4.98644963959177,0.550922926053759,0.458454589146085,0.999728932751869,1,"caa_4gp"
"19","CDK11B","Inh PVALB CA8 (Chandelier)",0.0253499220563244,4.77133299537754,0.435598474039044,0.50970255454665,0.999728932751869,1,"caa_4gp"
"20","SLC35E2B","Inh PVALB CA8 (Chandelier)",0.0100992017297903,4.79311375862944,0.0716781580402491,0.789071627516301,0.999728932751869,1,"caa_4gp"
"21","CDK11A","Inh PVALB CA8 (Chandelier)",0.0245537898512468,4.21434322200292,0.222908729772439,0.637136139957153,0.999728932751869,1,"caa_4gp"
"22","SLC35E2A","Inh PVALB CA8 (Chandelier)",-0.0414111108566943,4.7366476253856,0.964925182386547,0.326649343413456,0.999728932751869,1,"caa_4gp"
"23","GNB1","Inh PVALB CA8 (Chandelier)",0.0229819179144276,7.42266361463519,1.92633494186689,0.16607112096174,0.999728932751869,1,"caa_4gp"
"24","CFAP74","Inh PVALB CA8 (Chandelier)",0.0107507889669269,4.51014989482098,0.0504073517226634,0.822491168724736,0.999728932751869,1,"caa_4gp"
"25","GABRD","Inh PVALB CA8 (Chandelier)",0.0187717471125762,7.33829347740023,0.415036432046201,0.519859694108795,0.999728932751869,1,"caa_4gp"
"26","PRKCZ","Inh PVALB CA8 (Chandelier)",0.0135013186289329,6.44413691972868,0.356765055398498,0.550706932438636,0.999728932751869,1,"caa_4gp"
"27","FAAP20","Inh PVALB CA8 (Chandelier)",0.0268903615236515,4.57697789612289,0.377790984545266,0.65685144077384,0.999728932751869,1,"caa_4gp"
"28","SKI","Inh PVALB CA8 (Chandelier)",0.0356099358336696,6.51392495445932,2.0374697659622,0.154384836354154,0.999728932751869,1,"caa_4gp"
"29","MORN1","Inh PVALB CA8 (Chandelier)",-0.032592708926734,5.19152002363673,0.916898593233039,0.338972730710305,0.999728932751869,1,"caa_4gp"
"30","RER1","Inh PVALB CA8 (Chandelier)",-0.0195859020720659,4.74206754382143,0.252613028789069,0.615567355318557,0.999728932751869,1,"caa_4gp"
"31","PLCH2","Inh PVALB CA8 (Chandelier)",-0.0314578396542624,5.07790587058112,0.7170683567419,0.397704378591971,0.999728932751869,1,"caa_4gp"
"32","TPRG1L","Inh PVALB CA8 (Chandelier)",0.0161435851160027,4.44241823238546,0.0836940926406334,0.772529111133304,0.999728932751869,1,"caa_4gp"
"33","LRRC47","Inh PVALB CA8 (Chandelier)",0.00501332313111161,4.27219674480378,0.00925452040525121,0.923418220604734,0.999728932751869,1,"caa_4gp"
"34","CEP104","Inh PVALB CA8 (Chandelier)",0.0157172912401049,5.50124364463858,0.313976939339264,0.575619928367437,0.999728932751869,1,"caa_4gp"
"35","DFFB","Inh PVALB CA8 (Chandelier)",-0.0348698572772878,4.78381757721065,0.903044378129614,0.342643430239673,0.999728932751869,1,"caa_4gp"
"36","AJAP1","Inh PVALB CA8 (Chandelier)",0.0295464463876751,8.02522779834177,2.55571514385695,0.110827295313546,0.999728932751869,1,"caa_4gp"
"37","NPHP4","Inh PVALB CA8 (Chandelier)",-0.0109462702738187,5.15280640613634,0.0945531442341766,0.758655412378003,0.999728932751869,1,"caa_4gp"
"38","KCNAB2","Inh PVALB CA8 (Chandelier)",-0.0153402744583246,5.63146501993693,0.276396760543059,0.930877571950781,0.999728932751869,1,"caa_4gp"
"39","CHD5","Inh PVALB CA8 (Chandelier)",-0.0002478615987678,7.4808417932525,0.000102720425486422,0.991919451135901,0.999728932751869,1,"caa_4gp"
"40","RPL22","Inh PVALB CA8 (Chandelier)",-0.00888190720481239,4.81124901563579,0.0581310590838724,0.88375934921243,0.999728932751869,1,"caa_4gp"
"41","RNF207","Inh PVALB CA8 (Chandelier)",-0.0223185804486044,4.21564445355008,0.211684519703184,0.645745124453694,0.999728932751869,1,"caa_4gp"
"42","ICMT","Inh PVALB CA8 (Chandelier)",0.10661144056877,4.22531001299901,4.83567050063375,0.0285515093877358,0.999728932751869,1,"caa_4gp"
"43","GPR153","Inh PVALB CA8 (Chandelier)",0.0194323941566588,4.50495073088,0.197110874832318,0.657346184220392,0.999728932751869,1,"caa_4gp"
"44","ACOT7","Inh PVALB CA8 (Chandelier)",-0.011831127218682,6.44995715492665,0.251386467991206,0.616425809858988,0.999728932751869,1,"caa_4gp"
"45","TNFRSF25","Inh PVALB CA8 (Chandelier)",-0.0571370508237794,4.22319741148711,1.25077145464608,0.264196749665358,0.999728932751869,1,"caa_4gp"
"46","NOL9","Inh PVALB CA8 (Chandelier)",-0.0186613421280863,5.0594661616658,0.322877424541131,0.76923175342776,0.999728932751869,1,"caa_4gp"
"47","KLHL21","Inh PVALB CA8 (Chandelier)",-0.128097693387053,4.49408768304648,7.15601602168969,0.00783350503148279,0.999728932751869,1,"caa_4gp"
"48","DNAJC11","Inh PVALB CA8 (Chandelier)",0.00183849073374701,5.93435776396634,0.00452308545685594,0.946419217351796,0.999728932751869,1,"caa_4gp"
"49","CAMTA1","Inh PVALB CA8 (Chandelier)",0.0133673399974082,9.76353023177302,0.840086632468878,0.360023300646357,0.999728932751869,1,"caa_4gp"
"50","PER3","Inh PVALB CA8 (Chandelier)",0.0108173712157446,7.18693557512519,0.18361196127012,0.668559404397514,0.999728932751869,1,"caa_4gp"
"51","PARK7","Inh PVALB CA8 (Chandelier)",-0.0451097557963244,4.9497550868901,0.851699593482504,0.356728082662938,0.999728932751869,1,"caa_4gp"
"52","ERRFI1","Inh PVALB CA8 (Chandelier)",0.0520951029424742,4.66947831305246,1.3732719982689,0.24207310082248,0.999728932751869,1,"caa_4gp"
"53","SLC45A1","Inh PVALB CA8 (Chandelier)",0.0515949138087126,4.43475215338682,1.12035314379688,0.290595746873255,0.999728932751869,1,"caa_4gp"
"54","RERE","Inh PVALB CA8 (Chandelier)",0.00884827737249396,8.85613968345947,0.378898865015085,0.538605994784197,0.999728932751869,1,"caa_4gp"
"55","ENO1","Inh PVALB CA8 (Chandelier)",0.00287105209862868,5.46208226781523,0.00453990800739146,0.946319820137257,0.999728932751869,1,"caa_4gp"
"56","MIR34AHG","Inh PVALB CA8 (Chandelier)",-0.0157773431754535,5.00273826228813,0.16572093849642,0.684199902636433,0.999728932751869,1,"caa_4gp"
"57","H6PD","Inh PVALB CA8 (Chandelier)",0.0200512171180096,4.36414962838909,0.17457474896958,0.676342094471688,0.999728932751869,1,"caa_4gp"
"58","SLC25A33","Inh PVALB CA8 (Chandelier)",-0.0110814269917684,4.63945252409354,0.0684843377790859,0.904939729615059,0.999728932751869,1,"caa_4gp"
"59","PIK3CD","Inh PVALB CA8 (Chandelier)",0.0714662685557037,4.48915290740027,2.07161339686682,0.150985041860112,0.999728932751869,1,"caa_4gp"
"60","CLSTN1","Inh PVALB CA8 (Chandelier)",0.00134093772655041,7.8614029633859,0.00444544546653734,0.946880383268887,0.999728932751869,1,"caa_4gp"
"61","CTNNBIP1","Inh PVALB CA8 (Chandelier)",0.00363850198210499,4.8203962620633,0.00886892263968066,0.925025792091638,0.999728932751869,1,"caa_4gp"
"62","LZIC","Inh PVALB CA8 (Chandelier)",-0.00471816654601205,4.71370883602909,0.0154429384655284,0.962291628980541,0.999728932751869,1,"caa_4gp"
"63","NMNAT1","Inh PVALB CA8 (Chandelier)",0.0285986312212206,4.57595287619982,0.390134061611807,0.532648923341301,0.999728932751869,1,"caa_4gp"
"64","UBE4B","Inh PVALB CA8 (Chandelier)",0.007745497408874,7.1596008151066,0.134003149593644,0.714545262034137,0.999728932751869,1,"caa_4gp"
"65","KIF1B","Inh PVALB CA8 (Chandelier)",0.000192069805349449,8.63625624808197,0.000187989508635607,0.989068668310085,0.999728932751869,1,"caa_4gp"
