"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L2-3 CBLN2 LINC02306",0.0841366515472109,2.87535484003248,2.24352751334379,0.134950200725445,1,1,"cancer_bl"
"2","AL669831.5","Exc L2-3 CBLN2 LINC02306",-0.00543095417849558,5.95913553641829,0.0139975909356719,0.905879317435466,1,1,"cancer_bl"
"3","LINC00115","Exc L2-3 CBLN2 LINC02306",-0.0186459745182892,0.591634338329212,0.0344994503884311,0.852741031742172,1,1,"cancer_bl"
"4","AL645608.7","Exc L2-3 CBLN2 LINC02306",-0.0076692542467673,-1.81025718871164,0.00128493469285261,0.971422750289388,1,1,"cancer_bl"
"5","NOC2L","Exc L2-3 CBLN2 LINC02306",-0.0306852802008371,4.53271944170317,0.587918686266404,0.443669876886248,1,1,"cancer_bl"
"6","KLHL17","Exc L2-3 CBLN2 LINC02306",0.0164952846418185,2.71780553644695,0.0680665159306407,0.794305053881587,1,1,"cancer_bl"
"7","AL645608.8","Exc L2-3 CBLN2 LINC02306",-0.168325496476809,-0.822985477679867,1.42777090467509,0.232824830317051,1,1,"cancer_bl"
"8","HES4","Exc L2-3 CBLN2 LINC02306",-0.0934526056605688,3.43969158061494,0.85505208024037,0.355675303952549,1,1,"cancer_bl"
"9","ISG15","Exc L2-3 CBLN2 LINC02306",-0.0651094465184504,1.39043112850586,0.386063530035615,0.534723926321393,1,1,"cancer_bl"
"10","AL645608.2","Exc L2-3 CBLN2 LINC02306",0.0082303997415865,-0.841180303711338,0.00603867055549909,0.938097839281003,1,1,"cancer_bl"
"11","AGRN","Exc L2-3 CBLN2 LINC02306",0.0547041515508865,5.16479195717619,0.720386911439966,0.396516253753457,1,1,"cancer_bl"
"12","C1orf159","Exc L2-3 CBLN2 LINC02306",0.0204781383108785,5.60743860578084,0.242572930185088,0.622619696640311,1,1,"cancer_bl"
"13","TNFRSF18","Exc L2-3 CBLN2 LINC02306",0.0667924362055326,1.17236730107854,0.436134191506298,0.509368062312193,1,1,"cancer_bl"
"14","TNFRSF4","Exc L2-3 CBLN2 LINC02306",0.0762256507607937,0.595843991904621,0.510551936706099,0.475309890372911,1,1,"cancer_bl"
"15","SDF4","Exc L2-3 CBLN2 LINC02306",-0.0233468844000567,5.13088956949283,0.469075894513578,0.493802697621448,1,1,"cancer_bl"
"16","B3GALT6","Exc L2-3 CBLN2 LINC02306",-0.0554029016176115,2.39009412186502,0.808268385491209,0.369164607767505,1,1,"cancer_bl"
"17","C1QTNF12","Exc L2-3 CBLN2 LINC02306",0.0784381912486708,-0.289253974594487,0.500318861338252,0.479765108405902,1,1,"cancer_bl"
"18","UBE2J2","Exc L2-3 CBLN2 LINC02306",-0.0135336868853256,4.77312763261321,0.277612481739547,0.598557593218524,1,1,"cancer_bl"
"19","LINC01786","Exc L2-3 CBLN2 LINC02306",0.0480947751166899,1.74882166353371,0.539950185787317,0.784863142073646,1,1,"cancer_bl"
"20","SCNN1D","Exc L2-3 CBLN2 LINC02306",0.0524854284797697,2.93568470378104,0.764834717371233,0.382335817520232,1,1,"cancer_bl"
"21","ACAP3","Exc L2-3 CBLN2 LINC02306",-0.0157704565803109,6.99783916535198,0.126464124310895,0.722311053617769,1,1,"cancer_bl"
"22","PUSL1","Exc L2-3 CBLN2 LINC02306",-0.0238318677749855,1.70989451270818,0.160162157869475,0.689217365010171,1,1,"cancer_bl"
"23","INTS11","Exc L2-3 CBLN2 LINC02306",0.0108700285574917,5.61102485732889,0.119527673579733,0.729726072017146,1,1,"cancer_bl"
"24","CPTP","Exc L2-3 CBLN2 LINC02306",-0.0329599545752706,2.91302358106167,0.278450910618109,0.598006073828296,1,1,"cancer_bl"
"25","TAS1R3","Exc L2-3 CBLN2 LINC02306",-0.0870539411592974,-1.0853573289284,0.379964952656315,0.537966821930381,1,1,"cancer_bl"
"26","DVL1","Exc L2-3 CBLN2 LINC02306",0.0297796172935326,4.60614033545605,0.566483079157509,0.452095204404682,1,1,"cancer_bl"
"27","MXRA8","Exc L2-3 CBLN2 LINC02306",0.0841634220109939,-1.34920552916583,0.388892037339156,0.719348767716475,1,1,"cancer_bl"
"28","AURKAIP1","Exc L2-3 CBLN2 LINC02306",-0.0465599187995881,3.7904740243073,0.393424409365702,0.530856783600688,1,1,"cancer_bl"
"29","CCNL2","Exc L2-3 CBLN2 LINC02306",-0.0106053915912014,6.04528072822047,0.199986336261971,0.654969914558475,1,1,"cancer_bl"
"30","MRPL20","Exc L2-3 CBLN2 LINC02306",-0.0322114795953969,4.54966787383353,0.58812362837819,0.443590504542223,1,1,"cancer_bl"
"31","AL391244.3","Exc L2-3 CBLN2 LINC02306",-0.0389387276926098,1.04848372828273,0.477177271359583,0.490097699741733,1,1,"cancer_bl"
"32","ANKRD65","Exc L2-3 CBLN2 LINC02306",-0.217457997589783,2.66039914458881,6.0552805523247,0.014279347751539,0.70862275969467,0.70862275969467,"cancer_bl"
"33","VWA1","Exc L2-3 CBLN2 LINC02306",0.00105368330132951,0.613857464850911,0.000139372150482223,0.990586502378393,1,1,"cancer_bl"
"34","ATAD3C","Exc L2-3 CBLN2 LINC02306",0.00755822447596834,1.69795124109759,0.00704086731010652,0.933169368576432,1,1,"cancer_bl"
"35","ATAD3B","Exc L2-3 CBLN2 LINC02306",0.00126083614004618,4.50032664634389,0.000976104978472062,0.975091328135617,1,1,"cancer_bl"
"36","ATAD3A","Exc L2-3 CBLN2 LINC02306",-0.00745313556128172,4.18415347568693,0.0500225402026995,0.823136345802389,1,1,"cancer_bl"
"37","TMEM240","Exc L2-3 CBLN2 LINC02306",-0.0753768563703506,2.00080530141572,1.08137905888615,0.299006994615248,1,1,"cancer_bl"
"38","SSU72","Exc L2-3 CBLN2 LINC02306",-0.0744377946699216,5.30277125305962,2.77418458167704,0.0965653788142209,1,1,"cancer_bl"
"39","AL645728.1","Exc L2-3 CBLN2 LINC02306",-0.0751176495694759,1.53960310238249,1.27323717822285,0.259825372593258,1,1,"cancer_bl"
"40","FNDC10","Exc L2-3 CBLN2 LINC02306",-0.0745327180663287,3.28764594121323,1.26591531016859,0.261197847347734,1,1,"cancer_bl"
"41","AL691432.2","Exc L2-3 CBLN2 LINC02306",-0.036610185390129,3.35785577987722,0.540641235799469,0.462590843319395,1,1,"cancer_bl"
"42","MIB2","Exc L2-3 CBLN2 LINC02306",-0.0286294125839846,5.42619543927166,0.522198523313582,0.470320641646977,1,1,"cancer_bl"
"43","MMP23B","Exc L2-3 CBLN2 LINC02306",-0.0821619867532561,0.823149147175767,0.69922435007075,0.403535408993975,1,1,"cancer_bl"
"44","CDK11B","Exc L2-3 CBLN2 LINC02306",0.0384176387931937,5.02939326919297,1.5357418547206,0.215967318626077,1,1,"cancer_bl"
"45","FO704657.1","Exc L2-3 CBLN2 LINC02306",0.0237185801564781,-0.201945175235074,0.0666212794821177,0.796451802421385,1,1,"cancer_bl"
