"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh PVALB HTR4",0.0908472624471918,2.62761712338946,1.24229931491113,0.265772001730474,0.999995580188424,0.999981529768719,"cancer_bl"
"2","AL669831.5","Inh PVALB HTR4",-0.0758712605642699,5.04485485796412,1.81262876135216,0.179040393864911,0.999995580188424,0.999981529768719,"cancer_bl"
"3","NOC2L","Inh PVALB HTR4",-0.0229255651739485,4.36327163049941,0.205412661814027,0.650660003514851,0.999995580188424,0.999981529768719,"cancer_bl"
"4","KLHL17","Inh PVALB HTR4",0.0480491812088976,2.72231525397814,0.334896451260479,0.563151921042887,0.999995580188424,0.999981529768719,"cancer_bl"
"5","HES4","Inh PVALB HTR4",-0.196657633572871,3.26960331705469,2.16606625295219,0.141960447125062,0.999995580188424,0.999981529768719,"cancer_bl"
"6","ISG15","Inh PVALB HTR4",-0.316145773917686,1.8237095459009,3.88737994612465,0.0494156607453962,0.999995580188424,0.999981529768719,"cancer_bl"
"7","AGRN","Inh PVALB HTR4",0.0562795619219046,2.56207671617583,0.292725279442897,0.588814037757942,0.999995580188424,0.999981529768719,"cancer_bl"
"8","C1orf159","Inh PVALB HTR4",-0.0438411744954194,5.17604956330523,0.879735653214717,0.348902989485385,0.999995580188424,0.999981529768719,"cancer_bl"
"9","SDF4","Inh PVALB HTR4",-0.0286046864353512,5.19777878858511,0.542297018181712,0.46196196627039,0.999995580188424,0.999981529768719,"cancer_bl"
"10","B3GALT6","Inh PVALB HTR4",0.0381837788108157,2.66894503817583,0.180413803089079,0.671271638226633,0.999995580188424,0.999981529768719,"cancer_bl"
"11","UBE2J2","Inh PVALB HTR4",-0.016831511517872,4.89622840819776,0.231251878363263,0.630889286994955,0.999995580188424,0.999981529768719,"cancer_bl"
"12","LINC01786","Inh PVALB HTR4",-0.0813471139411943,2.80361646178476,1.21389727313063,0.27129779251292,0.999995580188424,0.999981529768719,"cancer_bl"
"13","SCNN1D","Inh PVALB HTR4",0.0685568826564562,3.59831935124051,1.05567422955757,0.304893797081987,0.999995580188424,0.999981529768719,"cancer_bl"
"14","ACAP3","Inh PVALB HTR4",-0.0105394721982188,5.83535797007272,0.0494684157683301,0.824117007405581,0.999995580188424,0.999981529768719,"cancer_bl"
"15","PUSL1","Inh PVALB HTR4",0.125360547649446,1.96261482791602,1.68276481135613,0.195388278651237,0.999995580188424,0.999981529768719,"cancer_bl"
"16","INTS11","Inh PVALB HTR4",0.0124439234292334,5.3751543643813,0.123609036811239,0.850766142582343,0.999995580188424,0.999981529768719,"cancer_bl"
"17","CPTP","Inh PVALB HTR4",-0.117910617842858,2.81655934481499,1.79426773709131,0.181252147977218,0.999995580188424,0.999981529768719,"cancer_bl"
"18","DVL1","Inh PVALB HTR4",0.0160942019930353,3.90560507330418,0.101452174503031,0.955636977775765,0.999995580188424,0.999981529768719,"cancer_bl"
"19","AURKAIP1","Inh PVALB HTR4",-0.10272703100281,4.1929621628304,1.03381989307126,0.309946084425492,0.999995580188424,0.999981529768719,"cancer_bl"
"20","CCNL2","Inh PVALB HTR4",-0.0217088860970564,5.75593965753997,0.551354242281251,0.458249150709146,0.999995580188424,0.999981529768719,"cancer_bl"
