"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL645608.8","Per",0.185132815576707,7.57976895980537,1.2961761440731,0.256208585949431,0.999657178427418,0.979665198557946,"cancer_bl"
"2","HES4","Per",-0.0196704795343421,10.2009890503212,0.0343367135203908,0.853171068034681,0.999657178427418,0.999906431294517,"cancer_bl"
"3","ISG15","Per",-0.133084047001767,7.15903537168643,0.354020402506497,0.55248592967972,0.999657178427418,0.998445395752916,"cancer_bl"
"4","AGRN","Per",0.0382572426157294,8.77708975846133,0.160740217168149,0.688883103320413,0.999657178427418,0.999906431294517,"cancer_bl"
"5","CCNL2","Per",-0.0221706814283619,7.53968544229112,0.0466392069433661,0.829227442882834,0.999657178427418,0.999906431294517,"cancer_bl"
"6","GNB1","Per",0.142829877069852,8.85048893291627,4.19596121836091,0.0417629848019889,0.994207665677814,0.840617447379508,"cancer_bl"
"7","SKI","Per",0.0946644941415902,7.69980932260743,0.770402393507596,0.38109456506823,0.999657178427418,0.980531210025969,"cancer_bl"
"8","CAMTA1","Per",0.108895968078919,8.6756082589049,1.98872773294001,0.159951779211486,0.999657178427418,0.952203474150096,"cancer_bl"
"9","PER3","Per",-0.0400133821586173,7.67024034019378,0.063706267500145,0.800977721287098,0.999657178427418,0.999906431294517,"cancer_bl"
"10","RERE","Per",0.0956394795366837,9.36664563396952,2.93116249912641,0.0883595128924251,0.999657178427418,0.916237385768904,"cancer_bl"
"11","PIK3CD","Per",-0.045990190797507,8.17771037189973,0.116002349288053,0.733751473664277,0.999657178427418,0.999906431294517,"cancer_bl"
"12","CLSTN1","Per",-0.0131599705736226,8.0726182557608,0.0205364051680227,0.886186342950982,0.999657178427418,0.999906431294517,"cancer_bl"
"13","UBE4B","Per",0.0438892297246069,8.16756183784729,0.232856420681192,0.62991594124477,0.999657178427418,0.999906431294517,"cancer_bl"
"14","KIF1B","Per",-0.0976275229466168,8.35800228519195,1.36372721200278,0.244215260102538,0.999657178427418,0.978918874021143,"cancer_bl"
"15","PLOD1","Per",-0.0485310954372554,8.44093843044039,0.300620038988791,0.584075711336611,0.999657178427418,0.999906431294517,"cancer_bl"
"16","TNFRSF1B","Per",0.0484667129943229,7.75476186699535,0.149570940978631,0.69933689441911,0.999657178427418,0.999906431294517,"cancer_bl"
"17","VPS13D","Per",-0.0628130646712196,9.35393838759279,0.388192700593236,0.533926231973452,0.999657178427418,0.993813956155191,"cancer_bl"
"18","PRDM2","Per",0.0560660609314543,7.7726504595724,0.328802008332603,0.566978231094894,0.999657178427418,0.999906431294517,"cancer_bl"
"19","KAZN","Per",0.0972974941638056,8.26092360755544,1.09295987695833,0.297016877630115,0.999657178427418,0.98010979408462,"cancer_bl"
"20","TMEM51","Per",-0.020161705662402,7.41190470786361,0.0259417294257275,0.872197377435645,0.999657178427418,0.999906431294517,"cancer_bl"
"21","FBLIM1","Per",-0.000309380187542714,7.07376541556525,3.03391693042253e-06,0.998611885672588,0.999657178427418,0.999906431294517,"cancer_bl"
"22","SPEN","Per",-0.0357553174372116,8.29083940865814,0.240336653140315,0.832098190448485,0.999657178427418,0.999906431294517,"cancer_bl"
"23","FBXO42","Per",0.0532978026666588,7.56005443488971,0.295386168185031,0.587365280715825,0.999657178427418,0.999906431294517,"cancer_bl"
"24","UBR4","Per",-0.036798186742312,7.96851452982004,0.142313542629178,0.706372322259232,0.999657178427418,0.999906431294517,"cancer_bl"
"25","CAPZB","Per",-0.0140551636320255,8.83112100971973,0.041869315016817,0.958318785769173,0.999657178427418,0.999906431294517,"cancer_bl"
"26","NBL1","Per",0.0826568482680501,7.7378692939555,0.579940845073805,0.447188931481839,0.999657178427418,0.989638000628345,"cancer_bl"
"27","CAMK2N1","Per",0.0134473144480233,7.72370692728296,0.0141375919603829,0.905466845659127,0.999657178427418,0.999906431294517,"cancer_bl"
"28","HP1BP3","Per",-0.0265071592397372,9.00749044952595,0.104281875855507,0.747071447158162,0.999657178427418,0.999906431294517,"cancer_bl"
"29","EIF4G3","Per",-0.0312543401072216,9.30627246524798,0.210053423159674,0.647198937012145,0.999657178427418,0.999906431294517,"cancer_bl"
"30","ECE1","Per",0.0271774993212054,9.50813345838367,0.10972379546915,0.740788753171804,0.999657178427418,0.999906431294517,"cancer_bl"
"31","USP48","Per",-0.103107586530637,7.46974024773857,1.02186127298983,0.313239940464305,0.999657178427418,0.98010979408462,"cancer_bl"
"32","CDC42","Per",0.26744325116578,7.49574737661889,6.68152617995701,0.0104181329388501,0.963539174500248,0.709929920753262,"cancer_bl"
"33","HNRNPR","Per",0.0832763253324832,7.4939500785271,0.775010127283678,0.5037422455833,0.999657178427418,0.993813956155191,"cancer_bl"
"34","ID3","Per",-0.0863185329140586,7.67077546798848,0.154536182644013,0.694635911261484,0.999657178427418,0.999906431294517,"cancer_bl"
"35","RPL11","Per",0.0367928521478719,7.4612587023791,0.0443412427653062,0.833423965442942,0.999657178427418,0.999906431294517,"cancer_bl"
"36","SRSF10","Per",0.044408872178058,7.5890975694,0.195345078967199,0.750225526723431,0.999657178427418,0.999906431294517,"cancer_bl"
"37","SRRM1","Per",-0.0187926833558249,7.52546674809421,0.0363278595870844,0.849023945525058,0.999657178427418,0.999906431294517,"cancer_bl"
