"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh ENOX2 SPHKAP",0.00769208060080493,5.73332468113094,0.0143679430039756,0.904661417149108,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"2","NOC2L","Inh ENOX2 SPHKAP",-0.00836042076268962,4.97665092691547,0.0120049775949953,0.912818704962574,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"3","HES4","Inh ENOX2 SPHKAP",-0.0596530863554787,5.07370249934926,0.377253395594617,0.539496913721372,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"4","AGRN","Inh ENOX2 SPHKAP",-0.184066800105531,4.22070460565141,2.97004658701192,0.0857491361709518,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"5","C1orf159","Inh ENOX2 SPHKAP",-0.00498410296091907,5.60881216607511,0.00617862292574984,0.937394720629912,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"6","SDF4","Inh ENOX2 SPHKAP",-0.110362833698266,5.51916433610354,2.94135072431909,0.0872702881210879,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"7","UBE2J2","Inh ENOX2 SPHKAP",-0.0908439354932339,5.20381206726995,1.90564240312681,0.168375509669986,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"8","ACAP3","Inh ENOX2 SPHKAP",-0.0751905925566877,6.47948998710612,2.02807542389927,0.155353913914106,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"9","INTS11","Inh ENOX2 SPHKAP",-0.0613015504634532,5.5244880549762,1.19227735696897,0.275661293761332,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"10","DVL1","Inh ENOX2 SPHKAP",-0.14171505697881,4.53037426343771,2.38998711948001,0.123065944212701,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"11","AURKAIP1","Inh ENOX2 SPHKAP",-0.0666769112113477,4.39155060399748,0.331906843733953,0.564928202888022,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"12","CCNL2","Inh ENOX2 SPHKAP",0.0142370006569869,6.08839973224695,0.0883301488355256,0.928113343479963,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"13","MRPL20","Inh ENOX2 SPHKAP",-0.0821479857638503,4.82611450857468,0.837820968211234,0.360684114667807,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"14","VWA1","Inh ENOX2 SPHKAP",-0.136903864764675,3.8310006800828,1.12484340693857,0.289647781937495,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"15","ATAD3B","Inh ENOX2 SPHKAP",0.0250027591126663,4.5876913104211,0.0900916392725847,0.764248272104392,0.99987238867803,0.999998782645402,"ci_num2_gtt"
"16","SSU72","Inh ENOX2 SPHKAP",0.0371418565746987,5.53043988369699,0.277358507176693,0.598788973622934,0.99987238867803,0.999998782645402,"ci_num2_gtt"
