"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc L5 ET",-0.0634167613971927,5.41694547516607,0.195312942173329,0.659227072946548,0.999852377942889,0.992965174646028,"ci_num2_mct"
"2","NOC2L","Exc L5 ET",0.136385909028458,4.9854710679469,1.34968421894519,0.247351140583441,0.999852377942889,0.888683408801552,"ci_num2_mct"
"3","HES4","Exc L5 ET",0.0643908199255229,5.11100540710433,0.111026655284325,0.739487154884146,0.999852377942889,0.999989322546677,"ci_num2_mct"
"4","AGRN","Exc L5 ET",-0.109521078271611,5.16478754567742,0.705036159417528,0.402557907973892,0.999852377942889,0.94395265909922,"ci_num2_mct"
"5","C1orf159","Exc L5 ET",0.0130882705327395,5.65918790963616,0.0190293684784246,0.890484647083176,0.999852377942889,0.999989322546677,"ci_num2_mct"
"6","SDF4","Exc L5 ET",0.0583956947807526,5.18467765591364,0.323662877032199,0.570345126996894,0.999852377942889,0.977454992772871,"ci_num2_mct"
"7","UBE2J2","Exc L5 ET",-0.149319074228293,4.86704406325546,2.06857256237252,0.152640174395591,0.999852377942889,0.833345007157621,"ci_num2_mct"
"8","ACAP3","Exc L5 ET",0.109382386117066,6.38375132027717,1.72607314281298,0.191106548680296,0.999852377942889,0.860005977066903,"ci_num2_mct"
"9","INTS11","Exc L5 ET",0.00525093427852694,5.48046593384813,0.00342235940930872,0.953434768447115,0.999852377942889,0.999989322546677,"ci_num2_mct"
"10","DVL1","Exc L5 ET",0.0358579216791288,4.30490672436554,0.0587025361856685,0.808920441987057,0.999852377942889,0.999989322546677,"ci_num2_mct"
"11","AURKAIP1","Exc L5 ET",-0.162526128400668,4.78945664981656,0.770063449260162,0.381732043923291,0.999852377942889,0.936704378637619,"ci_num2_mct"
"12","CCNL2","Exc L5 ET",0.0629224333175595,5.64756274493072,0.589947516204045,0.545956320677947,0.999852377942889,0.973179390419471,"ci_num2_mct"
"13","MRPL20","Exc L5 ET",-0.277244648734154,4.75661640782458,3.17853606433846,0.0768236636173371,0.999852377942889,0.759187046487866,"ci_num2_mct"
"14","ATAD3B","Exc L5 ET",0.0439468380654957,4.83442834862842,0.113926756169787,0.736233151673426,0.999852377942889,0.999989322546677,"ci_num2_mct"
"15","ATAD3A","Exc L5 ET",0.174361208297175,4.1848622484676,1.71508272255478,0.192516796603308,0.999852377942889,0.86085892323385,"ci_num2_mct"
"16","SSU72","Exc L5 ET",-0.093477146944591,5.68531266315308,0.394368219362758,0.531056456350876,0.999852377942889,0.970838342260154,"ci_num2_mct"
"17","FNDC10","Exc L5 ET",-0.351963906960844,3.97933255178204,3.84672942150296,0.0518687286389648,0.999852377942889,0.711737834921509,"ci_num2_mct"
"18","MIB2","Exc L5 ET",0.008956649664307,5.32876857301204,0.0102763052931747,0.919403123763819,0.999852377942889,0.999989322546677,"ci_num2_mct"
"19","CDK11B","Exc L5 ET",0.0322511706204522,4.96887639579611,0.091821058111294,0.98598078185618,0.999852377942889,0.999989322546677,"ci_num2_mct"
"20","SLC35E2B","Exc L5 ET",0.111977946780016,4.87742915604645,0.717546209336058,0.398425705180611,0.999852377942889,0.942567707257504,"ci_num2_mct"
"21","CDK11A","Exc L5 ET",0.0514417125007554,4.20051160712116,0.12653914939152,0.722594250912172,0.999852377942889,0.999989322546677,"ci_num2_mct"
