"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","CCNL2","Mic TPT1",0.0648964988639242,6.88627781098844,0.227867805584794,0.633738855092497,0.999845003476293,0.988749770606477,"ci_num2_mct"
"2","SSU72","Mic TPT1",-0.0578557605360741,6.60292494375816,0.119475887753951,0.858471490269913,0.999845003476293,0.999988187070905,"ci_num2_mct"
"3","GNB1","Mic TPT1",0.0089761176744426,8.95799616272499,0.0128205152095979,0.909987194066807,0.999845003476293,0.999988187070905,"ci_num2_mct"
"4","SKI","Mic TPT1",-0.110243374500746,8.72187012457796,1.1353255872828,0.288193538701338,0.999845003476293,0.896443924196018,"ci_num2_mct"
"5","RPL22","Mic TPT1",0.125131288021199,6.52387543966466,0.46973171269347,0.494069050282179,0.999845003476293,0.960590614447699,"ci_num2_mct"
"6","CAMTA1","Mic TPT1",-0.0701536580371555,7.89089337173411,0.456444532086024,0.500232819351031,0.999845003476293,0.962834304151275,"ci_num2_mct"
"7","PER3","Mic TPT1",0.116746089052997,6.34130152084135,0.222297339003151,0.637915685218652,0.999845003476293,0.989308116324535,"ci_num2_mct"
"8","RERE","Mic TPT1",0.136867299465141,9.82925888542898,3.54066032092571,0.0616366410046764,0.999845003476293,0.705008825930729,"ci_num2_mct"
"9","ENO1","Mic TPT1",-0.226214462034288,7.35055432860211,1.89079497697483,0.170970074236105,0.999845003476293,0.838365257206982,"ci_num2_mct"
"10","SLC2A5","Mic TPT1",-0.0892945109382262,9.36550174913662,0.563931166064997,0.453746592097117,0.999845003476293,0.95106004302321,"ci_num2_mct"
"11","MIR34AHG","Mic TPT1",0.0146069043536812,7.57406876859806,0.0136729546617521,0.907056122515623,0.999845003476293,0.999988187070905,"ci_num2_mct"
"12","PIK3CD","Mic TPT1",0.216152026987786,8.1072761811544,3.75308869258553,0.0544119640374,0.999845003476293,0.700561466664971,"ci_num2_mct"
"13","CLSTN1","Mic TPT1",-0.287822345552194,7.14574471223353,4.83039797705553,0.0293501592997022,0.999845003476293,0.624247383686829,"ci_num2_mct"
