"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L1-2 PAX6 SCGN",-0.128807230745347,5.81269728739379,0.0770414583090945,0.782726228436844,0.973466074783339,0.998053779251765,"ci_num2_mtt"
"2","HES4","Inh L1-2 PAX6 SCGN",-0.447375986662795,6.71515557175308,1.81126539725784,0.185666683924735,0.812933764363555,0.797997781071521,"ci_num2_mtt"
"3","C1orf159","Inh L1-2 PAX6 SCGN",0.0882537472620877,6.23386628830337,0.0484418897732757,0.826876663376797,0.978569617996694,0.999996049130965,"ci_num2_mtt"
"4","ACAP3","Inh L1-2 PAX6 SCGN",0.457488908273382,6.57886320949121,3.01585400757606,0.0898763590705138,0.674527716087944,0.706051723013328,"ci_num2_mtt"
"5","CCNL2","Inh L1-2 PAX6 SCGN",0.112004208315766,6.25501986470472,0.121430220663939,0.729250933804708,0.96388103656126,0.989832806049786,"ci_num2_mtt"
"6","GNB1","Inh L1-2 PAX6 SCGN",-0.243004336864794,7.9434610248446,1.62563574533113,0.209403237118496,0.82268127189081,0.814066780921512,"ci_num2_mtt"
"7","PRKCZ","Inh L1-2 PAX6 SCGN",0.174303477766992,6.85997970094167,0.702960286860278,0.406596400281643,0.900576654479334,0.906461431255652,"ci_num2_mtt"
"8","SKI","Inh L1-2 PAX6 SCGN",-0.12275557884305,6.39076376552049,0.146441184356203,0.703913694111401,0.96388103656126,0.985735762409951,"ci_num2_mtt"
"9","CEP104","Inh L1-2 PAX6 SCGN",0.104736283861819,5.98525363341829,0.0652533355758273,0.799640057810574,0.977095581463116,0.999996049130965,"ci_num2_mtt"
"10","AJAP1","Inh L1-2 PAX6 SCGN",0.0465012612499596,7.08207307751028,0.0432630325407723,0.836248683497429,0.978913930259852,0.999996049130965,"ci_num2_mtt"
"11","NPHP4","Inh L1-2 PAX6 SCGN",-0.0842774059727204,5.80674248211335,0.0354874681865852,0.851496464141436,0.981274019316081,0.999996049130965,"ci_num2_mtt"
"12","KCNAB2","Inh L1-2 PAX6 SCGN",0.432782437216161,6.61560877594276,3.72378703222725,0.0605008649176064,0.630234649299103,0.657060560839419,"ci_num2_mtt"
"13","CHD5","Inh L1-2 PAX6 SCGN",0.176639162827895,7.64702971174508,0.898011332717266,0.34880379449636,0.881934289599561,0.885133923459713,"ci_num2_mtt"
"14","RPL22","Inh L1-2 PAX6 SCGN",-0.231313672226604,5.76657079233214,0.289787391391307,0.593233915724095,0.943054381169385,0.961929960779643,"ci_num2_mtt"
"15","ACOT7","Inh L1-2 PAX6 SCGN",-0.416097184179751,6.90990366469664,2.2859970256428,0.138128133593175,0.75799226830204,0.759175733455634,"ci_num2_mtt"
"16","TNFRSF25","Inh L1-2 PAX6 SCGN",0.661625670856614,6.13041978681091,3.84140230953173,0.0567429009244278,0.630234649299103,0.650699000646892,"ci_num2_mtt"
"17","DNAJC11","Inh L1-2 PAX6 SCGN",-0.0785216547496143,5.99152199658342,0.0456987559991294,0.831771657835094,0.978629058994751,0.999996049130965,"ci_num2_mtt"
"18","CAMTA1","Inh L1-2 PAX6 SCGN",-0.0519433973375639,9.60940885719535,0.144928856041873,0.705372146000667,0.96388103656126,0.98591390853325,"ci_num2_mtt"
"19","PER3","Inh L1-2 PAX6 SCGN",0.10905115326934,7.00746473545067,0.174998687824717,0.677864953482735,0.96297246292483,0.980862444995146,"ci_num2_mtt"
"20","PARK7","Inh L1-2 PAX6 SCGN",-0.210703090389833,5.90723799156381,0.225821911324618,0.637132099957086,0.957568423713424,0.971641285232552,"ci_num2_mtt"
"21","RERE","Inh L1-2 PAX6 SCGN",0.184920497802127,9.39702841997387,1.73276947913908,0.195285272367837,0.812933764363555,0.804318269876909,"ci_num2_mtt"
"22","ENO1","Inh L1-2 PAX6 SCGN",-0.58545103988151,6.26243381170862,2.2619658511339,0.14016218695119,0.759132388963529,0.761102493735125,"ci_num2_mtt"
"23","CLSTN1","Inh L1-2 PAX6 SCGN",-0.0590535679212522,8.55489202316679,0.110002519264618,0.74181124678554,0.964506782506769,0.99181570265835,"ci_num2_mtt"
"24","UBE4B","Inh L1-2 PAX6 SCGN",0.33557615496144,7.92580826204266,2.53122948789296,0.119206648384652,0.72156428811646,0.741514228311513,"ci_num2_mtt"
"25","KIF1B","Inh L1-2 PAX6 SCGN",0.150118586886876,9.12405515249825,0.842011407764849,0.364126934348289,0.886587459719959,0.891746610491202,"ci_num2_mtt"
"26","PEX14","Inh L1-2 PAX6 SCGN",-0.354475819319983,6.44323776975719,1.37374289132238,0.247857777169517,0.835579817599706,0.837663151419298,"ci_num2_mtt"
"27","EXOSC10","Inh L1-2 PAX6 SCGN",-0.436439110512135,5.77260749694872,0.967816128691197,0.330929081438437,0.87882657768117,0.877370059035382,"ci_num2_mtt"
"28","MTOR","Inh L1-2 PAX6 SCGN",-0.362885708937339,6.54281900695863,1.87780862200825,0.177954480757576,0.806367265812499,0.793121376491769,"ci_num2_mtt"
"29","FBXO2","Inh L1-2 PAX6 SCGN",-0.541662748331238,5.80785841084159,1.77808168456936,0.189661799062593,0.812933764363555,0.800582699669313,"ci_num2_mtt"
"30","FBXO44","Inh L1-2 PAX6 SCGN",-0.266671414604858,6.3920550379341,0.58936842101738,0.447011736744166,0.906432096299304,0.920492074665245,"ci_num2_mtt"
