"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L3-4 RORB CUX2",-0.00843059832746228,2.96617893547165,0.180880450520091,0.670850427854094,0.843368056004353,0.847350957365578,"cogn_ep_lv"
"2","AC114498.1","Exc L3-4 RORB CUX2",0.017003022108497,-1.07094260102271,0.136334439393295,0.712151437829517,0.866960067935967,0.870758753109552,"cogn_ep_lv"
"3","AL669831.5","Exc L3-4 RORB CUX2",-0.0275555321337877,5.77349348356203,2.35661681377378,0.125556988453213,0.354643723997269,0.352283871015987,"cogn_ep_lv"
"4","LINC00115","Exc L3-4 RORB CUX2",0.0738870888520933,0.449313270905918,4.4929761274001,0.0346605970043098,0.183657460169296,0.175468533541837,"cogn_ep_lv"
"5","SAMD11","Exc L3-4 RORB CUX2",0.06967556793934,-1.71208711003632,1.38064256144219,0.240703019701962,0.496502676146127,0.499622132453439,"cogn_ep_lv"
"6","NOC2L","Exc L3-4 RORB CUX2",0.0172586325162397,4.63198737496708,1.27362653028131,0.259775773925024,0.518507509299382,0.520624769576314,"cogn_ep_lv"
"7","KLHL17","Exc L3-4 RORB CUX2",-0.0677118222680935,2.87433526604732,12.4083504399197,0.000477630490107915,0.0175414814619129,0.0144617090292107,"cogn_ep_lv"
"8","AL645608.8","Exc L3-4 RORB CUX2",0.0801519261102246,-0.3741272878394,2.88993664064842,0.0899255024166874,0.299596291936188,0.294322913739426,"cogn_ep_lv"
"9","HES4","Exc L3-4 RORB CUX2",0.181959450357021,4.07964875001177,35.5148931338467,5.6312562646305e-09,8.78958656390755e-06,6.23817121219612e-06,"cogn_ep_lv"
"10","ISG15","Exc L3-4 RORB CUX2",0.0843946755185396,2.30205219879169,4.1328083402189,0.0427310384242452,0.204012070135709,0.196588111596845,"cogn_ep_lv"
"11","AL645608.2","Exc L3-4 RORB CUX2",0.0757365417026255,-0.743021777725805,3.88245345576971,0.0494946374399751,0.219204867721592,0.212810884337411,"cogn_ep_lv"
"12","AGRN","Exc L3-4 RORB CUX2",0.00344764490831666,5.38664834135048,0.039186556977792,0.843181865748414,0.936145215442249,0.939426891900161,"cogn_ep_lv"
"13","C1orf159","Exc L3-4 RORB CUX2",0.0050599286684894,5.46947842374989,0.121704411153158,0.727380015015502,0.874681272733808,0.879538923543241,"cogn_ep_lv"
"14","TNFRSF18","Exc L3-4 RORB CUX2",0.136735369046289,1.05618050524034,17.2400863178956,4.04248088296708e-05,0.00354936445510874,0.00299736979735909,"cogn_ep_lv"
"15","TNFRSF4","Exc L3-4 RORB CUX2",-0.0926940146698519,-0.156578005105339,5.31266935362188,0.0216912047546938,0.144125201628666,0.135165874145791,"cogn_ep_lv"
"16","SDF4","Exc L3-4 RORB CUX2",0.0223291698117614,4.9072623758012,3.24629018296474,0.0723514292539726,0.266907555550043,0.261107570379143,"cogn_ep_lv"
"17","B3GALT6","Exc L3-4 RORB CUX2",0.045537459146989,2.511293647876,3.44284448500119,0.0642746206131828,0.251122655040099,0.24508228186648,"cogn_ep_lv"
"18","C1QTNF12","Exc L3-4 RORB CUX2",0.103651418664108,-0.349347728971355,6.09141199518915,0.0140089125086179,0.115449963000294,0.106292731067484,"cogn_ep_lv"
"19","UBE2J2","Exc L3-4 RORB CUX2",0.00711256041988501,4.72873580610528,0.609248285124714,0.435540780500849,0.679320603532342,0.68412476688571,"cogn_ep_lv"
"20","LINC01786","Exc L3-4 RORB CUX2",0.0580375750210057,1.87464503053724,6.73661505117328,0.00979909505014371,0.0966787171250881,0.0871133590799392,"cogn_ep_lv"
"21","SCNN1D","Exc L3-4 RORB CUX2",-0.016137928543446,2.95275569984767,0.550470451934314,0.458568621467142,0.699277146985344,0.703734630177668,"cogn_ep_lv"
"22","ACAP3","Exc L3-4 RORB CUX2",-0.0454095647247055,6.47532400874506,6.79398338238312,0.00949436873739597,0.0952790800089086,0.0856116612994042,"cogn_ep_lv"
"23","PUSL1","Exc L3-4 RORB CUX2",0.0133405508854699,1.71681614555042,0.42656552163218,0.553002804278875,0.768618323311409,0.772935504056012,"cogn_ep_lv"
"24","INTS11","Exc L3-4 RORB CUX2",-0.0251039168420842,5.25987232376018,4.99460898944091,0.0259876570556076,0.157876642196035,0.149737828487071,"cogn_ep_lv"
"25","CPTP","Exc L3-4 RORB CUX2",-0.0059989011887448,2.94090684334757,0.0597601363858181,0.80700301446991,0.919111295167527,0.923735616135351,"cogn_ep_lv"
"26","TAS1R3","Exc L3-4 RORB CUX2",-0.0616079486586443,-1.0853324368881,1.83874923871019,0.175876087663895,0.422613180957932,0.422272154190856,"cogn_ep_lv"
"27","DVL1","Exc L3-4 RORB CUX2",-0.00425313573664875,4.25867487738259,0.0952050762443837,0.75782488890273,0.892288887995175,0.896975451215097,"cogn_ep_lv"
"28","AURKAIP1","Exc L3-4 RORB CUX2",0.0529933011794703,4.04871761707766,2.67363995066581,0.102822972538982,0.320617522249121,0.31533029686868,"cogn_ep_lv"
"29","CCNL2","Exc L3-4 RORB CUX2",0.0117144560710801,5.84612636925002,2.16995178578226,0.141530954550051,0.377188355543786,0.375711976589705,"cogn_ep_lv"
"30","MRPL20","Exc L3-4 RORB CUX2",-0.00141474048616416,4.49049691968882,0.00524498175760927,0.942302717918293,0.981000428392117,0.980940378582142,"cogn_ep_lv"
