"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB GABRG1",-0.0220865121871508,3.3519333282513,0.817029924096668,0.366611185394092,0.621191843546472,0.624919590077049,"cogn_ep_lv"
"2","AL669831.5","Exc L4-5 RORB GABRG1",-0.0222289108303488,6.21511138706679,1.77831666061209,0.183138980160131,0.428022901297485,0.43208528747585,"cogn_ep_lv"
"3","LINC00115","Exc L4-5 RORB GABRG1",0.0538820458584341,0.915071069242317,1.58756924010012,0.208431539880299,0.460322195487765,0.462663173096204,"cogn_ep_lv"
"4","NOC2L","Exc L4-5 RORB GABRG1",0.0180067844256693,4.78494694126957,1.37845074494086,0.241085792697159,0.496709971442253,0.499891845782255,"cogn_ep_lv"
"5","KLHL17","Exc L4-5 RORB GABRG1",-0.0335816871317168,3.01051638550558,1.82222545426404,0.177836072603184,0.420878705160869,0.424984581900989,"cogn_ep_lv"
"6","HES4","Exc L4-5 RORB GABRG1",0.203191702246613,3.35928372759294,22.343663160468,3.19496595788964e-06,0.000508792743672051,0.000509964663140918,"cogn_ep_lv"
"7","ISG15","Exc L4-5 RORB GABRG1",0.115125811278151,1.42228963259815,4.64525704272049,0.0317543844223627,0.160075468447922,0.167496422870598,"cogn_ep_lv"
"8","AL645608.2","Exc L4-5 RORB GABRG1",0.0555019301526437,-0.0275490169084239,0.741764450899089,0.389628498694405,0.643164798135455,0.645791723165683,"cogn_ep_lv"
"9","AGRN","Exc L4-5 RORB GABRG1",-0.00257265848919869,4.89695916244477,0.0210062263524783,0.884837299261386,0.957490042602197,0.958223586399683,"cogn_ep_lv"
"10","C1orf159","Exc L4-5 RORB GABRG1",0.0215567047189736,5.40510442204996,2.10440751407919,0.147683658157232,0.379622663381592,0.384251892592943,"cogn_ep_lv"
"11","TNFRSF18","Exc L4-5 RORB GABRG1",0.112459288802445,1.39150961576175,8.04026330080312,0.00481458005822736,0.0546936294614628,0.0574968538216722,"cogn_ep_lv"
"12","TNFRSF4","Exc L4-5 RORB GABRG1",0.00149286460008691,1.99095829595905,0.00139973361153978,0.970174949502971,0.991411043590687,0.99009661392499,"cogn_ep_lv"
"13","SDF4","Exc L4-5 RORB GABRG1",0.0178913167158243,5.13896201638802,1.94668865800342,0.163742690787454,0.401859055419738,0.406106604722837,"cogn_ep_lv"
"14","B3GALT6","Exc L4-5 RORB GABRG1",0.00185069775262288,2.6639625021923,0.00594818668729483,0.938564291062165,0.980560339980163,0.979803389949512,"cogn_ep_lv"
"15","C1QTNF12","Exc L4-5 RORB GABRG1",0.0521348709290652,0.371285754323929,0.800685417159778,0.371443606973749,0.625489558996338,0.629145346665055,"cogn_ep_lv"
"16","UBE2J2","Exc L4-5 RORB GABRG1",0.00415955114292265,4.84996077045135,0.144692348216709,0.703868319539273,0.866121407579922,0.866021276171413,"cogn_ep_lv"
"17","LINC01786","Exc L4-5 RORB GABRG1",0.06299432713319,2.19286554208566,5.04577544065178,0.0252483017842943,0.139869897357919,0.147415625474517,"cogn_ep_lv"
"18","SCNN1D","Exc L4-5 RORB GABRG1",0.00846443051428943,3.14638100318001,0.137588103259064,0.710893197692209,0.870465828702075,0.869833523965768,"cogn_ep_lv"
"19","ACAP3","Exc L4-5 RORB GABRG1",-0.0274500788164724,6.51179434405247,2.77176396606299,0.0967481258310955,0.299501016892948,0.305660305203876,"cogn_ep_lv"
"20","PUSL1","Exc L4-5 RORB GABRG1",0.00325952649636836,1.92515410421867,0.0145339484015055,0.981332026056102,0.995667837411819,0.993824968697603,"cogn_ep_lv"
"21","INTS11","Exc L4-5 RORB GABRG1",-0.0405732834983371,5.3151860753354,11.6619388425759,0.000705295170109435,0.0179466140623433,0.0184258052871145,"cogn_ep_lv"
"22","CPTP","Exc L4-5 RORB GABRG1",-0.0147605702472662,2.71137935727135,0.365405148111542,0.54587310201506,0.765723494381134,0.767974211552426,"cogn_ep_lv"
"23","DVL1","Exc L4-5 RORB GABRG1",-0.0135853081727571,4.45017883163554,0.876271411789258,0.349807566478309,0.60599526575579,0.609633403578158,"cogn_ep_lv"
