"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh CUX2 MSR1",-0.0452009210286009,3.34533200801411,0.947513894648914,0.331005895689087,0.831170498096401,0.770222409712327,"cogn_ep_lv"
"2","AL669831.5","Inh CUX2 MSR1",-0.0202958960156553,5.55115068495933,0.802934542543789,0.370815647169097,0.851087209354005,0.796556586682938,"cogn_ep_lv"
"3","NOC2L","Inh CUX2 MSR1",0.039782671458263,4.6494322649648,2.23668285983772,0.135645084061226,0.660172067969278,0.587273739924402,"cogn_ep_lv"
"4","KLHL17","Inh CUX2 MSR1",-0.084979240523028,3.2867482816739,3.13675403293753,0.0773912646026118,0.556027652946674,0.486211565464473,"cogn_ep_lv"
"5","HES4","Inh CUX2 MSR1",0.176795590774771,4.45613848878747,20.9704096498282,6.43326241358287e-06,0.00941588370008023,0.00508455054433244,"cogn_ep_lv"
"6","ISG15","Inh CUX2 MSR1",0.0967685579131878,3.28875832212898,2.95079174802548,0.0866945942844166,0.577918293738997,0.506454100279834,"cogn_ep_lv"
"7","AGRN","Inh CUX2 MSR1",-0.0524453370922868,3.78836247847187,1.77121839631952,0.184072854340235,0.716873331706934,0.646523395060244,"cogn_ep_lv"
"8","C1orf159","Inh CUX2 MSR1",0.0111594601859021,5.57770808897442,0.300549942635258,0.583877325865367,0.951739973473797,0.904344864379078,"cogn_ep_lv"
"9","SDF4","Inh CUX2 MSR1",-0.0128876942156608,5.35924148377747,0.343001553258138,0.558468384256141,0.941373836532942,0.893685306838303,"cogn_ep_lv"
"10","UBE2J2","Inh CUX2 MSR1",0.0277864057242345,5.04879804515297,1.67795476191321,0.19602567900908,0.729892978874038,0.659195399755851,"cogn_ep_lv"
"11","SCNN1D","Inh CUX2 MSR1",0.0490861325321869,3.80411167396192,1.63866453275628,0.201332264833499,0.732339077022505,0.66431748070039,"cogn_ep_lv"
"12","ACAP3","Inh CUX2 MSR1",-0.0117809418235374,6.42349052866725,0.494665190041489,0.48230779232405,0.913351763279622,0.859358840651069,"cogn_ep_lv"
"13","INTS11","Inh CUX2 MSR1",-0.0112261437703693,5.40275231090585,0.312827017722568,0.576298029962023,0.948375355472187,0.901196546696089,"cogn_ep_lv"
"14","CPTP","Inh CUX2 MSR1",0.0259257184217907,3.1885160280722,0.24823756964273,0.618622756214609,0.955963450095198,0.917592406525443,"cogn_ep_lv"
"15","DVL1","Inh CUX2 MSR1",0.0533565117458973,4.27445028490138,3.05674821092384,0.0812540230472912,0.568341311744762,0.494748468772872,"cogn_ep_lv"
