"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh ENOX2 SPHKAP",0.0027298306236224,5.7334246794974,0.0132345636868309,0.908481433516018,0.99916988777822,0.996660023418209,"cogn_ep_lv"
"2","NOC2L","Inh ENOX2 SPHKAP",-0.00352056689192113,4.97664778393943,0.0158564412298944,0.899869292748742,0.99916988777822,0.995732685717601,"cogn_ep_lv"
"3","HES4","Inh ENOX2 SPHKAP",0.152085087715986,5.07346346347305,17.4571240233462,3.75775635402704e-05,0.038819341115545,0.0142457180289022,"cogn_ep_lv"
"4","AGRN","Inh ENOX2 SPHKAP",0.121038967978506,4.22068255695417,9.05941492869221,0.0028127330969892,0.229372106831402,0.128992625691672,"cogn_ep_lv"
"5","C1orf159","Inh ENOX2 SPHKAP",0.0243422327502544,5.60885734560653,1.04952331450231,0.306359740510384,0.857608505224746,0.753189725456292,"cogn_ep_lv"
"6","SDF4","Inh ENOX2 SPHKAP",-0.00199842953628745,5.51917061357129,0.00730054766808736,0.931960310510418,0.99916988777822,0.999299067535405,"cogn_ep_lv"
"7","UBE2J2","Inh ENOX2 SPHKAP",-0.010733646914801,5.20384018701876,0.196238146310507,0.909535744299711,0.99916988777822,0.996760430331195,"cogn_ep_lv"
"8","ACAP3","Inh ENOX2 SPHKAP",-0.0153694331742831,6.47964010066214,0.622023609361643,0.430856822783528,0.910550090194787,0.831464420202197,"cogn_ep_lv"
"9","INTS11","Inh ENOX2 SPHKAP",-0.00716825003160464,5.52454967781063,0.120096857759419,0.780054161404221,0.99916988777822,0.97112197756015,"cogn_ep_lv"
"10","DVL1","Inh ENOX2 SPHKAP",-0.0193811181196473,4.5303909166473,0.344653455977263,0.557552790305534,0.948209757596104,0.893290525679617,"cogn_ep_lv"
"11","AURKAIP1","Inh ENOX2 SPHKAP",0.0312208542974774,4.39139361178052,0.52795671938728,0.467977074037064,0.924368318331429,0.851944680836105,"cogn_ep_lv"
"12","CCNL2","Inh ENOX2 SPHKAP",0.0190218024630982,6.08840853684282,1.17149394823119,0.44121602822843,0.913381222172849,0.837472814160382,"cogn_ep_lv"
"13","MRPL20","Inh ENOX2 SPHKAP",0.0127602842910286,4.82607226274597,0.148355321260253,0.700357698437936,0.992415395833212,0.946968502451384,"cogn_ep_lv"
"14","VWA1","Inh ENOX2 SPHKAP",0.00928513868991589,3.83096089495673,0.0419492274417409,0.83784158508267,0.99916988777822,0.985819705000485,"cogn_ep_lv"
"15","ATAD3B","Inh ENOX2 SPHKAP",0.102900726633801,4.58766996448928,10.9543885810444,0.00103597702071254,0.167958890993823,0.0814027300277445,"cogn_ep_lv"
"16","SSU72","Inh ENOX2 SPHKAP",0.00152901020443466,5.53040465238973,0.00319667664672906,0.954946173325682,0.99916988777822,0.999938100124967,"cogn_ep_lv"
"17","FNDC10","Inh ENOX2 SPHKAP",0.0887276322548694,4.21807326749943,3.97493766739977,0.0469966398116173,0.555425694726617,0.407352563040803,"cogn_ep_lv"
"18","MIB2","Inh ENOX2 SPHKAP",0.0135041133228258,5.14513469304045,0.266725395742903,0.642209809638877,0.975444932919224,0.926412698380087,"cogn_ep_lv"
"19","CDK11B","Inh ENOX2 SPHKAP",0.0249673844966099,5.02633834698222,0.775785179959029,0.379067867721948,0.890341735313937,0.801758856029694,"cogn_ep_lv"
"20","SLC35E2B","Inh ENOX2 SPHKAP",0.0169362006785956,4.99988977522782,0.357295289101271,0.550418058576163,0.948116666518435,0.890470559196633,"cogn_ep_lv"
"21","CDK11A","Inh ENOX2 SPHKAP",-0.0460460062729503,4.56832485654202,1.68908824823353,0.194619226065411,0.775776202791889,0.657351630057694,"cogn_ep_lv"
"22","SLC35E2A","Inh ENOX2 SPHKAP",0.0134694753901981,5.0995136818304,0.215940384193362,0.642454075612474,0.975444932919224,0.926542245461331,"cogn_ep_lv"
"23","NADK","Inh ENOX2 SPHKAP",-0.038405525042191,4.1030116618534,0.945135019839065,0.33166562956917,0.872436493988272,0.770591491681325,"cogn_ep_lv"
"24","GNB1","Inh ENOX2 SPHKAP",-0.00769943142147988,7.4448375066312,0.395939919896223,0.529624513634753,0.945628166357748,0.881576822104488,"cogn_ep_lv"
"25","GABRD","Inh ENOX2 SPHKAP",0.0595094518099631,3.78183815954392,1.27981319892911,0.258746971384872,0.830339088184844,0.715995732891925,"cogn_ep_lv"
"26","PRKCZ","Inh ENOX2 SPHKAP",0.0140252144422717,6.94558643370086,0.938361729101192,0.33340181317842,0.873464314428692,0.771655572339378,"cogn_ep_lv"
"27","FAAP20","Inh ENOX2 SPHKAP",0.0266778318164207,4.74683022199624,0.671216435747534,0.413213168247351,0.905501300666351,0.822118548508597,"cogn_ep_lv"
"28","SKI","Inh ENOX2 SPHKAP",-0.024266870246113,6.41397770413053,1.66614487873222,0.197670187241404,0.777456890123487,0.660880280721747,"cogn_ep_lv"
"29","MORN1","Inh ENOX2 SPHKAP",0.0580222275987754,4.5137913859325,2.93718221077767,0.0874912243579519,0.65484096081913,0.508210724358362,"cogn_ep_lv"
"30","RER1","Inh ENOX2 SPHKAP",0.0124696470227978,4.9413185138933,0.195498667573964,0.658665710867584,0.981924415643448,0.932513712046477,"cogn_ep_lv"
"31","PLCH2","Inh ENOX2 SPHKAP",-0.0240926522285604,4.28034686195555,0.362919314626917,0.547298943630473,0.947548485080649,0.889453412520783,"cogn_ep_lv"
"32","TPRG1L","Inh ENOX2 SPHKAP",0.0340738463943563,4.75117985424227,0.997033714788863,0.318753583874145,0.863551615995211,0.762397627173501,"cogn_ep_lv"
"33","LRRC47","Inh ENOX2 SPHKAP",0.0782764177471659,4.53000577024196,5.51630801675718,0.0194235589310823,0.446070025500299,0.293904592530015,"cogn_ep_lv"
"34","CEP104","Inh ENOX2 SPHKAP",0.00637280764612233,5.66774990846247,0.0928926724911719,0.760721631819019,0.99916988777822,0.965506840491796,"cogn_ep_lv"
"35","DFFB","Inh ENOX2 SPHKAP",0.0474871122161879,4.89851416200804,2.75394146682599,0.0979554414605815,0.673518966338125,0.526875506797022,"cogn_ep_lv"
"36","AJAP1","Inh ENOX2 SPHKAP",-0.0409699272326268,4.59449438601194,1.00747213828832,0.316237229958413,0.862127140351352,0.760372432304602,"cogn_ep_lv"
"37","NPHP4","Inh ENOX2 SPHKAP",0.00451710416585964,5.39925398756468,0.0337353377629333,0.854382587239828,0.99916988777822,0.988880222987827,"cogn_ep_lv"
"38","KCNAB2","Inh ENOX2 SPHKAP",0.00868055332019172,6.16450789213455,0.195557844863316,0.85756864654331,0.99916988777822,0.98932093747016,"cogn_ep_lv"
"39","CHD5","Inh ENOX2 SPHKAP",-0.0151252122775165,7.68636475322434,1.03714208630215,0.309225627296599,0.860829104744091,0.755550773639349,"cogn_ep_lv"
"40","RPL22","Inh ENOX2 SPHKAP",-0.00245372280191572,5.58698374108236,0.0116798559639717,0.91400250144004,0.99916988777822,0.997399581978794,"cogn_ep_lv"
"41","RNF207","Inh ENOX2 SPHKAP",0.0370510066712018,4.7081695674637,1.30842638544307,0.253500496800626,0.827954747208726,0.71174503062106,"cogn_ep_lv"
"42","ICMT","Inh ENOX2 SPHKAP",-0.0256915902725207,4.20806629361869,0.47558677433184,0.49090793732782,0.933010100217602,0.863404434090728,"cogn_ep_lv"
"43","GPR153","Inh ENOX2 SPHKAP",0.0207890007688151,4.31447095847458,0.263969248479549,0.607746631597709,0.965624931970168,0.913429081760671,"cogn_ep_lv"
"44","ACOT7","Inh ENOX2 SPHKAP",0.0104330947897542,6.27594994541752,0.339588283059242,0.560460944118132,0.948703463703854,0.89441340333271,"cogn_ep_lv"
"45","TNFRSF25","Inh ENOX2 SPHKAP",-0.0176415080542944,4.92694979130856,0.35073012056939,0.554101588542959,0.948209757596104,0.891886372694765,"cogn_ep_lv"
"46","PLEKHG5","Inh ENOX2 SPHKAP",-0.014207319337619,4.22555763804424,0.127245480303027,0.721530979254671,0.99277148966874,0.953033779363712,"cogn_ep_lv"
"47","NOL9","Inh ENOX2 SPHKAP",-0.00832277401556516,5.41552887492312,0.123537529900693,0.72545103443685,0.99277148966874,0.954302919886227,"cogn_ep_lv"
"48","KLHL21","Inh ENOX2 SPHKAP",-0.00561304269413208,4.91419644711885,0.0417890451916916,0.838147171104901,0.99916988777822,0.985844999800128,"cogn_ep_lv"
"49","DNAJC11","Inh ENOX2 SPHKAP",0.0169140360139232,6.09497032643773,0.739920046025169,0.390304706308742,0.892553868014742,0.80869012324142,"cogn_ep_lv"
"50","CAMTA1","Inh ENOX2 SPHKAP",0.000999721494649564,9.44869018896164,0.00922713233297842,0.923532258300297,0.99916988777822,0.998458613526,"cogn_ep_lv"
"51","PER3","Inh ENOX2 SPHKAP",-0.0611731689355391,6.86716083042068,12.0725395210814,0.000579298804159508,0.122127955242894,0.0605192730155801,"cogn_ep_lv"
"52","PARK7","Inh ENOX2 SPHKAP",0.0454680029198196,5.16757699857441,1.80082845200311,0.180525695028132,0.762986867041555,0.642815090205311,"cogn_ep_lv"
"53","ERRFI1","Inh ENOX2 SPHKAP",-0.00643358164522552,4.62383517481454,0.0397241655348136,0.842142382161065,0.99916988777822,0.986565900574811,"cogn_ep_lv"
"54","SLC45A1","Inh ENOX2 SPHKAP",0.0568625714675777,4.37252834182885,2.39184179967259,0.122918655114801,0.714949994255092,0.568112578509326,"cogn_ep_lv"
"55","RERE","Inh ENOX2 SPHKAP",-0.0164567387205054,9.04327464568206,3.03595132999876,0.0823610291404872,0.640677349615381,0.496787482844641,"cogn_ep_lv"
"56","ENO1","Inh ENOX2 SPHKAP",0.0197814425368862,5.60669805943284,0.480046251255017,0.488883771559151,0.93239385992056,0.862559077774504,"cogn_ep_lv"
"57","MIR34AHG","Inh ENOX2 SPHKAP",0.0498618219437015,4.48758767857648,1.63083421558797,0.202476498524967,0.782737650907552,0.665459321027489,"cogn_ep_lv"
"58","H6PD","Inh ENOX2 SPHKAP",-0.00389205888665883,4.59254954212562,0.0125365544756247,0.910917155182662,0.99916988777822,0.996836967430209,"cogn_ep_lv"
"59","SLC25A33","Inh ENOX2 SPHKAP",0.0162038297193022,4.54489205028192,0.199361952033315,0.655526266736647,0.981575435068774,0.931580035767117,"cogn_ep_lv"
"60","TMEM201","Inh ENOX2 SPHKAP",0.00443404264116525,4.40415667137289,0.0151790168568775,0.902020476825658,0.99916988777822,0.995923471627904,"cogn_ep_lv"
"61","PIK3CD","Inh ENOX2 SPHKAP",-0.0220812800339982,5.74471067756764,1.01317175443739,0.314874257819985,0.861861763463047,0.759281612473543,"cogn_ep_lv"
"62","CLSTN1","Inh ENOX2 SPHKAP",0.0181631098816838,8.22149748090157,2.07589486116933,0.150580760546715,0.742500140057706,0.606453561022058,"cogn_ep_lv"
"63","CTNNBIP1","Inh ENOX2 SPHKAP",0.035333545281035,5.28243759018883,1.89972446501072,0.169033521457348,0.757591044875201,0.629628657188901,"cogn_ep_lv"
"64","LZIC","Inh ENOX2 SPHKAP",-0.0144999238284478,4.56766097477167,0.216475982869571,0.64204206035164,0.975444932919224,0.926320068883371,"cogn_ep_lv"
"65","NMNAT1","Inh ENOX2 SPHKAP",0.111375013885555,4.4291716017569,9.15221153716453,0.00267725343117363,0.228452490717194,0.125411527971912,"cogn_ep_lv"
