"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L1 PAX6 CA4",-0.0196520959059857,5.68880819242742,0.23214209364968,0.668305498839242,0.999997972749878,0.935712869910599,"cogn_ep_lv"
"2","HES4","Inh L1 PAX6 CA4",0.100251689410914,6.16665039986996,5.18222729667024,0.0237779432529391,0.81892748353655,0.317585395247938,"cogn_ep_lv"
"3","C1orf159","Inh L1 PAX6 CA4",0.0616348865055217,5.9922779214045,2.44412183463128,0.119398531628263,0.888097649539743,0.562680774805738,"cogn_ep_lv"
"4","SDF4","Inh L1 PAX6 CA4",0.0775358286145702,5.82705057856245,4.45864901674232,0.0358496955460029,0.81892748353655,0.369584319818145,"cogn_ep_lv"
"5","ACAP3","Inh L1 PAX6 CA4",-0.0262356993844572,6.69372389739443,0.70142869077911,0.40321001582924,0.969376150281601,0.816898874219928,"cogn_ep_lv"
"6","INTS11","Inh L1 PAX6 CA4",0.0165707210824538,6.05689369677126,0.267405991579144,0.60559500201853,0.999085668567007,0.912888172190705,"cogn_ep_lv"
"7","CCNL2","Inh L1 PAX6 CA4",-0.0283163734349154,6.34215376241803,0.900053204224911,0.34380504915616,0.951859143147556,0.779098192200457,"cogn_ep_lv"
"8","SSU72","Inh L1 PAX6 CA4",0.00760600146187058,5.93104981272874,0.0422225158498032,0.83738559059695,0.999997972749878,0.985751178474524,"cogn_ep_lv"
"9","MIB2","Inh L1 PAX6 CA4",-0.0186081327551715,5.66933189951391,0.189828769273395,0.663484969561659,0.999997972749878,0.933868650339942,"cogn_ep_lv"
"10","GNB1","Inh L1 PAX6 CA4",0.00197563861590241,8.0625464899131,0.0107784447306679,0.917407033508,0.999997972749878,0.997662436219559,"cogn_ep_lv"
"11","PRKCZ","Inh L1 PAX6 CA4",0.00510998031092335,6.83335762342655,0.0402750173195829,0.841128627573889,0.999997972749878,0.986316649422089,"cogn_ep_lv"
"12","SKI","Inh L1 PAX6 CA4",-0.0265374373324868,6.46962353077837,0.930119782312883,0.335887283412459,0.951423929777403,0.77336344289553,"cogn_ep_lv"
"13","CEP104","Inh L1 PAX6 CA4",0.0287498536171856,6.0046418394589,0.663460034335692,0.41621904408968,0.969935854236267,0.823819342949262,"cogn_ep_lv"
"14","AJAP1","Inh L1 PAX6 CA4",0.0647467497576573,7.3881263204929,6.83418025473742,0.00955882917783959,0.75487735568873,0.220619473966297,"cogn_ep_lv"
"15","NPHP4","Inh L1 PAX6 CA4",0.05623013528804,5.86721448200725,2.08101907679533,0.150558164995061,0.913075011018841,0.606453561022058,"cogn_ep_lv"
"16","KCNAB2","Inh L1 PAX6 CA4",-0.0167966909716301,6.50603487238425,0.331357102067389,0.565447491111312,0.996477288443465,0.896539858491227,"cogn_ep_lv"
"17","CHD5","Inh L1 PAX6 CA4",-0.046529735203377,7.74022134580657,3.46619068862695,0.0639646478553203,0.834327502728626,0.456303604440071,"cogn_ep_lv"
"18","RPL22","Inh L1 PAX6 CA4",0.0482139105029718,5.73339098011731,1.44666518939382,0.230352469226718,0.924194370020275,0.693192740080186,"cogn_ep_lv"
"19","ACOT7","Inh L1 PAX6 CA4",0.0464787464085889,6.65122593219266,2.84430718789278,0.0931110269264006,0.850771110725288,0.518221794492684,"cogn_ep_lv"
"20","TNFRSF25","Inh L1 PAX6 CA4",0.00252821597123768,6.40299552251626,0.0059829721879497,0.938415447671821,0.999997972749878,0.999602786328616,"cogn_ep_lv"
"21","PLEKHG5","Inh L1 PAX6 CA4",0.00844423331839351,5.78189678250295,0.0454713647121878,0.831336482242789,0.999997972749878,0.98458871823257,"cogn_ep_lv"
"22","DNAJC11","Inh L1 PAX6 CA4",-0.0297979274434921,6.09025100942811,0.737807126879413,0.391296144403956,0.96714984058274,0.80922726833962,"cogn_ep_lv"
"23","CAMTA1","Inh L1 PAX6 CA4",-0.0162751957498182,9.18500791655386,1.42525970731796,0.233821164027315,0.924194370020275,0.696262301267371,"cogn_ep_lv"
"24","PER3","Inh L1 PAX6 CA4",0.0102746619368945,6.97004396626702,0.158288918437711,0.691121316350431,0.999997972749878,0.943710854366808,"cogn_ep_lv"
"25","RERE","Inh L1 PAX6 CA4",-0.0109166589070086,9.3915003880591,0.698637295793337,0.742112427712423,0.999997972749878,0.959514561064595,"cogn_ep_lv"
"26","ENO1","Inh L1 PAX6 CA4",0.0387532024863758,6.13144488898932,0.928555705175686,0.33629307004892,0.951423929777403,0.773564739830984,"cogn_ep_lv"
"27","CLSTN1","Inh L1 PAX6 CA4",-0.0387247310262293,8.15337371086929,4.30038909734405,0.0392639869610378,0.81892748353655,0.382191789132019,"cogn_ep_lv"
"28","UBE4B","Inh L1 PAX6 CA4",-0.0308202803538496,7.69819268923975,2.4782860558924,0.116860282874381,0.88120712617137,0.559152429523657,"cogn_ep_lv"
"29","KIF1B","Inh L1 PAX6 CA4",-0.00492275315918217,8.97060880504833,0.139371749022842,0.709264692076252,0.999997972749878,0.949756378853711,"cogn_ep_lv"
"30","PEX14","Inh L1 PAX6 CA4",0.00621259552564742,6.28688858118695,0.0364515717485435,0.848761466130524,0.999997972749878,0.987808703101884,"cogn_ep_lv"
"31","SRM","Inh L1 PAX6 CA4",0.0319265888855355,5.71396770582924,0.431342284277743,0.512015243398077,0.986853408249369,0.87305377006081,"cogn_ep_lv"
"32","EXOSC10","Inh L1 PAX6 CA4",0.0558366346813771,5.82134029299571,1.91743450112455,0.167537933486229,0.916401734222958,0.627849703993714,"cogn_ep_lv"
"33","MTOR","Inh L1 PAX6 CA4",0.0324732190244797,6.51032201370287,1.09078436662689,0.297439999665792,0.938447236734201,0.74659951550843,"cogn_ep_lv"
"34","DISP3","Inh L1 PAX6 CA4",0.00380332188541914,5.80137011330444,0.00922369697559803,0.923575884584159,0.999997972749878,0.998458613526,"cogn_ep_lv"
"35","FBXO2","Inh L1 PAX6 CA4",0.0221338111126075,5.56543546518986,0.226504334738435,0.634598745556939,0.999997972749878,0.923479859850364,"cogn_ep_lv"
"36","FBXO44","Inh L1 PAX6 CA4",0.0020822477603001,6.28022481279502,0.00401505037608858,0.949533662625047,0.999997972749878,0.999938100124967,"cogn_ep_lv"
"37","VPS13D","Inh L1 PAX6 CA4",-0.0179971166334252,8.01792145394355,0.896213328181366,0.344834373320939,0.951859143147556,0.779759931253543,"cogn_ep_lv"
"38","PRDM2","Inh L1 PAX6 CA4",-0.0194538881455855,6.90716515022852,0.807197083579949,0.369929294397634,0.959212645880889,0.796006629448729,"cogn_ep_lv"
"39","KAZN","Inh L1 PAX6 CA4",0.0148268368208233,12.4589815426557,1.36984847279409,0.243100094469525,0.924194370020275,0.703391101912702,"cogn_ep_lv"
"40","PLEKHM2","Inh L1 PAX6 CA4",0.00319706444722021,6.15246590138062,0.0101443079371561,0.941155166726524,0.999997972749878,0.999737439847048,"cogn_ep_lv"
"41","SPEN","Inh L1 PAX6 CA4",-0.0292956702887927,6.95141370283422,1.60757845696044,0.221615976247927,0.924194370020275,0.684562755823128,"cogn_ep_lv"
"42","FBXO42","Inh L1 PAX6 CA4",-0.00158284440321493,7.29202582841458,0.00537129342691586,0.941642433088605,0.999997972749878,0.999748051068941,"cogn_ep_lv"
"43","NBPF1","Inh L1 PAX6 CA4",-0.0164068274934566,6.03178688724915,0.18952930844714,0.663734079703397,0.999997972749878,0.933893877686117,"cogn_ep_lv"
"44","CROCC","Inh L1 PAX6 CA4",-0.0257453479073379,6.71812247780873,0.695249277021828,0.405286100457285,0.969376150281601,0.817878145090774,"cogn_ep_lv"
"45","ATP13A2","Inh L1 PAX6 CA4",0.0499915058840751,6.59393377012975,3.17555861181223,0.0983960413231972,0.852806862054592,0.527826481913092,"cogn_ep_lv"
"46","IGSF21","Inh L1 PAX6 CA4",0.0488923560173503,7.26448011468014,3.87971929581697,0.0501234401051937,0.827681847263388,0.417530440144824,"cogn_ep_lv"
"47","UBR4","Inh L1 PAX6 CA4",0.00242753931215539,6.85407113326829,0.00920185874050167,0.923666131196861,0.999997972749878,0.998458613526,"cogn_ep_lv"
"48","CAPZB","Inh L1 PAX6 CA4",0.0189345140900456,7.45723487163597,0.788655406882668,0.375473762975142,0.959212645880889,0.799452370252991,"cogn_ep_lv"
"49","CAMK2N1","Inh L1 PAX6 CA4",-0.0240897881620491,6.71309967923469,0.53100480453244,0.466957199897655,0.97597236331811,0.851554824944207,"cogn_ep_lv"
"50","HP1BP3","Inh L1 PAX6 CA4",-0.026126505073112,7.3868145366293,1.48531975149027,0.224245056687387,0.924194370020275,0.687292879648069,"cogn_ep_lv"
"51","EIF4G3","Inh L1 PAX6 CA4",-0.000678808642182252,9.16163830953357,0.00251447660058476,0.960052542332991,0.999997972749878,0.999938100124967,"cogn_ep_lv"
"52","ECE1","Inh L1 PAX6 CA4",-0.0717912975837448,6.12528566620766,4.87242696390362,0.0283190481639239,0.81892748353655,0.338451589784924,"cogn_ep_lv"
