"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","MXRA8","Fib FLRT2",0.0362919820283242,7.36627056450664,0.1707172874809,0.680162205348058,0.999403716766414,0.990270959933501,"cogn_global_lv"
"2","CCNL2","Fib FLRT2",-0.0259640204174311,8.05939446814322,0.38367667124166,0.536736277285242,0.999403716766414,0.961450983908122,"cogn_global_lv"
"3","GNB1","Fib FLRT2",-0.0301993740595162,8.43948375582453,0.494381582758022,0.575910299153886,0.999403716766414,0.974683916504909,"cogn_global_lv"
"4","SKI","Fib FLRT2",-0.0896430235180792,8.1462397647868,2.45000491253982,0.119978250332452,0.951471122064753,0.71631378110891,"cogn_global_lv"
"5","CAMTA1","Fib FLRT2",0.0345644431605057,8.35936905510025,0.530030536491564,0.467915549128117,0.999403716766414,0.946728877152896,"cogn_global_lv"
"6","PER3","Fib FLRT2",0.100216801372509,8.14422032074335,2.06602277736815,0.153038907799776,0.983047902250982,0.768194050536239,"cogn_global_lv"
"7","ERRFI1","Fib FLRT2",-0.0452722479237306,7.93636211537327,0.286514361304493,0.593385936972343,0.999403716766414,0.97952239472306,"cogn_global_lv"
"8","RERE","Fib FLRT2",0.0384663376760491,9.89439462278091,1.72114517089868,0.191879257493838,0.997116185297306,0.805528509169009,"cogn_global_lv"
"9","SPSB1","Fib FLRT2",0.025377204265458,7.43357820448461,0.0983765748373601,0.754293982646411,0.999403716766414,0.997825458806262,"cogn_global_lv"
"10","CLSTN1","Fib FLRT2",0.0105742093848219,7.64355391081002,0.0388238164727163,0.844108714919928,0.999403716766414,0.99996456393909,"cogn_global_lv"
"11","UBE4B","Fib FLRT2",0.0227845831635786,8.32423025130303,0.294998134885228,0.70377829187701,0.999403716766414,0.993830947200967,"cogn_global_lv"
"12","KIF1B","Fib FLRT2",0.0375715494369864,8.41110272420005,0.813337461741106,0.911864303401518,0.999403716766414,0.99996456393909,"cogn_global_lv"
"13","VPS13D","Fib FLRT2",-0.00905688815025239,8.65106138266771,0.0625214209530358,0.802952613514347,0.999403716766414,0.99996456393909,"cogn_global_lv"
"14","DHRS3","Fib FLRT2",-0.15435333976195,7.3186470010108,2.22039743172587,0.138642890630325,0.967082159046865,0.745856167579991,"cogn_global_lv"
"15","PRDM2","Fib FLRT2",-0.0175401367008923,8.24334426487494,0.151310940483709,0.697928062012263,0.999403716766414,0.993154247843825,"cogn_global_lv"
"16","KAZN","Fib FLRT2",-0.0172158313477245,11.8053807325587,0.0642654292007325,0.800281237316131,0.999403716766414,0.99996456393909,"cogn_global_lv"
"17","SPEN","Fib FLRT2",-0.0767911428969852,8.10471133859735,2.42092426608898,0.149988341446341,0.980667667323895,0.76467678103126,"cogn_global_lv"
"18","UBR4","Fib FLRT2",-0.0445514849896828,7.82300911832316,0.778712121449312,0.379179340791511,0.999403716766414,0.915423152456392,"cogn_global_lv"
"19","CAPZB","Fib FLRT2",0.0319733361151738,9.04186110420128,0.357408939622877,0.550998531271301,0.999403716766414,0.964848606475509,"cogn_global_lv"
"20","HP1BP3","Fib FLRT2",-0.0381253331029128,9.02278153906405,0.838119533520542,0.36164602280704,0.999403716766414,0.90988123122087,"cogn_global_lv"
"21","EIF4G3","Fib FLRT2",-0.010685891475945,9.75949678723969,0.101477816329015,0.843312682952018,0.999403716766414,0.99996456393909,"cogn_global_lv"
"22","ECE1","Fib FLRT2",-0.0541133943969216,9.0232244981424,1.28198516009585,0.259633821294769,0.999403716766414,0.85078652188544,"cogn_global_lv"
"23","USP48","Fib FLRT2",-0.050394058458551,7.90903342700502,0.870957187346416,0.352436733905228,0.999403716766414,0.905982522773242,"cogn_global_lv"
"24","HSPG2","Fib FLRT2",0.032703446083893,7.7747078656154,0.238716527594968,0.625965526716723,0.999403716766414,0.985000308606391,"cogn_global_lv"
"25","HNRNPR","Fib FLRT2",-0.0132585560828289,7.90588870862205,0.0628947410450465,0.891331134185701,0.999403716766414,0.99996456393909,"cogn_global_lv"
"26","SRSF10","Fib FLRT2",0.0402699442653552,7.65973622390363,0.429219249007484,0.513540732745898,0.999403716766414,0.952129068093908,"cogn_global_lv"
"27","CLIC4","Fib FLRT2",0.0219432317405984,8.68613694475096,0.17358230703601,0.67764105526931,0.999403716766414,0.989418411241712,"cogn_global_lv"
"28","RSRP1","Fib FLRT2",-0.0625728060560218,8.95845639362463,2.78157199882656,0.0977841340190517,0.94596213901604,0.687917955106561,"cogn_global_lv"
"29","MAN1C1","Fib FLRT2",0.0674084700484057,8.85674928947369,2.50900639227924,0.115649705436712,0.951187021953097,0.713160597001848,"cogn_global_lv"
"30","ARID1A","Fib FLRT2",0.00767864560170813,7.87671406075888,0.0272622086788351,0.869114139957735,0.999403716766414,0.99996456393909,"cogn_global_lv"
"31","WASF2","Fib FLRT2",-0.0436742708768492,8.3632026053495,1.00104003211244,0.325628854088523,0.999403716766414,0.894295996691609,"cogn_global_lv"
"32","PHACTR4","Fib FLRT2",-0.0306107940832262,8.30657149825805,0.379963367597593,0.538710829247777,0.999403716766414,0.962800631277727,"cogn_global_lv"
"33","SRSF4","Fib FLRT2",0.0352792803695329,8.10278655281983,0.515804287827543,0.659889045104391,0.999403716766414,0.988383881242338,"cogn_global_lv"
"34","PUM1","Fib FLRT2",0.00381154093996944,8.63609846635013,0.0127924554960627,0.910124416742349,0.999403716766414,0.99996456393909,"cogn_global_lv"
"35","YARS","Fib FLRT2",-0.104901315431702,7.31954448132723,1.11320003732122,0.293362572545861,0.999403716766414,0.870583326300812,"cogn_global_lv"
"36","PHC2","Fib FLRT2",0.00242988665818239,8.59715700281653,0.00132542975436061,0.971014636091922,0.999403716766414,0.99996456393909,"cogn_global_lv"
"37","CSMD2","Fib FLRT2",-0.0603240945203997,8.81301777559272,0.796686972670017,0.37375040763254,0.999403716766414,0.914642456838162,"cogn_global_lv"
"38","SFPQ","Fib FLRT2",0.0337904729467476,8.43469559061645,0.539306989302716,0.731702233304134,0.999403716766414,0.996126402915009,"cogn_global_lv"
"39","ZMYM4","Fib FLRT2",-0.0298883214768096,8.71312286897431,0.541704025883723,0.46306572226502,0.999403716766414,0.946691944056566,"cogn_global_lv"
"40","KIAA0319L","Fib FLRT2",0.0105647301743435,8.54125174705568,0.0590161623668283,0.880718849464458,0.999403716766414,0.99996456393909,"cogn_global_lv"
"41","AGO4","Fib FLRT2",0.0697124483081131,7.81705284092752,1.62692848058359,0.20442420779795,0.997116185297306,0.811854690079075,"cogn_global_lv"
"42","AGO3","Fib FLRT2",0.00307175152833517,8.62283070481955,0.00685485237892658,0.934143849462656,0.999403716766414,0.99996456393909,"cogn_global_lv"
"43","THRAP3","Fib FLRT2",0.0739731578654927,8.02783009081145,2.27241694651331,0.145553712560598,0.975084756351515,0.75714349096453,"cogn_global_lv"
"44","INPP5B","Fib FLRT2",0.0190035412748647,7.78715132156631,0.120468135860144,0.729093799432215,0.999403716766414,0.995926342357947,"cogn_global_lv"
"45","AL139260.1","Fib FLRT2",-0.104104992395083,7.640248120902,2.27697842855513,0.133756731131074,0.962425456513928,0.739265637122117,"cogn_global_lv"
"46","MACF1","Fib FLRT2",-0.000433954103306176,10.5321272294892,0.000210730007628995,0.988440344452533,0.999403716766414,0.99996456393909,"cogn_global_lv"
"47","RLF","Fib FLRT2",-0.00566192082349574,7.85932480427587,0.0117767735959907,0.973569106678584,0.999403716766414,0.99996456393909,"cogn_global_lv"
"48","SCMH1","Fib FLRT2",0.000805863034150968,9.56676875239339,0.000507784104049305,0.982056812923279,0.999403716766414,0.99996456393909,"cogn_global_lv"
"49","HIVEP3","Fib FLRT2",-0.0606641868779304,8.44176257953854,0.866027002844399,0.353798589653354,0.999403716766414,0.905982522773242,"cogn_global_lv"
"50","FOXJ3","Fib FLRT2",0.0229460617836875,8.45523397581971,0.272667970395542,0.602444615379297,0.999403716766414,0.980035721923538,"cogn_global_lv"
"51","CCDC30","Fib FLRT2",-0.014224496526104,7.7424413313553,0.0431556595659665,0.835760574768246,0.999403716766414,0.99996456393909,"cogn_global_lv"
"52","ERI3","Fib FLRT2",-0.0385758082627047,7.86376932287934,0.564237890949549,0.453928052925492,0.999403716766414,0.943648010060157,"cogn_global_lv"
"53","RNF220","Fib FLRT2",0.0677609634367974,11.4233263589458,1.66108221682053,0.199767435779006,0.997116185297306,0.808125039581817,"cogn_global_lv"
"54","ZSWIM5","Fib FLRT2",0.000666860048073684,8.07648208966356,0.00024804274267189,0.987458709072442,0.999403716766414,0.99996456393909,"cogn_global_lv"
"55","GPBP1L1","Fib FLRT2",0.0233191837343431,8.13153852233463,0.28916657759534,0.670166562836539,0.999403716766414,0.989386825590637,"cogn_global_lv"
"56","SPATA6","Fib FLRT2",-0.00646096948137886,9.5960818097355,0.0274001896779551,0.868786364048017,0.999403716766414,0.99996456393909,"cogn_global_lv"
"57","AGBL4","Fib FLRT2",0.0473384967285786,9.06262755246652,0.459604065410073,0.499025200549219,0.999403716766414,0.949426883399777,"cogn_global_lv"
"58","FAF1","Fib FLRT2",0.00809751903435543,9.29971248806194,0.0513705391128759,0.930451489249302,0.999403716766414,0.99996456393909,"cogn_global_lv"
"59","EPS15","Fib FLRT2",0.0120396403229787,8.75151962302289,0.109315743568218,0.746445518038085,0.999403716766414,0.997110720300125,"cogn_global_lv"
"60","OSBPL9","Fib FLRT2",-0.00555964553294893,9.00128492940935,0.0182012831105918,0.892891959922813,0.999403716766414,0.99996456393909,"cogn_global_lv"
"61","NRDC","Fib FLRT2",-0.0241613781206784,8.62247617025138,0.46807914071952,0.872892963647587,0.999403716766414,0.99996456393909,"cogn_global_lv"
"62","ZFYVE9","Fib FLRT2",0.0489465887322446,8.14414480069817,1.12304288869744,0.291247527398077,0.999403716766414,0.869831353548849,"cogn_global_lv"
"63","TUT4","Fib FLRT2",-0.0314370333375208,8.66887348231917,0.711194482179611,0.40061105973878,0.999403716766414,0.926100563989919,"cogn_global_lv"
"64","ECHDC2","Fib FLRT2",0.0206125079474708,8.67036628921163,0.21734130261922,0.641860739748146,0.999403716766414,0.98658877062335,"cogn_global_lv"
"65","SSBP3","Fib FLRT2",-0.0997787928505788,9.0372693602,2.73800636138321,0.100421905224237,0.94596213901604,0.69087066629164,"cogn_global_lv"
"66","ACOT11","Fib FLRT2",0.0736436734540583,7.32136043523236,0.407328697965656,0.524461652867405,0.999403716766414,0.954770858373406,"cogn_global_lv"
"67","USP24","Fib FLRT2",-0.0669610095904365,8.43561579000007,2.8081173686212,0.0962144212818202,0.94596213901604,0.685691526920823,"cogn_global_lv"
"68","PLPP3","Fib FLRT2",-0.0555335153728883,7.82702111327782,0.382829384805691,0.537185654095394,0.999403716766414,0.961450983908122,"cogn_global_lv"
