"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh FBN2 EPB41L4A",0.0018179582279721,5.77950824971087,0.0028657790855321,0.957345914493927,0.999818068919224,0.999998654867212,"cogn_po_lv"
"2","NOC2L","Inh FBN2 EPB41L4A",0.027416695386759,5.15199949540586,0.678915632161227,0.410670478867543,0.896350566371759,0.991804280693619,"cogn_po_lv"
"3","HES4","Inh FBN2 EPB41L4A",0.0859332796495964,5.71387513445078,5.05665416886285,0.0253189705056164,0.490322684423393,0.828710521736701,"cogn_po_lv"
"4","AGRN","Inh FBN2 EPB41L4A",0.123834762813032,4.54718673272155,6.18409444066133,0.0134805284442136,0.419227776756959,0.768627696485052,"cogn_po_lv"
"5","C1orf159","Inh FBN2 EPB41L4A",-0.049472315360445,5.5844475864826,2.79115669244715,0.249437022520933,0.823819561145016,0.967466256720954,"cogn_po_lv"
"6","SDF4","Inh FBN2 EPB41L4A",-0.0197979633923325,5.46836029234622,0.381477653335136,0.537321778263056,0.942506583761568,0.999998654867212,"cogn_po_lv"
"7","UBE2J2","Inh FBN2 EPB41L4A",0.000673380382106057,5.13489429942123,0.000481960553984951,0.982500801427305,0.999818068919224,0.999998654867212,"cogn_po_lv"
"8","ACAP3","Inh FBN2 EPB41L4A",0.0296804656708906,6.42854033226434,1.49332130627889,0.222742522081195,0.799601362667061,0.96169965449887,"cogn_po_lv"
"9","INTS11","Inh FBN2 EPB41L4A",0.00590412429237504,5.39266698710524,0.041712099087633,0.854025382908097,0.998581876664616,0.999998654867212,"cogn_po_lv"
"10","DVL1","Inh FBN2 EPB41L4A",-0.0225739049183812,4.54047209043267,0.260396584344775,0.610254911520762,0.956447617743334,0.999998654867212,"cogn_po_lv"
"11","AURKAIP1","Inh FBN2 EPB41L4A",0.0305418970035046,4.56666396905548,0.297616756419586,0.585820161280883,0.956378948073102,0.999998654867212,"cogn_po_lv"
"12","CCNL2","Inh FBN2 EPB41L4A",-0.00781349894453732,5.84747443635921,0.108343276219135,0.751603820811803,0.983382559183892,0.999998654867212,"cogn_po_lv"
"13","MRPL20","Inh FBN2 EPB41L4A",0.000938472811810547,4.84760036138917,0.000426567369031071,0.983536951758465,0.999818068919224,0.999998654867212,"cogn_po_lv"
"14","ATAD3B","Inh FBN2 EPB41L4A",0.0521851913309838,4.58449026829271,1.51265065663182,0.21978041443112,0.799559420547511,0.960634597278394,"cogn_po_lv"
"15","SSU72","Inh FBN2 EPB41L4A",-0.0201957808361041,5.54993581552027,0.28667251819744,0.592791129667369,0.956447617743334,0.999998654867212,"cogn_po_lv"
"16","FNDC10","Inh FBN2 EPB41L4A",0.0020496291782958,4.42987270868201,0.000974561498576649,0.97511823088435,0.999818068919224,0.999998654867212,"cogn_po_lv"
"17","MIB2","Inh FBN2 EPB41L4A",-0.0121685397302827,5.1379011875824,0.155308315901462,0.693817030330618,0.975624746774048,0.999998654867212,"cogn_po_lv"
"18","CDK11B","Inh FBN2 EPB41L4A",0.0483871178758665,4.944153894278,1.80022690868297,0.180785820200235,0.77981679094965,0.951651277244628,"cogn_po_lv"
"19","SLC35E2B","Inh FBN2 EPB41L4A",0.0431246843054009,4.96954339055844,1.59111366527793,0.208230164422984,0.794875679551792,0.958101823976201,"cogn_po_lv"
"20","CDK11A","Inh FBN2 EPB41L4A",-0.0723273944323229,4.43138627955133,2.03780403976911,0.154559300979375,0.75551329392016,0.942747265426638,"cogn_po_lv"
"21","SLC35E2A","Inh FBN2 EPB41L4A",0.0824985526310517,5.03854283181715,4.63056821334072,0.0322729269719397,0.526271767833816,0.853808345404754,"cogn_po_lv"
"22","GNB1","Inh FBN2 EPB41L4A",0.00029698118992045,7.56631125793166,0.000398537699831984,0.986453747622792,0.999818068919224,0.999998654867212,"cogn_po_lv"
"23","GABRD","Inh FBN2 EPB41L4A",0.0232933860122062,4.69444013135122,0.254788518493673,0.614125347629631,0.956664163248294,0.999998654867212,"cogn_po_lv"
"24","PRKCZ","Inh FBN2 EPB41L4A",-0.0027383845749927,6.93788801384907,0.0215360656642646,0.955286002873453,0.999818068919224,0.999998654867212,"cogn_po_lv"
"25","FAAP20","Inh FBN2 EPB41L4A",-0.000996028983635762,4.95050717049273,0.000702069649240847,0.978880359424035,0.999818068919224,0.999998654867212,"cogn_po_lv"
"26","SKI","Inh FBN2 EPB41L4A",0.0705780909666814,6.10339358648839,6.53686396262613,0.011100561344907,0.405193519299365,0.74495338648575,"cogn_po_lv"
"27","MORN1","Inh FBN2 EPB41L4A",-0.00568678259284311,4.75268485432196,0.0207612183589246,0.885536298377618,0.999818068919224,0.999998654867212,"cogn_po_lv"
"28","RER1","Inh FBN2 EPB41L4A",0.0249941722674561,4.99003058282988,0.504343025550505,0.581509992955121,0.955573810166218,0.999998654867212,"cogn_po_lv"
"29","PLCH2","Inh FBN2 EPB41L4A",-0.0419571429453539,4.61720846956878,0.806467592697146,0.36994792041966,0.883670810638898,0.985693102476371,"cogn_po_lv"
"30","TPRG1L","Inh FBN2 EPB41L4A",-0.0421581465051241,4.92328514580256,0.952113121587818,0.330034836576692,0.869587916533954,0.979615272192409,"cogn_po_lv"
"31","LRRC47","Inh FBN2 EPB41L4A",0.000714499279402042,4.60385536229399,0.000155967516844345,0.990044727063331,0.999818068919224,0.999998654867212,"cogn_po_lv"
"32","CEP104","Inh FBN2 EPB41L4A",0.030518931687379,5.55732791478533,1.2082403719619,0.272636968978921,0.838376799809008,0.971231184967701,"cogn_po_lv"
"33","DFFB","Inh FBN2 EPB41L4A",0.0566679064441217,4.7765657025256,1.99471421885171,0.158973253262539,0.760196882817874,0.943975271636183,"cogn_po_lv"
"34","AJAP1","Inh FBN2 EPB41L4A",0.0727177087251502,4.98946370183569,3.41321532282049,0.0657443168768267,0.631100217248513,0.896129132196556,"cogn_po_lv"
"35","NPHP4","Inh FBN2 EPB41L4A",0.0107036472388923,5.67961717990368,0.142482533530483,0.70611495285481,0.977498830467785,0.999998654867212,"cogn_po_lv"
"36","KCNAB2","Inh FBN2 EPB41L4A",-0.00804287590416987,6.23724844015609,0.1102179898494,0.74014759286307,0.980631628627342,0.999998654867212,"cogn_po_lv"
"37","CHD5","Inh FBN2 EPB41L4A",0.00228072735664093,7.5221327587423,0.0121976615147264,0.912138147324621,0.999818068919224,0.999998654867212,"cogn_po_lv"
"38","RPL22","Inh FBN2 EPB41L4A",0.031664600276385,5.45600990074639,1.11950949332009,0.371505316624468,0.885042966259957,0.986039607219404,"cogn_po_lv"
"39","RNF207","Inh FBN2 EPB41L4A",0.020134958891667,4.79557866442392,0.30039650515127,0.584076123305236,0.955573810166218,0.999998654867212,"cogn_po_lv"
"40","ACOT7","Inh FBN2 EPB41L4A",0.0567199008419039,6.23377461219595,5.51497953820579,0.0195587446214946,0.459837913285097,0.808499042110735,"cogn_po_lv"
