"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5/6 NP",-0.0126792884330295,3.11997634387454,0.112077509019685,0.737991677577478,0.981162430416142,0.985905080987139,"cogn_ps_lv"
"2","AL669831.5","Exc L5/6 NP",-0.0283268792733814,5.41436492466744,1.87230445590521,0.172088804828133,0.730605957083738,0.744696662612907,"cogn_ps_lv"
"3","NOC2L","Exc L5/6 NP",-0.0220392706913014,4.78683217894126,0.962176520578373,0.327316430416826,0.834525748685829,0.854208405243808,"cogn_ps_lv"
"4","KLHL17","Exc L5/6 NP",-0.0195205788384294,3.27804270425881,0.283289745037007,0.594890656383255,0.945357212482618,0.954607460050902,"cogn_ps_lv"
"5","HES4","Exc L5/6 NP",0.0466969809001191,3.13954195223106,0.839246710935427,0.360242851734528,0.854388700693648,0.872413672499881,"cogn_ps_lv"
"6","AGRN","Exc L5/6 NP",0.0205413802593739,4.83083265369653,0.777917026483862,0.378384062485498,0.863606644599595,0.879781830609885,"cogn_ps_lv"
"7","C1orf159","Exc L5/6 NP",0.0357308601312847,5.35224162734139,3.43458351868296,0.0646858077295893,0.613502058832623,0.579818379298173,"cogn_ps_lv"
"8","SDF4","Exc L5/6 NP",0.0421082914669369,5.12655862433914,4.75799566689241,0.0298272875088774,0.544846799147041,0.460671007182446,"cogn_ps_lv"
"9","B3GALT6","Exc L5/6 NP",-0.0732531406601603,2.99445867450036,3.00961446020863,0.0836520058834006,0.635845288123726,0.620471202742445,"cogn_ps_lv"
"10","UBE2J2","Exc L5/6 NP",-0.0360816495974113,5.00368868729504,4.73506184939955,0.085114291400513,0.635954198337444,0.622202059679972,"cogn_ps_lv"
"11","SCNN1D","Exc L5/6 NP",0.0525751701305279,3.37688530258185,2.37701889789053,0.124035628234489,0.676482706372789,0.685609159266163,"cogn_ps_lv"
"12","ACAP3","Exc L5/6 NP",-0.00369466722162503,6.23437438880807,0.0348787232672407,0.851958185135428,0.997788627837982,0.99898668848691,"cogn_ps_lv"
"13","INTS11","Exc L5/6 NP",-0.00555438769756927,5.41654142250782,0.0982708933908943,0.754101252895167,0.982820352365032,0.987703607015459,"cogn_ps_lv"
"14","CPTP","Exc L5/6 NP",-0.0392346772118116,3.22050485100045,1.00799558109588,0.316076883628264,0.828416686240049,0.849003011499276,"cogn_ps_lv"
"15","DVL1","Exc L5/6 NP",-0.0447602194719187,4.38102940606819,3.62525277523147,0.0577284969437756,0.600728707894715,0.560225964828026,"cogn_ps_lv"
"16","AURKAIP1","Exc L5/6 NP",0.00195267647714605,4.03185485581513,0.00246603944175904,0.960422260404417,0.999558292837197,0.999939540524579,"cogn_ps_lv"
"17","CCNL2","Exc L5/6 NP",0.0217168640364371,6.0349598928236,2.09823724112414,0.148364029885478,0.70032977514238,0.717392941313255,"cogn_ps_lv"
"18","MRPL20","Exc L5/6 NP",-0.026404245178632,4.49936357841539,1.00538721426461,0.316702935870971,0.82867525060327,0.849307867159306,"cogn_ps_lv"
