"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 THEMIS NFIA",-0.00714241715857402,2.92316561982185,0.086030295855988,0.769442155858223,0.986801952615423,0.990186105624695,"cogn_ps_lv"
"2","AL669831.5","Exc L6 THEMIS NFIA",-0.0140041327778022,5.60349830784147,0.601485816583006,0.438482705585053,0.890730165843748,0.905307122619043,"cogn_ps_lv"
"3","LINC00115","Exc L6 THEMIS NFIA",0.0120117571425112,0.775867144371612,0.0756903156193664,0.783371028474733,0.987475828035575,0.991340590471488,"cogn_ps_lv"
"4","NOC2L","Exc L6 THEMIS NFIA",-3.92591332131031e-05,4.66299829838942,5.61913976094254e-06,0.998109853012218,0.999820857159896,0.999939540524579,"cogn_ps_lv"
"5","KLHL17","Exc L6 THEMIS NFIA",0.00180066176937028,2.71511523910704,0.00563451305582073,0.9402028435893,0.999226009593163,0.999939540524579,"cogn_ps_lv"
"6","HES4","Exc L6 THEMIS NFIA",0.234093103518117,2.4463496975386,26.7094642418461,3.78728839673467e-07,0.000501476700057948,0.00101782024309452,"cogn_ps_lv"
"7","ISG15","Exc L6 THEMIS NFIA",0.07973878978906,0.814944625795812,2.24743590414071,0.134646751185291,0.682895599496338,0.700732363852508,"cogn_ps_lv"
"8","AGRN","Exc L6 THEMIS NFIA",0.0410084914644507,4.15515471621192,2.89859095856646,0.0894555435012468,0.593156880033478,0.629831036096734,"cogn_ps_lv"
"9","C1orf159","Exc L6 THEMIS NFIA",0.0246137069209038,5.43629134906455,2.12763829081982,0.145470096947509,0.699180085011201,0.713595629895709,"cogn_ps_lv"
"10","TNFRSF18","Exc L6 THEMIS NFIA",0.0534283879101197,1.18588941489393,1.83026309661972,0.176881911895627,0.728987036140393,0.749748997594218,"cogn_ps_lv"
"11","TNFRSF4","Exc L6 THEMIS NFIA",-0.0786302267622657,-0.111196177715182,2.019529316012,0.156088055776905,0.707599619960021,0.72571171898415,"cogn_ps_lv"
"12","SDF4","Exc L6 THEMIS NFIA",0.0132250012544276,4.87114232302487,0.963438225005518,0.326931946192311,0.840385613986683,0.854079679439781,"cogn_ps_lv"
"13","B3GALT6","Exc L6 THEMIS NFIA",-0.00871981107317371,2.69303922406794,0.112881269477382,0.73706846582,0.981905702553485,0.985838219283323,"cogn_ps_lv"
"14","C1QTNF12","Exc L6 THEMIS NFIA",0.0020066983217549,0.0783748763862268,0.00159349142683287,0.96817852471982,0.99941111642248,0.999939540524579,"cogn_ps_lv"
"15","UBE2J2","Exc L6 THEMIS NFIA",0.00396065335192208,4.66818986441906,0.122344045310649,0.726695169209631,0.980131950399271,0.983737538160593,"cogn_ps_lv"
"16","LINC01786","Exc L6 THEMIS NFIA",0.0231326847927654,1.95168625208676,0.776908395412005,0.378632385501941,0.865589743845191,0.879943506461618,"cogn_ps_lv"
"17","SCNN1D","Exc L6 THEMIS NFIA",0.00382646157095775,2.87043936828163,0.024434840991901,0.875864625941857,0.995165008936354,0.999939540524579,"cogn_ps_lv"
