"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","Fib SLC4A4",0.00489356470359599,8.39734699720838,0.00106660591734576,0.974222929192488,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"2","ISG15","Fib SLC4A4",0.72961088619872,6.85834166140559,4.09631266943367,0.054513348704758,0.998888965395464,0.874095303974241,"cogn_ps_lv"
"3","CCNL2","Fib SLC4A4",0.00595124289793442,7.93304334666753,0.00219890478954862,0.962995942032123,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"4","GNB1","Fib SLC4A4",-0.0606725971436213,8.49109439120836,0.423889045310117,0.521331459871948,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"5","SKI","Fib SLC4A4",0.0244861575419397,7.62161320903849,0.0173584603243356,0.896304595906265,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"6","CAMTA1","Fib SLC4A4",-0.0298791415928716,9.63741089863752,0.0644666608039055,0.801783345222772,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"7","RERE","Fib SLC4A4",-0.0853409083436871,9.65044980110927,1.15757559603866,0.292912826637879,0.998888965395464,0.979231820070428,"cogn_ps_lv"
"8","UBE4B","Fib SLC4A4",-0.0152024615413842,7.9467949773141,0.0168995330898103,0.897676403169585,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"9","KIF1B","Fib SLC4A4",-0.0508788848501664,8.38299749064608,0.157952918304961,0.694642325726015,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"10","VPS13D","Fib SLC4A4",-0.105056641348421,9.2095639604441,1.49624981081542,0.290669112616225,0.998888965395464,0.979075853816681,"cogn_ps_lv"
"11","DHRS3","Fib SLC4A4",-0.236205115849451,8.43642373477414,2.57424147118676,0.121999184049482,0.998888965395464,0.93277224041949,"cogn_ps_lv"
"12","PRDM2","Fib SLC4A4",-0.200332896096192,8.12803659129781,3.68347929994258,0.0672019526411635,0.998888965395464,0.891233145631561,"cogn_ps_lv"
"13","KAZN","Fib SLC4A4",-0.107962264356673,10.4009555513151,0.352108802105145,0.558601612632886,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"14","SPEN","Fib SLC4A4",0.119083572565507,7.55497948771221,0.453601343735312,0.50721321500712,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"15","FBXO42","Fib SLC4A4",-0.000861421681459475,8.56371329643643,8.02976410436403e-05,0.992926124826045,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"16","UBR4","Fib SLC4A4",0.099477419975781,8.50570768188023,0.835430663441018,0.370008536121577,0.998888965395464,0.99466106945354,"cogn_ps_lv"
"17","CAPZB","Fib SLC4A4",-0.021546337391272,9.03144818232449,0.034221317035331,0.854827271634125,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"18","NBL1","Fib SLC4A4",-0.258633328169747,6.91528652457205,0.835654220118186,0.369945613708125,0.998888965395464,0.99466106945354,"cogn_ps_lv"
"19","HP1BP3","Fib SLC4A4",0.150193362270747,8.15002510579583,0.963786954168439,0.336254212949564,0.998888965395464,0.993998077131597,"cogn_ps_lv"
"20","EIF4G3","Fib SLC4A4",-0.0416729957754459,10.1294903802868,0.0920953729828698,0.764205849154021,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"21","ECE1","Fib SLC4A4",-0.00589921673734771,8.31612971692425,0.00135260503757601,0.970973445277916,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"22","ALPL","Fib SLC4A4",0.216926078801499,8.60884309009059,1.60312695987655,0.217893077690558,0.998888965395464,0.965077514283746,"cogn_ps_lv"
"23","ASAP3","Fib SLC4A4",-0.11585561978236,7.81789092204067,0.543410001222609,0.468334131667154,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"24","ID3","Fib SLC4A4",0.196312648318218,9.32494731699892,1.39989354610406,0.248596603251074,0.998888965395464,0.965886527238395,"cogn_ps_lv"
"25","RPL11","Fib SLC4A4",0.0330400494240512,7.76751786272236,0.0193060966734185,0.890678746364836,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"26","CLIC4","Fib SLC4A4",-0.0250455657337098,7.86657902886192,0.0206284733410106,0.88702263574954,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"27","RSRP1","Fib SLC4A4",-0.0703479705625294,8.43438771673043,0.395872173684215,0.535309953925526,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"28","MACO1","Fib SLC4A4",0.243397327878163,7.34671864395075,2.07049088089455,0.16338639622797,0.998888965395464,0.938710960526215,"cogn_ps_lv"
"29","MAN1C1","Fib SLC4A4",-0.0248337662289813,9.30724467239784,0.0399391295856425,0.843322336658723,0.998888965395464,0.999623976939626,"cogn_ps_lv"
"30","WASF2","Fib SLC4A4",0.0920317147697789,8.2054109868157,0.589340096889814,0.498287834206534,0.998888965395464,0.999623976939626,"cogn_ps_lv"
