"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","ACAP3","Inh L6 SST NPY",-0.0150861713583163,6.74626936079043,0.0498305732473764,0.825065968422138,0.999846191783109,0.999971841339387,"cogn_se_lv"
"2","CCNL2","Inh L6 SST NPY",0.0636467963227111,6.5268918076983,0.777937214820129,0.465373946002578,0.999846191783109,0.949245125784377,"cogn_se_lv"
"3","MIB2","Inh L6 SST NPY",0.294880206881661,5.76811332435345,4.45398337468006,0.0443824529480714,0.999846191783109,0.648897492851739,"cogn_se_lv"
"4","GNB1","Inh L6 SST NPY",0.0682501806455422,7.96738273852688,2.30519289676684,0.172383535139351,0.999846191783109,0.820943268743102,"cogn_se_lv"
"5","PRKCZ","Inh L6 SST NPY",0.0770110741469172,7.03544391323517,1.66416784126686,0.208158554276026,0.999846191783109,0.845002478950865,"cogn_se_lv"
"6","SKI","Inh L6 SST NPY",0.051293887527231,6.57503185536371,0.372408954936228,0.546879596570827,0.999846191783109,0.968609387796571,"cogn_se_lv"
"7","AJAP1","Inh L6 SST NPY",-0.000986047633608724,6.77699350088876,0.00022815034282444,0.988061563433716,0.999846191783109,0.999971841339387,"cogn_se_lv"
"8","NPHP4","Inh L6 SST NPY",-0.0460375817504352,6.32783336755913,0.299237740107357,0.588926859361724,0.999846191783109,0.976300507113654,"cogn_se_lv"
"9","KCNAB2","Inh L6 SST NPY",0.0462952819942371,6.95954888806497,0.509494722795177,0.54223113215925,0.999846191783109,0.967716427224349,"cogn_se_lv"
"10","CHD5","Inh L6 SST NPY",-0.0156269021691391,7.65096442817082,0.0810687712006259,0.778062076814465,0.999846191783109,0.999971841339387,"cogn_se_lv"
"11","ACOT7","Inh L6 SST NPY",-0.0433905032481527,6.61416839785299,0.393302204232266,0.535921983904084,0.999846191783109,0.966077456579802,"cogn_se_lv"
"12","CAMTA1","Inh L6 SST NPY",0.00989053117262407,9.73566029677827,0.0620274554011164,0.805235195658267,0.999846191783109,0.999971841339387,"cogn_se_lv"
"13","PER3","Inh L6 SST NPY",-0.0480117539788601,6.86000955357593,0.270429013812328,0.6073509287042,0.999846191783109,0.979707702310861,"cogn_se_lv"
"14","RERE","Inh L6 SST NPY",0.0119870312469501,9.62759962151033,0.0543865958812261,0.81738646277716,0.999846191783109,0.999971841339387,"cogn_se_lv"
"15","ENO1","Inh L6 SST NPY",0.0450680979933862,6.19142199352576,0.102492112457176,0.751363733734952,0.999846191783109,0.999971841339387,"cogn_se_lv"
"16","PIK3CD","Inh L6 SST NPY",-0.070868885317965,6.28771468631881,0.645461945576776,0.428870171439557,0.999846191783109,0.93792126001651,"cogn_se_lv"
"17","CLSTN1","Inh L6 SST NPY",-0.0209500543503549,8.39438664754977,0.15001964604738,0.701602356210814,0.999846191783109,0.995377398453088,"cogn_se_lv"
"18","UBE4B","Inh L6 SST NPY",0.0535796119086499,7.94241725194521,1.07957921418851,0.308156675713357,0.999846191783109,0.896256967314377,"cogn_se_lv"
"19","KIF1B","Inh L6 SST NPY",-0.00449930720053465,9.54080366911646,0.0131652994196323,0.909513948258329,0.999846191783109,0.999971841339387,"cogn_se_lv"
"20","PGD","Inh L6 SST NPY",-0.0647052424192994,6.02378688432181,0.241714286057048,0.627008549976178,0.999846191783109,0.983593676352742,"cogn_se_lv"
"21","PEX14","Inh L6 SST NPY",0.0830316066627969,7.33463121266684,1.54879211822799,0.224181949365271,0.999846191783109,0.855404987937757,"cogn_se_lv"
"22","MTOR","Inh L6 SST NPY",0.0880215611749893,6.42785465757768,1.05562738960672,0.313479306411509,0.999846191783109,0.898903382968948,"cogn_se_lv"
"23","VPS13D","Inh L6 SST NPY",0.00597061777702879,8.24161791281637,0.0094343195229772,0.923351921375519,0.999846191783109,0.999971841339387,"cogn_se_lv"
"24","PRDM2","Inh L6 SST NPY",0.139882482878855,7.46370289090754,2.92292113816266,0.0989873463349414,0.999846191783109,0.745482821714282,"cogn_se_lv"
"25","KAZN","Inh L6 SST NPY",0.0449254680306633,11.5903415004889,0.829489499126001,0.370610580158932,0.999846191783109,0.920639853609176,"cogn_se_lv"
"26","CASP9","Inh L6 SST NPY",0.0940319886382535,5.50838864959306,0.327789810211447,0.571777553486514,0.999846191783109,0.973325896270515,"cogn_se_lv"
"27","PLEKHM2","Inh L6 SST NPY",0.0393098874629818,6.3063695134524,0.22246668345408,0.740687998878144,0.999846191783109,0.999971841339387,"cogn_se_lv"
"28","SPEN","Inh L6 SST NPY",0.0649203702838807,6.65656320589713,0.850204229673206,0.379285148381305,0.999846191783109,0.922795662692538,"cogn_se_lv"
"29","FBXO42","Inh L6 SST NPY",0.0886146301552556,7.40894286661413,1.97274870497187,0.171741289115304,0.999846191783109,0.820255253609156,"cogn_se_lv"
"30","NBPF1","Inh L6 SST NPY",-0.0409743482399709,6.31077558409283,0.239216432592252,0.628786535687495,0.999846191783109,0.983863697018953,"cogn_se_lv"
"31","CROCC","Inh L6 SST NPY",-0.191795621385627,6.80370532980076,10.6126842651863,0.00306703199209775,0.999846191783109,0.333310706128807,"cogn_se_lv"
"32","ATP13A2","Inh L6 SST NPY",-0.0578421202309958,7.14227120856043,0.762279192893811,0.390439997215761,0.999846191783109,0.926011673588239,"cogn_se_lv"
"33","UBR4","Inh L6 SST NPY",0.0485605900282265,7.07806784480039,0.48780683542294,0.490976583257799,0.999846191783109,0.955356449593589,"cogn_se_lv"
"34","CAPZB","Inh L6 SST NPY",0.0670219184736077,7.45038914236381,2.23551400002556,0.146657263478671,0.999846191783109,0.79777096473086,"cogn_se_lv"
"35","NBL1","Inh L6 SST NPY",-0.0300308791633417,6.37648309423451,0.0815328363971779,0.777445389156032,0.999846191783109,0.999971841339387,"cogn_se_lv"
"36","CAMK2N1","Inh L6 SST NPY",0.0609899125406677,7.46068976033178,0.56228232891185,0.459931818792557,0.999846191783109,0.948157393894177,"cogn_se_lv"
"37","HP1BP3","Inh L6 SST NPY",-0.0448627061849215,7.28151192994813,0.543821102038348,0.467317479124282,0.999846191783109,0.949617257509513,"cogn_se_lv"
"38","EIF4G3","Inh L6 SST NPY",0.00125958608214245,9.50417678117766,0.000991941267333604,0.975110136660588,0.999846191783109,0.999971841339387,"cogn_se_lv"
"39","ECE1","Inh L6 SST NPY",0.155131772044477,6.47538010910245,2.40056379860231,0.133123802286575,0.999846191783109,0.784779354034138,"cogn_se_lv"
"40","RAP1GAP","Inh L6 SST NPY",0.0193843476132321,7.34079554898897,0.074008571966301,0.787690497071579,0.999846191783109,0.999971841339387,"cogn_se_lv"
