"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh PVALB CA8 (Chandelier)",-0.0136759107622997,5.15404166545694,0.348768668715368,0.555198913381213,0.888884358676275,0.970221785576335,"cogn_se_lv"
"2","NOC2L","Inh PVALB CA8 (Chandelier)",0.025387589982846,4.46575645919629,0.873819249995649,0.3505561118223,0.785613228834624,0.91382724181893,"cogn_se_lv"
"3","HES4","Inh PVALB CA8 (Chandelier)",0.177638066644591,4.05869024406528,13.8260829466246,0.000234064841717229,0.0334538048400625,0.132843002816651,"cogn_se_lv"
"4","C1orf159","Inh PVALB CA8 (Chandelier)",0.0132955998543889,5.38594628881596,0.511453082490931,0.474995776018124,0.851549315085262,0.9512530437606,"cogn_se_lv"
"5","SDF4","Inh PVALB CA8 (Chandelier)",0.0100117124100287,5.17711593642337,0.223196379942594,0.636914847456846,0.923126468782618,0.985051500019242,"cogn_se_lv"
"6","UBE2J2","Inh PVALB CA8 (Chandelier)",0.00665669654193947,5.06265728498231,0.11550988012162,0.734163854559014,0.959543851643553,0.999971841339387,"cogn_se_lv"
"7","SCNN1D","Inh PVALB CA8 (Chandelier)",0.0241346846901049,3.83814681043404,0.42293195499633,0.515911925557493,0.871010343385298,0.961156320831583,"cogn_se_lv"
"8","ACAP3","Inh PVALB CA8 (Chandelier)",0.00367301048889326,6.42363116083712,0.0519968292628778,0.819759901279608,0.985824490434569,0.999971841339387,"cogn_se_lv"
"9","INTS11","Inh PVALB CA8 (Chandelier)",-0.0157952544905231,5.4586338065014,0.968175905179486,0.325827330368881,0.767538780694982,0.904993889145962,"cogn_se_lv"
"10","DVL1","Inh PVALB CA8 (Chandelier)",0.0101058831280289,4.32646873727245,0.163387470292355,0.686307997231618,0.94312039869893,0.993150109310619,"cogn_se_lv"
"11","AURKAIP1","Inh PVALB CA8 (Chandelier)",0.0469533158029317,4.15802494971584,1.67965832710417,0.195839052347762,0.653520971078143,0.837047751202316,"cogn_se_lv"
"12","CCNL2","Inh PVALB CA8 (Chandelier)",-0.000989563034808915,6.09558782860488,0.0040569408381606,0.949250796578869,0.999498552685789,0.999971841339387,"cogn_se_lv"
"13","MRPL20","Inh PVALB CA8 (Chandelier)",0.04618822082795,4.63998760777691,2.98980743237312,0.084687624453874,0.494336841616928,0.727715513357829,"cogn_se_lv"
"14","ATAD3B","Inh PVALB CA8 (Chandelier)",0.0172005942895173,4.76416230522675,0.568718361290255,0.451284758582923,0.840590316559114,0.945353601116103,"cogn_se_lv"
"15","ATAD3A","Inh PVALB CA8 (Chandelier)",0.0123387972859418,4.26929655602413,0.182576879501234,0.669435432796817,0.937483723963486,0.990170961558179,"cogn_se_lv"
"16","SSU72","Inh PVALB CA8 (Chandelier)",0.0200096031386101,5.24537104508047,0.833126739879657,0.36200944484358,0.79471023434779,0.917917838149235,"cogn_se_lv"
"17","FNDC10","Inh PVALB CA8 (Chandelier)",-0.00474902689367882,4.04736948577568,0.0166446024640998,0.897422027313409,0.99890834083332,0.999971841339387,"cogn_se_lv"
"18","MIB2","Inh PVALB CA8 (Chandelier)",0.0172632996598809,4.9866132757362,0.649680609350874,0.775430294298296,0.973822588251816,0.999971841339387,"cogn_se_lv"
"19","CDK11B","Inh PVALB CA8 (Chandelier)",0.0269217169724913,4.77011748514877,1.35315846757405,0.268419832204757,0.722553569562814,0.878273563271857,"cogn_se_lv"
"20","SLC35E2B","Inh PVALB CA8 (Chandelier)",0.0398301300744944,4.79313127466394,3.05991112756215,0.0811382064224934,0.488791612841736,0.722052833218772,"cogn_se_lv"
"21","CDK11A","Inh PVALB CA8 (Chandelier)",-0.063464276510935,4.20757716158113,4.1959083160679,0.0412805364220894,0.399699106954427,0.641058008766594,"cogn_se_lv"
"22","SLC35E2A","Inh PVALB CA8 (Chandelier)",0.00749970355808929,4.73476243129947,0.0855446680732783,0.770095892794513,0.972107412280443,0.999971841339387,"cogn_se_lv"
"23","GNB1","Inh PVALB CA8 (Chandelier)",-0.00576781619475777,7.42517120811544,0.33816631009559,0.561270578703761,0.891774856755802,0.971475086894587,"cogn_se_lv"
"24","CFAP74","Inh PVALB CA8 (Chandelier)",-0.0561243237540981,4.50037626891379,3.93886707372969,0.0479769434847058,0.419380316193748,0.65816464999624,"cogn_se_lv"
"25","GABRD","Inh PVALB CA8 (Chandelier)",0.0203060715920053,7.34944439073771,1.31615021820017,0.252081718910117,0.711026374162969,0.869310770107613,"cogn_se_lv"
"26","PRKCZ","Inh PVALB CA8 (Chandelier)",0.0455791727393806,6.44868546074343,11.4028882905513,0.000817248055322893,0.0658567669042735,0.218136069462586,"cogn_se_lv"
"27","FAAP20","Inh PVALB CA8 (Chandelier)",-0.0123287628102236,4.58334250747544,0.236704102456601,0.690518909275533,0.944090387667404,0.99375663374696,"cogn_se_lv"
"28","SKI","Inh PVALB CA8 (Chandelier)",-0.0196762564080648,6.51373936880982,1.69276519512739,0.194107976526099,0.651356980639115,0.83585343065855,"cogn_se_lv"
"29","MORN1","Inh PVALB CA8 (Chandelier)",0.0488036953966573,5.18798008885934,5.60958269485812,0.018414874210297,0.292439196414269,0.545078326154864,"cogn_se_lv"
"30","RER1","Inh PVALB CA8 (Chandelier)",0.0172154589681697,4.74684877427161,0.542578057902602,0.461868484608898,0.845571879500057,0.948743176558135,"cogn_se_lv"
"31","PLCH2","Inh PVALB CA8 (Chandelier)",-0.00435526331331686,5.0743197714628,0.0385660563041219,0.844426861360302,0.992784729820289,0.999971841339387,"cogn_se_lv"
"32","TPRG1L","Inh PVALB CA8 (Chandelier)",0.0668129479233702,4.44967835660964,3.75736353652058,0.0533935417975066,0.432086999096282,0.672633500998772,"cogn_se_lv"
"33","LRRC47","Inh PVALB CA8 (Chandelier)",0.0529832996074504,4.28096092504343,2.78994483858892,0.0957674170591756,0.518704064343137,0.741484486642867,"cogn_se_lv"
"34","CEP104","Inh PVALB CA8 (Chandelier)",0.0208223326201245,5.50185703192644,1.51935159038127,0.244916928669803,0.703834880588868,0.865388943363693,"cogn_se_lv"
"35","DFFB","Inh PVALB CA8 (Chandelier)",0.0133452993147574,4.78446137850161,0.377642183727616,0.539274201514717,0.881580820156246,0.96669478357175,"cogn_se_lv"
"36","AJAP1","Inh PVALB CA8 (Chandelier)",-0.00340498747476983,8.0238341061912,0.0942498427858383,0.759028156151554,0.96904005915995,0.999971841339387,"cogn_se_lv"
"37","NPHP4","Inh PVALB CA8 (Chandelier)",-0.00127086420863799,5.1566900345427,0.00346146296286054,0.953118344141502,0.999498552685789,0.999971841339387,"cogn_se_lv"
"38","KCNAB2","Inh PVALB CA8 (Chandelier)",0.0127114788798898,5.63329188492834,0.526093010353874,0.468747395246308,0.847902842616685,0.949996208081415,"cogn_se_lv"
"39","CHD5","Inh PVALB CA8 (Chandelier)",-0.0170035952081671,7.47818846612464,1.40505753302024,0.236697110681675,0.696862480726567,0.861500880903874,"cogn_se_lv"
"40","RPL22","Inh PVALB CA8 (Chandelier)",-0.0122402668262501,4.81281142669807,0.315152695576084,0.580135474960904,0.896818674666239,0.974685554403989,"cogn_se_lv"
"41","RNF207","Inh PVALB CA8 (Chandelier)",0.00791005016000906,4.21180108310392,0.0744018249837338,0.836373718249621,0.989881200839517,0.999971841339387,"cogn_se_lv"
"42","ICMT","Inh PVALB CA8 (Chandelier)",0.0166391072452995,4.2318383743161,0.321022031943432,0.710322749988697,0.950415528066569,0.996674641965627,"cogn_se_lv"
"43","GPR153","Inh PVALB CA8 (Chandelier)",0.00566748674382713,4.50946371200974,0.0447006455644578,0.955505489675634,0.999498552685789,0.999971841339387,"cogn_se_lv"
"44","ACOT7","Inh PVALB CA8 (Chandelier)",0.00992939397873412,6.45024757082349,0.474843934102872,0.491231824813973,0.858935269620048,0.955422667043285,"cogn_se_lv"
"45","TNFRSF25","Inh PVALB CA8 (Chandelier)",-0.000679097230278449,4.22057339564825,0.000473069312284855,0.982659869377941,0.999498552685789,0.999971841339387,"cogn_se_lv"
"46","NOL9","Inh PVALB CA8 (Chandelier)",0.0171070493155603,5.06121528086755,0.75657593705071,0.586196722907915,0.899010220782543,0.975760896489137,"cogn_se_lv"
"47","KLHL21","Inh PVALB CA8 (Chandelier)",0.0658027161008691,4.49078287149678,5.03036290091505,0.025543228839344,0.335900638211746,0.581489194848867,"cogn_se_lv"
"48","DNAJC11","Inh PVALB CA8 (Chandelier)",0.0161764571965661,5.9376693979985,0.94021151971889,0.332904973289866,0.772449242603284,0.90754550193843,"cogn_se_lv"
"49","CAMTA1","Inh PVALB CA8 (Chandelier)",0.00626617148126918,9.76324353110471,0.517865422050282,0.472242460944517,0.850356112449172,0.951017680170453,"cogn_se_lv"
"50","PER3","Inh PVALB CA8 (Chandelier)",-0.040648298508633,7.18920582426185,7.46356858567136,0.0066209858565405,0.197901726388464,0.418431210226448,"cogn_se_lv"
"51","PARK7","Inh PVALB CA8 (Chandelier)",0.0380473009134848,4.96293925707463,1.70530058903416,0.192469155271018,0.65080379728329,0.834898234888248,"cogn_se_lv"
