"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","CCNL2","Mic TPT1",0.0144819574522247,6.87918831086904,0.126373338745564,0.722674936632826,0.999806761056038,0.99986104782201,"cogn_se_lv"
"2","SSU72","Mic TPT1",-0.0787757937909123,6.60250010454845,2.5788141330071,0.110208877913775,0.999806761056038,0.773320119117327,"cogn_se_lv"
"3","GNB1","Mic TPT1",0.00258460372240192,8.95868303835622,0.011092070197184,0.916250287807506,0.999806761056038,0.99986104782201,"cogn_se_lv"
"4","SKI","Mic TPT1",0.0230921580903122,8.72123712601899,0.531221288746875,0.467123838024955,0.999806761056038,0.97494583592648,"cogn_se_lv"
"5","RPL22","Mic TPT1",0.0333030894763509,6.51238804536483,0.365226617223188,0.546445199546837,0.999806761056038,0.994910032776579,"cogn_se_lv"
"6","CAMTA1","Mic TPT1",0.025893130597885,7.88751126770371,0.681594597537298,0.410226485774867,0.999806761056038,0.95907115957295,"cogn_se_lv"
"7","PER3","Mic TPT1",-0.0489904218848188,6.34244018118984,0.460415938567286,0.498377209060798,0.999806761056038,0.985665529116272,"cogn_se_lv"
"8","RERE","Mic TPT1",0.00456568258945259,9.83157327204411,0.0404112713466924,0.840925406460194,0.999806761056038,0.99986104782201,"cogn_se_lv"
"9","ENO1","Mic TPT1",-0.0160218419173343,7.33886758456992,0.102394637759149,0.749378239012152,0.999806761056038,0.99986104782201,"cogn_se_lv"
"10","SLC2A5","Mic TPT1",0.046616175455915,9.35766736084917,1.57477335792286,0.211284083457565,0.999806761056038,0.863578010440031,"cogn_se_lv"
"11","MIR34AHG","Mic TPT1",0.0265225536815311,7.57176765985997,0.477044770096984,0.490731384591192,0.999806761056038,0.983088973889594,"cogn_se_lv"
"12","PIK3CD","Mic TPT1",0.0075655299661545,8.09906316989937,0.0477345276862529,0.827322467956808,0.999806761056038,0.99986104782201,"cogn_se_lv"
"13","CLSTN1","Mic TPT1",0.00370263331369949,7.14292971367653,0.00836964028132545,0.927217260873922,0.999806761056038,0.99986104782201,"cogn_se_lv"
"14","UBE4B","Mic TPT1",0.011636371118544,7.66066724733993,0.148104629016054,0.762108428650472,0.999806761056038,0.99986104782201,"cogn_se_lv"
"15","KIF1B","Mic TPT1",-0.0479379710827643,7.3276059299137,1.50693166260538,0.221350810439016,0.999806761056038,0.870214586547013,"cogn_se_lv"
"16","PEX14","Mic TPT1",0.0513461114878005,6.96937402569353,1.27026293818149,0.261348574011335,0.999806761056038,0.895282508193073,"cogn_se_lv"
"17","TNFRSF1B","Mic TPT1",0.069364904620964,9.03273130140667,1.82788959096389,0.178221487791161,0.999806761056038,0.83985004047133,"cogn_se_lv"
"18","VPS13D","Mic TPT1",0.0270758374157136,8.43732360468264,1.11402199563083,0.292747450665951,0.999806761056038,0.91154843995478,"cogn_se_lv"
"19","DHRS3","Mic TPT1",-0.0235447455570804,7.57224664435805,0.362698988856308,0.547835203335982,0.999806761056038,0.995522553673407,"cogn_se_lv"
"20","PDPN","Mic TPT1",0.0649924098910932,6.46380101901721,0.95200350624192,0.330633650100153,0.999806761056038,0.929796629043943,"cogn_se_lv"
"21","PRDM2","Mic TPT1",0.0385864317965561,7.88689043098992,1.90329288600782,0.169571095849108,0.999806761056038,0.831217056597759,"cogn_se_lv"
"22","KAZN","Mic TPT1",0.0155304415141651,6.54338061827425,0.0649194598012843,0.799199289266507,0.999806761056038,0.99986104782201,"cogn_se_lv"
"23","TMEM51","Mic TPT1",0.0226188805331279,7.61638713438931,0.24748355662114,0.619512792673668,0.999806761056038,0.99986104782201,"cogn_se_lv"
"24","DDI2","Mic TPT1",-0.00331439154270841,7.21446204087933,0.00693229904738246,0.933745069833359,0.999806761056038,0.99986104782201,"cogn_se_lv"
"25","PLEKHM2","Mic TPT1",0.0311046313602304,7.41374479958322,0.771578746919914,0.381002392374069,0.999806761056038,0.951458691923012,"cogn_se_lv"
"26","SPEN","Mic TPT1",0.0081706330501723,7.74594005528644,0.059316602833163,0.807880940980707,0.999806761056038,0.99986104782201,"cogn_se_lv"
"27","FBXO42","Mic TPT1",-0.0015153907232298,7.6192935245305,0.00197728801994877,0.964585988450392,0.999806761056038,0.99986104782201,"cogn_se_lv"
"28","NBPF1","Mic TPT1",-0.0806292779172513,7.01092466749604,3.45691459354377,0.0647628123851415,0.999806761056038,0.680236188941113,"cogn_se_lv"
"29","CROCC","Mic TPT1",-0.0169910196404473,6.54105049006141,0.0996645891086714,0.752630210104262,0.999806761056038,0.99986104782201,"cogn_se_lv"
"30","PADI2","Mic TPT1",-0.0155239450793313,9.17658011555353,0.0763313382656196,0.782676705612924,0.999806761056038,0.99986104782201,"cogn_se_lv"
"31","RCC2","Mic TPT1",-0.00305087791925028,7.40792509868775,0.00792101510680028,0.929189436184569,0.999806761056038,0.99986104782201,"cogn_se_lv"
"32","ARHGEF10L","Mic TPT1",0.0395996236135405,7.5426405676156,1.16418848507545,0.449400288410618,0.999806761056038,0.970709961168396,"cogn_se_lv"
"33","IGSF21","Mic TPT1",0.0492517297053585,9.55106405927318,2.05305514234073,0.153787085747868,0.999806761056038,0.819747106310317,"cogn_se_lv"
"34","UBR4","Mic TPT1",0.0610506731405454,7.3689894450277,2.70094425695112,0.102186993975184,0.999806761056038,0.766628504103379,"cogn_se_lv"
"35","CAPZB","Mic TPT1",0.0220354965591746,9.69761099416252,0.824640934727997,0.513960650744095,0.999806761056038,0.989331396712604,"cogn_se_lv"
"36","TMCO4","Mic TPT1",0.0170827928701856,6.56296643262617,0.114820300530307,0.735151123692639,0.999806761056038,0.99986104782201,"cogn_se_lv"
"37","LINC01141","Mic TPT1",0.00386043748569301,7.6264269666105,0.00455711124951488,0.946260057793404,0.999806761056038,0.99986104782201,"cogn_se_lv"
"38","HP1BP3","Mic TPT1",0.0141427666603181,8.25913150761533,0.22765427296403,0.633897993782936,0.999806761056038,0.99986104782201,"cogn_se_lv"
"39","EIF4G3","Mic TPT1",-0.0129210805259962,10.0580731748743,0.390364116093724,0.532968383649597,0.999806761056038,0.992785350722376,"cogn_se_lv"
"40","USP48","Mic TPT1",0.0134953801869513,7.23136039360363,0.162881763069229,0.687037978856856,0.999806761056038,0.99986104782201,"cogn_se_lv"
"41","CDC42","Mic TPT1",0.00721388306829062,7.5829996003161,0.0370825158889434,0.847533205751142,0.999806761056038,0.99986104782201,"cogn_se_lv"
"42","C1QA","Mic TPT1",-0.0135531669453498,9.01530904851151,0.10026050763212,0.751916220760978,0.999806761056038,0.99986104782201,"cogn_se_lv"
"43","C1QC","Mic TPT1",-0.0270400913394009,9.14991994761398,0.342843223163435,0.558990090542548,0.999806761056038,0.999404618925783,"cogn_se_lv"
