"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc NRGN",0.0063821695224346,5.27054567898232,0.0198024062373133,0.888164698927563,0.998280709202799,0.992375657701671,"cogn_wo_lv"
"2","NOC2L","Exc NRGN",-0.0260957123521052,6.01061407749155,0.891793086918423,0.345590277979942,0.998280709202799,0.797063477829991,"cogn_wo_lv"
"3","HES4","Exc NRGN",0.101925117177638,4.93649763402507,3.50806421304632,0.0618362241639457,0.998280709202799,0.450268649433381,"cogn_wo_lv"
"4","ISG15","Exc NRGN",0.0332852621305473,4.47362625484776,0.156227279141933,0.692875178824094,0.998280709202799,0.948998925345741,"cogn_wo_lv"
"5","AGRN","Exc NRGN",0.0530025599539607,5.47880813060973,1.34228458062867,0.247357093353257,0.998280709202799,0.721831383388793,"cogn_wo_lv"
"6","C1orf159","Exc NRGN",0.0987199865201002,5.14731273823328,4.776517644495,0.0294586544382073,0.998280709202799,0.335196104215227,"cogn_wo_lv"
"7","SDF4","Exc NRGN",0.0200808964289706,5.86351473112271,0.449078787012534,0.503178677764535,0.998280709202799,0.882509872527356,"cogn_wo_lv"
"8","B3GALT6","Exc NRGN",0.0367292236556642,4.84738178323979,0.551533840925695,0.458149237404843,0.998280709202799,0.860705318866077,"cogn_wo_lv"
"9","UBE2J2","Exc NRGN",0.00305708022093626,5.64053069377546,0.0116957456214006,0.913936113764572,0.998280709202799,0.995602163830317,"cogn_wo_lv"
"10","ACAP3","Exc NRGN",0.0341391795228227,6.84130594694273,0.902222229496889,0.342788623005393,0.998280709202799,0.795134957146232,"cogn_wo_lv"
"11","INTS11","Exc NRGN",-0.00905608110039061,5.91888717686196,0.0875476582294649,0.767479448526507,0.998280709202799,0.969357263385409,"cogn_wo_lv"
"12","CPTP","Exc NRGN",0.0111272076716345,4.97168340493008,0.0735633896100884,0.786364312476508,0.998280709202799,0.973353554764964,"cogn_wo_lv"
"13","DVL1","Exc NRGN",-0.052838500852533,5.63265337003497,2.67293642626536,0.973994758209403,0.998280709202799,0.998991297961186,"cogn_wo_lv"
"14","AURKAIP1","Exc NRGN",0.0228907639394459,6.23013681803722,0.428497830754884,0.513121894734054,0.998280709202799,0.886390617699225,"cogn_wo_lv"
"15","CCNL2","Exc NRGN",0.031796263863152,6.29110464848165,1.33656621802275,0.248364798909399,0.998280709202799,0.722953449478146,"cogn_wo_lv"
"16","MRPL20","Exc NRGN",0.00773109469100336,6.08609417344407,0.0555749319808562,0.813758479776484,0.998280709202799,0.979750828089045,"cogn_wo_lv"
"17","ANKRD65","Exc NRGN",0.0746707708765657,5.06821526586217,2.35916168385154,0.125379037774504,0.998280709202799,0.5818067337584,"cogn_wo_lv"
"18","ATAD3B","Exc NRGN",0.0427133081562246,4.63638768132398,0.639491011575666,0.424393417073696,0.998280709202799,0.84310511168697,"cogn_wo_lv"
"19","ATAD3A","Exc NRGN",0.0486427953216781,4.64879909306596,1.16938868930487,0.280210814042931,0.998280709202799,0.748532528324502,"cogn_wo_lv"
"20","SSU72","Exc NRGN",-0.00226886722137687,7.34400395263472,0.00763945346607104,0.93039633135717,0.998280709202799,0.996856797955061,"cogn_wo_lv"
"21","FNDC10","Exc NRGN",0.0236351282704778,5.55443658032594,0.260931239423568,0.609776928874001,0.998280709202799,0.922514846197846,"cogn_wo_lv"
"22","AL691432.2","Exc NRGN",-0.011144454875584,4.63894631681994,0.0591666546155076,0.80794885440142,0.998280709202799,0.978894403582553,"cogn_wo_lv"
"23","MIB2","Exc NRGN",-0.00169498699402445,5.95982312370997,0.00327502798191101,0.954393683546046,0.998280709202799,0.99844217034249,"cogn_wo_lv"
"24","CDK11B","Exc NRGN",0.00101443525880491,5.45604855165894,0.00104873028526487,0.974182694474046,0.998280709202799,0.998991297961186,"cogn_wo_lv"
"25","SLC35E2B","Exc NRGN",-0.02704435015973,5.0125079516622,0.416046385314641,0.519304614399809,0.998280709202799,0.888556085272006,"cogn_wo_lv"
"26","SLC35E2A","Exc NRGN",-0.0126568706154629,5.21781684807092,0.106436235709487,0.744417604667415,0.998280709202799,0.963842228949892,"cogn_wo_lv"
"27","NADK","Exc NRGN",0.0363409481413662,5.09260432879715,0.89487438867719,0.344759306038437,0.998280709202799,0.79667325862936,"cogn_wo_lv"
"28","GNB1","Exc NRGN",-0.0168213442620344,8.80272992356581,0.709475024504833,0.400146522353636,0.998280709202799,0.830398757588284,"cogn_wo_lv"
"29","GABRD","Exc NRGN",0.0765427636389652,7.23172503421092,6.56621868664303,0.0107767903121742,0.998280709202799,0.215964595965188,"cogn_wo_lv"
"30","PRKCZ","Exc NRGN",0.00681608978958116,7.45028891722666,0.121735725121747,0.727352248972933,0.998280709202799,0.958601945427425,"cogn_wo_lv"
"31","FAAP20","Exc NRGN",-0.0203199598946288,4.82131806067329,0.221961232799855,0.637819221098162,0.998280709202799,0.932163454193084,"cogn_wo_lv"
"32","SKI","Exc NRGN",-0.00167780516573265,6.35587316098287,0.00211878802771098,0.963310218571158,0.998280709202799,0.998991297961186,"cogn_wo_lv"
"33","MORN1","Exc NRGN",0.0430829930679824,5.29953285693484,0.993473632066383,0.319527420822775,0.998280709202799,0.778656296119179,"cogn_wo_lv"
"34","RER1","Exc NRGN",-0.0241757353166234,5.94869677979322,0.621547757953991,0.430962923678314,0.998280709202799,0.846801240000512,"cogn_wo_lv"
