"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB GABRG1",-0.116356613404713,3.34705555008569,0.110244367515783,0.740057977213918,0.89249143096036,0.888877696090014,"cogng_random_slope"
"2","AL669831.5","Exc L4-5 RORB GABRG1",-0.255023616757861,6.22051010359441,1.1229286880908,0.289994199425281,0.566708883051742,0.555270780963781,"cogng_random_slope"
"3","LINC00115","Exc L4-5 RORB GABRG1",0.439525110800475,0.902236123770155,0.537137692290709,0.464094990778715,0.716312691421165,0.708265086527907,"cogng_random_slope"
"4","NOC2L","Exc L4-5 RORB GABRG1",0.223824519729719,4.77588869718404,1.06728410663799,0.302248376807762,0.578017404960747,0.566776119366843,"cogng_random_slope"
"5","KLHL17","Exc L4-5 RORB GABRG1",-0.277603747658438,2.99296265233084,0.619805495999458,0.431633956381571,0.692918580844318,0.683254736816293,"cogng_random_slope"
"6","HES4","Exc L4-5 RORB GABRG1",3.35745859009204,3.35273658570971,28.8150563012099,1.42454837897679e-07,6.53137168320102e-05,4.71959904875266e-05,"cogng_random_slope"
"7","ISG15","Exc L4-5 RORB GABRG1",1.87031309207653,1.41102688989422,5.9042479214333,0.0155892366734557,0.111858403273701,0.106858457378275,"cogng_random_slope"
"8","AL645608.2","Exc L4-5 RORB GABRG1",0.443489129276301,-0.0442797147511878,0.229736916541624,0.632007965756644,0.831348156419025,0.824436050823583,"cogng_random_slope"
"9","AGRN","Exc L4-5 RORB GABRG1",0.196194127797728,4.89368713852493,0.611668853030428,0.434670650777373,0.694827990930646,0.685637780222962,"cogng_random_slope"
"10","C1orf159","Exc L4-5 RORB GABRG1",0.465471551389696,5.41127047031506,4.91543436865984,0.0272375850199346,0.154348049003786,0.148443760689483,"cogng_random_slope"
"11","TNFRSF18","Exc L4-5 RORB GABRG1",1.56683032511752,1.37710089167428,7.61466123846405,0.00608341670094658,0.0657125273993803,0.061559910872844,"cogng_random_slope"
"12","TNFRSF4","Exc L4-5 RORB GABRG1",0.135297604407891,1.97060203044279,0.0626901515978921,0.802435314198489,0.925093139373995,0.92087028438849,"cogng_random_slope"
"13","SDF4","Exc L4-5 RORB GABRG1",0.279002620506085,5.13668969998775,2.3102046391604,0.129398760609547,0.368759870514979,0.35801219701112,"cogng_random_slope"
"14","B3GALT6","Exc L4-5 RORB GABRG1",-0.0513836265833683,2.65707037684654,0.0228735914750096,0.879870378011223,0.959562502957508,0.956560802356529,"cogng_random_slope"
"15","C1QTNF12","Exc L4-5 RORB GABRG1",1.35231279317404,0.35541422447236,2.43118026060847,0.11981581353451,0.353594085131304,0.342520976619066,"cogng_random_slope"
"16","UBE2J2","Exc L4-5 RORB GABRG1",0.0199032013722806,4.85180937045234,0.0171069645319303,0.896011136889751,0.964994222617744,0.963624695828454,"cogng_random_slope"
"17","LINC01786","Exc L4-5 RORB GABRG1",0.850271675748852,2.19255353989143,4.51204798994895,0.0343333426355019,0.176058072746031,0.169807316056602,"cogng_random_slope"
"18","SCNN1D","Exc L4-5 RORB GABRG1",0.377936498061677,3.13402941705009,1.37311670856801,0.242046624198818,0.515296441234202,0.5042905344585,"cogng_random_slope"
"19","ACAP3","Exc L4-5 RORB GABRG1",-0.166412335610787,6.51234610549856,0.481723222675065,0.488087299518293,0.734266279882769,0.726232059559928,"cogng_random_slope"
"20","PUSL1","Exc L4-5 RORB GABRG1",0.195629734770568,1.90682238374359,0.247252339248905,0.619317896857231,0.823957661375458,0.8163994589445,"cogng_random_slope"
"21","INTS11","Exc L4-5 RORB GABRG1",-0.465434501557441,5.30673379400685,7.82068096802531,0.00544048516565173,0.061846931049947,0.0576518193521967,"cogng_random_slope"
"22","CPTP","Exc L4-5 RORB GABRG1",-0.730424865085854,2.69766346635707,4.74923949796448,0.02995444855399,0.162452870809555,0.156737826807602,"cogng_random_slope"
"23","DVL1","Exc L4-5 RORB GABRG1",-0.210488893895507,4.44458118745291,1.03430210318515,0.309828590071921,0.586000107793106,0.574355654238357,"cogng_random_slope"
"24","AURKAIP1","Exc L4-5 RORB GABRG1",0.174832019839916,4.25132998758599,0.166248166016806,0.683708611219577,0.860821974173866,0.854849820705932,"cogng_random_slope"
"25","CCNL2","Exc L4-5 RORB GABRG1",0.0326642948188478,6.04619334841672,0.0812797867998734,0.775733316786937,0.911908308923387,0.90759581892308,"cogng_random_slope"
"26","MRPL20","Exc L4-5 RORB GABRG1",-0.0689756966874262,4.57765523907191,0.0777717989070317,0.780499030971044,0.914554598479243,0.909757177003214,"cogng_random_slope"
"27","AL391244.3","Exc L4-5 RORB GABRG1",1.52921041464397,1.25482392223872,12.453642245202,0.000470855342244237,0.0145916193668444,0.0127519294502736,"cogng_random_slope"
"28","ANKRD65","Exc L4-5 RORB GABRG1",0.979800512788429,3.49384772266211,4.5338642638937,0.0339038856265088,0.174909226453434,0.168676967944249,"cogng_random_slope"
"29","VWA1","Exc L4-5 RORB GABRG1",0.498871162370749,1.49314987209638,0.844070044130942,0.358846169551575,0.6324195109158,0.620597234378275,"cogng_random_slope"
"30","ATAD3C","Exc L4-5 RORB GABRG1",-0.370229217180507,3.02600460843171,0.714416277187705,0.398539080582997,0.666217758650734,0.655647327095959,"cogng_random_slope"
"31","ATAD3B","Exc L4-5 RORB GABRG1",0.507891983765403,4.34901716063568,4.59295015361063,0.0327688441343222,0.171678787566896,0.165456634811429,"cogng_random_slope"
"32","ATAD3A","Exc L4-5 RORB GABRG1",0.163188108373645,3.69199420383111,0.585370415037377,0.44471272060683,0.703086486045157,0.693438730950237,"cogng_random_slope"
"33","TMEM240","Exc L4-5 RORB GABRG1",0.0700012934572532,2.03820925003554,0.0215529791568758,0.883364125557641,0.959975320839685,0.957874555439635,"cogng_random_slope"
"34","SSU72","Exc L4-5 RORB GABRG1",-0.454060476301733,5.61916571304472,3.19058863549361,0.0748989414943125,0.270723261140045,0.264058441331423,"cogng_random_slope"
"35","AL645728.1","Exc L4-5 RORB GABRG1",0.452376927453934,1.68143926952773,1.16577477882786,0.280988901469591,0.556654392552378,0.545662794834403,"cogng_random_slope"
"36","FNDC10","Exc L4-5 RORB GABRG1",0.393989683164719,3.6694164872813,1.37569988272735,0.241605053586683,0.514915371058818,0.503820297103374,"cogng_random_slope"
"37","AL691432.2","Exc L4-5 RORB GABRG1",-0.0824256728205535,3.38121173053562,0.0803580844558665,0.776974541792655,0.912937428163653,0.908036281902878,"cogng_random_slope"
"38","MIB2","Exc L4-5 RORB GABRG1",-0.0444134400346534,5.3334633687915,0.0559593772111868,0.813133816056919,0.930661255428523,0.926261208619653,"cogng_random_slope"
"39","MMP23B","Exc L4-5 RORB GABRG1",0.0100147360106403,1.57242378408896,0.000413797811190136,0.983781725900855,0.993821320484742,0.994359295558422,"cogng_random_slope"
"40","CDK11B","Exc L4-5 RORB GABRG1",-0.0890687089436841,5.09059634184044,0.2273551505193,0.633779196743736,0.832105204553791,0.825387640307139,"cogng_random_slope"
"41","FO704657.1","Exc L4-5 RORB GABRG1",0.355030276923693,0.667810253265168,0.330803853562399,0.565542912684537,0.789690633390901,0.781470363627028,"cogng_random_slope"
"42","SLC35E2B","Exc L4-5 RORB GABRG1",-0.0932674561262538,4.75619976928338,0.23707131026364,0.626623659239004,0.828134342265531,0.821018347312139,"cogng_random_slope"
"43","CDK11A","Exc L4-5 RORB GABRG1",-0.955594004142064,4.32133338824191,10.4746811108922,0.00132167044845173,0.0271641256192706,0.0246625365066058,"cogng_random_slope"
"44","SLC35E2A","Exc L4-5 RORB GABRG1",0.181200222101363,4.74016411208803,0.644780943484107,0.42251094911057,0.685377690378854,0.675589373466792,"cogng_random_slope"
"45","NADK","Exc L4-5 RORB GABRG1",0.0268904681520862,3.93625516628212,0.0231770199203131,0.87908232932683,0.959204738160313,0.956227497623324,"cogng_random_slope"
"46","GNB1","Exc L4-5 RORB GABRG1",-0.200839339369249,7.63366774944216,4.26678517345003,0.0395745781998598,0.190788091882366,0.184316296538098,"cogng_random_slope"
"47","TMEM52","Exc L4-5 RORB GABRG1",-0.472579544406757,1.08664796342028,0.716369933203562,0.397895554989539,0.665879811880196,0.655196074772705,"cogng_random_slope"
"48","CFAP74","Exc L4-5 RORB GABRG1",-0.174111699677643,4.7358113977264,0.764024169998933,0.382650744276862,0.654426891801983,0.641714874860501,"cogng_random_slope"
"49","AL391845.2","Exc L4-5 RORB GABRG1",-0.343015971737596,1.52506631058885,0.590779437143115,0.442618283165489,0.701076303605583,0.691574101269948,"cogng_random_slope"
"50","GABRD","Exc L4-5 RORB GABRG1",0.18938095543575,5.97811631374791,0.5885266209432,0.443488741443588,0.701896104244362,0.692275337134878,"cogng_random_slope"
"51","PRKCZ","Exc L4-5 RORB GABRG1",0.0584153771883261,6.87074467260192,0.178543950262202,0.672878044084958,0.855251727983145,0.848827317518099,"cogng_random_slope"
"52","AL590822.2","Exc L4-5 RORB GABRG1",0.912104693446915,0.977566942129508,2.00982981013726,0.157141752670573,0.41151899231144,0.398291187658396,"cogng_random_slope"
"53","FAAP20","Exc L4-5 RORB GABRG1",-0.28964534081804,3.16755155452903,1.23756778671492,0.266677443254521,0.541009684914238,0.53043983812557,"cogng_random_slope"
"54","AL590822.1","Exc L4-5 RORB GABRG1",-0.547447845710421,1.56699844094311,1.51369673440954,0.21937358015103,0.491165675969782,0.478663304050155,"cogng_random_slope"
"55","SKI","Exc L4-5 RORB GABRG1",-0.0449057183278794,5.99347996176782,0.0451430932711613,0.831860540075346,0.938750288235233,0.934917756534473,"cogng_random_slope"
"56","MORN1","Exc L4-5 RORB GABRG1",-0.238837804614287,5.12612821061544,2.13679795054675,0.144668016230224,0.39283353048028,0.38065089180735,"cogng_random_slope"
"57","RER1","Exc L4-5 RORB GABRG1",-0.0455590113095965,4.72812641681309,0.0917697628148159,0.762112961145746,0.904927314087918,0.900674521033494,"cogng_random_slope"
"58","PEX10","Exc L4-5 RORB GABRG1",0.690709219577889,3.11381996579096,4.08645418964038,0.0439625583863261,0.201717861561688,0.195541857488594,"cogng_random_slope"
"59","PLCH2","Exc L4-5 RORB GABRG1",-1.37870482856439,3.11370845500976,11.9199871705604,0.00062095161385231,0.017055648073024,0.0151457183310177,"cogng_random_slope"
"60","PANK4","Exc L4-5 RORB GABRG1",-0.253178997164538,3.18658729641298,0.559363923319362,0.455001510546262,0.710062576966867,0.70121770134591,"cogng_random_slope"
"61","HES5","Exc L4-5 RORB GABRG1",0.106901224669337,0.420793447059575,0.02666104256483,0.870387313069725,0.956511679237709,0.952634158547995,"cogng_random_slope"
"62","AL139246.5","Exc L4-5 RORB GABRG1",0.648355081894277,1.63179612955302,2.20237805431981,0.138666898066819,0.383199623722728,0.372096123753199,"cogng_random_slope"
"63","TNFRSF14","Exc L4-5 RORB GABRG1",0.571526094518093,2.81050464287203,2.27964754930103,0.131952708612143,0.372799238851908,0.362005126809273,"cogng_random_slope"
"64","FAM213B","Exc L4-5 RORB GABRG1",-0.517426294361437,3.77233520171421,3.60352165657029,0.0584512675978422,0.235899359672646,0.228829044712991,"cogng_random_slope"
"65","TTC34","Exc L4-5 RORB GABRG1",0.993003837545743,1.42006784989697,3.22467029899749,0.0733690103651821,0.268394286894399,0.261056436851764,"cogng_random_slope"
"66","PRDM16","Exc L4-5 RORB GABRG1",-1.23635134805184,1.44627293570542,6.01313613057384,0.0146705749652227,0.108130482668239,0.103344465008164,"cogng_random_slope"
"67","ARHGEF16","Exc L4-5 RORB GABRG1",-1.94740036958109,0.868709906862363,10.0291595692376,0.00167145066328978,0.0311852043284209,0.0284601167214824,"cogng_random_slope"
"68","MEGF6","Exc L4-5 RORB GABRG1",1.19614629097835,2.16350076521118,10.3136024040265,0.00143860556392198,0.0287573018539236,0.0259877759744231,"cogng_random_slope"
"69","AL513320.1","Exc L4-5 RORB GABRG1",1.75497997483932,0.784338190521782,6.91317656075335,0.00892054749051808,0.0812784847083673,0.0768761191119755,"cogng_random_slope"
"70","TPRG1L","Exc L4-5 RORB GABRG1",0.0415795128242771,5.1073180897326,0.0151850287208972,0.901995198134824,0.96723095279453,0.966169298407439,"cogng_random_slope"
"71","WRAP73","Exc L4-5 RORB GABRG1",0.39797868484882,3.43235016170588,2.78427971925304,0.0960568370374952,0.312509218529015,0.303839327703352,"cogng_random_slope"
"72","LRRC47","Exc L4-5 RORB GABRG1",0.241600739611167,4.3160863507602,0.751322320620346,0.386631217604317,0.657715603618273,0.645136323324176,"cogng_random_slope"
"73","CEP104","Exc L4-5 RORB GABRG1",0.133978878984939,5.43032945700846,0.834817149165384,0.361490532367185,0.635581778077547,0.623128371951003,"cogng_random_slope"
"74","DFFB","Exc L4-5 RORB GABRG1",0.0811904212163738,4.47557284312114,0.169208246290521,0.6810594888387,0.860117612899664,0.853646370126614,"cogng_random_slope"
"75","C1orf174","Exc L4-5 RORB GABRG1",-0.287049673279299,2.97350428893089,0.86355714009425,0.35336348950798,0.627581700029022,0.615814690011301,"cogng_random_slope"
"76","LINC01134","Exc L4-5 RORB GABRG1",-1.52860756726151,0.825655139465396,5.5489332702758,0.019023920334149,0.125401143304535,0.120087684399117,"cogng_random_slope"
"77","AL805961.1","Exc L4-5 RORB GABRG1",1.58342487875986,-0.0457149695855989,3.19355516905039,0.0747644161363981,0.270511511034031,0.263837026453454,"cogng_random_slope"
"78","AL805961.2","Exc L4-5 RORB GABRG1",-0.00225894518166766,1.67315237445496,8.77148531950111e-06,0.997638562211519,0.998867525108022,0.999126141908734,"cogng_random_slope"
"79","AJAP1","Exc L4-5 RORB GABRG1",0.036954532033062,6.63453031987019,0.0306745515102255,0.861066210827481,0.953198315125237,0.948845094086894,"cogng_random_slope"
"80","AL365255.1","Exc L4-5 RORB GABRG1",0.63974281218421,1.80863764931612,1.0962484105504,0.295788447796008,0.571789559356562,0.560674115542906,"cogng_random_slope"
"81","NPHP4","Exc L4-5 RORB GABRG1",0.103129541113672,5.77180327733918,0.311185356073194,0.577298013640044,0.797117048795183,0.789457831325066,"cogng_random_slope"
"82","KCNAB2","Exc L4-5 RORB GABRG1",-0.106343644794174,6.86273047815501,0.72163576240226,0.396168492134675,0.664592251417593,0.653581143902863,"cogng_random_slope"
"83","CHD5","Exc L4-5 RORB GABRG1",-0.526289419465629,7.78590266437253,5.93576340914702,0.0153173845537234,0.110573079939193,0.105889445294888,"cogng_random_slope"
"84","RPL22","Exc L4-5 RORB GABRG1",-0.460379494166273,5.12611334481746,6.54917310786507,0.0108985300722422,0.0913484922882995,0.0867978155173058,"cogng_random_slope"
"85","RNF207","Exc L4-5 RORB GABRG1",0.0238047894081237,3.77830387673405,0.00917932877720652,0.923725354713963,0.974034548079187,0.974097072557922,"cogng_random_slope"
"86","ICMT","Exc L4-5 RORB GABRG1",-0.221596334840845,4.09094658347665,1.08826408318648,0.297551280455067,0.573825975605809,0.562421934436023,"cogng_random_slope"
