"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh VIP TSHZ2",0.0313921186554756,5.58393503931896,0.00651087786611156,0.935737904413349,0.99943244718419,0.999796889230302,"cogng_random_slope"
"2","NOC2L","Inh VIP TSHZ2",0.284266046909403,4.82032398382526,0.433347686618675,0.510814615907369,0.885665116491864,0.868180578655844,"cogng_random_slope"
"3","HES4","Inh VIP TSHZ2",2.91134143399798,4.52849358409275,20.2637688120608,9.39795035140115e-06,0.0101392136853679,0.00487160527531089,"cogng_random_slope"
"4","C1orf159","Inh VIP TSHZ2",0.203526211954364,5.5715110444149,0.312099697942239,0.57677740030025,0.917776379186214,0.898317693121417,"cogng_random_slope"
"5","SDF4","Inh VIP TSHZ2",-0.0566531088197305,5.73223449941688,0.0276224776182568,0.868102312819779,0.99943244718419,0.991205935187128,"cogng_random_slope"
"6","UBE2J2","Inh VIP TSHZ2",-0.0833945943078323,5.25039147765584,0.0514882290042514,0.847640274670058,0.996484296758065,0.986156528393502,"cogng_random_slope"
"7","ACAP3","Inh VIP TSHZ2",0.173667282247989,6.39045375596192,0.351163406377983,0.553865362073397,0.910270014339477,0.888996203847522,"cogng_random_slope"
"8","INTS11","Inh VIP TSHZ2",-0.253703472440436,5.46260068167433,0.661950036328249,0.416465113901429,0.844993818878583,0.819358478177885,"cogng_random_slope"
"9","AURKAIP1","Inh VIP TSHZ2",0.594665119858798,4.36633540024956,0.875150012105163,0.350224694928362,0.806833998525989,0.779297558580263,"cogng_random_slope"
"10","CCNL2","Inh VIP TSHZ2",0.18025257707235,6.2753278576285,0.51363821531046,0.594605960668193,0.926773801999744,0.90630484484414,"cogng_random_slope"
"11","MRPL20","Inh VIP TSHZ2",0.888367663328678,4.97558767855688,4.02798685230111,0.0455750588889544,0.43227914622089,0.387512739276043,"cogng_random_slope"
"12","ATAD3B","Inh VIP TSHZ2",0.528889515648569,4.65373234877643,1.10622834470883,0.293680876143491,0.764685149302379,0.737227799352607,"cogng_random_slope"
"13","SSU72","Inh VIP TSHZ2",-0.0584885367425874,5.4807634953066,0.0269289157788544,0.869753677885818,0.99943244718419,0.991416890558719,"cogng_random_slope"
"14","MIB2","Inh VIP TSHZ2",0.0401846472133298,5.36941735579438,0.0104639470700906,0.918586542707586,0.99943244718419,0.998263052884204,"cogng_random_slope"
"15","CDK11B","Inh VIP TSHZ2",0.110353287926373,5.16017955658085,0.0647180548179137,0.799348633765751,0.986941803043544,0.974191739818095,"cogng_random_slope"
"16","SLC35E2B","Inh VIP TSHZ2",0.409870116383575,5.09660860521752,0.994360845457084,0.408242707919575,0.840784230671856,0.815007028337293,"cogng_random_slope"
"17","CDK11A","Inh VIP TSHZ2",-0.7008570013766,4.62227626003566,1.76719632745867,0.184657275751197,0.674422361355346,0.634525432595669,"cogng_random_slope"
"18","SLC35E2A","Inh VIP TSHZ2",-0.808248622877998,5.04522230646105,3.67467671812303,0.0561172869918816,0.45830145878799,0.419414441771158,"cogng_random_slope"
"19","GNB1","Inh VIP TSHZ2",0.128739631252332,7.59958437464475,0.499154338581,0.480375661318076,0.874340432905169,0.853288670621024,"cogng_random_slope"
"20","PRKCZ","Inh VIP TSHZ2",0.0866054047076681,6.62040268680748,0.130853857717383,0.71778229215513,0.959861430030744,0.950586271077635,"cogng_random_slope"
"21","FAAP20","Inh VIP TSHZ2",-0.599355658580029,4.62789366329647,1.29880974930486,0.255265898771887,0.734368894637666,0.705568865368592,"cogng_random_slope"
"22","SKI","Inh VIP TSHZ2",-0.182186215604132,6.67823677536425,0.444549395372864,0.505405541300746,0.885024809820714,0.865586368453154,"cogng_random_slope"
"23","RER1","Inh VIP TSHZ2",0.393551838200239,5.02472049029206,0.798256802048848,0.372272958610496,0.819456237125017,0.792768263728028,"cogng_random_slope"
"24","PLCH2","Inh VIP TSHZ2",-0.0429572582653595,5.21265138214006,0.0101589885973524,0.919777576561692,0.99943244718419,0.998354298023962,"cogng_random_slope"
"25","TPRG1L","Inh VIP TSHZ2",0.562228011994514,4.64478041687804,1.0136085424521,0.314785224612347,0.781124846733557,0.754093166816558,"cogng_random_slope"
"26","LRRC47","Inh VIP TSHZ2",0.484806486175258,4.67246480735023,0.926342033652684,0.336527315329435,0.800260223592939,0.770216516384619,"cogng_random_slope"
"27","CEP104","Inh VIP TSHZ2",-0.492148912327242,5.75783424200604,2.76024302284123,0.0975931353574754,0.551189861949137,0.510354919415681,"cogng_random_slope"
"28","DFFB","Inh VIP TSHZ2",-0.918623123715187,5.18737821885962,6.98812369267609,0.00860102648069254,0.248070687867263,0.196987753279025,"cogng_random_slope"
"29","AJAP1","Inh VIP TSHZ2",-0.37890985231654,6.79690724423154,2.17825942743887,0.140936148405034,0.619358399635361,0.580083850117122,"cogng_random_slope"
"30","NPHP4","Inh VIP TSHZ2",0.40673157145857,6.02744734292833,1.33565916691811,0.248645712412181,0.730620036351822,0.699689274913911,"cogng_random_slope"
"31","KCNAB2","Inh VIP TSHZ2",0.420633004484665,6.93114345530002,2.87591918376095,0.0908666002950537,0.542830409770261,0.497803135050521,"cogng_random_slope"
"32","CHD5","Inh VIP TSHZ2",-0.418351799031742,7.59690411789453,3.67258369289653,0.0561869672869189,0.45830145878799,0.419621926440164,"cogng_random_slope"
"33","RPL22","Inh VIP TSHZ2",-0.220656830861551,5.29142417934737,0.323174520172027,0.570096765421137,0.913742837947973,0.895904662410937,"cogng_random_slope"
"34","ICMT","Inh VIP TSHZ2",-0.0700223497438617,4.37781944449134,0.01332053483605,0.908187418970344,0.99943244718419,0.997310001931715,"cogng_random_slope"
"35","ACOT7","Inh VIP TSHZ2",0.0951501483764878,6.18647168513915,0.102915492418311,0.748563767620421,0.967338035827682,0.959634929801822,"cogng_random_slope"
"36","TNFRSF25","Inh VIP TSHZ2",-0.116606076018222,5.817652927,0.127426169409217,0.721346280455625,0.959861430030744,0.951633414075738,"cogng_random_slope"
"37","PLEKHG5","Inh VIP TSHZ2",-0.16449490684193,5.09485203822298,0.143967411994149,0.704614883503278,0.959861430030744,0.946113886300488,"cogng_random_slope"
"38","NOL9","Inh VIP TSHZ2",0.501715103980917,5.2101639592898,1.78859283239832,0.182028357693367,0.670258854629459,0.631513860535716,"cogng_random_slope"
"39","KLHL21","Inh VIP TSHZ2",0.0458367574303201,5.10253708749398,0.0110373867584388,0.916393510643839,0.99943244718419,0.998107938376971,"cogng_random_slope"
"40","DNAJC11","Inh VIP TSHZ2",0.224955820213497,5.92562394713569,0.497109965127169,0.481275261066479,0.874812180887219,0.853673327284418,"cogng_random_slope"
"41","CAMTA1","Inh VIP TSHZ2",0.168404107402963,9.43662893962347,1.418267038792,0.234553675637314,0.723386496211672,0.687269783688647,"cogng_random_slope"
