"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB IL1RAPL2",0.116450338762261,2.99693951093095,0.101562707406702,0.750152478539514,0.999416669069174,0.999945215876193,"cogng_random_slope"
"2","AL669831.5","Exc L4-5 RORB IL1RAPL2",0.00212499243706651,5.71370322585041,6.74811099406217e-05,0.993450382179302,0.999416669069174,0.999945215876193,"cogng_random_slope"
"3","LINC00115","Exc L4-5 RORB IL1RAPL2",0.401880506508386,0.420039618317798,0.452294042886175,0.501691450725426,0.974921333796714,0.986360553905923,"cogng_random_slope"
"4","NOC2L","Exc L4-5 RORB IL1RAPL2",0.168968028994575,4.73902763687723,0.515103488171136,0.473416809607059,0.969403895957404,0.979841719045983,"cogng_random_slope"
"5","KLHL17","Exc L4-5 RORB IL1RAPL2",0.150629967496782,2.77238566274788,0.185241438784307,0.667171982212981,0.99521835784726,0.999945215876193,"cogng_random_slope"
"6","HES4","Exc L4-5 RORB IL1RAPL2",4.37801586276578,3.40409600770227,40.1264003470017,7.31878513211938e-10,1.4016937285035e-05,5.40719164346112e-05,"cogng_random_slope"
"7","ISG15","Exc L4-5 RORB IL1RAPL2",2.62459320237901,1.34970758480011,11.8275273159148,0.00065406320083069,0.0929376343735253,0.133701242674958,"cogng_random_slope"
"8","AGRN","Exc L4-5 RORB IL1RAPL2",1.22851903267331,4.59805789404762,13.0745907644211,0.000343309929308892,0.0739741919558732,0.0990784409658994,"cogng_random_slope"
"9","C1orf159","Exc L4-5 RORB IL1RAPL2",0.454857709064813,5.32137612869479,4.27742573841958,0.0393562064941077,0.54978123032469,0.611148791831701,"cogng_random_slope"
"10","TNFRSF18","Exc L4-5 RORB IL1RAPL2",1.70831850924988,0.398431800199153,6.29096965349383,0.0125874166264517,0.373710222829431,0.447101407585998,"cogng_random_slope"
"11","TNFRSF4","Exc L4-5 RORB IL1RAPL2",-1.04249578375442,1.4478431915745,3.42295339456476,0.0651388233085932,0.638803803553879,0.692548770306832,"cogng_random_slope"
"12","SDF4","Exc L4-5 RORB IL1RAPL2",0.493487045047056,4.98382825103136,6.76825789532266,0.00967341768223137,0.333811343153325,0.412269268958821,"cogng_random_slope"
"13","B3GALT6","Exc L4-5 RORB IL1RAPL2",-0.0417906618824903,2.63993794043788,0.0126637319328377,0.910465143934051,0.999416669069174,0.999945215876193,"cogng_random_slope"
"14","C1QTNF12","Exc L4-5 RORB IL1RAPL2",0.0635938751089512,-0.173661132409942,0.0094259958072683,0.922712442939446,0.999416669069174,0.999945215876193,"cogng_random_slope"
"15","UBE2J2","Exc L4-5 RORB IL1RAPL2",0.107578576175527,4.76591512364423,0.532711429773119,0.465957506031412,0.968673621125509,0.977497930864575,"cogng_random_slope"
"16","LINC01786","Exc L4-5 RORB IL1RAPL2",0.637398283217315,2.0396857176811,2.44662709260604,0.118681678403228,0.746136560164392,0.782939355615802,"cogng_random_slope"
"17","SCNN1D","Exc L4-5 RORB IL1RAPL2",0.0364219253171978,2.99434211934682,0.0118530040791944,0.913366820251511,0.999416669069174,0.999945215876193,"cogng_random_slope"
"18","ACAP3","Exc L4-5 RORB IL1RAPL2",-0.0138018234524418,6.36555898511068,0.00269630310927175,0.95861733855456,0.999416669069174,0.999945215876193,"cogng_random_slope"
