"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 CT",0.71907473153835,3.66783503152711,2.74145403929224,0.0987005320389351,0.502253098984801,0.762942458746604,"cogng_random_slope"
"2","AL669831.5","Exc L6 CT",0.233647491123671,5.58327708129182,0.782659378695165,0.376955682740654,0.787273576948286,0.937892084044525,"cogng_random_slope"
"3","NOC2L","Exc L6 CT",-0.0486958982407762,4.62738158293727,0.0233193230361003,0.925114957040096,0.998330797666606,0.999990506196342,"cogng_random_slope"
"4","KLHL17","Exc L6 CT",-0.724196716488471,2.94334078487905,1.76080983721052,0.185416053800691,0.614724135274574,0.846412842147494,"cogng_random_slope"
"5","HES4","Exc L6 CT",1.38834079746751,2.40987192429202,2.8440624624985,0.0926315117177124,0.491277191013641,0.754505426834329,"cogng_random_slope"
"6","AGRN","Exc L6 CT",2.30957036377637,3.79261136304397,19.9626837432643,1.07746537143511e-05,0.00729444056461568,0.0212995474229302,"cogng_random_slope"
"7","C1orf159","Exc L6 CT",0.663047533023688,5.5769454193579,7.31009086887548,0.00720233153308255,0.180926844077807,0.380921206249251,"cogng_random_slope"
"8","SDF4","Exc L6 CT",0.721625513536013,5.19034960933884,6.74449201539872,0.00981318988523191,0.213654865340451,0.428041878145229,"cogng_random_slope"
"9","B3GALT6","Exc L6 CT",0.0311983228019656,2.58548656480164,0.00243942238850213,0.960637160007731,0.999607787159268,0.999990506196342,"cogng_random_slope"
"10","UBE2J2","Exc L6 CT",0.0943552802402805,4.75075146475086,0.158697688945806,0.690608987658531,0.942435566709988,0.999990506196342,"cogng_random_slope"
"11","SCNN1D","Exc L6 CT",0.699018078062626,3.24373705137498,2.07758755410309,0.150398759385637,0.572343789230334,0.820830834601918,"cogng_random_slope"
"12","ACAP3","Exc L6 CT",0.694790020703567,6.65248417198922,6.846637279476,0.0092781337706234,0.207989952407683,0.418592025561805,"cogng_random_slope"
"13","INTS11","Exc L6 CT",-0.461024878062769,5.28252685217353,3.76353063476768,0.0728203877447212,0.451459729882566,0.717172188332826,"cogng_random_slope"
"14","CPTP","Exc L6 CT",0.355255045102024,2.69786708339018,0.344600991322871,0.557575902450059,0.886114694826654,0.980953479189371,"cogng_random_slope"
"15","DVL1","Exc L6 CT",-0.148644742167151,4.21671485493743,0.1800277727799,0.708286054274122,0.94889525654151,0.999990506196342,"cogng_random_slope"
"16","AURKAIP1","Exc L6 CT",-0.745953598137638,3.66512817236168,1.77943289210995,0.183113888575537,0.610981284207188,0.844491691328818,"cogng_random_slope"
"17","CCNL2","Exc L6 CT",0.0847588147207475,5.8826149714972,0.195055495731214,0.977848147784716,0.999607787159268,0.999990506196342,"cogng_random_slope"
"18","MRPL20","Exc L6 CT",-0.0889107360656738,4.40310406822335,0.0654448391454575,0.798243430695712,0.977381902569803,0.999990506196342,"cogng_random_slope"
"19","ANKRD65","Exc L6 CT",-0.581778356087861,2.92210050345061,0.739497095129499,0.390429370985785,0.792788075524563,0.942341348845938,"cogng_random_slope"
"20","ATAD3C","Exc L6 CT",-0.293124527648794,2.42075734911498,0.132656822546555,0.715920032331224,0.952699435280087,0.999990506196342,"cogng_random_slope"
"21","ATAD3B","Exc L6 CT",0.0752488303840257,4.37175642846561,0.0490728045231491,0.824817883697168,0.985184484849581,0.999990506196342,"cogng_random_slope"
"22","ATAD3A","Exc L6 CT",-0.301089947719659,4.02028564480286,0.833066424249821,0.362035568986237,0.776732943126865,0.932731459492466,"cogng_random_slope"
"23","TMEM240","Exc L6 CT",-1.45401744899789,2.34949359793572,4.53849645149166,0.0338597915312325,0.345011857815196,0.601365286562645,"cogng_random_slope"
"24","SSU72","Exc L6 CT",-0.604178002147721,5.31637378590206,3.23007122789459,0.0731868937920216,0.452370703781742,0.71757748733169,"cogng_random_slope"
"25","FNDC10","Exc L6 CT",-0.773215351416956,3.16489562253962,2.20761288965046,0.138259807074634,0.558317264476751,0.811662290607241,"cogng_random_slope"
"26","AL691432.2","Exc L6 CT",0.201808514270583,3.11758561386017,0.170774122009333,0.679685847404238,0.937163581858797,0.999410847176514,"cogng_random_slope"
"27","MIB2","Exc L6 CT",0.255296187668784,5.24549195926494,0.877653428227023,0.349511695300036,0.76777467237524,0.929094912833326,"cogng_random_slope"
"28","CDK11B","Exc L6 CT",-0.0401915317255388,4.80358393707341,0.0224419573389254,0.888456735336748,0.994043996774036,0.999990506196342,"cogng_random_slope"
"29","SLC35E2B","Exc L6 CT",0.113177628295783,4.80383791966559,0.162353186015665,0.687253001158995,0.941099752461975,0.999990506196342,"cogng_random_slope"
