"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",0.246508234601499,3.03071311520568,0.342431451203625,0.558802962886562,0.938756296428658,0.979421093023982,"cogng_random_slope"
"2","AL669831.5","Exc L6b",0.275190162076969,5.74483766828036,1.10050451182625,0.294873102396909,0.794298704684267,0.902074424711938,"cogng_random_slope"
"3","LINC00115","Exc L6b",1.46712372391736,1.32001201915359,2.58965351763815,0.108457762194958,0.589050916560465,0.752363634342491,"cogng_random_slope"
"4","NOC2L","Exc L6b",-0.209293217905399,4.80954115169277,0.677633306467883,0.410958642290171,0.871291210247595,0.941293403764642,"cogng_random_slope"
"5","KLHL17","Exc L6b",-0.106032483713816,2.90710464249022,0.0573137430453833,0.810932132245722,0.99837993113753,0.999944395182373,"cogng_random_slope"
"6","HES4","Exc L6b",2.73795516398216,3.82705465053376,22.743187244962,2.71301206703786e-06,0.0043709337412047,0.00881860906158134,"cogng_random_slope"
"7","ISG15","Exc L6b",-0.105618247863227,1.53087353430706,0.0157877418883953,0.900081080700133,0.999874090777036,0.999944395182373,"cogng_random_slope"
"8","AGRN","Exc L6b",0.432350672344141,4.8012219995399,1.55421861175093,0.21334034054427,0.727742161022386,0.854296412290065,"cogng_random_slope"
"9","C1orf159","Exc L6b",0.77924139453982,5.83558343028234,10.9339844483349,0.00104118192355134,0.0932131283383582,0.155408663000533,"cogng_random_slope"
"10","SDF4","Exc L6b",0.588477056166979,5.17016828015585,6.01426124849639,0.0146741679468858,0.280113175109333,0.435868814679195,"cogng_random_slope"
"11","B3GALT6","Exc L6b",-0.360612392678431,2.95388394808967,0.700298956651322,0.40324941535225,0.867042750665968,0.938955526047314,"cogng_random_slope"
"12","UBE2J2","Exc L6b",-0.00852631280010862,4.84785709535156,0.00140880026762797,0.970080457499354,0.999874090777036,0.999944395182373,"cogng_random_slope"
"13","LINC01786","Exc L6b",1.11780063060471,2.16647716709215,3.31625904106702,0.069444147809501,0.506939132468904,0.680677161267568,"cogng_random_slope"
"14","SCNN1D","Exc L6b",0.482226379893472,2.90751602084631,1.07836727425006,0.299773870454584,0.797242024751631,0.903361532528033,"cogng_random_slope"
"15","ACAP3","Exc L6b",0.361425681251054,6.62278181815783,2.04736243793737,0.153354769739791,0.665186514621064,0.806279837347778,"cogng_random_slope"
"16","PUSL1","Exc L6b",0.530804842039454,1.85349932207171,0.656190555172366,0.419043068848253,0.876731440993041,0.943389085254769,"cogng_random_slope"
"17","INTS11","Exc L6b",-0.240208578518958,5.14837179892006,1.57342582782026,0.210540137604922,0.725390395321273,0.852805529848865,"cogng_random_slope"
"18","CPTP","Exc L6b",-0.0706359763179804,3.03222023581631,0.030606420751853,0.861221651215869,0.999874090777036,0.999944395182373,"cogng_random_slope"
