"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5-6 RORB LINC02196",-0.00087983581893076,3.67822444615135,0.000652754402699433,0.979630997274258,0.999872295346859,0.999977438871716,"cogn_global_lv"
"2","AL669831.5","Exc L5-6 RORB LINC02196",-0.00663607154547806,6.03910375675843,0.080405001452966,0.77691027708557,0.999872295346859,0.999977438871716,"cogn_global_lv"
"3","NOC2L","Exc L5-6 RORB LINC02196",0.00740873548454759,4.86797395370928,0.106630780129846,0.744200429861195,0.999872295346859,0.999977438871716,"cogn_global_lv"
"4","KLHL17","Exc L5-6 RORB LINC02196",-0.0140108754257043,3.14030534631472,0.149041401040259,0.69967832063239,0.999872295346859,0.999977438871716,"cogn_global_lv"
"5","HES4","Exc L5-6 RORB LINC02196",0.152654372769228,4.77612079808464,18.9950573677176,1.70666916375567e-05,0.0338728526754617,0.0220721672443487,"cogn_global_lv"
"6","ISG15","Exc L5-6 RORB LINC02196",0.0981831271242984,2.57207947006686,2.37011840556697,0.124545175432813,0.906519647793111,0.890036069458619,"cogn_global_lv"
"7","AGRN","Exc L5-6 RORB LINC02196",0.0462171293187194,4.46254160157482,2.88579904336458,0.0902168403726852,0.872630013305015,0.85255610269783,"cogn_global_lv"
"8","C1orf159","Exc L5-6 RORB LINC02196",0.00272697717930121,5.43483132944533,0.0176238473648708,0.894460515842426,0.999872295346859,0.999977438871716,"cogn_global_lv"
"9","SDF4","Exc L5-6 RORB LINC02196",0.0403629480999914,5.17232072669477,4.54230296880958,0.0337355454189893,0.768952786872834,0.70881685608164,"cogn_global_lv"
"10","B3GALT6","Exc L5-6 RORB LINC02196",-0.000381394823530116,3.03394946509606,0.000134945077817543,0.990737867989613,0.999872295346859,0.999977438871716,"cogn_global_lv"
"11","UBE2J2","Exc L5-6 RORB LINC02196",0.00867218081547115,4.83938677745718,0.221662815633661,0.638057426244701,0.999872295346859,0.999977438871716,"cogn_global_lv"
"12","LINC01786","Exc L5-6 RORB LINC02196",0.0169163925120246,2.60750660606772,0.12054123436993,0.728648559479223,0.999872295346859,0.999977438871716,"cogn_global_lv"
"13","SCNN1D","Exc L5-6 RORB LINC02196",-0.00398646105969776,3.30162081593094,0.013148615321263,0.908771873442063,0.999872295346859,0.999977438871716,"cogn_global_lv"
"14","ACAP3","Exc L5-6 RORB LINC02196",-0.0111874327902174,6.27566737802191,0.246955419625218,0.619526614532488,0.999872295346859,0.999977438871716,"cogn_global_lv"
"15","INTS11","Exc L5-6 RORB LINC02196",-0.00495014684595083,5.24129057493016,0.0715761294768137,0.879481823634895,0.999872295346859,0.999977438871716,"cogn_global_lv"
"16","CPTP","Exc L5-6 RORB LINC02196",0.00688054500190299,2.91897825956879,0.0283727022180825,0.866328993239043,0.999872295346859,0.999977438871716,"cogn_global_lv"
"17","DVL1","Exc L5-6 RORB LINC02196",0.0152930933070254,4.37708600686877,0.393983314264035,0.530605961735003,0.999872295346859,0.999977438871716,"cogn_global_lv"
"18","AURKAIP1","Exc L5-6 RORB LINC02196",0.029214041509526,4.1078082273585,0.412465681330369,0.521124323369904,0.999872295346859,0.999977438871716,"cogn_global_lv"
"19","CCNL2","Exc L5-6 RORB LINC02196",0.0133903403594518,6.00371493538989,0.985872124204266,0.321411931183693,0.999659533901305,0.984307091444031,"cogn_global_lv"
"20","MRPL20","Exc L5-6 RORB LINC02196",0.0227492707986069,4.54244908643914,0.590240977345024,0.442823322532173,0.999872295346859,0.999977438871716,"cogn_global_lv"
"21","ANKRD65","Exc L5-6 RORB LINC02196",0.0578593932917891,3.56338951011299,1.37366843345848,0.241947961147016,0.972747819894631,0.963634364229573,"cogn_global_lv"
"22","VWA1","Exc L5-6 RORB LINC02196",-0.0286510462062784,2.46131797482786,0.469817893850329,0.493506572803668,0.999872295346859,0.999977438871716,"cogn_global_lv"
"23","ATAD3C","Exc L5-6 RORB LINC02196",0.0351671677684555,3.47698072258818,0.622040023517614,0.430802793452643,0.999872295346859,0.999977438871716,"cogn_global_lv"
"24","ATAD3B","Exc L5-6 RORB LINC02196",-4.34330998519752e-05,4.56774398897664,3.01574030452427e-06,0.998615353258097,0.999872295346859,0.999977438871716,"cogn_global_lv"
"25","ATAD3A","Exc L5-6 RORB LINC02196",0.00172941522312752,3.91297516979555,0.00543862530342126,0.941252118399174,0.999872295346859,0.999977438871716,"cogn_global_lv"
"26","TMEM240","Exc L5-6 RORB LINC02196",-0.0440504493759409,2.56968111136041,0.799852320857197,0.371727589899334,0.999872295346859,0.995095038747592,"cogn_global_lv"
"27","SSU72","Exc L5-6 RORB LINC02196",-0.010439386900164,5.65944580281213,0.131428062427595,0.717166024889539,0.999872295346859,0.999977438871716,"cogn_global_lv"
"28","AL645728.1","Exc L5-6 RORB LINC02196",-0.0431717614837051,2.34097644179759,0.783219794621207,0.376741551588895,0.999872295346859,0.995311119676458,"cogn_global_lv"
"29","FNDC10","Exc L5-6 RORB LINC02196",-0.0216899065302477,4.01547385402873,0.400273133084713,0.527344857310648,0.999872295346859,0.999977438871716,"cogn_global_lv"
"30","AL691432.2","Exc L5-6 RORB LINC02196",0.006318063251127,3.32658624070167,0.0281635379707474,0.866817979934936,0.999872295346859,0.999977438871716,"cogn_global_lv"
"31","MIB2","Exc L5-6 RORB LINC02196",0.0143181475844583,5.2707768233759,0.521631260418934,0.470609687475522,0.999872295346859,0.999977438871716,"cogn_global_lv"
"32","CDK11B","Exc L5-6 RORB LINC02196",-0.0127221843270669,4.95746393304605,0.427917232363837,0.783786079523966,0.999872295346859,0.999977438871716,"cogn_global_lv"
"33","SLC35E2B","Exc L5-6 RORB LINC02196",0.0152565730157123,4.72178361180397,0.519185353217776,0.471651155957958,0.999872295346859,0.999977438871716,"cogn_global_lv"
"34","CDK11A","Exc L5-6 RORB LINC02196",-0.0505649586824554,4.18526339585949,2.79459253509118,0.0954408736296655,0.872666807186796,0.858048305876455,"cogn_global_lv"
"35","SLC35E2A","Exc L5-6 RORB LINC02196",-0.0262444515607617,4.7703746211348,1.2613849212226,0.262128187772398,0.984425531820903,0.97124254059295,"cogn_global_lv"
"36","NADK","Exc L5-6 RORB LINC02196",0.0406386521188836,4.10741151033718,3.39348541224799,0.0916421921957102,0.872630013305015,0.853460463543975,"cogn_global_lv"
"37","GNB1","Exc L5-6 RORB LINC02196",-0.000880360814120784,7.78205479498635,0.00640179532579587,0.93627223579297,0.999872295346859,0.999977438871716,"cogn_global_lv"
"38","CFAP74","Exc L5-6 RORB LINC02196",-0.00992534838064657,4.68679872112605,0.183948996713616,0.668254598210504,0.999872295346859,0.999977438871716,"cogn_global_lv"
"39","GABRD","Exc L5-6 RORB LINC02196",0.0156345742493302,5.34077955634318,0.307737207251707,0.579412235856596,0.999872295346859,0.999977438871716,"cogn_global_lv"
"40","PRKCZ","Exc L5-6 RORB LINC02196",0.00705192536234831,6.8122438632237,0.261714429037049,0.609254481946667,0.999872295346859,0.999977438871716,"cogn_global_lv"
