"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","OPC",-1.38184922253946,2.37123674465029,1.81225122735114,0.179134699766723,0.770311667039813,0.770311667039813,"cognpo_random_slope"
"2","AL669831.5","OPC",-0.31897830800944,5.01898567313128,0.365401606571294,0.545924436527786,0.944237227464632,0.944237227464632,"cognpo_random_slope"
"3","NOC2L","OPC",1.35978905381823,4.50032633808092,5.24860160210991,0.0225753662961358,0.521144834441165,0.521144834441165,"cognpo_random_slope"
"4","KLHL17","OPC",0.49774103912476,2.18041975185497,0.155744577218007,0.693352278832624,0.977631913612612,0.977631913612612,"cognpo_random_slope"
"5","HES4","OPC",6.60810821304664,2.41136933748943,17.2173726685334,4.2166289973235e-05,0.0563073303106226,0.0563073303106226,"cognpo_random_slope"
"6","ISG15","OPC",0.609280819815451,3.68294226512754,0.098168896756427,0.754230194490156,0.985516810046902,0.985516810046902,"cognpo_random_slope"
"7","AGRN","OPC",-0.559748026377449,5.20579127519617,0.884443871826022,0.347654679259659,0.876925878242006,0.876925878242006,"cognpo_random_slope"
"8","C1orf159","OPC",0.438968422982667,4.38560653232182,0.577352864855977,0.447877995374402,0.913120934573155,0.913120934573155,"cognpo_random_slope"
"9","SDF4","OPC",-0.611775636433999,4.802731223156,1.63236238875361,0.20224774841788,0.795825656713164,0.795825656713164,"cognpo_random_slope"
"10","B3GALT6","OPC",-0.578852079007547,2.82244119645859,0.355678272286589,0.551312880018905,0.944504855248146,0.944504855248146,"cognpo_random_slope"
"11","UBE2J2","OPC",0.680653112656732,4.85733632368893,2.58204487978958,0.109009641438721,0.710373528787895,0.710373528787895,"cognpo_random_slope"
"12","LINC01786","OPC",1.04746242042519,2.90754176261351,1.17602694785333,0.278934214414914,0.838131714095363,0.838131714095363,"cognpo_random_slope"
"13","SCNN1D","OPC",0.183995807975512,4.02049016310547,0.0495394578055137,0.824000160977369,0.995358528098976,0.995358528098976,"cognpo_random_slope"
