"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 THEMIS NFIA",0.436544030769408,2.91615950161781,1.23114299418931,0.267913121107267,0.669936324867363,0.724202276485157,"cognps_random_slope"
"2","AL669831.5","Exc L6 THEMIS NFIA",-0.114127902092986,5.60315146271465,0.150741158575996,0.698053740278932,0.928137005134383,0.948508020014464,"cognps_random_slope"
"3","LINC00115","Exc L6 THEMIS NFIA",0.741617405050547,0.771440876076794,1.13452787634164,0.287513524317445,0.687937501769424,0.740333017324796,"cognps_random_slope"
"4","NOC2L","Exc L6 THEMIS NFIA",-0.231740823095366,4.66551225426552,0.763584316619885,0.382781938725833,0.762060576424021,0.808027543578214,"cognps_random_slope"
"5","KLHL17","Exc L6 THEMIS NFIA",-0.0638892662990984,2.70813731586201,0.0253769767668186,0.873519157748892,0.977953004601767,0.989980089157805,"cognps_random_slope"
"6","HES4","Exc L6 THEMIS NFIA",4.27616918986919,2.44418438261674,32.3215440180599,2.67276067211307e-08,4.03730779371418e-05,8.77358102780022e-05,"cognps_random_slope"
"7","ISG15","Exc L6 THEMIS NFIA",1.67511738245086,0.813143911048007,3.87467739190295,0.0497738037008086,0.342926592592719,0.396409638239898,"cognps_random_slope"
"8","AGRN","Exc L6 THEMIS NFIA",0.646044664209858,4.15648881733001,2.64291907580956,0.1048726918784,0.46774968300609,0.525145513263883,"cognps_random_slope"
"9","C1orf159","Exc L6 THEMIS NFIA",0.441664331720802,5.43356531152635,2.61444837098281,0.106755582401396,0.47170080577224,0.528857952988938,"cognps_random_slope"
"10","TNFRSF18","Exc L6 THEMIS NFIA",1.52161008322428,1.18147467560638,5.38004446781028,0.0209179129275535,0.225707290846703,0.279038972938981,"cognps_random_slope"
"11","TNFRSF4","Exc L6 THEMIS NFIA",-1.28890599125701,-0.12147454197438,1.97812383226481,0.160436392002958,0.548770149758246,0.610364616564024,"cognps_random_slope"
"12","SDF4","Exc L6 THEMIS NFIA",0.216594691885761,4.87058253750762,0.947410616396344,0.331021910666273,0.727263063297562,0.775278333057285,"cognps_random_slope"
"13","B3GALT6","Exc L6 THEMIS NFIA",-0.0425516180015629,2.69912003774077,0.00996264192269458,0.92054738971011,0.988234292500531,0.9959985579474,"cognps_random_slope"
"14","C1QTNF12","Exc L6 THEMIS NFIA",0.446079827130503,0.0847739186821224,0.269018562973547,0.604304224836945,0.890292324568739,0.916433415646168,"cognps_random_slope"
