"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh SGCD PDE3A",0.490491016562114,5.33185885078243,0.42645408256779,0.514664955426454,0.999728243593258,0.952054524943545,"cognps_random_slope"
"2","NOC2L","Inh SGCD PDE3A",-0.0291635590728074,5.05227514387482,0.00134519890065847,0.970787995754885,0.999728243593258,1,"cognps_random_slope"
"3","HES4","Inh SGCD PDE3A",1.07944823679984,5.59207052885791,1.661155826091,0.199295166062405,0.999728243593258,0.815425522090783,"cognps_random_slope"
"4","C1orf159","Inh SGCD PDE3A",0.565639849835792,5.71304867104211,0.781266878675611,0.378071240296204,0.999728243593258,0.908299727416089,"cognps_random_slope"
"5","SDF4","Inh SGCD PDE3A",0.954991661869233,5.50871017255716,1.88973935198871,0.171140526438945,0.999728243593258,0.795200128023928,"cognps_random_slope"
"6","UBE2J2","Inh SGCD PDE3A",0.401329004860527,5.38935339388416,0.452243806105502,0.518669132382356,0.999728243593258,0.953215027552624,"cognps_random_slope"
"7","ACAP3","Inh SGCD PDE3A",-0.00372731331090824,5.97660339729523,3.28047645980191e-05,0.995437192560974,0.999728243593258,1,"cognps_random_slope"
"8","INTS11","Inh SGCD PDE3A",-0.221611544639253,5.63542713480397,0.130395661825432,0.794769439243451,0.999728243593258,1,"cognps_random_slope"
"9","AURKAIP1","Inh SGCD PDE3A",0.806762296763952,4.74174726465408,0.626491731621459,0.429809006963906,0.999728243593258,0.927343645699709,"cognps_random_slope"
"10","CCNL2","Inh SGCD PDE3A",0.363174348642903,6.02809128721129,0.448840591291328,0.50384527766993,0.999728243593258,0.949207327364327,"cognps_random_slope"
"11","MRPL20","Inh SGCD PDE3A",-0.954114865214953,4.98457790574537,1.3288790384958,0.250712465177086,0.999728243593258,0.848167086755677,"cognps_random_slope"
"12","SSU72","Inh SGCD PDE3A",0.453691201686773,5.61296709627765,0.349999028951027,0.554942999827245,0.999728243593258,0.961894898990755,"cognps_random_slope"
"13","MIB2","Inh SGCD PDE3A",0.390014515620377,5.29714060022687,0.360675822389024,0.56930710578892,0.999728243593258,0.965057403303211,"cognps_random_slope"
"14","CDK11B","Inh SGCD PDE3A",-0.0855511749601391,4.93179344495774,0.0128692160619327,0.909820949721145,0.999728243593258,1,"cognps_random_slope"
"15","SLC35E2B","Inh SGCD PDE3A",1.3502711845774,5.18469408684127,3.03756945539011,0.083265845760063,0.999728243593258,0.68910403690659,"cognps_random_slope"
"16","SLC35E2A","Inh SGCD PDE3A",0.160388738045485,5.19604340474236,0.042698207083101,0.836555525894055,0.999728243593258,1,"cognps_random_slope"
"17","NADK","Inh SGCD PDE3A",0.803353691261872,5.04961644771543,1.13447372345444,0.288416966563032,0.999728243593258,0.867935656122237,"cognps_random_slope"
"18","GNB1","Inh SGCD PDE3A",-0.270471624254965,8.08490452667813,0.678618257864488,0.411280899171634,0.999728243593258,0.920736258052333,"cognps_random_slope"
"19","PRKCZ","Inh SGCD PDE3A",-0.402256215349127,6.61785943659141,0.846881531124073,0.358812077145536,0.999728243593258,0.900941405176514,"cognps_random_slope"
"20","FAAP20","Inh SGCD PDE3A",-0.388450375704665,4.85284955876242,0.163484670509165,0.68650464262864,0.999728243593258,0.98876060405138,"cognps_random_slope"
"21","SKI","Inh SGCD PDE3A",0.196244346367434,6.01195356672503,0.114408550998832,0.735620251197334,0.999728243593258,0.998050929934368,"cognps_random_slope"
