"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL645608.8","Per",0.982410173245751,7.57633053087924,0.976239981197604,0.324326653041528,0.999114773998682,0.987412324380178,"cognps_random_slope"
"2","HES4","Per",-0.0434876868111132,10.1968482667163,0.00419472165242939,0.948424683238357,0.999114773998682,0.999912770569083,"cognps_random_slope"
"3","ISG15","Per",2.63766054490018,7.1322573328708,3.70187451099629,0.0557755994271342,0.834325570131148,0.863883072460677,"cognps_random_slope"
"4","AGRN","Per",-0.492505916894189,8.77131344249216,0.679249411315971,0.410830348107048,0.999114773998682,0.999912770569083,"cognps_random_slope"
"5","CCNL2","Per",0.0164496482879315,7.54129786006895,0.00069602335406975,0.978978840597395,0.999114773998682,0.999912770569083,"cognps_random_slope"
"6","GNB1","Per",-0.364513446035994,8.84635765816908,0.693786090916457,0.805662684509106,0.999114773998682,0.999912770569083,"cognps_random_slope"
"7","SKI","Per",0.824516146787712,7.69651862308336,1.32451292559935,0.251162376161458,0.999114773998682,0.977646983171923,"cognps_random_slope"
"8","CAMTA1","Per",0.0608336425677643,8.66395059274086,0.0147855092309214,0.903341724575211,0.999114773998682,0.999912770569083,"cognps_random_slope"
"9","PER3","Per",0.715725546037431,7.66604267023456,0.544294462417453,0.461525985013412,0.999114773998682,0.999912770569083,"cognps_random_slope"
"10","RERE","Per",0.578587052178654,9.35436860817681,2.74523783511702,0.173777457831676,0.995330483811732,0.948189781630663,"cognps_random_slope"
"11","PIK3CD","Per",0.0872663183670855,8.1853504655273,0.0116955245245086,0.913988776424289,0.999114773998682,0.999912770569083,"cognps_random_slope"
"12","CLSTN1","Per",0.230679773224478,8.05535311351161,0.17743311597659,0.99558437527277,0.999114773998682,0.999912770569083,"cognps_random_slope"
"13","UBE4B","Per",-0.623583218471343,8.16792236013301,1.25747519580057,0.263478594730411,0.999114773998682,0.979158428846187,"cognps_random_slope"
"14","KIF1B","Per",-0.051606515812465,8.34765943640691,0.00972144844308799,0.921557006762701,0.999114773998682,0.999912770569083,"cognps_random_slope"
"15","PLOD1","Per",-0.779675731661376,8.43730341913144,2.12018964054833,0.146941752457693,0.976577210654725,0.937976650810259,"cognps_random_slope"
"16","TNFRSF1B","Per",0.354238364305572,7.75672455215239,0.197899112358727,0.656904649695726,0.999114773998682,0.999912770569083,"cognps_random_slope"
"17","VPS13D","Per",-0.269910310855486,9.33721489285406,0.179835624442207,0.67197182158638,0.999114773998682,0.999912770569083,"cognps_random_slope"
"18","PRDM2","Per",-0.00628038586302543,7.76884834144022,9.45718052325879e-05,0.992250577317548,0.999114773998682,0.999912770569083,"cognps_random_slope"
"19","KAZN","Per",0.688526896350453,8.24466720006682,1.38352510279015,0.240904390083373,0.999114773998682,0.975659061296878,"cognps_random_slope"
"20","TMEM51","Per",1.10159317930235,7.41348900705667,2.03278447343372,0.155502430688292,0.978573532942048,0.942888556009083,"cognps_random_slope"
"21","FBLIM1","Per",0.311922859590147,7.06628549629445,0.053823699883679,0.816776514836928,0.999114773998682,0.999912770569083,"cognps_random_slope"
"22","SPEN","Per",0.620267833984581,8.29123750008503,2.03058360412624,0.155725216814996,0.978573532942048,0.942888556009083,"cognps_random_slope"
"23","FBXO42","Per",0.333077061352097,7.55977833579796,0.286113364578939,0.593318170589923,0.999114773998682,0.999912770569083,"cognps_random_slope"
"24","UBR4","Per",-0.47211627191053,7.95498355694578,0.57647226089833,0.448595321700973,0.999114773998682,0.999912770569083,"cognps_random_slope"
"25","CAPZB","Per",0.249783392497576,8.81819679565947,0.347626070644126,0.556127711551492,0.999114773998682,0.999912770569083,"cognps_random_slope"
"26","NBL1","Per",0.791795523185324,7.72625742969604,1.36566092022227,0.243954464427694,0.999114773998682,0.975659061296878,"cognps_random_slope"
"27","CAMK2N1","Per",0.37526439231811,7.72656926842371,0.284526088285043,0.594344129229222,0.999114773998682,0.999912770569083,"cognps_random_slope"
"28","HP1BP3","Per",-0.0507418579537848,9.00223843605856,0.00959983938713591,0.922047600707352,0.999114773998682,0.999912770569083,"cognps_random_slope"
"29","EIF4G3","Per",0.188222846670932,9.28791590596104,0.185070070380768,0.667516554171888,0.999114773998682,0.999912770569083,"cognps_random_slope"
"30","ECE1","Per",0.944078141957638,9.49478932649296,3.15112343907183,0.077400682972931,0.881643099603043,0.91599882471543,"cognps_random_slope"
"31","USP48","Per",-0.411269895561767,7.47268204126858,0.444913914908736,0.505531569991192,0.999114773998682,0.999912770569083,"cognps_random_slope"
"32","CDC42","Per",-0.404964917758906,7.48849656691076,0.3834433100086,0.536473238350295,0.999114773998682,0.999912770569083,"cognps_random_slope"
"33","HNRNPR","Per",0.152339053716066,7.49614302306197,0.0698740948721821,0.791793285902486,0.999114773998682,0.999912770569083,"cognps_random_slope"
"34","ID3","Per",1.2963254689991,7.62697105830936,0.909151445416259,0.341494457271558,0.999114773998682,0.989223988431929,"cognps_random_slope"
"35","RPL11","Per",1.12579876991296,7.39835374910882,1.18926204444909,0.276794931614093,0.999114773998682,0.979158428846187,"cognps_random_slope"
"36","SRSF10","Per",0.507389262801836,7.57782777491522,0.641199237545509,0.424230226860887,0.999114773998682,0.999912770569083,"cognps_random_slope"
"37","SRRM1","Per",-0.634248314451214,7.51170799272013,1.0809908376472,0.299735453565088,0.999114773998682,0.984803376696921,"cognps_random_slope"
"38","CLIC4","Per",-1.19532222660271,8.21095997548036,3.70868245521146,0.0555528751683874,0.834325570131148,0.863883072460677,"cognps_random_slope"
"39","RSRP1","Per",-0.48889693238652,8.87723899272252,1.07107605815131,0.301956408098607,0.999114773998682,0.984803376696921,"cognps_random_slope"
"40","TMEM50A","Per",0.440350641313187,7.39780943076536,0.301516690062869,0.583547718938332,0.999114773998682,0.999912770569083,"cognps_random_slope"
"41","MACO1","Per",-0.362282757693515,7.31278270357622,0.228651252041492,0.659362196066066,0.999114773998682,0.999912770569083,"cognps_random_slope"
"42","SH3BGRL3","Per",0.810933926738734,7.09623323226881,0.423735842061716,0.515828451567659,0.999114773998682,0.999912770569083,"cognps_random_slope"
