"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Ast GRM3",0.198838133411466,2.86609309132449,0.284626542991067,0.594001529360933,0.86881519068067,0.918004535902284,"cognse_random_slope"
"2","AL669831.5","Ast GRM3",-0.0418274885395075,4.88040048917402,0.0270502738148988,0.869450240034508,0.982501498825212,0.995906604529859,"cognse_random_slope"
"3","SAMD11","Ast GRM3",-3.26481838905116,2.05374412891564,21.7517230308463,4.32579400067504e-06,0.00137983816550699,0.00276973380206555,"cognse_random_slope"
"4","NOC2L","Ast GRM3",0.384903059793837,4.36006461682909,2.38693485488112,0.214078714394567,0.562606648620219,0.654518506359947,"cognse_random_slope"
"5","KLHL17","Ast GRM3",-0.581049705314081,2.89288422726392,1.82758866636089,0.177229341535174,0.5168682758562,0.607261827841311,"cognse_random_slope"
"6","HES4","Ast GRM3",1.61808251221393,4.22621975713306,12.3281471524795,0.000500654275081371,0.0236590049560829,0.0395753812465042,"cognse_random_slope"
"7","ISG15","Ast GRM3",0.983540987851631,2.7758730442514,1.82208596770265,0.17788131844251,0.518078917000813,0.60835632605768,"cognse_random_slope"
"8","AGRN","Ast GRM3",-1.0088326813345,4.87011172912639,10.1856368320667,0.00153505387905447,0.0465410097865406,0.0738999559794932,"cognse_random_slope"
"9","C1orf159","Ast GRM3",0.11087767567642,5.18522323485519,0.256201076580223,0.613040288642353,0.877466566271204,0.926024100669527,"cognse_random_slope"
"10","SDF4","Ast GRM3",0.126413356834338,4.89960952436259,0.308658859662486,0.578836391710023,0.860866797062555,0.911058279598021,"cognse_random_slope"
"11","B3GALT6","Ast GRM3",-0.818471516296823,2.59074904663444,3.50282116216713,0.0620445180832945,0.318060964864388,0.408899456355738,"cognse_random_slope"
"12","UBE2J2","Ast GRM3",0.345979069498514,5.03735178121306,3.25628935788058,0.0719539972388016,0.341502681873308,0.432794224506504,"cognse_random_slope"
"13","LINC01786","Ast GRM3",-0.0280634998562558,2.28288928605524,0.00413999499420212,0.948731645140275,0.995405613649055,0.999860366871198,"cognse_random_slope"
"14","SCNN1D","Ast GRM3",0.0383022072728832,3.78263256286981,0.0131710156189561,0.908692923230958,0.991608219683518,0.999860366871198,"cognse_random_slope"
"15","ACAP3","Ast GRM3",-0.482086434186119,5.65819077035622,3.18350672340549,0.0751952350957904,0.34932996377805,0.441400968871061,"cognse_random_slope"
"16","PUSL1","Ast GRM3",-0.432419302282933,2.09145125617655,0.763769458826216,0.382712077769809,0.723789997291634,0.80149768044865,"cognse_random_slope"
"17","INTS11","Ast GRM3",0.301936098828477,5.45870101197674,2.30498276987664,0.129804266571053,0.445014134677427,0.539800429913787,"cognse_random_slope"
"18","CPTP","Ast GRM3",-0.186275965729531,3.15608683769959,0.246429132713629,0.619892268057834,0.881972599023196,0.929415027981806,"cognse_random_slope"
"19","DVL1","Ast GRM3",-0.29088239929783,4.42173183093157,1.21343224447985,0.271361612395976,0.624192274718738,0.711461401994331,"cognse_random_slope"
"20","MXRA8","Ast GRM3",0.309484667640964,3.76449968852201,0.597537833044244,0.440007098542622,0.768006006131565,0.83823032355013,"cognse_random_slope"
"21","AURKAIP1","Ast GRM3",-0.56222757227145,4.14423934336263,2.43792117405287,0.119278550332913,0.425860291538864,0.520912132782838,"cognse_random_slope"
"22","CCNL2","Ast GRM3",-0.324014946171035,6.7866376004199,3.88799734910779,0.0493686941579942,0.282858775594757,0.36905780614636,"cognse_random_slope"
"23","MRPL20","Ast GRM3",-0.0259946157544191,4.84015811518056,0.0100316719537434,0.920272352317841,0.992374537281612,0.999860366871198,"cognse_random_slope"
"24","ANKRD65","Ast GRM3",0.366470370174318,3.62453808723179,0.705282783891468,0.401550614363218,0.741007768653156,0.815088764239235,"cognse_random_slope"
"25","VWA1","Ast GRM3",-0.43434201517029,4.66646022344755,1.76163383487492,0.185230241889482,0.528528221847908,0.617356532537158,"cognse_random_slope"
"26","ATAD3C","Ast GRM3",0.479425605063836,2.3667445587709,0.867141479112609,0.352348387832145,0.699533994566646,0.780092670317399,"cognse_random_slope"
"27","ATAD3B","Ast GRM3",0.077276577197499,4.56645850380641,0.109785588545349,0.740573887435925,0.942893094264834,0.972868722406677,"cognse_random_slope"
"28","ATAD3A","Ast GRM3",-0.153141938854287,3.89932091965284,0.319762869470419,0.696906152977404,0.922959095946461,0.958585955613076,"cognse_random_slope"
"29","TMEM240","Ast GRM3",-0.539495235376579,2.98729058639483,1.73133458781354,0.18904624961173,0.53351694343006,0.622316466686164,"cognse_random_slope"
"30","SSU72","Ast GRM3",-0.349276078210339,4.67542065205329,2.69705257091861,0.101374171721041,0.395471894731267,0.491739458395595,"cognse_random_slope"
"31","AL645728.1","Ast GRM3",0.0930319805627193,2.45993755177865,0.0508324562018202,0.980287397807777,0.997337194794262,0.999860366871198,"cognse_random_slope"
"32","FNDC10","Ast GRM3",-0.858760588397825,2.83821376932652,3.42854504163868,0.0648662675545832,0.324352522053633,0.416271277122177,"cognse_random_slope"
"33","AL691432.2","Ast GRM3",0.113674666023873,2.52654505162035,0.0670576177601503,0.795812489347171,0.962322304932692,0.984094256737093,"cognse_random_slope"
"34","MIB2","Ast GRM3",-0.0302459911937076,5.15228619138341,0.0176208226768821,0.894467647267312,0.988393284461612,0.99857679556088,"cognse_random_slope"
"35","CDK11B","Ast GRM3",-0.380930838383327,5.13974220880539,3.30051235499952,0.0700583199556904,0.337905849484875,0.429255280029439,"cognse_random_slope"
"36","SLC35E2B","Ast GRM3",0.147212022537014,4.92109030724936,0.333636919803426,0.563872799841253,0.852687055641424,0.904625325100197,"cognse_random_slope"
"37","CDK11A","Ast GRM3",-0.64649214753318,4.72169092573646,5.98619824521576,0.0148777223580124,0.158079671772052,0.221705764091451,"cognse_random_slope"
"38","SLC35E2A","Ast GRM3",-0.342137360044513,4.75228876597701,1.60204053281726,0.206401918282522,0.552196360444469,0.644085979584083,"cognse_random_slope"
"39","NADK","Ast GRM3",-0.351018736891125,4.78917405066138,1.61521174606193,0.20455039503801,0.550939149535477,0.64235588142393,"cognse_random_slope"
"40","GNB1","Ast GRM3",0.130577481946534,6.94007527721002,0.864064064361771,0.587619965004615,0.865729731008998,0.914803103926016,"cognse_random_slope"
"41","CFAP74","Ast GRM3",-0.533135644535708,1.99221533705531,0.951725618207443,0.329910807175676,0.681038744595763,0.762999426841728,"cognse_random_slope"
"42","GABRD","Ast GRM3",0.875330495179089,2.993038967902,2.68624968752822,0.102058402362511,0.396502460941994,0.49242508747591,"cognse_random_slope"
"43","PRKCZ","Ast GRM3",-0.207979256948711,2.89287199707209,0.231063890712412,0.631017059708378,0.888358035366977,0.934085717879617,"cognse_random_slope"
"44","FAAP20","Ast GRM3",-0.455397570328785,4.76570189619473,3.62335491860995,0.057741028638246,0.306732946448581,0.396541524570672,"cognse_random_slope"
"45","SKI","Ast GRM3",-0.143958225699184,5.91415517024027,0.37040548930689,0.5431526600956,0.839995839475516,0.894360619876031,"cognse_random_slope"
"46","MORN1","Ast GRM3",0.170604768979892,4.54742126806989,0.553178595996562,0.678836343655045,0.914979945580747,0.952131353704107,"cognse_random_slope"
"47","RER1","Ast GRM3",-0.0133103582532302,5.03548447974239,0.00374129390735848,0.951259575458086,0.995776693036743,0.999860366871198,"cognse_random_slope"
"48","PEX10","Ast GRM3",-0.35699635069971,3.8280450106566,1.71711297150938,0.190868995492261,0.535498930371478,0.62454209644831,"cognse_random_slope"
"49","PLCH2","Ast GRM3",0.439627336582653,2.58768154051503,0.872170641500554,0.350957429440054,0.698338243733248,0.779243043408254,"cognse_random_slope"
"50","PANK4","Ast GRM3",-0.877058040433496,3.19922968422668,5.85406865581464,0.0160171321240603,0.164756843222389,0.229686511687205,"cognse_random_slope"
"51","HES5","Ast GRM3",0.994193256953149,5.08365473374368,2.59211427533529,0.108240275379619,0.409331690972802,0.503560026383351,"cognse_random_slope"
"52","AL139246.5","Ast GRM3",0.112188061634897,2.86131938475297,0.0320301234070006,0.858058439317267,0.981114803636746,0.995336190967621,"cognse_random_slope"
"53","TNFRSF14","Ast GRM3",-0.420095368959319,3.08234636046734,1.14685871654098,0.28489807127895,0.63664455118953,0.723858633255997,"cognse_random_slope"
"54","FAM213B","Ast GRM3",-0.769637317663034,3.05156797851565,4.00231285711091,0.0461600571339943,0.274255581986258,0.358321057772612,"cognse_random_slope"
"55","TTC34","Ast GRM3",0.337644032588071,3.56496843839723,0.9237728768214,0.337107045982512,0.685554250990888,0.767777576486879,"cognse_random_slope"
"56","LINC00982","Ast GRM3",0.290947514182909,6.96517391529321,0.763178996035499,0.382895881847735,0.723789997291634,0.801600079661333,"cognse_random_slope"
"57","PRDM16","Ast GRM3",0.216938287019812,8.90878772626516,0.567379800381439,0.45177573535781,0.777206548771172,0.844334776778974,"cognse_random_slope"
"58","ARHGEF16","Ast GRM3",1.06112924456319,2.97644766827075,5.26010316927166,0.022373539087039,0.194605550690497,0.265826823128928,"cognse_random_slope"
"59","MEGF6","Ast GRM3",1.36328178905295,2.28537369964223,6.71900813590803,0.00991276958811848,0.127050662646303,0.183262208501803,"cognse_random_slope"
"60","TPRG1L","Ast GRM3",-0.0278647038797992,3.72631169408311,0.00914913241757711,0.923848894153942,0.993185830760136,0.999860366871198,"cognse_random_slope"
"61","WRAP73","Ast GRM3",0.0335654409349364,3.90168317556143,0.0164589276122583,0.897986551489725,0.989229324279792,0.998711395844297,"cognse_random_slope"
"62","LRRC47","Ast GRM3",0.168548038349336,3.96210776635319,0.474266390940253,0.491457773905897,0.806844552229974,0.867423196735406,"cognse_random_slope"
"63","CEP104","Ast GRM3",0.0509375107284395,5.31958401224282,0.0934239876724411,0.760038570801268,0.949433530974303,0.97595716804967,"cognse_random_slope"
"64","DFFB","Ast GRM3",0.105470933202989,3.358368388875,0.123204053125538,0.725782656536883,0.936990250359635,0.968239018911456,"cognse_random_slope"
"65","C1orf174","Ast GRM3",-0.738677867287325,2.61144081677551,3.38386405651424,0.066629682745512,0.327817182685262,0.420214880039698,"cognse_random_slope"
"66","AJAP1","Ast GRM3",-1.95375203890353,3.83081357650976,9.89860917507413,0.00178650466230171,0.0503741673747727,0.0797121365988908,"cognse_random_slope"
"67","AL365255.1","Ast GRM3",0.954119555824103,2.69916351103264,2.50664659350563,0.114211872604494,0.419169111200367,0.512998656593808,"cognse_random_slope"
"68","NPHP4","Ast GRM3",0.129642637363272,5.14271613807114,0.491712814314582,0.859923739572769,0.981114803636746,0.995490974148225,"cognse_random_slope"
"69","KCNAB2","Ast GRM3",0.522016240349064,3.9720849490994,3.02794295925961,0.0826640015521007,0.364240367212222,0.457344757320297,"cognse_random_slope"
"70","CHD5","Ast GRM3",0.144934328641153,3.60104634430479,0.0856930353121498,0.769887974107438,0.952281036898973,0.978035987609055,"cognse_random_slope"
"71","RPL22","Ast GRM3",0.376391977118266,3.62788402047636,1.42305079280911,0.233657896914655,0.585809081326393,0.676470156058851,"cognse_random_slope"
"72","RNF207","Ast GRM3",-0.71868923556957,2.57620118672384,2.72113994778374,0.0998665828663253,0.392738345750161,0.489671284489549,"cognse_random_slope"
"73","ICMT","Ast GRM3",-0.463113214963752,3.22096081211859,2.04390271450899,0.153651645186492,0.481588605824027,0.574988822630961,"cognse_random_slope"
"74","ACOT7","Ast GRM3",0.643873443592502,4.7413616368263,5.78265577723493,0.0166702024564468,0.168029934042565,0.23449987834834,"cognse_random_slope"
"75","TNFRSF25","Ast GRM3",-0.328963417865722,3.09151276550459,0.629485097265002,0.428047138948489,0.759060487667813,0.830669392453162,"cognse_random_slope"
"76","PLEKHG5","Ast GRM3",-0.0387303513336149,2.44963239224093,0.00773241611902405,0.929976055926235,0.993662450713362,0.999860366871198,"cognse_random_slope"
"77","NOL9","Ast GRM3",0.512560776376395,4.77674427032557,6.80110162900444,0.00947496265672413,0.123886552721694,0.179745709152584,"cognse_random_slope"
"78","TAS1R1","Ast GRM3",0.971329976935306,1.96996073372512,3.30702950129905,0.0697835255378911,0.33714272097682,0.428930453728215,"cognse_random_slope"
"79","ZBTB48","Ast GRM3",0.21515249591458,4.24245894479977,0.713723529479891,0.398750379288435,0.738901197973886,0.813294051069629,"cognse_random_slope"
"80","KLHL21","Ast GRM3",-0.00223549491317502,5.65336918222383,0.000108938591376847,0.991677902017666,0.999144274527894,0.999860366871198,"cognse_random_slope"
"81","PHF13","Ast GRM3",-0.180210339442642,3.85782276112653,0.468583167577886,0.494063528555787,0.808053109476315,0.868509007659758,"cognse_random_slope"
"82","THAP3","Ast GRM3",-0.313995143192568,3.45164724717894,1.08125010009545,0.315352736917848,0.666533097038815,0.751125680090084,"cognse_random_slope"
"83","DNAJC11","Ast GRM3",0.41910967750343,5.30542496955082,5.31978300155292,0.0216304422350131,0.192325029651734,0.261972477724622,"cognse_random_slope"
