"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L3-5 SST MAFB",-0.0122592231838444,5.64774192965805,0.142002266871984,0.706516206661875,0.999922147562178,0.999996936703169,"cvda_4gp2"
"2","NOC2L","Inh L3-5 SST MAFB",-0.0149289654732022,4.9671853764472,0.160017476489408,0.689373020945568,0.999922147562178,0.999996936703169,"cvda_4gp2"
"3","HES4","Inh L3-5 SST MAFB",0.0444964749367461,4.96700250238427,0.827396324021624,0.363623131832521,0.999922147562178,0.999996936703169,"cvda_4gp2"
"4","ISG15","Inh L3-5 SST MAFB",0.130906798253318,3.61897558041301,3.01845761163814,0.0831601702265061,0.999922147562178,0.999996936703169,"cvda_4gp2"
"5","C1orf159","Inh L3-5 SST MAFB",-0.0281654283259581,5.4038887731519,0.736243917532441,0.640432305530337,0.999922147562178,0.999996936703169,"cvda_4gp2"
"6","SDF4","Inh L3-5 SST MAFB",0.0238839202304298,5.36576474859014,0.524880990139945,0.859050344609106,0.999922147562178,0.999996936703169,"cvda_4gp2"
"7","UBE2J2","Inh L3-5 SST MAFB",-0.0174021765588865,5.05089010631396,0.2608222060818,0.700241806663666,0.999922147562178,0.999996936703169,"cvda_4gp2"
"8","ACAP3","Inh L3-5 SST MAFB",0.00791023356542702,6.55149553320595,0.0927270862695464,0.760910941092226,0.999922147562178,0.999996936703169,"cvda_4gp2"
"9","INTS11","Inh L3-5 SST MAFB",-0.0383754280452804,5.47395744349202,1.60336720200205,0.206229349485166,0.999922147562178,0.999996936703169,"cvda_4gp2"
"10","DVL1","Inh L3-5 SST MAFB",-0.0210836967958068,4.37859213974912,0.215925687589365,0.947461120748407,0.999922147562178,0.999996936703169,"cvda_4gp2"
"11","AURKAIP1","Inh L3-5 SST MAFB",0.117532683124848,4.25359173287073,4.1037517711089,0.043510865369841,0.999922147562178,0.999996936703169,"cvda_4gp2"
"12","CCNL2","Inh L3-5 SST MAFB",0.00107212628050304,6.09242640593517,0.00183263078904723,0.965876868173197,0.999922147562178,0.999996936703169,"cvda_4gp2"
"13","MRPL20","Inh L3-5 SST MAFB",0.0294560699227191,4.8032556461782,0.46686644334119,0.494863171815631,0.999922147562178,0.999996936703169,"cvda_4gp2"
"14","ATAD3B","Inh L3-5 SST MAFB",0.0143861014235849,4.4454674396943,0.107609183564007,0.876010900224599,0.999922147562178,0.999996936703169,"cvda_4gp2"
"15","SSU72","Inh L3-5 SST MAFB",-0.00236808851041237,5.49838249489258,0.0049127838696151,0.944159182224007,0.999922147562178,0.999996936703169,"cvda_4gp2"
"16","FNDC10","Inh L3-5 SST MAFB",-0.0360840107391384,4.05512607850695,0.409376972709872,0.52268487729753,0.999922147562178,0.999996936703169,"cvda_4gp2"
"17","MIB2","Inh L3-5 SST MAFB",0.0406455469842667,5.11408767388855,1.29656226681425,0.255584422831604,0.999922147562178,0.999996936703169,"cvda_4gp2"
"18","CDK11B","Inh L3-5 SST MAFB",-0.0140252666794897,4.92498340744913,0.136346810976301,0.712152957481042,0.999922147562178,0.999996936703169,"cvda_4gp2"
"19","SLC35E2B","Inh L3-5 SST MAFB",0.030251835875037,4.85178436633396,0.668445628623575,0.461945496922342,0.999922147562178,0.999996936703169,"cvda_4gp2"
"20","CDK11A","Inh L3-5 SST MAFB",-0.0642402955665323,4.54002020333069,2.12908718724433,0.14538166282558,0.999922147562178,0.999996936703169,"cvda_4gp2"
