"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L1-6 LAMP5 CA13",-0.085125622488884,5.69935057866139,1.11338058842892,0.29205660744807,0.704008812261625,0.876478788699829,"diabetes_sr_rx_bl"
"2","NOC2L","Inh L1-6 LAMP5 CA13",0.0679599998601234,4.59167123099972,0.470464827687676,0.58579087593691,0.892618507969832,0.969759047611782,"diabetes_sr_rx_bl"
"3","HES4","Inh L1-6 LAMP5 CA13",0.0788005685313925,4.97624693196671,0.408931180042727,0.522919619070005,0.86034328639216,0.955885360442576,"diabetes_sr_rx_bl"
"4","ISG15","Inh L1-6 LAMP5 CA13",0.135164712305499,3.38232237022302,0.407224717831395,0.523787628741808,0.86034328639216,0.956164531949758,"diabetes_sr_rx_bl"
"5","AGRN","Inh L1-6 LAMP5 CA13",-0.0293198576884788,4.75263766122665,0.0691754502426495,0.792691742973132,0.970061213332818,0.999983934475552,"diabetes_sr_rx_bl"
"6","C1orf159","Inh L1-6 LAMP5 CA13",-0.032223788793523,5.46932737626582,0.160573137868883,0.688867344234179,0.934312375171433,0.989789150485839,"diabetes_sr_rx_bl"
"7","SDF4","Inh L1-6 LAMP5 CA13",0.12253836935277,5.60635085898841,3.21351901707233,0.0738725813734872,0.40405844410743,0.684147411314537,"diabetes_sr_rx_bl"
"8","B3GALT6","Inh L1-6 LAMP5 CA13",0.256013260343765,3.37307212776861,2.62809815962985,0.105863797068952,0.470599304664366,0.735491428728733,"diabetes_sr_rx_bl"
"9","UBE2J2","Inh L1-6 LAMP5 CA13",-0.0788911602576031,4.9432350762305,1.0730232189537,0.300959587844181,0.711868709150868,0.881199154072604,"diabetes_sr_rx_bl"
"10","SCNN1D","Inh L1-6 LAMP5 CA13",0.0276717511606633,3.50628487187539,0.0333961463316656,0.855100197619324,0.984007792318125,0.999983934475552,"diabetes_sr_rx_bl"
"11","ACAP3","Inh L1-6 LAMP5 CA13",-0.109224581792747,6.22435376747553,1.90871312634521,0.167963959716579,0.570058635686225,0.799765173452924,"diabetes_sr_rx_bl"
"12","INTS11","Inh L1-6 LAMP5 CA13",0.0747955755653113,5.42974146046177,1.14361807463672,0.33823629714883,0.74551379784879,0.896707256135965,"diabetes_sr_rx_bl"
"13","CPTP","Inh L1-6 LAMP5 CA13",0.216771988889702,3.26015000582368,1.62518388922834,0.203193501201503,0.615084837471299,0.824897947953523,"diabetes_sr_rx_bl"
"14","DVL1","Inh L1-6 LAMP5 CA13",0.0850283815220653,4.32683864603211,0.706215492255225,0.401261401395435,0.788973349912235,0.920908115970582,"diabetes_sr_rx_bl"
"15","AURKAIP1","Inh L1-6 LAMP5 CA13",0.453847695698,4.00686921734605,8.249671052691,0.00431762047928936,0.128380311059721,0.363167619749876,"diabetes_sr_rx_bl"
"16","CCNL2","Inh L1-6 LAMP5 CA13",0.0324378601751102,5.9271243377403,0.304381108035122,0.581491452769501,0.890254775800023,0.968873245801051,"diabetes_sr_rx_bl"
"17","MRPL20","Inh L1-6 LAMP5 CA13",0.312089075728802,4.5586275594898,8.3117125979242,0.00417584678127344,0.12694994503688,0.361329264079296,"diabetes_sr_rx_bl"
"18","ATAD3B","Inh L1-6 LAMP5 CA13",0.0289732743698056,4.52961209869772,0.0878917928544611,0.767045744561514,0.959258731288202,0.999983934475552,"diabetes_sr_rx_bl"
"19","ATAD3A","Inh L1-6 LAMP5 CA13",-0.106283992029669,3.94722761787646,0.894399699638899,0.344922782826744,0.752142912425005,0.899414317248106,"diabetes_sr_rx_bl"
"20","SSU72","Inh L1-6 LAMP5 CA13",0.219835334688481,5.21375865899416,4.31730659725942,0.0384355834223783,0.309119501683872,0.595742742120121,"diabetes_sr_rx_bl"
"21","FNDC10","Inh L1-6 LAMP5 CA13",0.0514068408041513,4.10265765476179,0.133710707077531,0.714830239251184,0.943277973638158,0.994008004100813,"diabetes_sr_rx_bl"
"22","AL691432.2","Inh L1-6 LAMP5 CA13",0.40203555000821,3.21213617482236,5.73023493340285,0.0171870290169883,0.223712915102163,0.499669972655996,"diabetes_sr_rx_bl"
"23","MIB2","Inh L1-6 LAMP5 CA13",-0.0694357889561827,5.00906574228717,0.658840748612792,0.417506405658984,0.800155374898897,0.926195086387293,"diabetes_sr_rx_bl"
"24","MMP23B","Inh L1-6 LAMP5 CA13",-0.422766266681337,3.4560645185393,7.25164810715408,0.00741515343759331,0.156012079018914,0.408478632354167,"diabetes_sr_rx_bl"
"25","CDK11B","Inh L1-6 LAMP5 CA13",0.0139723872050489,4.77205680233031,0.0235438387806629,0.878137350045735,0.98767181580335,0.999983934475552,"diabetes_sr_rx_bl"
"26","SLC35E2B","Inh L1-6 LAMP5 CA13",-0.0306434225857475,5.04152147321227,0.123791351626864,0.72516436139669,0.947563477915793,0.995857115700551,"diabetes_sr_rx_bl"
"27","CDK11A","Inh L1-6 LAMP5 CA13",0.0504674967839788,4.12159156048956,0.157638416736052,0.691575660549265,0.934801073518418,0.990384206840461,"diabetes_sr_rx_bl"
"28","SLC35E2A","Inh L1-6 LAMP5 CA13",0.0461631318973497,4.98068640366414,0.272164802391879,0.602204426897645,0.900090998087454,0.973001636307195,"diabetes_sr_rx_bl"
"29","NADK","Inh L1-6 LAMP5 CA13",-0.0803179018910747,4.39842138030561,0.759064660947101,0.607980323901456,0.902935090466207,0.974246737357369,"diabetes_sr_rx_bl"
"30","GNB1","Inh L1-6 LAMP5 CA13",-0.0146952503471371,7.77062064459652,0.13144339761947,0.717153113259282,0.944046408539971,0.994311656853666,"diabetes_sr_rx_bl"
"31","CFAP74","Inh L1-6 LAMP5 CA13",-0.0117513491614408,3.28389682763442,0.00427828287220083,0.947885033616368,0.998747755678096,0.999983934475552,"diabetes_sr_rx_bl"
"32","GABRD","Inh L1-6 LAMP5 CA13",0.150264439046864,6.11593062226629,2.264552264657,0.133242191522903,0.519067919572862,0.767504648367392,"diabetes_sr_rx_bl"
"33","PRKCZ","Inh L1-6 LAMP5 CA13",-0.0614003346643235,6.76319237412001,1.46289326796126,0.227264822289075,0.640812285798705,0.840325611391762,"diabetes_sr_rx_bl"
"34","FAAP20","Inh L1-6 LAMP5 CA13",0.0874702147692704,4.89199513550208,0.75941827308659,0.384092009057625,0.779747646723418,0.915368445091583,"diabetes_sr_rx_bl"
"35","SKI","Inh L1-6 LAMP5 CA13",-0.113554931395154,6.73897055014959,2.29894346957,0.130340498971731,0.515204569571674,0.764427450017415,"diabetes_sr_rx_bl"
"36","MORN1","Inh L1-6 LAMP5 CA13",0.0890695818391995,4.21478716717585,0.65049538847586,0.420468651433833,0.800639116434108,0.92729677061556,"diabetes_sr_rx_bl"
"37","RER1","Inh L1-6 LAMP5 CA13",0.152524982418198,4.81509027940375,3.59011764767256,0.0863934497482414,0.433129492459793,0.705801261051871,"diabetes_sr_rx_bl"
"38","PEX10","Inh L1-6 LAMP5 CA13",0.170710040481012,3.64100253506702,1.19130147465339,0.275797879628687,0.689779856161908,0.867364219305614,"diabetes_sr_rx_bl"
"39","PLCH2","Inh L1-6 LAMP5 CA13",-0.00832096420013497,5.36884367038911,0.0106039252930113,0.918039921145044,0.995730780133838,0.999983934475552,"diabetes_sr_rx_bl"
"40","PANK4","Inh L1-6 LAMP5 CA13",0.19739838619585,3.62645764691852,1.87214215368646,0.172084154082357,0.575501299025053,0.80287976091434,"diabetes_sr_rx_bl"
"41","FAM213B","Inh L1-6 LAMP5 CA13",0.0319716436415001,3.60922482890108,0.0422758651439437,0.83721115584249,0.981237102664749,0.999983934475552,"diabetes_sr_rx_bl"
"42","TPRG1L","Inh L1-6 LAMP5 CA13",0.187340987535298,4.29852728285021,2.05689651664645,0.152387423248306,0.551472740644951,0.786291141679306,"diabetes_sr_rx_bl"
"43","WRAP73","Inh L1-6 LAMP5 CA13",0.0658015006997362,3.5201048134763,0.240467801695712,0.648857175253785,0.918715330668673,0.982841640747709,"diabetes_sr_rx_bl"
"44","LRRC47","Inh L1-6 LAMP5 CA13",0.21697900102433,4.28518227274427,3.93226440451676,0.0481285046728591,0.33325506374126,0.627063513856297,"diabetes_sr_rx_bl"
"45","CEP104","Inh L1-6 LAMP5 CA13",-0.021992714745467,5.65593842626876,0.1278012653892,0.935160203128974,0.998681630637331,0.999983934475552,"diabetes_sr_rx_bl"
"46","DFFB","Inh L1-6 LAMP5 CA13",-0.0559000890395196,4.7932914467364,0.448141922065072,0.582932150845481,0.89062653612149,0.969093761785741,"diabetes_sr_rx_bl"
"47","C1orf174","Inh L1-6 LAMP5 CA13",0.0807384604208979,3.26885397567513,0.264117093034885,0.607621283898603,0.90263167073962,0.974188339330495,"diabetes_sr_rx_bl"
