"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Oli",-0.0763921371017004,2.76902297536643,0.665123826032065,0.415228711483621,0.701446266176857,0.701446266176857,"diabetes_sr_rx_bl"
"2","AL669831.5","Oli",-0.115294840454247,4.96238915058125,4.27382016827968,0.0393286204938334,0.2048244429814,0.2048244429814,"diabetes_sr_rx_bl"
"3","LINC00115","Oli",-0.177723633222878,1.42859031988457,1.47614070169591,0.225076094921928,0.516971220866285,0.516971220866285,"diabetes_sr_rx_bl"
"4","NOC2L","Oli",0.0463989928044675,4.60295583694084,0.733000211242542,0.829299690227586,0.943431704293816,0.943431704293816,"diabetes_sr_rx_bl"
"5","KLHL17","Oli",-0.236426188454374,1.8647607710459,3.7204777384354,0.0544365352726664,0.244773426447431,0.244773426447431,"diabetes_sr_rx_bl"
"6","HES4","Oli",0.466339926440705,1.68701574985018,8.10364181121754,0.00463878930463922,0.069187207413656,0.069187207413656,"diabetes_sr_rx_bl"
"7","ISG15","Oli",0.0528127636659515,1.21403948962166,0.0666390920788497,0.796423704636995,0.930231381682991,0.930231381682991,"diabetes_sr_rx_bl"
"8","AGRN","Oli",-0.110515453207774,5.2238804936292,2.39479807810417,0.122508278316904,0.37519674427181,0.37519674427181,"diabetes_sr_rx_bl"
"9","C1orf159","Oli",-0.0594814375793205,5.26825280146043,0.930491917185793,0.335301748814653,0.633498176893688,0.633498176893688,"diabetes_sr_rx_bl"
"10","TNFRSF18","Oli",0.624460057447317,-0.345059735893489,9.25967770123252,0.00249273677868856,0.0528824432593015,0.0528824432593015,"diabetes_sr_rx_bl"
"11","SDF4","Oli",0.155649169410715,5.03114146816782,13.8097110605139,0.00023025089696444,0.021665902943435,0.021665902943435,"diabetes_sr_rx_bl"
"12","B3GALT6","Oli",0.0581129827438329,2.44907525079658,0.436237035454864,0.509313901787797,0.774747446249032,0.774747446249032,"diabetes_sr_rx_bl"
"13","UBE2J2","Oli",-0.0462991519125021,5.23873733696416,1.69955088147394,0.193075683462879,0.477306648952869,0.477306648952869,"diabetes_sr_rx_bl"
"14","LINC01786","Oli",0.0429964608178477,1.78986625031913,0.183216159884013,0.668847735187676,0.871638828032998,0.871638828032998,"diabetes_sr_rx_bl"
"15","SCNN1D","Oli",0.0619376858612764,3.24492394271463,0.508452353925619,0.476213810836045,0.750965022125509,0.750965022125509,"diabetes_sr_rx_bl"
"16","ACAP3","Oli",-0.0653772593845954,6.76044869074279,1.21634456958902,0.270723894906038,0.568232760665666,0.568232760665666,"diabetes_sr_rx_bl"
"17","PUSL1","Oli",0.211001442194469,1.68449833263653,4.42552808180771,0.036011605645996,0.197241284799643,0.197241284799643,"diabetes_sr_rx_bl"
"18","INTS11","Oli",-0.0246310855772087,5.82388466337875,0.442513977083317,0.50628426846368,0.772542486398185,0.772542486398185,"diabetes_sr_rx_bl"
"19","CPTP","Oli",0.0204078627410882,2.52097739785973,0.0518311672987836,0.820020089715054,0.940299841079931,0.940299841079931,"diabetes_sr_rx_bl"
"20","DVL1","Oli",0.0154557213966756,4.61132980067091,0.0958321550868063,0.757046448664326,0.914688966650815,0.914688966650815,"diabetes_sr_rx_bl"
"21","AURKAIP1","Oli",0.234703167645129,4.52675070861797,5.15059416239012,0.0237552771500082,0.160242493849638,0.160242493849638,"diabetes_sr_rx_bl"
"22","CCNL2","Oli",-0.0133423882098334,6.50068494090341,0.111804877726142,0.738268968225098,0.904952872864272,0.904952872864272,"diabetes_sr_rx_bl"
"23","MRPL20","Oli",0.0895522279150526,4.97166553931325,2.4734832625979,0.116549723238537,0.366614769239163,0.366614769239163,"diabetes_sr_rx_bl"
"24","AL391244.3","Oli",0.0275671783032647,1.80066207291993,0.109938580418207,0.740382895242717,0.905742113349087,0.905742113349087,"diabetes_sr_rx_bl"
"25","ANKRD65","Oli",0.175677249178512,4.75747938477274,4.69738753526868,0.0307814956012456,0.182063435472167,0.182063435472167,"diabetes_sr_rx_bl"
"26","TMEM88B","Oli",-0.107077965632704,1.90508473764183,0.820424240439721,0.365586270571222,0.660964612539701,0.660964612539701,"diabetes_sr_rx_bl"
"27","VWA1","Oli",0.166378832015209,6.93161020782912,6.5580073653577,0.010797162295551,0.106222585548184,0.106222585548184,"diabetes_sr_rx_bl"
"28","ATAD3C","Oli",-0.310175196830404,4.75012325189634,4.57313248119841,0.0330654778790672,0.189364820001413,0.189364820001413,"diabetes_sr_rx_bl"
