"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh PVALB HTR4",0.191256107035135,2.63152635110159,2.68996179922299,0.101986487752008,0.500911351727281,0.756794996676044,"group_id3"
"2","AL669831.5","Inh PVALB HTR4",0.385121473800963,5.03960781282798,23.9005295490187,1.62365635580845e-06,0.00787365088810043,0.0177804172040049,"group_id3"
"3","NOC2L","Inh PVALB HTR4",-0.0967445120094906,4.35665030422091,1.63228213211837,0.202334186934314,0.610443332957362,0.82812685603899,"group_id3"
"4","KLHL17","Inh PVALB HTR4",-0.163239376620334,2.69953661460888,1.73656893511301,0.188537547761875,0.599266822119239,0.821808012292052,"group_id3"
"5","HES4","Inh PVALB HTR4",-0.724020054673671,3.25764002354641,11.999694445629,0.000606238163936578,0.261601740316221,0.464015424063219,"group_id3"
"6","ISG15","Inh PVALB HTR4",-0.294837518118614,1.81061400879789,1.42514069740168,0.233462833314264,0.635022398112577,0.844422636834555,"group_id3"
"7","AGRN","Inh PVALB HTR4",-0.112908795203431,2.53193119561809,0.520084258185364,0.471343893302452,0.800284217919985,0.935675868533626,"group_id3"
"8","C1orf159","Inh PVALB HTR4",-0.0200730613449544,5.17147195800203,0.0872207994483887,0.767936272271185,0.944572750753878,0.999978906669802,"group_id3"
"9","SDF4","Inh PVALB HTR4",-0.0602951063318502,5.18925437356966,1.14917866758788,0.284546745570391,0.674953342688516,0.869998117672761,"group_id3"
"10","B3GALT6","Inh PVALB HTR4",-0.295562923372534,2.66690381041925,4.80486110753098,0.0291155816508898,0.384346786972473,0.663807286504147,"group_id3"
"11","UBE2J2","Inh PVALB HTR4",0.0128634365554248,4.89323429925453,0.0622333194256513,0.874482065656534,0.978643911949528,0.999978906669802,"group_id3"
"12","LINC01786","Inh PVALB HTR4",0.0165680681625863,2.81397951803147,0.0222404100053662,0.899214105711603,0.985963733033796,0.999978906669802,"group_id3"
"13","SCNN1D","Inh PVALB HTR4",-0.0224266846730942,3.57221660407135,0.0515144137270891,0.820596847744159,0.96425407422511,0.999978906669802,"group_id3"
"14","ACAP3","Inh PVALB HTR4",-0.0339755918974382,5.82955135765086,0.232072121771792,0.630328167247588,0.888030636418951,0.975479620448161,"group_id3"
"15","PUSL1","Inh PVALB HTR4",-0.0717722623572233,1.93864494662296,0.238100998859502,0.720324849431775,0.928015037385381,0.992478485320108,"group_id3"
"16","INTS11","Inh PVALB HTR4",-0.137470528184666,5.36702037706585,6.74312652802745,0.00985504420952081,0.358556442573656,0.617826847152533,"group_id3"
