"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Ast CHI3L1",0.00186563927357579,3.01159203155564,0.322351522258508,0.570807217683134,0.999946916386705,0.999973727521461,"gaitsc_lv"
"2","AL669831.5","Ast CHI3L1",-0.00271802299130902,4.99570355180816,1.77293748674388,0.184469230641351,0.999946916386705,0.999973727521461,"gaitsc_lv"
"3","NOC2L","Ast CHI3L1",-0.000879276732715375,4.43620838765694,0.143586108234881,0.705126272531445,0.999946916386705,0.999973727521461,"gaitsc_lv"
"4","AL645608.8","Ast CHI3L1",-0.00856124400813419,2.02722767301052,1.29523364157829,0.25638848947611,0.999946916386705,0.999973727521461,"gaitsc_lv"
"5","HES4","Ast CHI3L1",-0.00527283230262457,4.63760952938425,1.41774481529117,0.235125400067199,0.999946916386705,0.999973727521461,"gaitsc_lv"
"6","ISG15","Ast CHI3L1",-0.0190751731911929,3.14672439041956,9.3700887324419,0.00249491356123113,0.841769022411173,0.252524134166376,"gaitsc_lv"
"7","AGRN","Ast CHI3L1",0.00171121331835573,4.74864163348158,0.440656988803939,0.50753705255531,0.999946916386705,0.999973727521461,"gaitsc_lv"
"8","C1orf159","Ast CHI3L1",-0.0036929662308846,5.21244913674002,3.91146410110975,0.0492717134677136,0.999946916386705,0.845556520697421,"gaitsc_lv"
"9","SDF4","Ast CHI3L1",0.000819829402686407,4.86997673492453,0.177461843801426,0.837116832301317,0.999946916386705,0.999973727521461,"gaitsc_lv"
"10","B3GALT6","Ast CHI3L1",0.00832319866794455,2.78332425888087,4.49693576575936,0.0351343607254953,0.999946916386705,0.790487346073451,"gaitsc_lv"
"11","UBE2J2","Ast CHI3L1",-0.000438349312405386,5.30116589356385,0.0619704527760092,0.803652669838174,0.999946916386705,0.999973727521461,"gaitsc_lv"
"12","SCNN1D","Ast CHI3L1",0.000228620788037479,3.8363404027945,0.0064378418171784,0.936126197778429,0.999946916386705,0.999973727521461,"gaitsc_lv"
"13","ACAP3","Ast CHI3L1",-0.000454187672632849,5.53109618383225,0.049982667089322,0.823311787716888,0.999946916386705,0.999973727521461,"gaitsc_lv"
"14","INTS11","Ast CHI3L1",0.000934363965862798,5.56140519116275,0.337015840960272,0.562182163513915,0.999946916386705,0.999973727521461,"gaitsc_lv"
"15","CPTP","Ast CHI3L1",-0.006865372707871,3.12584680810727,4.53714422618252,0.041418761870907,0.999946916386705,0.824597235643856,"gaitsc_lv"
"16","DVL1","Ast CHI3L1",-0.00234333578430725,4.49334344179465,1.0090080897454,0.316302012423972,0.999946916386705,0.999973727521461,"gaitsc_lv"
"17","MXRA8","Ast CHI3L1",0.000504373668409978,4.00114084721022,0.0236237988735441,0.877994293841839,0.999946916386705,0.999973727521461,"gaitsc_lv"
"18","AURKAIP1","Ast CHI3L1",-0.00516990042365149,4.01599351697314,3.29814663515374,0.0707907898712207,0.999946916386705,0.899437724063165,"gaitsc_lv"
"19","CCNL2","Ast CHI3L1",-0.00125720459547386,6.79896094772866,0.684813534538361,0.408877889882712,0.999946916386705,0.999973727521461,"gaitsc_lv"
"20","MRPL20","Ast CHI3L1",0.000811765792709857,4.93240703709813,0.141555166826638,0.729713546401071,0.999946916386705,0.999973727521461,"gaitsc_lv"
"21","ANKRD65","Ast CHI3L1",-0.000713392075892,4.21157235197704,0.0461240307762213,0.830159881977054,0.999946916386705,0.999973727521461,"gaitsc_lv"
"22","VWA1","Ast CHI3L1",-0.00236787249706179,5.17961412529449,0.80069525938643,0.371914811026034,0.999946916386705,0.999973727521461,"gaitsc_lv"
"23","ATAD3C","Ast CHI3L1",-0.00657598486940224,3.02091598545977,2.23003026263849,0.13685912877897,0.999946916386705,0.973487248378821,"gaitsc_lv"
"24","ATAD3B","Ast CHI3L1",0.000755292576216985,4.72347214963582,0.119400473658729,0.730033141054259,0.999946916386705,0.999973727521461,"gaitsc_lv"
"25","ATAD3A","Ast CHI3L1",0.00511581610246917,3.98670155908874,3.99530600252897,0.0469226082087928,0.999946916386705,0.838752383798274,"gaitsc_lv"
"26","SSU72","Ast CHI3L1",0.000941956326496479,4.68846452027749,0.235787732129556,0.627773723951286,0.999946916386705,0.999973727521461,"gaitsc_lv"
"27","FNDC10","Ast CHI3L1",0.00157122381594953,2.73537275729786,0.120822411855238,0.72849398695402,0.999946916386705,0.999973727521461,"gaitsc_lv"
"28","AL691432.2","Ast CHI3L1",-0.00122943738017556,2.71268970968319,0.0996935703428838,0.80428904312562,0.999946916386705,0.999973727521461,"gaitsc_lv"
"29","MIB2","Ast CHI3L1",-0.000257980792904835,5.13860849586018,0.0197394160712562,0.88840259544801,0.999946916386705,0.999973727521461,"gaitsc_lv"
"30","MMP23B","Ast CHI3L1",0.00165131781509016,2.19879461698232,0.12110455249751,0.760480078602846,0.999946916386705,0.999973727521461,"gaitsc_lv"
"31","CDK11B","Ast CHI3L1",-0.000488871519951933,5.28532099519661,0.0662067910494444,0.833905607896835,0.999946916386705,0.999973727521461,"gaitsc_lv"
"32","SLC35E2B","Ast CHI3L1",0.00141064940825904,4.89869863544863,0.406603777549994,0.524396228630178,0.999946916386705,0.999973727521461,"gaitsc_lv"
"33","CDK11A","Ast CHI3L1",0.000127204491731156,4.74659546695684,0.00313532666201796,0.955400083398164,0.999946916386705,0.999973727521461,"gaitsc_lv"
"34","SLC35E2A","Ast CHI3L1",0.00348069140027446,4.63985719263328,2.1923183100791,0.140206167718161,0.999946916386705,0.976828792052016,"gaitsc_lv"
"35","NADK","Ast CHI3L1",0.00133451476913109,4.87882061151821,0.431227282941725,0.531633363535808,0.999946916386705,0.999973727521461,"gaitsc_lv"
"36","GNB1","Ast CHI3L1",-0.001146357131725,7.10273741870108,0.678772926118291,0.410948655577669,0.999946916386705,0.999973727521461,"gaitsc_lv"
"37","CFAP74","Ast CHI3L1",-0.00126836714830404,2.34791311434263,0.0753289117197029,0.788601381099646,0.999946916386705,0.999973727521461,"gaitsc_lv"
"38","GABRD","Ast CHI3L1",-0.00372264879210365,2.96067151980334,0.867096396654906,0.352834655948191,0.999946916386705,0.999973727521461,"gaitsc_lv"
"39","PRKCZ","Ast CHI3L1",-0.0063848215533268,2.96352218701461,2.79110236537002,0.096285624761612,0.999946916386705,0.946256277608895,"gaitsc_lv"
"40","FAAP20","Ast CHI3L1",0.000772134938805941,4.73301006346858,0.118005817044863,0.731552767401296,0.999946916386705,0.999973727521461,"gaitsc_lv"
"41","SKI","Ast CHI3L1",0.000465060639640515,6.2592287079824,0.0599491555065295,0.806816520293654,0.999946916386705,0.999973727521461,"gaitsc_lv"
"42","MORN1","Ast CHI3L1",-2.30850150558324e-06,4.60591121118483,1.88824004514679e-06,0.998904911816628,0.999946916386705,0.999973727521461,"gaitsc_lv"
"43","RER1","Ast CHI3L1",-0.000232201671824654,5.06344967008822,0.0168184713549162,0.896939532258095,0.999946916386705,0.999973727521461,"gaitsc_lv"
"44","PEX10","Ast CHI3L1",0.00144014376736799,3.86163354862016,0.333410631315645,0.56427908548804,0.999946916386705,0.999973727521461,"gaitsc_lv"
"45","PANK4","Ast CHI3L1",-0.0027493337672352,3.13936352496319,0.709446727774484,0.40059024743524,0.999946916386705,0.999973727521461,"gaitsc_lv"
"46","HES5","Ast CHI3L1",-0.00248087914944813,3.94142687756384,0.173301561119325,0.677621255795028,0.999946916386705,0.999973727521461,"gaitsc_lv"
"47","AL139246.5","Ast CHI3L1",-0.00375329931789098,2.2735005552112,0.431857039654562,0.51180207228463,0.999946916386705,0.999973727521461,"gaitsc_lv"
"48","TNFRSF14","Ast CHI3L1",0.0039382417708547,3.27794019397319,1.27479893622086,0.260162460599942,0.999946916386705,0.999973727521461,"gaitsc_lv"
"49","FAM213B","Ast CHI3L1",0.00362976426529074,3.29452652989467,1.28651202499279,0.257990860216533,0.999946916386705,0.999973727521461,"gaitsc_lv"
"50","TTC34","Ast CHI3L1",0.00210553931479715,3.72189628987874,0.585076436840461,0.445192097403417,0.999946916386705,0.999973727521461,"gaitsc_lv"
"51","LINC00982","Ast CHI3L1",0.000994143711458552,7.02123389227151,0.20009524455255,0.65510717210424,0.999946916386705,0.999973727521461,"gaitsc_lv"
"52","PRDM16","Ast CHI3L1",3.12514870513132e-05,9.07954430573467,0.000353237507210941,0.985022878812129,0.999946916386705,0.999973727521461,"gaitsc_lv"
"53","TPRG1L","Ast CHI3L1",0.00225478675780884,3.64315958627834,0.609140969823868,0.435994386198358,0.999946916386705,0.999973727521461,"gaitsc_lv"
