"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L3-4 RORB CUX2",0.000555076399726429,2.96695889708506,0.21444041613443,0.64356732519218,0.985510926091553,0.999920721716523,"gaitsc_lv"
"2","AC114498.1","Exc L3-4 RORB CUX2",0.00262610983737284,-1.07050796593263,0.815976927603325,0.36691651619224,0.952076755616138,0.999920721716523,"gaitsc_lv"
"3","AL669831.5","Exc L3-4 RORB CUX2",-0.00137676821953615,5.77548299892779,1.56445279761926,0.211764115331135,0.944475790593873,0.999920721716523,"gaitsc_lv"
"4","LINC00115","Exc L3-4 RORB CUX2",-0.00274472135976445,0.451728598095344,1.61067718247893,0.205153334327913,0.944475790593873,0.999920721716523,"gaitsc_lv"
"5","SAMD11","Exc L3-4 RORB CUX2",-0.00164323308950955,-1.70693170384538,0.200832485630928,0.65429851880176,0.985649613255437,0.999920721716523,"gaitsc_lv"
"6","NOC2L","Exc L3-4 RORB CUX2",0.000916783192296721,4.63179098017594,0.967062043091348,0.326023514670631,0.946996551330826,0.999920721716523,"gaitsc_lv"
"7","KLHL17","Exc L3-4 RORB CUX2",0.000313111944710668,2.87426154296898,0.0718791240804072,0.788761884422069,0.999572006719207,0.999920721716523,"gaitsc_lv"
"8","AL645608.8","Exc L3-4 RORB CUX2",-0.00557877965903375,-0.377984547480919,3.86450099773681,0.0500267347142217,0.944475790593873,0.999920721716523,"gaitsc_lv"
"9","HES4","Exc L3-4 RORB CUX2",-0.00472269445853186,4.07346937318908,6.86781575364589,0.00911909791816604,0.899425065151537,0.999920721716523,"gaitsc_lv"
"10","ISG15","Exc L3-4 RORB CUX2",0.00223834559361898,2.30266314122061,0.860363059065061,0.354210653122623,0.952076755616138,0.999920721716523,"gaitsc_lv"
"11","AL645608.2","Exc L3-4 RORB CUX2",-0.000693824418960518,-0.742034913048224,0.0942114245663121,0.759053738246751,0.994269652939647,0.999920721716523,"gaitsc_lv"
"12","AGRN","Exc L3-4 RORB CUX2",-0.000979700898660256,5.38568887453447,0.869815553334866,0.351583255182733,0.950991411708747,0.999920721716523,"gaitsc_lv"
"13","C1orf159","Exc L3-4 RORB CUX2",-0.000708253794759983,5.46939358388826,0.652201509762593,0.419818843562789,0.961783630773196,0.999920721716523,"gaitsc_lv"
"14","TNFRSF18","Exc L3-4 RORB CUX2",1.95379225143222e-05,1.05226523564774,8.65912894491909e-05,0.992580193973451,0.999826764281357,0.999920721716523,"gaitsc_lv"
"15","TNFRSF4","Exc L3-4 RORB CUX2",0.00213867311152094,-0.160787161170418,0.699734050867164,0.403385194484653,0.960001850042185,0.999920721716523,"gaitsc_lv"
"16","SDF4","Exc L3-4 RORB CUX2",0.000191916245032088,4.9092253241094,0.0665029541284655,0.796634225125222,0.999826764281357,0.999920721716523,"gaitsc_lv"
"17","B3GALT6","Exc L3-4 RORB CUX2",-0.000301005725764647,2.50892680839576,0.0407374537291531,0.84015076261836,0.999826764281357,0.999920721716523,"gaitsc_lv"
"18","C1QTNF12","Exc L3-4 RORB CUX2",0.00130327221163206,-0.348815787877905,0.266341782828091,0.606088758170536,0.978243545105027,0.999920721716523,"gaitsc_lv"
"19","UBE2J2","Exc L3-4 RORB CUX2",-0.000330592443318347,4.7295388851096,0.357959638431268,0.549988805089965,0.971256364536357,0.999920721716523,"gaitsc_lv"
"20","LINC01786","Exc L3-4 RORB CUX2",-0.00043996050685764,1.87386031860542,0.111373863693542,0.738764720912536,0.991217085572494,0.999920721716523,"gaitsc_lv"
"21","SCNN1D","Exc L3-4 RORB CUX2",0.000283120204255438,2.95244595599273,0.0451267138854857,0.831882157253291,0.999826764281357,0.999920721716523,"gaitsc_lv"
"22","ACAP3","Exc L3-4 RORB CUX2",-4.60186720389025e-05,6.47531443327936,0.00186011876696761,0.965620694338348,0.999826764281357,0.999920721716523,"gaitsc_lv"
"23","PUSL1","Exc L3-4 RORB CUX2",0.000280358683041787,1.71603195479198,0.0507695792048377,0.82184751159306,0.999826764281357,0.999920721716523,"gaitsc_lv"
"24","INTS11","Exc L3-4 RORB CUX2",0.000270446609773321,5.26052375864609,0.156799445218485,0.692336939061038,0.988175863834964,0.999920721716523,"gaitsc_lv"
"25","CPTP","Exc L3-4 RORB CUX2",0.00143643622409206,2.94134174232197,0.911453250761172,0.340320353062408,0.949282659576174,0.999920721716523,"gaitsc_lv"
"26","TAS1R3","Exc L3-4 RORB CUX2",-0.000954602239274931,-1.08502343233573,0.113654527755184,0.7362025731793,0.991217085572494,0.999920721716523,"gaitsc_lv"
"27","DVL1","Exc L3-4 RORB CUX2",0.000863001082692918,4.25967398937938,1.06372777398005,0.303005521784723,0.94500871466448,0.999920721716523,"gaitsc_lv"
