"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","End",0.0179840978895952,7.00724842246722,0.0309222636866324,0.860556283509887,0.978976237993869,0.999773079784292,"gpath"
"2","ISG15","End",-0.372426025305169,7.3509286663717,8.85915237042224,0.00320232938936557,0.0938523175544385,0.18808200008568,"gpath"
"3","CCNL2","End",0.0156039107793736,7.61496063446885,0.0932798598771496,0.985396613470612,0.999230456124123,0.999930886448511,"gpath"
"4","VWA1","End",0.0156624167443997,7.00176570317309,0.0317572939457433,0.858705704140548,0.978976237993869,0.999773079784292,"gpath"
"5","GNB1","End",-0.0398887701209892,8.98549212708063,0.984646952645306,0.32201368968613,0.723511771130228,0.847102459991696,"gpath"
"6","SKI","End",-0.0175629984409145,7.81856974620943,0.0909586560879885,0.763212663983429,0.957386910650591,0.986857992419851,"gpath"
"7","CAMTA1","End",-0.0442040073692707,9.00457442712806,0.964163405994792,0.327089438252529,0.729552733886921,0.84779180184607,"gpath"
"8","PER3","End",-0.11850907275015,7.32439488084198,1.54252383904102,0.215406403951586,0.628782878681318,0.767253911536761,"gpath"
"9","PARK7","End",-0.0844137243250932,6.77517988816246,0.593094951562376,0.441951930210478,0.808321100227764,0.900183593874268,"gpath"
"10","RERE","End",0.0353224439722392,9.54025266927648,0.866278388085181,0.35288557501336,0.75149597558334,0.862282705928565,"gpath"
"11","ENO1","End",-0.0599550195427939,7.14279784213972,0.480093819103394,0.48902298575952,0.836482695862917,0.920260852080311,"gpath"
"12","CLSTN1","End",-0.120874297445624,7.31987728918135,3.29806838608473,0.144377821133208,0.539517121076725,0.692466814804732,"gpath"
"13","UBE4B","End",-0.0285051914860306,7.53649245412637,0.199210943838126,0.655744856858669,0.918943308825183,0.962344483754064,"gpath"
"14","KIF1B","End",-0.08408109809204,8.24694672855002,2.4241988723094,0.12073931826997,0.502792542006858,0.657006570470383,"gpath"
"15","PEX14","End",-0.141608879043854,6.89754258693401,2.28451430205169,0.131934040815105,0.517654818261594,0.67319469939074,"gpath"
"16","MTOR","End",0.0269124877138748,7.07808214433118,0.160469942232149,0.689066344421092,0.93152533232859,0.971967948712002,"gpath"
"17","TNFRSF1B","End",0.0843434546666093,7.5684701920087,1.70740611234895,0.192523016467928,0.59638456235702,0.74254543823968,"gpath"
"18","VPS13D","End",0.0391842152372486,8.49999942043509,0.660374192629129,0.417201046777803,0.787381029272302,0.889495890325218,"gpath"
"19","PRDM2","End",-0.0553761469842914,7.99868317642583,1.14331474541203,0.285984318467019,0.69872287030827,0.825442473914947,"gpath"
"20","KAZN","End",0.0676077208644344,7.23411263398637,0.386582457098379,0.534667884091078,0.859558695833774,0.936481196456752,"gpath"
"21","SPEN","End",0.0233006821374969,8.21277659081847,0.158175523739763,0.691181239606669,0.932259101461494,0.972971372324891,"gpath"
"22","SRARP","End",0.118186142847177,8.6983602607202,3.35701782056151,0.0681087082575869,0.393547009026565,0.55343873089737,"gpath"
"23","FBXO42","End",-0.100562611603475,7.30109996302459,1.83231360866326,0.177077065623266,0.577779028458266,0.729948908030346,"gpath"
"24","UBR4","End",0.0635870356089097,7.77990826619345,1.34318437192799,0.247579002256574,0.662325137913216,0.794446182839704,"gpath"
"25","CAPZB","End",-0.0486683240826288,8.01335099429963,1.06334943879303,0.303449074065064,0.71105228576302,0.83841140980878,"gpath"
"26","CAMK2N1","End",-0.0830968808404698,6.542478294212,0.456767291088091,0.499763380036823,0.83912360715976,0.922102021970146,"gpath"
"27","CDA","End",0.013926454500828,7.15339575284541,0.0253135537723931,0.873716704703176,0.981576766641711,0.999773079784292,"gpath"
"28","PINK1","End",0.108173981282763,7.18110668980736,2.22293303298875,0.137235196280862,0.526117653128573,0.681332386241454,"gpath"
