"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Mic",0.0616258834889274,4.29586692799696,0.767735136067995,0.381457215513525,0.725954806314607,0.725954806314607,"gpath"
"2","AL669831.5","Mic",0.00457637943695359,5.75150153182661,0.0114604670461333,0.91480145035291,0.994204098973485,0.994204098973485,"gpath"
"3","NOC2L","Mic",0.0018258878415891,5.11225454541922,0.00179076182829109,0.966267305126391,0.997452456655174,0.997452456655174,"gpath"
"4","KLHL17","Mic",0.0783001758469215,3.05602612443986,1.06229681012302,0.37972553112368,0.724066346551552,0.724066346551552,"gpath"
"5","ISG15","Mic",0.119350273530745,3.32199299698543,0.95191323246162,0.32983670498022,0.678682459144352,0.678682459144352,"gpath"
"6","AGRN","Mic",0.136723963628418,3.63172365554687,3.52543780171671,0.061178890823082,0.288432803708547,0.288432803708547,"gpath"
"7","C1orf159","Mic",-0.0329092483518541,4.9343086609605,0.605429662654286,0.436984949835838,0.770702406381807,0.770702406381807,"gpath"
"8","TNFRSF4","Mic",0.140565229860723,2.32715901181674,1.37684213079746,0.241354885928487,0.58912392722715,0.58912392722715,"gpath"
"9","SDF4","Mic",-0.0280255484420154,5.1018587313254,0.521986714529362,0.49860921594518,0.815260072458858,0.815260072458858,"gpath"
"10","B3GALT6","Mic",0.0813791122374309,3.33425451092997,1.27912037840952,0.258756671974211,0.612280630439494,0.612280630439494,"gpath"
"11","UBE2J2","Mic",-0.0239372560936523,5.79710782817859,0.532647222443227,0.465933540959162,0.792729354981139,0.792729354981139,"gpath"
"12","SCNN1D","Mic",0.166118738617345,3.22247126568275,4.16667854976316,0.0418982270397048,0.229165025379398,0.229165025379398,"gpath"
"13","ACAP3","Mic",0.103423143244876,5.28745185860573,4.83213918378053,0.0285200624413831,0.185929651008731,0.185929651008731,"gpath"
"14","INTS11","Mic",-0.049668812627625,5.12259359810573,2.22706786483155,0.136418314502854,0.440594793048893,0.440594793048893,"gpath"
"15","DVL1","Mic",0.0468801179914215,3.87143483446197,0.672278702349772,0.412758383386606,0.752215530537069,0.752215530537069,"gpath"
"16","AURKAIP1","Mic",-0.0371575989156307,4.22276683595752,0.436219009987124,0.913973002773565,0.994204098973485,0.994204098973485,"gpath"
"17","CCNL2","Mic",-0.0106195218033554,6.33140163227072,0.145245740925355,0.703327975274479,0.926373959171209,0.926373959171209,"gpath"
"18","MRPL20","Mic",-0.00275863808525458,5.35399756989838,0.006553058816768,0.935522415029844,0.996945845379344,0.996945845379344,"gpath"
"19","ANKRD65","Mic",-0.00574396463581436,2.7007470366957,0.00176228835234066,0.966536398878919,0.997452456655174,0.997452456655174,"gpath"
"20","ATAD3B","Mic",-0.0702285373301131,4.8772218012085,2.33295209976622,0.127470912359818,0.426354283594316,0.426354283594316,"gpath"
"21","ATAD3A","Mic",-0.00843134839732847,4.20790687024217,0.0240397801030661,0.876863834567984,0.987713038494535,0.987713038494535,"gpath"
"22","SSU72","Mic",0.0344936368192742,5.5270436180824,1.15636590996053,0.282884364305906,0.636838199447286,0.636838199447286,"gpath"
"23","FNDC10","Mic",-0.101516134039357,2.65818441179854,1.03288735413098,0.310110653439976,0.663493315763762,0.663493315763762,"gpath"
"24","AL691432.2","Mic",-0.0193714407171912,2.84809112054294,0.0463117310731553,0.909474192900723,0.993626226563137,0.993626226563137,"gpath"
"25","MIB2","Mic",0.114176067301172,4.73756898410326,5.35340136674951,0.021200341851602,0.154276373028378,0.154276373028378,"gpath"
"26","CDK11B","Mic",-0.0303976475796948,5.76892276563868,0.912533936716152,0.34003388356897,0.688421072962295,0.688421072962295,"gpath"
"27","SLC35E2B","Mic",0.0573048867899691,4.79190470159899,1.61257915425794,0.885353333906039,0.989789827493442,0.989789827493442,"gpath"
"28","CDK11A","Mic",0.0663991703613194,5.44371225727598,2.31434695714946,0.128994321017882,0.42876545166017,0.42876545166017,"gpath"
"29","SLC35E2A","Mic",-0.000399049493259282,4.90827103430976,0.000101285443380842,0.991975310700696,0.999178452371087,0.999178452371087,"gpath"
"30","NADK","Mic",0.0141247747725417,5.24364706190933,0.112598043523285,0.816714795816913,0.968696241080533,0.968696241080533,"gpath"
"31","GNB1","Mic",-0.0388967677711943,8.62982197330965,2.42851386279255,0.119955746081983,0.411608632297349,0.411608632297349,"gpath"
"32","CFAP74","Mic",-0.193499791878997,5.82259348693505,10.1548940360956,0.00155496659941402,0.0304195406905419,0.0304195406905419,"gpath"
"33","GABRD","Mic",-0.224130683402872,3.58400285265817,6.57297074333274,0.0107272896943363,0.102061861005795,0.102061861005795,"gpath"
"34","PRKCZ","Mic",0.0503719223769628,5.20631429116801,0.87045714191949,0.351405209293101,0.699646444874878,0.699646444874878,"gpath"
"35","FAAP20","Mic",0.103514619134245,4.45809535373251,4.72994477257308,0.0464848742123376,0.243992199636734,0.243992199636734,"gpath"
"36","SKI","Mic",0.0254121884875743,8.44613186922041,0.522529171232855,0.470197455238492,0.796323277396368,0.796323277396368,"gpath"
"37","MORN1","Mic",-0.208122181956798,3.93271601961566,8.39250878448486,0.00397981452820227,0.0555165962106854,0.0555165962106854,"gpath"
"38","RER1","Mic",0.0542002731552684,5.40686325353001,2.24967606666235,0.134450301337157,0.437218603257216,0.437218603257216,"gpath"
"39","PEX10","Mic",-0.112982592927757,3.72400785899387,2.98845502062,0.0846504411599743,0.344993325892761,0.344993325892761,"gpath"
"40","PANK4","Mic",0.0427025864963401,3.31661475910421,0.393248343715181,0.530963276286372,0.83771578949979,0.83771578949979,"gpath"
"41","TNFRSF14-AS1","Mic",0.0152468027062415,3.05479217248727,0.0317085982928367,0.884205029236496,0.989276942516861,0.989276942516861,"gpath"
"42","TNFRSF14","Mic",0.0706124110690959,4.99676018428929,2.00066856892813,0.158026565037946,0.472528725555124,0.472528725555124,"gpath"
"43","FAM213B","Mic",0.16123831285798,2.81639875512429,3.52723923510498,0.0611130738261676,0.288288033108401,0.288288033108401,"gpath"
"44","TPRG1L","Mic",-0.0687239843361334,3.62556091951383,1.14062280757482,0.28618045797501,0.640263394066153,0.640263394066153,"gpath"
"45","WRAP73","Mic",0.00158027259124763,4.34414332973963,0.00126107939066894,0.97168987624833,0.998216483663802,0.998216483663802,"gpath"
"46","TP73","Mic",-0.111187663851428,2.03271107965646,0.673201082419462,0.443101336911047,0.775071499339791,0.775071499339791,"gpath"
"47","LRRC47","Mic",-0.0138655188793571,4.18911559960858,0.0903020730593482,0.763953380408234,0.950665307833007,0.950665307833007,"gpath"
"48","CEP104","Mic",0.037206076372294,5.39125797323972,1.06922148159449,0.301761216783752,0.655667005533018,0.655667005533018,"gpath"
"49","DFFB","Mic",0.0512056354787217,4.3104705204015,1.23718598637271,0.266698263962211,0.621038451962556,0.621038451962556,"gpath"
"50","C1orf174","Mic",0.0395838455109939,3.62488880457734,0.369749077157543,0.554475676747099,0.852187423137038,0.852187423137038,"gpath"
"51","NPHP4","Mic",0.00818577816093502,5.68709556460435,0.0637832483090692,0.966225865266962,0.997452456655174,0.997452456655174,"gpath"
"52","KCNAB2","Mic",-0.00685727911065271,5.07538370738395,0.0186165605449069,0.891541768044176,0.991675150729122,0.991675150729122,"gpath"
"53","CHD5","Mic",0.146058354119799,4.22931719038985,4.21846379419892,0.0406515737506925,0.225276101908648,0.225276101908648,"gpath"
