"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL645608.8","Per",-0.0100453868313292,7.57976932452323,0.00859756426499103,0.926211468862813,0.999591502761461,0.999930886448511,"gpath"
"2","HES4","Per",0.0346099631822188,10.2009894908067,0.224738709247841,0.635942413827363,0.990954999909647,0.959363438597942,"gpath"
"3","ISG15","Per",-0.405981033567321,7.15903753030642,6.48752388339258,0.0115750833639942,0.351378035387765,0.304563289485414,"gpath"
"4","AGRN","Per",0.0450260010652382,8.77708967929579,0.480978106731168,0.488741543265066,0.968792055176727,0.920260852080311,"gpath"
"5","CCNL2","Per",-0.00569091864777542,7.53968533976975,0.00633420330730629,0.937285354936706,0.999591502761461,0.999930886448511,"gpath"
"6","GNB1","Per",-0.0215833653175965,8.850488469938,0.196258541412779,0.65821131879788,0.994103501028695,0.962804570222754,"gpath"
"7","SKI","Per",0.00956782567552969,7.69980951964754,0.0157747162190547,0.9001700535966,0.999591502761461,0.999930886448511,"gpath"
"8","CAMTA1","Per",-0.0718456903884734,8.6756079895622,1.76513160404797,0.185419294495624,0.785032299731733,0.737205410820259,"gpath"
"9","PER3","Per",-0.0328749125098102,7.67023992463991,0.0890165576233307,0.765724434267032,0.999591502761461,0.986857992419851,"gpath"
"10","RERE","Per",-0.0233017127000934,9.36664549708093,0.352806720213573,0.553164194049279,0.984505096683937,0.942671089556344,"gpath"
"11","PIK3CD","Per",-0.0955003870417802,8.1777102009022,1.08328135115562,0.299154516936302,0.895895655017835,0.835129516582515,"gpath"
"12","CLSTN1","Per",0.0838199352058404,8.07261862886866,1.88774745260433,0.170912464243349,0.77902868256156,0.721088303865558,"gpath"
"13","UBE4B","Per",-0.0313400877819632,8.16756168395508,0.239407267463885,0.625142257733989,0.987541993056042,0.957718516918107,"gpath"
"14","KIF1B","Per",-0.136252572752489,8.35800216433172,5.49032089495668,0.0200516611584211,0.40509135300044,0.360712928325984,"gpath"
"15","PLOD1","Per",0.0863082554810899,8.44093815538808,2.04307371856024,0.154377716734532,0.772629791834786,0.7041991923637,"gpath"
"16","TNFRSF1B","Per",0.0374050849025652,7.75476170027566,0.195070114968017,0.659181703041924,0.994103501028695,0.963159652215106,"gpath"
"17","VPS13D","Per",0.0924219021736103,9.35393837748341,1.82426248619956,0.178251945657991,0.781876107315456,0.73012067087476,"gpath"
"18","PRDM2","Per",0.0193102206616404,7.77265019742527,0.083933068263305,0.772320729622948,0.999591502761461,0.987130864542293,"gpath"
"19","KAZN","Per",-0.0331928142432407,8.26092334180749,0.266466868625652,0.60625170084032,0.98750860984835,0.954620215502294,"gpath"
"20","TMEM51","Per",-0.106689751256989,7.41190452332592,1.51067117885235,0.22040418122611,0.817203249476713,0.772624181991455,"gpath"
"21","FBLIM1","Per",0.101216725309955,7.07376570159264,0.49443438763682,0.482730170416672,0.968792055176727,0.916767818988087,"gpath"
"22","SPEN","Per",-0.0543992235799564,8.29083917011298,1.19198958627472,0.276172354009511,0.868994494133388,0.819543469536468,"gpath"
"23","FBXO42","Per",-0.129116408335077,7.56005426777714,3.5499532607988,0.0609207186708069,0.584994234358311,0.535410623630514,"gpath"
"24","UBR4","Per",0.000954201772608417,7.96851426132287,0.000165309682341197,0.98975379207902,0.999591502761461,0.999930886448511,"gpath"
"25","CAPZB","Per",-0.0537460377019897,8.83112093539004,1.29355997099811,0.587060004560428,0.984505096683937,0.94921893072483,"gpath"
"26","NBL1","Per",-0.0864026695576774,7.73787000910143,1.32982972168597,0.250138799710454,0.840863272911544,0.795307729990922,"gpath"
"27","CAMK2N1","Per",0.0627606684434913,7.72370732923446,0.666199853484291,0.415299180980986,0.946935163657364,0.88811742943128,"gpath"
"28","HP1BP3","Per",0.125287427748494,9.00749038411834,5.1331113172134,0.0244875655950274,0.430880112949309,0.39071555117594,"gpath"
"29","EIF4G3","Per",-0.0944231614639137,9.3062723685815,4.15929696596442,0.0426517227535711,0.532088837386148,0.481157130809151,"gpath"
"30","ECE1","Per",-0.0942613093785493,9.50813324094336,2.73845597765173,0.0994444805779648,0.695503714256958,0.627575754820425,"gpath"
"31","USP48","Per",0.108678920570645,7.46973992755672,2.50157247879562,0.115228898908795,0.721507088919525,0.650509860557467,"gpath"
"32","CDC42","Per",0.0630532261191813,7.49574796729195,0.77138995781665,0.380785368689125,0.924302292561454,0.87055220064979,"gpath"
"33","HNRNPR","Per",-0.0126432697108446,7.49395016923921,0.039068528380999,0.843503046627732,0.999591502761461,0.997418125997909,"gpath"
"34","ID3","Per",0.0757614451991704,7.67077684149976,0.264678300353151,0.607462036161077,0.98750860984835,0.954806113349507,"gpath"
"35","RPL11","Per",-0.114674270570553,7.46126019719907,0.889830637768239,0.346600903584368,0.918289649644464,0.860211287378929,"gpath"
"36","SRSF10","Per",-0.131163753801869,7.58909789982818,3.46388738745113,0.0641121317759026,0.590865678979851,0.544108369399096,"gpath"
"37","SRRM1","Per",-0.065840673121227,7.5254670522175,0.933842606717012,0.507417523839618,0.970631941312051,0.92469138071695,"gpath"
"38","CLIC4","Per",0.0119698340226945,8.21763595364531,0.0293026631928742,0.864245943547065,0.999591502761461,0.999773079784292,"gpath"
"39","RSRP1","Per",0.00692723186249025,8.88007937722798,0.018014127076286,0.985400141866643,0.999591502761461,0.999930886448511,"gpath"
"40","TMEM50A","Per",0.0033482058983219,7.40879974342196,0.00162656768875675,0.967867550606339,0.999591502761461,0.999930886448511,"gpath"
"41","MACO1","Per",-0.057084545560455,7.30788284547151,0.466512515178682,0.596536473109974,0.984505096683937,0.951110922880955,"gpath"
"42","SH3BGRL3","Per",0.0758202252470788,7.1397486438804,0.301769606092854,0.583355449943971,0.984505096683937,0.948469294319382,"gpath"
"43","ARID1A","Per",0.0629172533646199,8.12219392599271,1.02156082872677,0.393965810974849,0.932541530102505,0.878049095114448,"gpath"
"44","SLC9A1","Per",-0.062895653589672,7.44347703116531,0.573909416667459,0.449553895708306,0.958575381606992,0.904695143712575,"gpath"
"45","WASF2","Per",0.00604450073887454,8.63490001002994,0.0175069034356957,0.894862162152005,0.999591502761461,0.999930886448511,"gpath"
"46","STX12","Per",-0.00492594958032369,7.50425420639289,0.00391971321538697,0.950138171298114,0.999591502761461,0.999930886448511,"gpath"
"47","PHACTR4","Per",0.00774803732422431,8.31129998804812,0.0196532841597153,0.888643328606348,0.999591502761461,0.999930886448511,"gpath"
"48","SRSF4","Per",-0.000109428284543089,8.09655611006344,2.5814356027913e-06,0.998719568054256,0.999769378392084,0.999930886448511,"gpath"
"49","PUM1","Per",-0.0325872016563429,8.81962068747053,0.508198696605939,0.476706465642294,0.966602233526472,0.914409675004763,"gpath"
"50","TINAGL1","Per",-0.0512633129707782,7.39318555863925,0.305550405593395,0.58100806151765,0.984505096683937,0.948048175404218,"gpath"
"51","KHDRBS1","Per",0.0317907991923182,7.83492868149868,0.251120270777748,0.616809191513882,0.98750860984835,0.956961319186979,"gpath"
"52","KPNA6","Per",-0.066403726101359,7.62375626231546,0.935749035657932,0.433819981539003,0.952868530522352,0.895107396241833,"gpath"
"53","MARCKSL1","Per",-0.01429713044887,7.06738065179934,0.0109139269275865,0.916895711104986,0.999591502761461,0.999930886448511,"gpath"
"54","BSDC1","Per",0.194290392320413,7.3361135939352,6.42803072520987,0.0119570487655651,0.351378035387765,0.308713845554822,"gpath"
"55","PHC2","Per",0.00161766950602578,8.13910707966259,0.000373207409657755,0.984605200791147,0.999591502761461,0.999930886448511,"gpath"
"56","GJA4","Per",0.164775815060383,8.13250285429726,2.63950416170407,0.105727306179741,0.704109356073473,0.633122304119343,"gpath"
"57","SFPQ","Per",-0.0610034512110895,8.37029378607088,1.38654166261248,0.271220769459941,0.866164862379254,0.814527552552333,"gpath"
"58","ZMYM4","Per",-0.00824026266854449,8.49288549257187,0.0348842932816632,0.852017592651366,0.999591502761461,0.99887216883342,"gpath"
"59","KIAA0319L","Per",0.0698102019341053,7.87382344057759,1.03709400555436,0.309663318340722,0.90450100437344,0.841859905505963,"gpath"
"60","AGO4","Per",-0.148065947821741,7.50603880038038,3.31569384191644,0.0700362542390566,0.610041397442026,0.558775745733887,"gpath"
"61","AGO3","Per",-0.0194630859632732,8.1963266797433,0.121936945753292,0.72729100235968,0.999591502761461,0.981827610018875,"gpath"
"62","THRAP3","Per",-0.0308740597035942,7.94525346398295,0.286839224736452,0.59281664807769,0.984505096683937,0.950761919845688,"gpath"
"63","EVA1B","Per",0.193253441305813,7.35186554875247,4.88476830655637,0.0281681645866732,0.462508311632904,0.416788834165189,"gpath"
"64","INPP5B","Per",-0.126679444522487,7.40846175283354,2.66560508385742,0.104028639303561,0.69923320653568,0.630562552307654,"gpath"
