"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Ast GRM3",-0.0023257849219402,2.87263049952482,0.0018300357148699,0.965899319275509,0.993253807808498,0.998597854368217,"gpath_3neocort"
"2","AL669831.5","Ast GRM3",0.0409559336852207,4.88503453755995,1.27045655460727,0.260363161046572,0.538417172031316,0.65132310825807,"gpath_3neocort"
"3","SAMD11","Ast GRM3",0.684078800489196,2.05034279431204,50.4197874825999,5.78481337552195e-12,2.91042095279368e-08,5.61878923164447e-08,"gpath_3neocort"
"4","NOC2L","Ast GRM3",-0.0259389929986754,4.3583070928107,0.493112290455158,0.971805706248901,0.994309224589676,0.998597854368217,"gpath_3neocort"
"5","KLHL17","Ast GRM3",0.127899968528011,2.89188693175676,3.89936980244189,0.0489981012941386,0.211482836303177,0.300122060772485,"gpath_3neocort"
"6","HES4","Ast GRM3",-0.278937887913539,4.22754263016389,16.7572147539082,5.15040795093602e-05,0.00300440463804601,0.00575010487671743,"gpath_3neocort"
"7","ISG15","Ast GRM3",0.0492295508164329,2.75418110645469,0.183142159075393,0.668919215324059,0.867181130607642,0.927674664774121,"gpath_3neocort"
"8","AGRN","Ast GRM3",0.213334110696623,4.87347787305275,21.3436298495177,5.19906148102899e-06,0.000652372207236802,0.00133469876095026,"gpath_3neocort"
"9","C1orf159","Ast GRM3",-0.0416157748121205,5.18578332933349,1.76563544973341,0.184687849148516,0.446571747034569,0.562214940152937,"gpath_3neocort"
"10","SDF4","Ast GRM3",-0.031924557518922,4.90690580215972,0.923526253345755,0.716524870903189,0.894546701090063,0.945634501607296,"gpath_3neocort"
"11","B3GALT6","Ast GRM3",0.042195763774937,2.58131875011536,0.433836655710183,0.510494890032918,0.762739465219047,0.848244153813297,"gpath_3neocort"
"12","UBE2J2","Ast GRM3",-0.0591489001474878,5.04318690762585,4.46811148491546,0.0351575091362066,0.174893649828534,0.255333519907361,"gpath_3neocort"
"13","LINC01786","Ast GRM3",0.0917067205453419,2.28753616484835,2.06773904799672,0.151233712038799,0.400722499208105,0.516094174802935,"gpath_3neocort"
"14","SCNN1D","Ast GRM3",0.0532617146931531,3.79419485783982,1.25226042781822,0.263799110758891,0.541272075895594,0.654485078632935,"gpath_3neocort"
"15","ACAP3","Ast GRM3",0.134930092336121,5.67065656876166,11.3087751868941,0.000846512976542846,0.0195978945368047,0.0338361339142414,"gpath_3neocort"
"16","PUSL1","Ast GRM3",0.161415903218634,2.09133694678353,5.27302162752392,0.0221795500620614,0.134184640899123,0.202219207169276,"gpath_3neocort"
"17","INTS11","Ast GRM3",-0.0505026587722464,5.46581299275822,2.89866972962201,0.0894369631736075,0.301187236578516,0.407076487022141,"gpath_3neocort"
"18","CPTP","Ast GRM3",0.0581053122120115,3.14938663529453,1.09440842428337,0.296134257579262,0.574660833784851,0.685802513417571,"gpath_3neocort"
"19","DVL1","Ast GRM3",0.0504337133470835,4.42308156360647,1.67447160932145,0.1964143917907,0.460570545679166,0.575583945531173,"gpath_3neocort"
"20","MXRA8","Ast GRM3",-0.027010600137188,3.76277272430508,0.221267708639475,0.638334495114991,0.850376403526891,0.915251570439814,"gpath_3neocort"
"21","AURKAIP1","Ast GRM3",0.0402149060131853,4.15071977335658,0.581656243737582,0.446117641586248,0.709795942461646,0.804558655638919,"gpath_3neocort"
"22","CCNL2","Ast GRM3",0.0647924334395744,6.78932016910138,7.15841308798631,0.0077706439909319,0.0742312434384677,0.117128456404251,"gpath_3neocort"
"23","MRPL20","Ast GRM3",-0.0280611501979941,4.83834333603267,0.552570167374989,0.457709946357579,0.719112819666895,0.812248460921669,"gpath_3neocort"
"24","ANKRD65","Ast GRM3",-0.146065098511658,3.63033114098072,5.45600966647308,0.019999234824867,0.127689973591605,0.193094003830947,"gpath_3neocort"
"25","VWA1","Ast GRM3",0.0693702260239673,4.66866410887306,1.94390153182451,0.164026827924687,0.418721468743146,0.534397677209328,"gpath_3neocort"
"26","ATAD3C","Ast GRM3",-0.0140001346928945,2.37296714844168,0.0320744989936276,0.857955789139415,0.959197449605383,0.98488779541326,"gpath_3neocort"
"27","ATAD3B","Ast GRM3",-0.0358805636943902,4.57204142455625,1.12749858773616,0.28895628089112,0.567447937480649,0.679838050667123,"gpath_3neocort"
"28","ATAD3A","Ast GRM3",0.0308984935477655,3.90553354584659,0.611078720542752,0.434848790018053,0.699976101837359,0.796245885087255,"gpath_3neocort"
"29","TMEM240","Ast GRM3",0.0571773339156381,2.97797405843283,0.919227747175203,0.338262471352721,0.613818650398827,0.723413392663293,"gpath_3neocort"
"30","SSU72","Ast GRM3",0.0455905215175897,4.68043350539445,2.20023189831136,0.138784936045474,0.382667156538959,0.49662459145283,"gpath_3neocort"
"31","AL645728.1","Ast GRM3",0.0325387193208157,2.45825449492445,0.286467857372245,0.852851652009857,0.957844096411886,0.98422799378789,"gpath_3neocort"
"32","FNDC10","Ast GRM3",0.0602929092457142,2.83326888118647,0.763314684344264,0.382822379199089,0.656803101567064,0.760516187382677,"gpath_3neocort"
"33","AL691432.2","Ast GRM3",0.0331454698243017,2.52024720811017,0.270588949660701,0.6032274829097,0.828759897817941,0.899663421985602,"gpath_3neocort"
