"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB IL1RAPL2",0.00702077860776037,3.00458633925929,0.0314013304300648,0.85944471880735,0.918892571090404,0.926961367065325,"gpath_3neocort"
"2","AL669831.5","Exc L4-5 RORB IL1RAPL2",0.0396954333774799,5.7106965396423,2.11352467861812,0.146848289886597,0.277172157506762,0.300154960444843,"gpath_3neocort"
"3","LINC00115","Exc L4-5 RORB IL1RAPL2",-0.0321561231278683,0.42635927119362,0.235289180325332,0.62791577344752,0.759549882975489,0.773801830063233,"gpath_3neocort"
"4","NOC2L","Exc L4-5 RORB IL1RAPL2",0.039315491134962,4.74543384776651,2.44458628689825,0.118783737170472,0.238228353836013,0.260155840489794,"gpath_3neocort"
"5","KLHL17","Exc L4-5 RORB IL1RAPL2",0.0996681962540602,2.77898280873093,7.28173271714876,0.00728435550119732,0.0317734273630993,0.0387675426397796,"gpath_3neocort"
"6","HES4","Exc L4-5 RORB IL1RAPL2",-0.460029814619256,3.40957644405027,32.9262989233415,1.99054972681736e-08,3.11716824023326e-06,5.57511665185327e-06,"gpath_3neocort"
"7","ISG15","Exc L4-5 RORB IL1RAPL2",-0.0989105502610357,1.36016191195038,1.4226290261818,0.233733609243746,0.386253836571384,0.409707043109203,"gpath_3neocort"
"8","AGRN","Exc L4-5 RORB IL1RAPL2",-0.150336320840811,4.60032038771317,15.5509218036356,9.6024356719664e-05,0.00139615322308157,0.00208476475282826,"gpath_3neocort"
"9","C1orf159","Exc L4-5 RORB IL1RAPL2",-0.0315696471419296,5.31633819670879,1.81410546391156,0.178838875406686,0.319349164842016,0.343306439363739,"gpath_3neocort"
"10","TNFRSF18","Exc L4-5 RORB IL1RAPL2",-0.200228200572513,0.400751861936444,7.53604022067589,0.00634198629269394,0.0286438884448978,0.0350882269571403,"gpath_3neocort"
"11","TNFRSF4","Exc L4-5 RORB IL1RAPL2",-0.102946731042831,1.45291939372911,2.55850070773326,0.110553995996818,0.226405198147627,0.247973047352065,"gpath_3neocort"
"12","SDF4","Exc L4-5 RORB IL1RAPL2",-0.0258940847150524,4.9859048012198,1.59308702470344,0.207678690141141,0.354804656448288,0.378916400963764,"gpath_3neocort"
"13","B3GALT6","Exc L4-5 RORB IL1RAPL2",-0.0436519747898078,2.64558114433414,1.13794512397147,0.286780798090884,0.446604756074856,0.469611861337087,"gpath_3neocort"
"14","C1QTNF12","Exc L4-5 RORB IL1RAPL2",-0.0323662547519947,-0.169896070976776,0.219387941866095,0.639781806072697,0.769141005583737,0.782642809008134,"gpath_3neocort"
"15","UBE2J2","Exc L4-5 RORB IL1RAPL2",0.0231908789414688,4.76515910354691,2.13875581426994,0.14446510786238,0.274409016276672,0.296828745415766,"gpath_3neocort"
"16","LINC01786","Exc L4-5 RORB IL1RAPL2",-0.171035962719556,2.0335027239095,15.3220184745855,0.000107862461252021,0.00151189458710188,0.00224878082488378,"gpath_3neocort"
"17","SCNN1D","Exc L4-5 RORB IL1RAPL2",-0.023131076571231,3.00419118547755,0.404316626286452,0.525260482630914,0.675673412379721,0.693068694405188,"gpath_3neocort"
"18","ACAP3","Exc L4-5 RORB IL1RAPL2",0.0444237744149399,6.37018484393567,2.49025834109594,0.115405357900409,0.233437730300404,0.255239158453598,"gpath_3neocort"
"19","PUSL1","Exc L4-5 RORB IL1RAPL2",-0.0214507273104312,1.60812699766118,0.271907273024513,0.60236642413781,0.740055727509168,0.754847463125304,"gpath_3neocort"
"20","INTS11","Exc L4-5 RORB IL1RAPL2",0.0473633979649556,5.15994257042465,6.80664479297144,0.0094493089273249,0.0383567370344891,0.0462257552000383,"gpath_3neocort"
"21","CPTP","Exc L4-5 RORB IL1RAPL2",0.0428074572231086,2.8292879916583,1.19395683728126,0.275242054681583,0.434084485280803,0.456982241446787,"gpath_3neocort"
"22","DVL1","Exc L4-5 RORB IL1RAPL2",0.045461144838442,4.24821476808055,3.62846567515713,0.0575723924222422,0.141105908560223,0.158856483065216,"gpath_3neocort"
"23","AURKAIP1","Exc L4-5 RORB IL1RAPL2",-0.0490310779905741,4.21089801215914,0.779451587507421,0.377880750156973,0.540901455888887,0.561248042051563,"gpath_3neocort"
"24","CCNL2","Exc L4-5 RORB IL1RAPL2",0.0104050994032581,5.80106934229995,0.609162544629174,0.435601105506134,0.595956775795555,0.614701415706876,"gpath_3neocort"
"25","MRPL20","Exc L4-5 RORB IL1RAPL2",-0.0112858646439016,4.67802532559085,0.0984681763057323,0.753852087359584,0.850850365038392,0.862705929689091,"gpath_3neocort"
"26","AL391244.3","Exc L4-5 RORB IL1RAPL2",-0.0189247588669798,0.829418450406387,0.203458552094881,0.652207155327982,0.777391294751644,0.791539490077852,"gpath_3neocort"
"27","ANKRD65","Exc L4-5 RORB IL1RAPL2",-0.0875507140641806,3.00483504248575,2.33711541375199,0.127175616044305,0.250354471357697,0.272232036409435,"gpath_3neocort"
"28","VWA1","Exc L4-5 RORB IL1RAPL2",-0.0368005249663429,1.14812666245236,0.555849784872861,0.456409474968442,0.614496336805644,0.633157034160083,"gpath_3neocort"
"29","ATAD3C","Exc L4-5 RORB IL1RAPL2",0.0917058745120432,2.15481573598481,2.49145191061366,0.115318509223597,0.233311460205107,0.2551135928877,"gpath_3neocort"
"30","ATAD3B","Exc L4-5 RORB IL1RAPL2",-0.0739057678160322,4.37900025639173,7.85588551902955,0.00533156871954341,0.0252127773234844,0.0310145279358282,"gpath_3neocort"
"31","ATAD3A","Exc L4-5 RORB IL1RAPL2",-0.0432697492745675,3.82074614661722,4.62895475434907,0.0320818576414322,0.0927972443205537,0.10690288993113,"gpath_3neocort"
"32","TMEM240","Exc L4-5 RORB IL1RAPL2",-0.0898581126104654,2.37016940005689,3.99280776967828,0.0464245080686845,0.121320452961221,0.137296670451046,"gpath_3neocort"
"33","SSU72","Exc L4-5 RORB IL1RAPL2",0.0326001013687136,5.71275885118958,0.79861426622622,0.37208747569196,0.535497643924286,0.555612202662367,"gpath_3neocort"
"34","AL645728.1","Exc L4-5 RORB IL1RAPL2",-0.137230118188452,1.86162298330277,8.49406227223332,0.00377920321337365,0.019668122416645,0.0245489446612818,"gpath_3neocort"
"35","FNDC10","Exc L4-5 RORB IL1RAPL2",-0.0839252761823104,3.42298617911467,3.37679618845174,0.0669201776380677,0.157393819250927,0.175881108515404,"gpath_3neocort"
"36","AL691432.2","Exc L4-5 RORB IL1RAPL2",-0.017096350646494,3.03037452534053,0.249796775145569,0.617514571302284,0.751871511358749,0.766353693552934,"gpath_3neocort"
"37","MIB2","Exc L4-5 RORB IL1RAPL2",0.050100874709872,5.22475600077979,6.66413139453785,0.0102203124779998,0.0405690982531035,0.0487959743844276,"gpath_3neocort"
"38","MMP23B","Exc L4-5 RORB IL1RAPL2",-0.000298406258054817,1.3881964027931,5.11270188903339e-05,0.994298766032438,0.996987928191853,0.99736387796992,"gpath_3neocort"
"39","CDK11B","Exc L4-5 RORB IL1RAPL2",0.0597665583130133,4.8794167858989,8.90973819381252,0.00302459419420434,0.0166719192383941,0.0210392132791041,"gpath_3neocort"
"40","FO704657.1","Exc L4-5 RORB IL1RAPL2",-0.0154516692919797,0.205030493055339,0.0704651565078764,0.79080818722176,0.876194393789509,0.886139073933134,"gpath_3neocort"
"41","SLC35E2B","Exc L4-5 RORB IL1RAPL2",0.00960961459672765,4.60502202033702,0.208900499384373,0.647898118061175,0.774308366418038,0.788192857246656,"gpath_3neocort"
"42","CDK11A","Exc L4-5 RORB IL1RAPL2",0.125745998443978,4.00390962960463,16.0255767277669,7.54916865085642e-05,0.00116972317173246,0.00176697207958125,"gpath_3neocort"
"43","SLC35E2A","Exc L4-5 RORB IL1RAPL2",-0.00491267967061933,4.6166528279657,0.0319377536123131,0.858261914852896,0.918141770718662,0.92637219449562,"gpath_3neocort"
