"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh RYR3 TSHZ2",-0.153974388090308,3.22529030243279,3.60077688604012,0.0585169712376422,0.294061827730771,0.293682484314368,"gpath_3neocort"
"2","AL669831.5","Inh RYR3 TSHZ2",0.0280990172638113,5.47933005238004,0.530756630819296,0.466741589190124,0.75991967213168,0.764768251573915,"gpath_3neocort"
"3","NOC2L","Inh RYR3 TSHZ2",-0.000255049297212048,4.65912991782819,3.12515576439935e-05,0.995542561113428,0.999219923600231,0.999439488236285,"gpath_3neocort"
"4","KLHL17","Inh RYR3 TSHZ2",0.157759843446285,3.30267617201014,4.15123704217119,0.0423025359268684,0.24970218338553,0.249462624989693,"gpath_3neocort"
"5","HES4","Inh RYR3 TSHZ2",-0.195325443810818,3.67917611737738,6.45862765447849,0.0114416375761129,0.126524921174101,0.128341633325012,"gpath_3neocort"
"6","ISG15","Inh RYR3 TSHZ2",-0.132212341612229,3.02204842548494,1.77180661524914,0.183963710501141,0.503309457617138,0.507038133084502,"gpath_3neocort"
"7","AGRN","Inh RYR3 TSHZ2",-0.0150345666362478,3.34418504840629,0.0320539656350983,0.858005523643753,0.968656724135979,0.968630143761367,"gpath_3neocort"
"8","C1orf159","Inh RYR3 TSHZ2",-0.0464809570637454,5.31086631949396,1.45935066747459,0.227791328988632,0.556904004440837,0.559248726904105,"gpath_3neocort"
"9","SDF4","Inh RYR3 TSHZ2",-0.0915889754616789,5.67473968322999,7.22490236619102,0.00750890143546242,0.103054496626614,0.102897664766628,"gpath_3neocort"
"10","UBE2J2","Inh RYR3 TSHZ2",-0.0155793374522617,5.14358779797033,0.246955474971993,0.619516929193023,0.856083920789994,0.859609234388451,"gpath_3neocort"
"11","SCNN1D","Inh RYR3 TSHZ2",-0.0768972210954128,3.69686906616766,1.32945659823891,0.249633035682277,0.579771292894836,0.582975511798153,"gpath_3neocort"
"12","ACAP3","Inh RYR3 TSHZ2",0.0376732026839565,6.58095401792426,1.61936812069678,0.203964821179615,0.529189348642248,0.531848816374966,"gpath_3neocort"
"13","INTS11","Inh RYR3 TSHZ2",0.0106980008575356,5.47039334965216,0.105723866797846,0.877287451956914,0.975609428649945,0.974705552710752,"gpath_3neocort"
"14","CPTP","Inh RYR3 TSHZ2",0.00309228470262536,3.35020720601133,0.00163608531671024,0.967756952738066,0.99451535337016,0.996044509967192,"gpath_3neocort"
"15","DVL1","Inh RYR3 TSHZ2",0.0555295118969367,4.4446300867604,1.41584369973992,0.234838125517323,0.563772488186236,0.567106716838039,"gpath_3neocort"
"16","AURKAIP1","Inh RYR3 TSHZ2",-0.136647293501023,4.08343351520131,4.17841656125484,0.0416368562397626,0.248162180807746,0.24757701441172,"gpath_3neocort"
"17","CCNL2","Inh RYR3 TSHZ2",-0.0430788673025227,6.09326643267293,2.40584006336567,0.121722940762778,0.414817354038712,0.417335569152387,"gpath_3neocort"
"18","MRPL20","Inh RYR3 TSHZ2",-0.0221677106341761,4.7261892064156,0.252192278914012,0.615829059822365,0.854003257292238,0.857497525103344,"gpath_3neocort"
"19","ATAD3B","Inh RYR3 TSHZ2",-0.0477375876737665,4.53385544998034,1.05679997414183,0.304605816414443,0.632337623828144,0.636495021017672,"gpath_3neocort"
"20","ATAD3A","Inh RYR3 TSHZ2",-0.0561162171689953,4.04117101082141,1.10550629441267,0.293734898110631,0.621333368637723,0.626243049146785,"gpath_3neocort"
"21","SSU72","Inh RYR3 TSHZ2",-0.0101972275437407,5.19092106570565,0.0663965689993,0.796798204678241,0.94594264390859,0.945585161793425,"gpath_3neocort"
"22","FNDC10","Inh RYR3 TSHZ2",-0.0268900355531991,3.85590386877572,0.154893804475911,0.694124522096459,0.893908889157992,0.898509648304734,"gpath_3neocort"
"23","AL691432.2","Inh RYR3 TSHZ2",-0.0299288826937145,3.18043525551775,0.128399415280988,0.720298109953534,0.905183072246921,0.910763111248088,"gpath_3neocort"
"24","MIB2","Inh RYR3 TSHZ2",0.0162730916655287,5.2123195076984,0.152904917210274,0.695995701450641,0.894050614259937,0.8992820722181,"gpath_3neocort"
"25","CDK11B","Inh RYR3 TSHZ2",0.0388830348373426,4.87083042349995,0.892724710658463,0.345345640213445,0.670802553746864,0.672364265931321,"gpath_3neocort"
"26","SLC35E2B","Inh RYR3 TSHZ2",-0.00352908685369531,4.90480653089111,0.00969861338218233,0.998881474771461,0.999450785279232,0.999834438034748,"gpath_3neocort"
"27","CDK11A","Inh RYR3 TSHZ2",0.127973539244616,4.3694423879814,5.74057789394513,0.0170645018280832,0.155778359233396,0.158327726924552,"gpath_3neocort"
"28","SLC35E2A","Inh RYR3 TSHZ2",-0.0124896662529899,4.76501514489341,0.0842558140952962,0.879300962463557,0.976093104883781,0.975248273449856,"gpath_3neocort"
"29","NADK","Inh RYR3 TSHZ2",0.00217321335381815,4.28847628446211,0.00231535336127078,0.961647607401717,0.994103960495418,0.995154211676164,"gpath_3neocort"
"30","GNB1","Inh RYR3 TSHZ2",0.0301839736151755,7.58524902547637,2.96301607183988,0.0860099322810251,0.350597958962752,0.353615183298753,"gpath_3neocort"
"31","GABRD","Inh RYR3 TSHZ2",0.0581500587198726,3.17790919093896,0.394807275627919,0.53016403021621,0.79997313386062,0.807515526006017,"gpath_3neocort"
"32","PRKCZ","Inh RYR3 TSHZ2",-0.0150747974771569,6.50123892080892,0.399950299398656,0.862139075641852,0.96924534286478,0.969933561570879,"gpath_3neocort"
"33","FAAP20","Inh RYR3 TSHZ2",0.000649886265569612,4.21347464047506,0.000225370256052636,0.988030285975262,0.998030952156547,0.998658348256105,"gpath_3neocort"
"34","SKI","Inh RYR3 TSHZ2",0.0124524738827806,6.54945546013116,0.195745489711217,0.65843102974397,0.877715122114895,0.880642308959601,"gpath_3neocort"
"35","MORN1","Inh RYR3 TSHZ2",-0.0627759231522222,4.19340272118455,1.35973832059174,0.244320596291385,0.574243259808362,0.577175638158666,"gpath_3neocort"
"36","RER1","Inh RYR3 TSHZ2",-0.0284411356399293,4.76026920758852,0.504151442239257,0.478120982232277,0.767359996457949,0.772612330206825,"gpath_3neocort"
"37","PEX10","Inh RYR3 TSHZ2",-0.140722173602833,3.57427279683971,3.97498184669689,0.0469015994126253,0.262553812848362,0.262667855957289,"gpath_3neocort"
"38","PLCH2","Inh RYR3 TSHZ2",-0.040063096754701,3.83176145645138,0.343823659053742,0.557981602047599,0.816991904246901,0.824097057624848,"gpath_3neocort"
"39","FAM213B","Inh RYR3 TSHZ2",0.0461535747588323,3.61638223434268,0.455483152898198,0.50015654599401,0.779100108403927,0.787353317519754,"gpath_3neocort"
"40","TPRG1L","Inh RYR3 TSHZ2",-0.0102981404154605,4.21839644189693,0.0324997748108417,0.857032102807876,0.968470754715697,0.968364651387944,"gpath_3neocort"
"41","WRAP73","Inh RYR3 TSHZ2",-0.00998965966745744,3.70069766195501,0.0251114318053506,0.874174631490678,0.974229313956844,0.973698850434057,"gpath_3neocort"
"42","LRRC47","Inh RYR3 TSHZ2",-0.0773179082454581,4.35883795960386,2.21438781698375,0.137565923378015,0.440022508339269,0.44203417955407,"gpath_3neocort"
"43","CEP104","Inh RYR3 TSHZ2",-0.0156150845092947,5.56518765821344,0.287543012693459,0.79382881553802,0.94478234446801,0.944268894012086,"gpath_3neocort"
"44","DFFB","Inh RYR3 TSHZ2",0.0579089606135578,4.75991707694651,2.16875815694204,0.241887988716728,0.572048722788243,0.574570159523304,"gpath_3neocort"
"45","C1orf174","Inh RYR3 TSHZ2",0.0884757023109945,3.29410859447418,1.36954202410765,0.242630439185329,0.572487134199042,0.575352167621636,"gpath_3neocort"
