"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Mic P2RY12",0.0578315562143882,4.31055212300765,0.788462723229379,0.375123083269847,0.721547346355314,0.815780999011114,"gpath_3neocort"
"2","AL669831.5","Mic P2RY12",0.00459473496623975,5.76192133746309,0.0142091310805619,0.90517782016424,0.991019535150764,0.998769044026091,"gpath_3neocort"
"3","NOC2L","Mic P2RY12",-0.0213447281767308,5.11925191492614,0.315579201735847,0.574605403805295,0.864253302760261,0.920649798271135,"gpath_3neocort"
"4","ISG15","Mic P2RY12",0.0517056957197666,3.26987916537669,0.221157734606314,0.638427075620412,0.896391337976231,0.943098615384887,"gpath_3neocort"
"5","AGRN","Mic P2RY12",0.136177227843481,3.6612073082811,4.31617386731262,0.0384180267090474,0.225266293488839,0.324318637216487,"gpath_3neocort"
"6","C1orf159","Mic P2RY12",-0.0350595919721646,4.94593075567545,0.778115238037388,0.378271883194335,0.723980520894564,0.817527846768365,"gpath_3neocort"
"7","SDF4","Mic P2RY12",-0.0184064459867874,5.08872783863431,0.259681617860598,0.610632688395833,0.884035304843407,0.934107182815243,"gpath_3neocort"
"8","B3GALT6","Mic P2RY12",0.0523214032609305,3.35652846827804,0.623301825753675,0.430311798557536,0.765827467901219,0.849581741853154,"gpath_3neocort"
"9","UBE2J2","Mic P2RY12",-0.0152882407989591,5.8021667552578,0.252972477044685,0.615279121432594,0.885837079205117,0.93571376624245,"gpath_3neocort"
"10","SCNN1D","Mic P2RY12",0.161413009729653,3.27145259193591,4.74850308917836,0.0299330995720194,0.194985083424237,0.287297147012963,"gpath_3neocort"
"11","ACAP3","Mic P2RY12",0.114197853257296,5.27730866735344,7.16772619046916,0.0077421317582137,0.0884035774870395,0.137741685201816,"gpath_3neocort"
"12","INTS11","Mic P2RY12",-0.0571387824534906,5.1306474373396,3.3978442518268,0.066054722552312,0.304177361537538,0.420664038550604,"gpath_3neocort"
"13","DVL1","Mic P2RY12",0.0371799503918227,3.894689235093,0.484400834222635,0.486858094073247,0.80883413165405,0.879234070973541,"gpath_3neocort"
"14","AURKAIP1","Mic P2RY12",-0.0323153846050857,4.18099575946741,0.366637740460348,0.834546287786622,0.974893708324736,0.992402377861355,"gpath_3neocort"
"15","CCNL2","Mic P2RY12",-0.010010828994776,6.34076382756228,0.161662420731909,0.881566949949716,0.98601403670213,0.995853033755712,"gpath_3neocort"
"16","MRPL20","Mic P2RY12",-0.0271365804006024,5.30175473804219,0.755274869922472,0.424712413521484,0.761509660646561,0.847000495579812,"gpath_3neocort"
"17","ANKRD65","Mic P2RY12",-0.0403734630351599,2.7649347483757,0.127117919913949,0.721635679501128,0.93616215752728,0.968637365576143,"gpath_3neocort"
"18","ATAD3B","Mic P2RY12",-0.0646318797481767,4.87614210255402,2.32856084062755,0.127845230297287,0.431759383845486,0.560731467318244,"gpath_3neocort"
"19","ATAD3A","Mic P2RY12",-0.0236362314862272,4.20613362278303,0.211554385580682,0.645813002542823,0.900126821162039,0.945462990232834,"gpath_3neocort"
"20","SSU72","Mic P2RY12",0.0193661269879391,5.49771234290016,0.427582491609017,0.513570282469099,0.827713386003418,0.893329065893991,"gpath_3neocort"
"21","FNDC10","Mic P2RY12",-0.0797381369997088,2.69313843063317,0.755334892582449,0.385337125062812,0.729304864108609,0.822138306895282,"gpath_3neocort"
"22","AL691432.2","Mic P2RY12",-0.013249685655487,2.90176810359385,0.0262537210192232,0.900397943616237,0.989862469230942,0.997973542358534,"gpath_3neocort"
"23","MIB2","Mic P2RY12",0.0893559435026684,4.74517182332706,3.94380391546639,0.0477573729838095,0.254007285094987,0.360673213433865,"gpath_3neocort"
"24","CDK11B","Mic P2RY12",-0.0225193982304749,5.75291461221021,0.580415859191133,0.446618596949559,0.779481866818284,0.859878486840123,"gpath_3neocort"
"25","SLC35E2B","Mic P2RY12",0.0545302088611812,4.80856565676175,1.65981664618586,0.715433858021823,0.933213811506162,0.966430160854911,"gpath_3neocort"
"26","CDK11A","Mic P2RY12",0.0532941594239041,5.44088726356278,1.7342625725131,0.188655440069734,0.521566441723671,0.650253430903401,"gpath_3neocort"
"27","SLC35E2A","Mic P2RY12",-0.0179336224412417,4.93143211631775,0.155134950898125,0.693895089958864,0.92174040390028,0.959391913055278,"gpath_3neocort"
"28","NADK","Mic P2RY12",0.0199696800495048,5.24928984895751,0.273110665995126,0.969269616441549,0.999015473279192,0.999989210734635,"gpath_3neocort"
"29","GNB1","Mic P2RY12",-0.0264971767872365,8.63799692044579,1.45099714833324,0.229112414991355,0.571442813656354,0.696235402174522,"gpath_3neocort"
"30","CFAP74","Mic P2RY12",-0.164414749604288,5.85631598829944,8.85285112195925,0.00311201196205552,0.0511107117235761,0.0816291028222637,"gpath_3neocort"
"31","GABRD","Mic P2RY12",-0.21316202979096,3.62169530833398,6.90738624893007,0.00892953284255184,0.0960121073262708,0.149719368447567,"gpath_3neocort"
"32","PRKCZ","Mic P2RY12",0.031165040424763,5.21918189841367,0.389889092490416,0.53272975572928,0.838620816154242,0.902629503021714,"gpath_3neocort"
"33","FAAP20","Mic P2RY12",0.0351254106285088,4.44033882554795,0.631130629303304,0.750455890341991,0.946475505038319,0.9750796647526,"gpath_3neocort"
"34","SKI","Mic P2RY12",0.0372025601825952,8.46148123605911,1.44936878723861,0.229373352402285,0.571770834921044,0.696653291213184,"gpath_3neocort"
"35","MORN1","Mic P2RY12",-0.167685070010986,3.96165237657292,6.29496744464154,0.0125206044238615,0.116630644117286,0.178674928142996,"gpath_3neocort"
"36","RER1","Mic P2RY12",0.0313677130782326,5.40257918283453,0.899149837998657,0.343608139793324,0.692285540738773,0.795734115664472,"gpath_3neocort"
"37","PEX10","Mic P2RY12",-0.087311462303415,3.73507799278399,2.09504971262667,0.148595538879147,0.465838382156925,0.59547682116147,"gpath_3neocort"
"38","PANK4","Mic P2RY12",0.0249054869413548,3.34997816507587,0.160755235768337,0.68868589146873,0.919924943675894,0.95822959030752,"gpath_3neocort"
"39","TNFRSF14-AS1","Mic P2RY12",-0.00462964663336245,3.09205518745883,0.00329933383858425,0.954224814898388,0.999015473279192,0.999989210734635,"gpath_3neocort"
"40","TNFRSF14","Mic P2RY12",0.0728985951197166,5.01434362599103,2.55558807661863,0.110730148752799,0.402005730330338,0.531385868683058,"gpath_3neocort"
"41","FAM213B","Mic P2RY12",0.150245047047821,2.8575100672622,3.57102850682938,0.0595514208763666,0.288078172377227,0.402051278996466,"gpath_3neocort"
"42","TPRG1L","Mic P2RY12",-0.0321422633692427,3.65075048989949,0.295804417483848,0.586841401915881,0.872972484068176,0.926346092332587,"gpath_3neocort"
"43","WRAP73","Mic P2RY12",-0.00269224844517648,4.34790862058722,0.0036632249737852,0.95176943178757,0.999015473279192,0.999989210734635,"gpath_3neocort"
"44","LRRC47","Mic P2RY12",-0.0138085912279673,4.20169738902804,0.0961729875166422,0.75664025689591,0.948426809757421,0.977093862530979,"gpath_3neocort"
"45","CEP104","Mic P2RY12",0.0303185684028754,5.40465254551303,0.851286999825957,0.416938466719734,0.756745286175569,0.84298849609757,"gpath_3neocort"
"46","DFFB","Mic P2RY12",0.0429318374394357,4.33483531706568,1.00053843254484,0.327599918436873,0.677617484683128,0.783949705994157,"gpath_3neocort"
"47","C1orf174","Mic P2RY12",0.0385320416940967,3.63760589069855,0.393664645168184,0.530753526901482,0.837505392775457,0.90179881326846,"gpath_3neocort"
