"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L1 PAX6 CA4",-0.149081315808552,5.75215649718823,0.955113628311848,0.330486520466468,0.935793128355902,0.935793128355902,"gpath_quartile_numeric"
"2","HES4","Inh L1 PAX6 CA4",-0.0988709003516644,6.05183442541144,0.43679013391864,0.510006685981622,0.962256560266975,0.962256560266975,"gpath_quartile_numeric"
"3","C1orf159","Inh L1 PAX6 CA4",-0.311693290686548,5.87552481780526,3.73150195087247,0.0558727385617286,0.81273847578884,0.81273847578884,"gpath_quartile_numeric"
"4","ACAP3","Inh L1 PAX6 CA4",-0.0077671031666122,6.67390077413407,0.00465847062562926,0.945703589121774,0.999894696106756,0.999894696106756,"gpath_quartile_numeric"
"5","INTS11","Inh L1 PAX6 CA4",0.139012213838585,6.05438125533219,1.10216722404448,0.330904936732653,0.93648030156575,0.93648030156575,"gpath_quartile_numeric"
"6","CCNL2","Inh L1 PAX6 CA4",0.40678599957988,6.36861831683846,11.8740189158232,0.000797276376930089,0.43151461861917,0.43151461861917,"gpath_quartile_numeric"
"7","SSU72","Inh L1 PAX6 CA4",0.059039548506345,5.8906135066276,0.167999443203338,0.8465122873428,0.99755159210991,0.99755159210991,"gpath_quartile_numeric"
"8","MIB2","Inh L1 PAX6 CA4",-0.0921541080688094,5.67395331353612,0.276945231036936,0.599730862093431,0.970306156104353,0.970306156104353,"gpath_quartile_numeric"
"9","GNB1","Inh L1 PAX6 CA4",0.0421531580728688,8.05782911205461,0.33143972304956,0.56594513337856,0.969843761293196,0.969843761293196,"gpath_quartile_numeric"
"10","PRKCZ","Inh L1 PAX6 CA4",0.0119484138562172,6.80936862928321,0.0134067425791633,0.963314043945262,0.999894696106756,0.999894696106756,"gpath_quartile_numeric"
"11","SKI","Inh L1 PAX6 CA4",0.126788699668637,6.48710788356881,1.33223399319263,0.250817549433751,0.904516735607404,0.904516735607404,"gpath_quartile_numeric"
