"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L5-6 PVALB STON2",-0.0652787328233929,5.52217298366312,0.354206464475844,0.5530184650794,0.932551516617977,0.932551516617977,"gpath_quartile_numeric"
"2","NOC2L","Inh L5-6 PVALB STON2",0.133033919983414,4.71997934203263,0.847180829007333,0.35945500112261,0.870650686170352,0.870650686170352,"gpath_quartile_numeric"
"3","HES4","Inh L5-6 PVALB STON2",-0.409484420138793,4.74646407015337,6.0472624945284,0.0155570339452456,0.427471197238675,0.427471197238675,"gpath_quartile_numeric"
"4","AGRN","Inh L5-6 PVALB STON2",-0.350663295966194,4.42483435354718,3.55615586600181,0.0620808940774371,0.654139088397905,0.654139088397905,"gpath_quartile_numeric"
"5","C1orf159","Inh L5-6 PVALB STON2",-0.195970927122732,5.691459440433,3.90311463375341,0.050813381139475,0.62088991503629,0.62088991503629,"gpath_quartile_numeric"
"6","SDF4","Inh L5-6 PVALB STON2",0.0438953295029413,5.47489254556919,0.173279111034135,0.678061103599625,0.963616248218103,0.963616248218103,"gpath_quartile_numeric"
"7","UBE2J2","Inh L5-6 PVALB STON2",0.181703942916012,5.1210209340521,2.44083341078164,0.121213982160123,0.737202103977936,0.737202103977936,"gpath_quartile_numeric"
"8","ACAP3","Inh L5-6 PVALB STON2",0.00720433619500955,6.06141476098566,0.00720921479216866,0.932496479030532,0.999609228876268,0.999609228876268,"gpath_quartile_numeric"
"9","INTS11","Inh L5-6 PVALB STON2",-0.035057781797489,5.48221655747333,0.115968878776604,0.734126849977344,0.976734117218656,0.976734117218656,"gpath_quartile_numeric"
"10","AURKAIP1","Inh L5-6 PVALB STON2",0.216290366044212,4.30234501984541,1.50143548175797,0.223184414787016,0.811251865062005,0.811251865062005,"gpath_quartile_numeric"
"11","CCNL2","Inh L5-6 PVALB STON2",-0.0266460327641337,5.88688312558199,0.0897718189866711,0.765058077144529,0.982420725962552,0.982420725962552,"gpath_quartile_numeric"
"12","MRPL20","Inh L5-6 PVALB STON2",0.220529326319246,4.54439162758174,2.047556322662,0.155411862589799,0.760848058433863,0.760848058433863,"gpath_quartile_numeric"
"13","ATAD3B","Inh L5-6 PVALB STON2",0.106480188803558,5.01413422360502,0.842128456199875,0.360885929875866,0.871479508551027,0.871479508551027,"gpath_quartile_numeric"
"14","ATAD3A","Inh L5-6 PVALB STON2",0.126750723180545,4.53788713071132,0.673076382067457,0.413834488294259,0.892897526509232,0.892897526509232,"gpath_quartile_numeric"
"15","SSU72","Inh L5-6 PVALB STON2",0.0199428209550145,5.14210095193348,0.0351190380240117,0.96188543335883,0.999609228876268,0.999609228876268,"gpath_quartile_numeric"
